pixel_index,raman_shift_cm-1,intensity
0,-224.905,96.4
1,-221.837,96.0
2,-218.771,96.4
3,-215.706,96.0
4,-212.642,95.6
5,-209.579,96.4
6,-206.517,95.8
7,-203.456,96.2
8,-200.397,96.8
9,-197.339,95.0
10,-194.282,96.2
11,-191.227,96.4
12,-188.172,96.4
13,-185.119,96.2
14,-182.067,96.8
15,-179.016,95.2
16,-175.966,96.8
17,-172.918,95.8
18,-169.871,96.0
19,-166.825,96.4
20,-163.780,95.8
21,-160.736,95.8
22,-157.693,96.4
23,-154.652,96.2
24,-151.612,96.0
25,-148.573,95.4
26,-145.535,96.0
27,-142.499,96.0
28,-139.464,95.8
29,-136.429,97.0
30,-133.397,95.8
31,-130.365,96.6
32,-127.334,96.0
33,-124.305,95.8
34,-121.277,96.2
35,-118.250,96.0
36,-115.224,97.0
37,-112.199,96.0
38,-109.176,96.0
39,-106.153,96.4
40,-103.132,95.4
41,-100.112,95.8
42,-97.094,96.2
43,-94.076,96.4
44,-91.060,96.6
45,-88.045,96.0
46,-85.031,97.0
47,-82.018,96.6
48,-79.006,95.8
49,-75.996,96.4
50,-72.987,95.8
51,-69.979,95.4
52,-66.972,96.4
53,-63.966,95.8
54,-60.961,96.2
55,-57.958,96.2
56,-54.956,96.6
57,-51.955,95.4
58,-48.955,96.6
59,-45.956,95.8
60,-42.959,96.2
61,-39.962,96.6
62,-36.967,96.2
63,-33.973,96.2
64,-30.980,97.4
65,-27.989,107.0
66,-24.998,157.0
67,-22.009,107.0
68,-19.021,97.0
69,-16.034,96.4
70,-13.048,96.6
71,-10.063,95.8
72,-7.080,96.0
73,-4.098,96.4
74,-1.116,96.4
75,1.864,95.6
76,4.842,95.8
77,7.820,96.0
78,10.797,97.8
79,13.772,96.6
80,16.746,97.2
81,19.719,96.2
82,22.691,96.2
83,25.662,96.4
84,28.631,95.4
85,31.599,96.0
86,34.567,96.4
87,37.533,96.6
88,40.498,95.8
89,43.461,96.2
90,46.424,95.4
91,49.385,96.0
92,52.346,96.2
93,55.305,96.2
94,58.263,96.0
95,61.219,96.0
96,64.175,96.6
97,67.130,96.2
98,70.083,96.6
99,73.035,96.8
100,75.986,97.2
101,78.936,96.2
102,81.885,96.4
103,84.832,97.6
104,87.779,96.4
105,90.724,97.0
106,93.668,96.6
107,96.611,97.6
108,99.553,95.6
109,102.494,97.8
110,105.433,97.0
111,108.372,96.6
112,111.309,97.0
113,114.245,96.2
114,117.180,96.8
115,120.114,96.8
116,123.047,96.4
117,125.978,97.0
118,128.909,97.0
119,131.838,96.4
120,134.766,96.2
121,137.693,98.2
122,140.619,98.2
123,143.544,96.6
124,146.467,97.6
125,149.390,97.6
126,152.311,97.2
127,155.231,97.0
