pixel_index,raman_shift_cm-1,intensity
0,-224.905,9.4
1,-221.837,9.6
2,-218.771,9.5
3,-215.706,9.5
4,-212.642,9.5
5,-209.579,9.5
6,-206.517,9.5
7,-203.456,9.3
8,-200.397,9.3
9,-197.339,9.5
10,-194.282,9.4
11,-191.227,9.4
12,-188.172,9.5
13,-185.119,9.4
14,-182.067,9.5
15,-179.016,9.4
16,-175.966,9.3
17,-172.918,9.3
18,-169.871,9.6
19,-166.825,9.5
20,-163.780,9.5
21,-160.736,9.5
22,-157.693,9.4
23,-154.652,9.6
24,-151.612,9.4
25,-148.573,9.5
26,-145.535,9.5
27,-142.499,9.5
28,-139.464,9.4
29,-136.429,9.6
30,-133.397,9.4
31,-130.365,9.6
32,-127.334,9.5
33,-124.305,9.5
34,-121.277,9.3
35,-118.250,9.4
36,-115.224,9.3
37,-112.199,9.5
38,-109.176,9.5
39,-106.153,9.4
40,-103.132,9.6
41,-100.112,9.3
42,-97.094,9.5
43,-94.076,9.4
44,-91.060,9.4
45,-88.045,9.7
46,-85.031,9.5
47,-82.018,9.5
48,-79.006,9.6
49,-75.996,9.4
50,-72.987,9.4
51,-69.979,9.5
52,-66.972,9.4
53,-63.966,9.4
54,-60.961,9.5
55,-57.958,9.5
56,-54.956,9.4
57,-51.955,9.6
58,-48.955,9.5
59,-45.956,9.5
60,-42.959,9.4
61,-39.962,9.4
62,-36.967,9.4
63,-33.973,9.5
64,-30.980,9.8
65,-27.989,9.5
66,-24.998,9.6
67,-22.009,9.5
68,-19.021,9.6
69,-16.034,9.4
70,-13.048,9.4
71,-10.063,9.5
72,-7.080,9.7
73,-4.098,9.5
74,-1.116,9.4
75,1.864,9.3
76,4.842,9.6
77,7.820,9.5
78,10.797,9.5
79,13.772,9.6
80,16.746,9.8
81,19.719,9.4
82,22.691,9.6
83,25.662,9.5
84,28.631,9.5
85,31.599,9.4
86,34.567,9.6
87,37.533,9.5
88,40.498,9.6
89,43.461,9.3
90,46.424,9.4
91,49.385,9.5
92,52.346,9.5
93,55.305,9.4
94,58.263,9.4
95,61.219,9.5
96,64.175,9.5
97,67.130,9.5
98,70.083,9.6
99,73.035,9.5
100,75.986,9.5
101,78.936,9.4
102,81.885,9.5
103,84.832,9.6
104,87.779,9.6
105,90.724,9.4
