pixel_index,raman_shift_cm-1,intensity
0,200.000,216.619148
1,201.000,215.2689765
2,202.000,213.918805
3,203.000,206.510812
4,204.000,224.143783
5,205.000,215.611656
6,206.000,207.079529
7,207.000,212.1799455
8,208.000,217.280362
9,209.000,214.684229
10,210.000,214.531343
11,211.000,215.975852
12,212.000,213.68454
13,213.000,211.393228
14,214.000,209.27283
15,215.000,219.898969
16,216.000,212.738474
17,217.000,206.85187
18,218.000,213.185425
19,219.000,219.694717
20,220.000,213.88441
21,221.000,220.05293
22,222.000,221.54363
23,223.000,216.364524
24,224.000,222.234761
25,225.000,231.111654
26,226.000,225.98593
27,227.000,227.066657
28,228.000,221.65329
29,229.000,217.416272
30,230.000,220.469956
31,231.000,225.309386
32,232.000,230.63688
33,233.000,221.921544
34,234.000,225.59836
35,235.000,231.057522
36,236.000,219.775778
37,237.000,226.029105
38,238.000,224.429856
39,239.000,225.200162
40,240.000,219.938074
41,241.000,225.273033
42,242.000,226.74415249999998
43,243.000,228.215272
44,244.000,230.528083
45,245.000,223.559625
46,246.000,228.532877
47,247.000,230.51368
48,248.000,235.162713
49,249.000,236.272092
50,250.000,242.103455
51,251.000,234.035836
52,252.000,236.896641
53,253.000,240.988139
54,254.000,239.206752
55,255.000,241.700255
56,256.000,242.524438
57,257.000,239.58837
58,258.000,243.530367
59,259.000,230.632611
60,260.000,232.542599
61,261.000,238.200146
62,262.000,233.672824
63,263.000,236.55894
64,264.000,246.778869
65,265.000,245.031264
66,266.000,248.716177
67,267.000,247.228968
68,268.000,255.230955
69,269.000,237.896107
70,270.000,244.548171
71,271.000,245.895711
72,272.000,242.545645
73,273.000,253.001349
74,274.000,241.733624
75,275.000,254.307934
76,276.000,248.76831
77,277.000,244.842635
78,278.000,240.918951
79,279.000,247.780662
80,280.000,244.232862
81,281.000,250.344583
82,282.000,256.222141
83,283.000,250.440735
84,284.000,257.911167
85,285.000,253.845112
86,286.000,256.603354
87,287.000,253.949473
88,288.000,257.351561
89,289.000,256.332925
90,290.000,264.932198
91,291.000,263.125421
92,292.000,253.27987
93,293.000,262.152619
94,294.000,253.703251
95,295.000,263.980119
96,296.000,267.497781
97,297.000,266.230263
98,298.000,258.532796
99,299.000,265.275114
100,300.000,270.220177
101,301.000,258.155088
102,302.000,263.528605
103,303.000,269.127216
104,304.000,268.288541
105,305.000,261.967735
106,306.000,261.736559
107,307.000,257.580048
108,308.000,270.339381
109,309.000,271.40312
110,310.000,276.233369
111,311.000,270.475664
112,312.000,264.292507
113,313.000,275.517544
114,314.000,275.497015
115,315.000,268.641848
116,316.000,281.426789
117,317.000,274.60383
118,318.000,277.107941
119,319.000,280.252801
120,320.000,260.743544
121,321.000,272.158102
122,322.000,271.912187
123,323.000,278.060257
124,324.000,278.300065
125,325.000,270.119547
126,326.000,272.110401
127,327.000,278.585808
128,328.000,288.629801
129,329.000,280.14884
130,330.000,285.603184
131,331.000,271.664827
132,332.000,275.242129
133,333.000,285.408731
134,334.000,277.25747
135,335.000,290.739435
136,336.000,290.49983
137,337.000,279.259807
138,338.000,295.884551
139,339.000,291.090215
140,340.000,287.154835
141,341.000,291.327811
142,342.000,289.442733
143,343.000,298.527904
144,344.000,288.421252
145,345.000,302.162282
146,346.000,292.858506
147,347.000,290.460576
148,348.000,289.309413
149,349.000,295.905473
150,350.000,294.165299
151,351.000,294.462624
152,352.000,294.942759
153,353.000,284.590586
154,354.000,304.854329
155,355.000,296.129257
156,356.000,289.016901
157,357.000,284.051434
158,358.000,291.117024
159,359.000,291.992658
160,360.000,302.805669
161,361.000,306.532097
162,362.000,295.576117
163,363.000,303.097743
164,364.000,307.2858935
165,365.000,311.474044
166,366.000,309.403303
167,367.000,307.332562
168,368.000,306.66062650000003
169,369.000,305.988691
170,370.000,303.385735
171,371.000,295.051153
172,372.000,309.510624
173,373.000,297.516576
174,374.000,312.455911
175,375.000,314.969083
176,376.000,309.80496200000005
177,377.000,304.640841
178,378.000,314.641531
