pixel_index,raman_shift_cm-1,intensity
0,-224.905,96.0
1,-221.837,95.0
2,-218.771,96.0
3,-215.706,97.0
4,-212.642,95.0
5,-209.579,96.0
6,-206.517,98.0
7,-203.456,94.0
8,-200.397,97.0
9,-197.339,96.0
10,-194.282,97.0
11,-191.227,95.0
12,-188.172,96.0
13,-185.119,98.0
14,-182.067,96.0
15,-179.016,96.0
16,-175.966,95.0
17,-172.918,95.0
18,-169.871,96.0
19,-166.825,96.0
20,-163.780,95.0
21,-160.736,97.0
22,-157.693,96.0
23,-154.652,96.0
24,-151.612,95.0
25,-148.573,96.0
26,-145.535,94.0
27,-142.499,97.0
28,-139.464,97.0
29,-136.429,96.0
30,-133.397,98.0
31,-130.365,96.0
32,-127.334,96.0
33,-124.305,98.0
34,-121.277,96.0
35,-118.250,96.0
36,-115.224,95.0
37,-112.199,98.0
38,-109.176,96.0
39,-106.153,97.0
40,-103.132,94.0
41,-100.112,97.0
42,-97.094,98.0
43,-94.076,98.0
44,-91.060,95.0
45,-88.045,97.0
46,-85.031,97.0
47,-82.018,97.0
48,-79.006,97.0
49,-75.996,97.0
50,-72.987,97.0
51,-69.979,96.0
52,-66.972,96.0
53,-63.966,96.0
54,-60.961,98.0
55,-57.958,95.0
56,-54.956,94.0
57,-51.955,97.0
58,-48.955,95.0
59,-45.956,96.0
60,-42.959,97.0
61,-39.962,97.0
62,-36.967,98.0
63,-33.973,97.0
64,-30.980,97.0
65,-27.989,98.0
66,-24.998,102.0
67,-22.009,97.0
68,-19.021,96.0
69,-16.034,97.0
70,-13.048,96.0
71,-10.063,97.0
72,-7.080,98.0
73,-4.098,98.0
74,-1.116,96.0
75,1.864,96.0
76,4.842,95.0
77,7.820,96.0
78,10.797,98.0
79,13.772,98.0
80,16.746,97.0
81,19.719,96.0
82,22.691,96.0
83,25.662,96.0
84,28.631,95.0
85,31.599,96.0
86,34.567,97.0
87,37.533,97.0
88,40.498,96.0
89,43.461,96.0
90,46.424,96.0
91,49.385,94.0
92,52.346,96.0
93,55.305,97.0
94,58.263,96.0
95,61.219,98.0
96,64.175,95.0
97,67.130,95.0
98,70.083,96.0
99,73.035,96.0
100,75.986,98.0
101,78.936,97.0
102,81.885,98.0
103,84.832,97.0
104,87.779,97.0
105,90.724,95.0
106,93.668,96.0
107,96.611,95.0
108,99.553,97.0
109,102.494,96.0
110,105.433,96.0
111,108.372,97.0
112,111.309,97.0
113,114.245,95.0
114,117.180,97.0
115,120.114,97.0
116,123.047,96.0
117,125.978,97.0
118,128.909,96.0
119,131.838,96.0
120,134.766,96.0
121,137.693,97.0
122,140.619,98.0
123,143.544,98.0
124,146.467,96.0
125,149.390,96.0
126,152.311,98.0
127,155.231,96.0
128,158.150,97.0
129,161.068,96.0
130,163.985,97.0
131,166.901,95.0
132,169.815,96.0
133,172.729,98.0
134,175.641,96.0
135,178.552,98.0
136,181.462,96.0
137,184.371,97.0
138,187.279,98.0
139,190.185,95.0
140,193.091,94.0
141,195.995,96.0
142,198.898,97.0
143,201.800,96.0
144,204.701,97.0
145,207.601,97.0
146,210.500,96.0
147,213.397,96.0
148,216.294,97.0
149,219.189,96.0
150,222.083,96.0
151,224.976,96.0
152,227.868,95.0
153,230.759,96.0
154,233.649,97.0
155,236.537,96.0
156,239.425,96.0
157,242.311,96.0
158,245.196,96.0
159,248.081,95.0
160,250.964,97.0
161,253.845,98.0
162,256.726,96.0
163,259.606,97.0
164,262.484,96.0
165,265.362,97.0
166,268.238,97.0
167,271.113,96.0
168,273.987,96.0
169,276.860,97.0
170,279.732,96.0
171,282.603,96.0
172,285.472,97.0
173,288.341,97.0
174,291.208,96.0
175,294.075,96.0
176,296.940,97.0
177,299.804,95.0
178,302.667,96.0
179,305.529,95.0
180,308.389,96.0
181,311.249,96.0
182,314.108,96.0
183,316.965,97.0
184,319.821,96.0
