pixel_index,raman_shift_cm-1,intensity
0,-224.905,0.1514926317804669
1,-221.837,0.19803677964312036
2,-218.771,0.22313622984515594
3,-215.706,0.23266006141557835
4,-212.642,0.23247735338339223
5,-209.579,0.22845718477760296
6,-206.517,0.27665977987263135
7,-203.456,0.25120246090064896
8,-200.397,0.20713353430439232
9,-197.339,0.26143070385946343
10,-194.282,0.25623467563718544
11,-191.227,0.2680464235768765
12,-188.172,0.3231757763714871
13,-185.119,0.2427155409058778
14,-182.067,0.22419211483822465
15,-179.016,0.20567605558662547
16,-175.966,0.17664336805514688
17,-172.918,0.1370940071591139
18,-169.871,0.11212350068699561
19,-166.825,0.17539945280028732
20,-163.780,0.18484849600549727
21,-160.736,0.23559090178636816
22,-157.693,0.18150562996228553
23,-154.652,0.13957038663982843
24,-151.612,0.15309522917562446
25,-148.573,0.14153142076191713
26,-145.535,0.1627606419453745
27,-142.499,0.22730679913411228
28,-139.464,0.24409720616599373
29,-136.429,0.322418991396681
30,-133.397,0.3517706385067308
31,-130.365,0.39408150187476615
32,-127.334,0.28461124707437657
33,-124.305,0.2864585777663816
34,-121.277,0.27171698430483726
35,-118.250,0.28410129313727295
36,-115.224,0.2657297381386855
37,-112.199,0.21376890637960028
38,-109.176,0.18610048034996593
39,-106.153,0.29201159001914695
40,-103.132,0.30118959936736367
41,-100.112,0.31239768883840013
42,-97.094,0.28475431993946193
43,-94.076,0.33523720201023005
44,-91.060,0.3505114498663902
45,-88.045,0.3925064201297954
46,-85.031,0.35072059904469294
47,-82.018,0.33444111785089725
48,-79.006,0.3408345653673694
49,-75.996,0.33428137913042294
50,-72.987,0.32166256351466105
51,-69.979,0.3244307459135273
52,-66.972,0.2450369671691143
53,-63.966,0.22312590709163227
54,-60.961,0.17855360080934898
55,-57.958,0.13762988396026118
56,-54.956,0.1371885421825128
57,-51.955,0.12582408949272364
58,-48.955,0.1614182115284759
59,-45.956,0.20308937246035633
60,-42.959,0.30588588712235526
61,-39.962,0.3087103313800678
62,-36.967,0.4103034124879229
63,-33.973,0.5539976704638669
64,-30.980,0.5750527759177048
65,-27.989,0.5827558628810976
66,-24.998,0.5479636483474699
67,-22.009,0.4783666739195151
68,-19.021,0.44358487851598166
69,-16.034,0.42135602371513275
70,-13.048,0.35663171980660135
71,-10.063,0.304865050602461
72,-7.080,0.35955722642780996
73,-4.098,0.31022921416117566
74,-1.116,0.26252524347998457
75,1.864,0.2743270026077101
76,4.842,0.2719668068561
77,7.820,0.27001624346264835
78,10.797,0.2947851515639103
79,13.772,0.35436884186741796
80,16.746,0.3358372020127406
81,19.719,0.2905956442887286
82,22.691,0.2145964607954733
83,25.662,0.16572134094484797
84,28.631,0.1662324517440194
85,31.599,0.195081859062348
86,34.567,0.25267429590742396
87,37.533,0.22607965094969215
88,40.498,0.1889655391018706
89,43.461,0.18868970081026537
90,46.424,0.122441207726027
91,49.385,0.1468649720525827
92,52.346,0.17776936161078719
93,55.305,0.1941064434356105
94,58.263,0.19992385741351537
95,61.219,0.18064994769565648
96,64.175,0.21642860718115453
97,67.130,0.17813903391983954
98,70.083,0.20380684524463574
99,73.035,0.2602410900009443
100,75.986,0.3251795343235047
101,78.936,0.4026698191017362
102,81.885,0.4125679866079828
103,84.832,0.3326118034034042
104,87.779,0.2797789879848156
105,90.724,0.20266406147188873
106,93.668,0.16036301849676401
107,96.611,0.1277802550730837
108,99.553,0.1854644331056647
109,102.494,0.19134219868962407
110,105.433,0.23365279274259823
111,108.372,0.2533001584931748
112,111.309,0.26080821520627445
113,114.245,0.25212925942365266
114,117.180,0.27462103514511427
115,120.114,0.2663541150426119
116,123.047,0.2273284690904795
117,125.978,0.2125924204357896
118,128.909,0.2403604679060386
119,131.838,0.26206050568106687
120,134.766,0.3027880769920384
121,137.693,0.3083043340683546
122,140.619,0.34053864487150504
123,143.544,0.36265715587775044
124,146.467,0.37465983815638026
125,149.390,0.33971283845511463
126,152.311,0.31974552527836286
127,155.231,0.2674000957992636
128,158.150,0.21667697497281346
129,161.068,0.2558154063198751
130,163.985,0.2164321642005586
131,166.901,0.2223860149557429
132,169.815,0.259105307869267
133,172.729,0.2500889951940492
134,175.641,0.33376746653306427
135,178.552,0.37090074263730793
136,181.462,0.3550125193566826
137,184.371,0.26100719679381823
138,187.279,0.1981719193565907
139,190.185,0.17419723885099928
140,193.091,0.12715373131731356
141,195.995,0.17037621457462107
142,198.898,0.17231528902792229
143,201.800,0.18437637559327816
144,204.701,0.2802270969119089
145,207.601,0.30605585218435327
146,210.500,0.2646959865091009
147,213.397,0.25086302260598975
148,216.294,0.22488973915053012
149,219.189,0.16168053780915398
150,222.083,0.15999861470521864
151,224.976,0.1724861701668169
152,227.868,0.16635702751210807
153,230.759,0.15618278448892073
154,233.649,0.1933688634295647
155,236.537,0.168628068007774
156,239.425,0.1515803493873699
157,242.311,0.20010740710856129
158,245.196,0.18913612045714168
159,248.081,0.2133820136825638
160,250.964,0.2437018168314358
161,253.845,0.2655238829378691
162,256.726,0.3039437607302668
163,259.606,0.3221276018975629
164,262.484,0.30550375984815326
165,265.362,0.26459616082169884
166,268.238,0.24676255563892333
167,271.113,0.24916954983002546
168,273.987,0.22445934585857122
169,276.860,0.24913294063963914
170,279.732,0.2389987124254583
171,282.603,0.23089046280711117
172,285.472,0.27621361636004954
173,288.341,0.2579904002632076
174,291.208,0.24219786219774925
175,294.075,0.21831202993977836
176,296.940,0.1758089313864571
177,299.804,0.12926016726279413
178,302.667,0.10092791714709907
179,305.529,0.12764598360005594
180,308.389,0.13979436894806851
181,311.249,0.1373730515342158
182,314.108,0.21914523144231265
183,316.965,0.1875844440110774
184,319.821,0.22159781530411138
185,322.676,0.2143267564842521
186,325.531,0.2418674992131475
187,328.384,0.32526792223549783
188,331.235,0.3289309586452962
189,334.086,0.3738820109488031
190,336.936,0.37592945979376374
191,339.785,0.3350732847039212
192,342.632,0.3500766869409056
193,345.478,0.23798482588057354
194,348.324,0.21858632623306984
195,351.168,0.168022373657967
196,354.011,0.17453222003514182
197,356.853,0.24216351860033172
198,359.694,0.21710467503053643
199,362.534,0.2600482885591349
200,365.372,0.2576594952645522
201,368.210,0.25729605012476503
202,371.046,0.3063157082314005
203,373.882,0.2691214044088509
204,376.716,0.26269086987223217
205,379.549,0.28297641273308644
206,382.381,0.30771581263775083
207,385.212,0.3118134782327003
208,388.042,0.28069776812125297
209,390.871,0.32365583534684306
210,393.699,0.3196622383816169
211,396.526,0.32012240634450695
212,399.351,0.29994074843884444
213,402.176,0.21540237809903687
214,404.999,0.24136675180229952
215,407.821,0.351523977177479
216,410.643,0.3629192161947369
217,413.463,0.39941124564267355
218,416.282,0.3950229779090217
219,419.100,0.45620819602602025
220,421.917,0.4765130824260333
221,424.732,0.43367541840887547
222,427.547,0.37505296127935767
223,430.361,0.3006456941479006
224,433.173,0.3250027466210472
225,435.985,0.28500287942771996
226,438.795,0.2575518633277623
227,441.604,0.21391120343680006
228,444.412,0.1330329837095156
229,447.219,0.11772808253501009
230,450.025,0.09554313676026986
231,452.830,0.08104975320897312
232,455.634,0.12160569024978904
233,458.437,0.18037710759699022
234,461.239,0.22053016506938367
235,464.039,0.2525887968920834
236,466.839,0.3239107618513244
237,469.637,0.29889899845641954
