pixel_index,raman_shift_cm-1,intensity
0,200.000,-10.119424
1,201.000,3.300979
2,202.000,-1.280466
3,203.000,-6.467814
4,204.000,3.397139
5,205.000,-8.933039
6,206.000,2.74687
7,207.000,8.143244
8,208.000,-6.66729
9,209.000,1.34776
10,210.000,-1.434482
11,211.000,-9.516782
12,212.000,1.202063
13,213.000,-10.122225
14,214.000,1.302859
15,215.000,10.100791
16,216.000,4.686944
17,217.000,5.56319
18,218.000,10.233179
19,219.000,-2.162263
20,220.000,10.304315
21,221.000,2.687456
22,222.000,-14.467091
23,223.000,-1.908528
24,224.000,-5.958235
25,225.000,-3.291518
26,226.000,0.954427
27,227.000,-4.292279
28,228.000,-5.101959
29,229.000,0.792015
30,230.000,2.939058
31,231.000,-11.4935
32,232.000,2.682825
33,233.000,5.424167
34,234.000,-4.704348
35,235.000,5.180088
36,236.000,10.27827
37,237.000,-0.067228
38,238.000,0.103284
39,239.000,-3.954981
40,240.000,-3.21888
41,241.000,2.854859
42,242.000,-7.32079
43,243.000,2.174711
44,244.000,4.887334
45,245.000,5.719795
46,246.000,-5.832986
47,247.000,-8.609466
48,248.000,9.3911
49,249.000,-9.730073
50,250.000,-3.325414
51,251.000,-1.729652
52,252.000,0.844895
53,253.000,-0.007164
54,254.000,-6.432019
55,255.000,0.286298
56,256.000,-8.34034
57,257.000,-4.032525
58,258.000,-10.324931
59,259.000,-5.046064
60,260.000,-2.388818
61,261.000,-1.599973
62,262.000,0.985167
63,263.000,-0.058416
64,264.000,-6.208013
65,265.000,6.277655
66,266.000,1.738583
67,267.000,4.1
68,268.000,7.029988
69,269.000,2.870754
70,270.000,-3.157905
71,271.000,8.985063
72,272.000,5.901975
73,273.000,6.511087
74,274.000,-6.57896
75,275.000,3.373307
76,276.000,6.270042
77,277.000,4.664866
78,278.000,-9.520686
79,279.000,-3.798761
80,280.000,-3.153838
81,281.000,3.053117
82,282.000,3.967182
83,283.000,2.505923
84,284.000,-4.322277
85,285.000,5.721712
86,286.000,-4.494908
87,287.000,-2.33403
88,288.000,5.578747
89,289.000,1.199023
90,290.000,-1.834651
91,291.000,-4.540714
92,292.000,-2.560126
93,293.000,-0.954805
94,294.000,-0.185025
95,295.000,1.012771
96,296.000,-2.470407
97,297.000,-0.244022
98,298.000,4.077264
99,299.000,4.209304
100,300.000,2.731708
101,301.000,-1.442372
102,302.000,10.656961
103,303.000,2.265839
104,304.000,3.344239
105,305.000,4.884623
106,306.000,1.771094
107,307.000,-9.179071
108,308.000,9.099111
109,309.000,-3.854658
110,310.000,2.5601
111,311.000,1.81155
112,312.000,-3.274888
113,313.000,6.614969
114,314.000,-0.032813
115,315.000,-13.667318
116,316.000,7.344527
117,317.000,-0.577031
118,318.000,5.264916
119,319.000,0.628985
120,320.000,-1.917003
121,321.000,-2.198164
122,322.000,-2.983131
123,323.000,4.595053
124,324.000,2.494232
125,325.000,-0.94006
126,326.000,-8.128865
127,327.000,-4.287858
128,328.000,-5.637933
129,329.000,-0.863646
130,330.000,-1.413483
131,331.000,-10.523872
132,332.000,7.313957
133,333.000,-12.125481
134,334.000,-5.973257
135,335.000,-4.333695
136,336.000,11.090594
137,337.000,-3.835797
138,338.000,2.142214
139,339.000,5.659233
140,340.000,3.351576
141,341.000,12.020874
142,342.000,5.571945
143,343.000,8.554364
144,344.000,6.662444
145,345.000,8.575638
146,346.000,-7.940004
147,347.000,2.858723
148,348.000,-3.06289
149,349.000,-0.554881
150,350.000,4.022514
151,351.000,-2.457241
152,352.000,-1.395228
153,353.000,-13.665615
154,354.000,-0.330281
155,355.000,15.933967
156,356.000,-10.373445
157,357.000,1.753655
158,358.000,-5.746574
159,359.000,2.228884
160,360.000,4.116143
161,361.000,-7.420856
162,362.000,-0.660112
163,363.000,2.842738
164,364.000,8.823641
165,365.000,-3.2599
166,366.000,0.3271
167,367.000,8.447508
168,368.000,3.624642
169,369.000,-6.438645
170,370.000,10.65326
171,371.000,1.332239
172,372.000,9.677374
173,373.000,6.146804
174,374.000,9.305883
175,375.000,1.966373
176,376.000,-17.023992
177,377.000,10.320948
178,378.000,1.534482
179,379.000,0.9673
180,380.000,-6.39834
181,381.000,-9.978426
182,382.000,-1.676122
183,383.000,9.067783
184,384.000,3.088851
185,385.000,3.605358
186,386.000,2.045709
187,387.000,3.37497
188,388.000,2.425316
189,389.000,-14.526044
190,390.000,-2.124742
191,391.000,-3.710784
192,392.000,4.538765
193,393.000,6.815598
194,394.000,1.274122
195,395.000,-10.069743
196,396.000,0.240827
197,397.000,-6.320727
198,398.000,0.155709
199,399.000,11.546436
200,400.000,-14.844282
201,401.000,1.047767
202,402.000,4.232253
