pixel_index,raman_shift_cm-1,intensity
0,197.000,-0.576609
1,198.000,-10.778695
2,199.000,-1.040321
3,200.000,-1.386245
4,201.000,-14.317439
5,202.000,7.686359
6,203.000,-5.508048
7,204.000,6.113926
8,205.000,7.355535
9,206.000,5.485744
10,207.000,-3.658114
11,208.000,-1.61723
12,209.000,0.582464
13,210.000,-3.588912
14,211.000,5.855757
15,212.000,-9.495938
16,213.000,-10.288566
17,214.000,-1.005697
18,215.000,1.037445
19,216.000,12.897781
20,217.000,3.445863
21,218.000,9.341566
22,219.000,4.346449
23,220.000,-1.293695
24,221.000,-3.84143
25,222.000,-7.360577
26,223.000,-1.367231
27,224.000,7.718896
28,225.000,7.442697
29,226.000,-11.019739
30,227.000,-0.372697
31,228.000,-9.120335
32,229.000,1.671495
33,230.000,5.652419
34,231.000,-1.562381
35,232.000,-2.320202
36,233.000,8.029405
37,234.000,1.692514
38,235.000,2.41744
39,236.000,-3.688588
40,237.000,-0.689839
41,238.000,-7.513077
42,239.000,7.777336
43,240.000,3.131326
44,241.000,-9.196508
45,242.000,14.154873
46,243.000,7.463982
47,244.000,9.467033
48,245.000,-0.897268
49,246.000,5.731992
50,247.000,-4.847027
51,248.000,8.675219
52,249.000,-6.504921
53,250.000,3.190549
54,251.000,-2.826157
55,252.000,10.743242
56,253.000,-1.232242
57,254.000,3.920161
58,255.000,10.182444
59,256.000,-7.948807
60,257.000,-8.513275
61,258.000,8.681214
62,259.000,5.602622
63,260.000,-1.985751
64,261.000,3.127879
65,262.000,1.74449
66,263.000,7.151149
67,264.000,8.844766
68,265.000,-6.794243
69,266.000,2.65358
70,267.000,-3.850505
71,268.000,0.812109
72,269.000,13.524005
73,270.000,5.925569
74,271.000,-0.818324
75,272.000,16.633224
76,273.000,-5.596034
77,274.000,5.974708
78,275.000,2.062253
79,276.000,2.368034
80,277.000,-1.608156
81,278.000,8.467285
82,279.000,14.9004
83,280.000,-1.319566
84,281.000,2.623162
85,282.000,0.037243
86,283.000,-2.964448
87,284.000,-3.481615
88,285.000,-5.586346
89,286.000,0.437201
90,287.000,1.149502
91,288.000,0.275766
92,289.000,5.209426
93,290.000,-9.672444
94,291.000,-11.795268
95,292.000,-3.466755
96,293.000,-3.194779
97,294.000,18.221621
98,295.000,-8.505086
99,296.000,2.67384
100,297.000,-1.031348
101,298.000,-5.744244
102,299.000,-8.999995
103,300.000,1.302525
104,301.000,-1.771283
105,302.000,5.69879
106,303.000,1.080546
107,304.000,6.469645
108,305.000,-6.081035
109,306.000,0.086947
110,307.000,-1.595513
111,308.000,3.379232
112,309.000,-0.940577
113,310.000,3.691957
114,311.000,-4.656419
115,312.000,-11.099748
116,313.000,7.336762
117,314.000,-3.162206
118,315.000,-0.85259
119,316.000,2.858078
120,317.000,-0.186963
121,318.000,3.458788
122,319.000,1.322085
123,320.000,-3.67618
124,321.000,-9.388411
125,322.000,0.870197
126,323.000,5.01931
127,324.000,1.178344
128,325.000,13.252943
129,326.000,-7.454681
130,327.000,-3.78702
131,328.000,-10.724873
132,329.000,1.500524
133,330.000,7.633071
134,331.000,-0.400877
135,332.000,-3.511996
136,333.000,4.884612
137,334.000,-0.126044
138,335.000,10.178837
139,336.000,-0.981953
140,337.000,-10.248723
141,338.000,-2.313228
142,339.000,8.261967
143,340.000,3.00697
144,341.000,1.141012
145,342.000,-5.826666
146,343.000,-9.913737
147,344.000,2.351789
148,345.000,-2.037517
149,346.000,6.428329
150,347.000,-3.47984
151,348.000,5.067922
152,349.000,7.471368
153,350.000,-5.910473
154,351.000,5.656764
155,352.000,-1.683528
156,353.000,5.756344
157,354.000,-5.05671
158,355.000,-2.641687
159,356.000,8.039361
160,357.000,-6.577934
161,358.000,11.610728
162,359.000,0.269701
163,360.000,-2.570843
164,361.000,-11.451764
165,362.000,-4.315113
166,363.000,1.225956
167,364.000,-2.203125
168,365.000,-3.837999
169,366.000,-6.826563
170,367.000,0.105546
171,368.000,1.707355
172,369.000,-4.416472
173,370.000,9.838929
174,371.000,0.400616
175,372.000,-1.352795
176,373.000,-12.157764
177,374.000,2.314329
178,375.000,5.144202
179,376.000,3.307989
180,377.000,-0.214118
181,378.000,-2.259659
182,379.000,3.729563
183,380.000,-0.844893
184,381.000,4.939597
185,382.000,-2.618219
186,383.000,-8.554469
187,384.000,9.18647
188,385.000,5.773029
189,386.000,18.745916
190,387.000,-1.21285
191,388.000,2.094913
192,389.000,-1.202834
193,390.000,2.51018
194,391.000,-2.498321
195,392.000,2.398612
196,393.000,2.870937
197,394.000,-3.423154
198,395.000,-4.991256
199,396.000,4.033782
200,397.000,-3.356277
201,398.000,-1.414746
202,399.000,3.543244
203,400.000,-14.553775
204,401.000,-2.687398
205,402.000,5.929988
206,403.000,-5.658246
207,404.000,-7.078567
208,405.000,1.922841
209,406.000,8.068588
210,407.000,3.071777
211,408.000,1.901979
212,409.000,-4.586112
213,410.000,3.717221
214,411.000,9.154903
215,412.000,6.304185
216,413.000,-3.321355
217,414.000,-0.092866
218,415.000,6.157495
219,416.000,5.056257
220,417.000,-8.527771
221,418.000,0.018269
222,419.000,-10.673184
223,420.000,0.162966
224,421.000,-0.220786
225,422.000,-5.080945
226,423.000,-3.310049
227,424.000,3.016603
228,425.000,0.949553
229,426.000,4.497693
230,427.000,-8.719079
231,428.000,2.169722
232,429.000,-2.653569
233,430.000,-1.210601
234,431.000,-10.731928
235,432.000,3.931775
236,433.000,5.541827
237,434.000,4.787795
238,435.000,-10.286073
239,436.000,-4.152194
240,437.000,-1.808398
241,438.000,-4.608969
242,439.000,0.72817
243,440.000,-5.952378
244,441.000,-2.651463
245,442.000,4.138799
246,443.000,1.956835
247,444.000,-3.531657
248,445.000,0.977391
249,446.000,1.920385
250,447.000,-5.74503
