pixel_index,raman_shift_cm-1,intensity
0,-226.387,9.5
1,-223.315,9.5
2,-220.244,9.4
3,-217.175,9.4
4,-214.107,9.4
5,-211.040,9.4
6,-207.974,9.4
7,-204.909,9.5
8,-201.846,9.4
9,-198.784,9.3
10,-195.723,9.4
11,-192.663,9.3
12,-189.605,9.5
13,-186.547,9.3
14,-183.491,9.4
15,-180.436,9.3
16,-177.382,9.6
17,-174.330,9.5
18,-171.279,9.3
19,-168.229,9.3
20,-165.180,9.5
21,-162.132,9.4
22,-159.085,9.4
23,-156.040,9.2
24,-152.996,9.2
25,-149.953,9.2
26,-146.911,9.3
27,-143.871,9.3
28,-140.832,9.4
29,-137.793,9.4
30,-134.757,9.2
31,-131.721,9.3
32,-128.686,9.6
33,-125.653,9.5
34,-122.621,9.4
35,-119.590,9.4
36,-116.560,9.6
37,-113.532,9.4
38,-110.504,9.3
39,-107.478,9.4
40,-104.453,9.3
41,-101.429,9.4
42,-98.407,9.4
43,-95.385,9.2
44,-92.365,9.4
45,-89.346,9.4
46,-86.328,9.5
47,-83.311,9.2
48,-80.296,9.4
49,-77.282,9.3
50,-74.268,9.3
51,-71.256,9.4
52,-68.246,9.2
53,-65.236,9.3
54,-62.228,9.3
55,-59.221,9.2
56,-56.214,9.3
57,-53.210,9.5
58,-50.206,9.3
59,-47.203,9.3
60,-44.202,9.4
61,-41.202,9.2
62,-38.203,9.4
63,-35.205,9.3
64,-32.209,9.5
65,-29.213,9.6
66,-26.219,9.4
67,-23.226,9.4
68,-20.234,9.6
69,-17.243,9.4
70,-14.254,9.3
71,-11.265,9.3
72,-8.278,9.5
73,-5.292,9.5
74,-2.307,9.4
75,0.677,9.4
76,3.659,9.3
77,6.640,9.4
78,9.621,9.4
79,12.600,9.4
80,15.578,9.5
81,18.554,9.4
82,21.530,9.5
83,24.504,9.3
84,27.477,9.3
85,30.449,9.4
86,33.420,9.2
87,36.390,9.3
88,39.359,9.5
89,42.326,9.5
90,45.292,9.3
91,48.257,9.4
92,51.221,9.4
93,54.184,9.4
94,57.145,9.4
95,60.106,9.3
96,63.065,9.4
97,66.023,9.5
98,68.980,9.4
99,71.936,9.4
100,74.891,9.4
101,77.844,9.5
102,80.796,9.3
103,83.748,9.4
104,86.698,9.4
105,89.647,9.4
106,92.594,9.3
107,95.541,9.2
108,98.486,9.3
109,101.430,9.3
110,104.374,9.4
111,107.316,9.3
112,110.256,9.5
113,113.196,9.4
114,116.135,9.3
115,119.072,9.4
116,122.008,9.3
117,124.943,9.2
118,127.877,9.3
119,130.810,9.4
120,133.742,9.5
121,136.672,9.5
122,139.601,9.5
123,142.530,9.4
124,145.457,9.3
125,148.383,9.5
126,151.307,9.4
127,154.231,9.3
128,157.154,9.3
129,160.075,9.2
130,162.995,9.3
131,165.914,9.4
132,168.832,9.4
133,171.749,9.4
134,174.665,9.3
135,177.579,9.5
136,180.493,9.5
137,183.405,9.5
138,186.316,9.3
139,189.226,9.4
140,192.135,9.4
141,195.042,9.4
142,197.949,9.4
143,200.855,9.2
144,203.759,9.5
145,206.662,9.4
146,209.564,9.4
147,212.465,9.4
148,215.365,9.4
149,218.264,9.3
150,221.161,9.3
151,224.057,9.4
152,226.953,9.3
153,229.847,9.5
154,232.740,9.3
155,235.632,9.4
156,238.523,9.3
157,241.412,9.4
158,244.301,9.4
159,247.188,9.4
160,250.075,9.4
161,252.960,9.5
162,255.844,9.3
163,258.727,9.3
164,261.608,9.4
165,264.489,9.6
166,267.369,9.5
167,270.247,9.4
168,273.125,9.4
169,276.001,9.2
170,278.876,9.3
171,281.750,9.3
172,284.623,9.2
173,287.494,9.5
174,290.365,9.3
175,293.234,9.2
176,296.103,9.3
177,298.970,9.4
178,301.836,9.4
179,304.701,9.5
180,307.565,9.5
181,310.428,9.4
182,313.290,9.3
183,316.150,9.4
184,319.010,9.6
185,321.868,9.4
186,324.726,9.3
187,327.582,9.4
188,330.437,9.6
189,333.291,9.6
190,336.144,9.5
191,338.995,9.4
192,341.846,9.2
193,344.696,9.4
194,347.544,9.3
195,350.391,9.2
196,353.237,9.6
197,356.083,9.4
198,358.927,9.2
199,361.769,9.2
200,364.611,9.3
201,367.452,9.5
202,370.292,9.4
203,373.130,9.3
204,375.967,9.4
205,378.804,9.3
206,381.639,9.4
207,384.473,9.4
208,387.306,9.4
209,390.138,9.5
210,392.969,9.3
211,395.799,9.5
212,398.627,9.4
213,401.455,9.3
214,404.281,9.4
215,407.106,9.4
216,409.931,9.3
217,412.754,9.3
218,415.576,9.6
219,418.397,9.4
220,421.217,9.4
221,424.035,9.4
222,426.853,9.3
223,429.670,9.4
224,432.485,9.4
225,435.300,9.4
226,438.113,9.4
227,440.925,9.5
228,443.736,9.4
229,446.546,9.5
230,449.355,9.4
231,452.163,9.4
232,454.970,9.4
233,457.776,9.3
234,460.581,9.2
235,463.384,9.4
236,466.187,9.4
237,468.988,9.3
238,471.788,9.4
239,474.587,9.3
240,477.386,9.3
241,480.183,9.4
242,482.979,9.7
243,485.774,9.4
244,488.567,9.4
245,491.360,9.3
246,494.152,9.5
247,496.942,9.5
248,499.732,9.5
249,502.520,9.4
250,505.308,9.7
251,508.094,9.7
252,510.879,9.7
253,513.663,9.6
254,516.446,9.4
255,519.228,9.5
256,522.009,9.4
