pixel_index,raman_shift_cm-1,intensity
0,200.000,0.014359962209948857
1,201.000,0.013489872335525253
2,202.000,0.01317783545547538
3,203.000,0.013269693351028193
4,204.000,0.01361128780341265
5,205.000,0.014048460593857743
6,206.000,0.015469670303158652
7,207.000,0.014138137030978808
8,208.000,0.014238528635768402
9,209.000,0.012309803394843714
10,210.000,0.011844534631580965
11,211.000,0.01244612551225758
12,212.000,0.011690420150376513
13,213.000,0.009604633259217081
14,214.000,0.007875568969304317
15,215.000,0.007487817953193109
16,216.000,0.006614749182907256
17,217.000,0.006879607673899382
18,218.000,0.008298674460981693
19,219.000,0.008571100534028488
20,220.000,0.007685150486943232
21,221.000,0.010645570765922263
22,222.000,0.013044921141726416
23,223.000,0.014530802385120126
24,224.000,0.015929898643482376
25,225.000,0.0167644625348745
26,226.000,0.015197120362918091
27,227.000,0.013719864929260764
28,228.000,0.01400246534419009
29,229.000,0.01204000645908856
30,230.000,0.009943066481544159
31,231.000,0.011598036248760457
32,232.000,0.01170504469462677
33,233.000,0.012767682555285986
34,234.000,0.012917570998306415
35,235.000,0.012246630200415998
36,236.000,0.010023091229910184
37,237.000,0.008215932136138297
38,238.000,0.00786382309163062
39,239.000,0.006460439141557821
40,240.000,0.00682482010427746
41,241.000,0.0077772483617903
42,242.000,0.007068607177650593
43,243.000,0.007124378357664642
44,244.000,0.007727370351221955
45,245.000,0.008602931700891823
46,246.000,0.010151702086350772
47,247.000,0.01153865101922887
48,248.000,0.012594726680043643
49,249.000,0.014352489805707535
50,250.000,0.016249343276941927
51,251.000,0.016545088628929103
52,252.000,0.01715234489541772
53,253.000,0.016643334130635266
54,254.000,0.01789498573987649
55,255.000,0.0174274065480783
56,256.000,0.016612509985622997
57,257.000,0.014824501554835296
58,258.000,0.012169441794088525
59,259.000,0.00910844647934075
60,260.000,0.007364488395734082
61,261.000,0.006775368102537192
62,262.000,0.00817814920935134
63,263.000,0.009459652416093001
64,264.000,0.015192192160524056
65,265.000,0.016903806475644597
66,266.000,0.017502192192010414
67,267.000,0.01851796655270477
68,268.000,0.01625970458678656
69,269.000,0.01510476993591793
70,270.000,0.01311523308807592
71,271.000,0.012333062023043226
72,272.000,0.012752993542226894
73,273.000,0.013148821891561045
74,274.000,0.014183561236291964
75,275.000,0.012996045655406928
76,276.000,0.011302454451140065
77,277.000,0.009570317167733626
78,278.000,0.008588267320188038
79,279.000,0.00890181416524669
80,280.000,0.008790575414288333
81,281.000,0.010896977093953862
82,282.000,0.013477183115144871
83,283.000,0.014951484853519817
84,284.000,0.015334866266767963
85,285.000,0.015203631761584185
86,286.000,0.01485023436463139
87,287.000,0.016161140159073967
88,288.000,0.016575433071870475
89,289.000,0.016959509275996848
90,290.000,0.016532478957608992
91,291.000,0.015594319263238874
92,292.000,0.015870672973700498
93,293.000,0.016603345326723574
94,294.000,0.01618427096683615
95,295.000,0.015002104002960176
96,296.000,0.017366002512673246
97,297.000,0.0186007632765938
98,298.000,0.01719857713480601
99,299.000,0.017409049931941947
100,300.000,0.016482449976463164
101,301.000,0.016043257062984848
102,302.000,0.016370104499026435
103,303.000,0.014762998198127023
104,304.000,0.012397562218487024
105,305.000,0.01115994023545607
106,306.000,0.013100572769419052
107,307.000,0.013868492008464564
108,308.000,0.01317505022594675
109,309.000,0.014375628458645923
110,310.000,0.01720405190783451
111,311.000,0.01716406572432541
112,312.000,0.018169078772676466
113,313.000,0.016887739511286023
114,314.000,0.016707813350361332
115,315.000,0.019080246891493145
116,316.000,0.019382649692348222
117,317.000,0.01869044241766846
118,318.000,0.0153141304619576
119,319.000,0.013817783811125521
120,320.000,0.013877878062497424
121,321.000,0.011678975134810768
122,322.000,0.010866257265201889
123,323.000,0.009167491578463909
124,324.000,0.010858465214614234
125,325.000,0.013729077471187115
126,326.000,0.015179708063396002
