pixel_index,raman_shift_cm-1,intensity
0,200.000,-5.461473666666667
1,201.000,1.7345730000000001
2,202.000,-1.5198842222222222
3,203.000,-4.976309111111111
4,204.000,-0.8607496666666664
5,205.000,-6.129464
6,206.000,-3.087666333333333
7,207.000,7.360158666666667
8,208.000,5.540283333333334
9,209.000,-1.0150293333333333
10,210.000,3.3789423333333333
11,211.000,-1.8431799999999996
12,212.000,4.493536
13,213.000,-2.304463666666667
14,214.000,0.6502923333333334
15,215.000,-1.5021893333333338
16,216.000,2.0872006666666665
17,217.000,-0.31875000000000026
18,218.000,3.0924499999999995
19,219.000,0.625870666666667
20,220.000,5.244006333333334
21,221.000,1.8056539999999999
22,222.000,0.5316053333333334
23,223.000,-4.011324666666667
24,224.000,-0.23058699999999988
25,225.000,-2.8335326666666667
26,226.000,-0.002646833333333376
27,227.000,-2.655821
28,228.000,-3.734232333333333
29,229.000,0.6095386666666666
30,230.000,6.176837
31,231.000,3.5982791666666665
32,232.000,-0.6918000000000001
33,233.000,-0.986983
34,234.000,-3.832790833333334
35,235.000,0.23512933333333308
36,236.000,1.3449929999999999
37,237.000,-0.9952546666666668
38,238.000,-2.605520333333333
39,239.000,0.7348679999999997
40,240.000,-0.5012113333333333
41,241.000,2.1529426666666667
42,242.000,-1.0982966666666665
43,243.000,6.378920333333333
44,244.000,0.2514530000000001
45,245.000,3.7785883333333334
46,246.000,-5.006303
47,247.000,-7.985657
48,248.000,-0.8028475
49,249.000,-4.689381666666667
50,250.000,-5.040847666666667
51,251.000,-2.4451213333333333
52,252.000,-0.7507149999999999
53,253.000,0.408974
54,254.000,0.18044633333333326
55,255.000,-2.2896940000000003
56,256.000,-0.6736683333333331
57,257.000,-5.683897666666667
58,258.000,-3.9317566666666663
59,259.000,-0.8193040000000004
60,260.000,2.629086666666667
61,261.000,-1.3519716666666666
62,262.000,-3.0115393333333333
63,263.000,-2.48882
64,264.000,1.7433950000000003
65,265.000,4.7301936666666675
66,266.000,-1.1839196666666667
67,267.000,3.107715666666666
68,268.000,2.1068503333333335
69,269.000,2.068633666666667
70,270.000,0.49430099999999993
71,271.000,1.3455200000000003
72,272.000,-0.04262399999999985
73,273.000,5.829688999999999
74,274.000,-1.560318333333333
75,275.000,-1.7776136666666666
76,276.000,2.818350333333333
77,277.000,-0.38203899999999996
78,278.000,-4.884955333333333
79,279.000,1.3772680000000002
80,280.000,-1.097634
81,281.000,-1.0081853333333333
82,282.000,1.6761463333333335
83,283.000,0.471622
84,284.000,-6.589019333333333
85,285.000,2.7415483333333337
86,286.000,-3.4294376666666664
87,287.000,-0.723324
88,288.000,5.074041666666666
89,289.000,3.3751689999999996
90,290.000,-0.13669300000000004
91,291.000,1.0372013333333332
92,292.000,-1.2922486666666668
93,293.000,-3.734211666666667
94,294.000,3.2781249999999997
95,295.000,2.7158409999999997
96,296.000,-1.6131473333333333
97,297.000,1.3102383333333334
98,298.000,0.6317800000000001
99,299.000,2.1350729999999998
100,300.000,1.8919153333333334
101,301.000,-2.383709666666667
102,302.000,2.097251666666667
103,303.000,1.3986676666666664
104,304.000,0.21464133333333332
105,305.000,2.2725063333333337
106,306.000,2.6746153333333336
107,307.000,-3.8848606666666665
108,308.000,2.7487006666666667
109,309.000,-1.7283650000000002
110,310.000,6.31378
111,311.000,-2.1671413333333334
112,312.000,-0.5433509999999998
113,313.000,3.583047666666667
114,314.000,4.927059222222222
115,315.000,4.643898277777779
116,316.000,4.360737333333334
117,317.000,3.3399109999999994
118,318.000,3.950398
119,319.000,5.753802
120,320.000,2.0475046666666668
121,321.000,-5.261871333333334
122,322.000,-1.1257463333333337
123,323.000,0.9276909999999999
124,324.000,-0.4248330000000002
125,325.000,-4.235045666666667
126,326.000,-1.1586956666666663
127,327.000,-2.1711533333333333
128,328.000,0.39580933333333324
129,329.000,-0.528999
130,330.000,-2.1649521666666667
131,331.000,-2.601283666666667
132,332.000,-0.6112961666666669
133,333.000,-5.155639666666667
134,334.000,-1.800146166666667
135,335.000,2.270248666666667
136,336.000,0.01281166666666674
137,337.000,-1.9671826666666667
138,338.000,-2.1575333333333333
139,339.000,4.292817333333333
140,340.000,3.1378649999999997
141,341.000,3.821543333333333
142,342.000,4.190866000000001
143,343.000,-2.7785313333333335
144,344.000,-1.6045648333333336
145,345.000,2.573885666666667
146,346.000,-7.433820333333333
147,347.000,0.076745
148,348.000,-1.8892336666666665
149,349.000,-1.9604243333333333
150,350.000,0.15886899999999984
151,351.000,-3.4005983333333334
152,352.000,-0.6475143333333332
153,353.000,-4.247455333333334
154,354.000,-3.018197333333333
155,355.000,-1.845656666666667
156,356.000,-2.150161
157,357.000,4.7365113333333335
158,358.000,-1.457239666666667
159,359.000,7.2503280000000006
160,360.000,2.363151
161,361.000,-1.4375003333333334
162,362.000,0.10659433333333308
163,363.000,1.0048860000000002
164,364.000,3.3622753333333333
165,365.000,-4.961665333333333
166,366.000,-4.459657333333333
167,367.000,0.38356599999999963
168,368.000,2.3399846666666666
169,369.000,2.4458119999999997
170,370.000,0.009929666666666689
171,371.000,-1.2291026666666667
172,372.000,0.710753166666667
173,373.000,-0.36027266666666663
174,374.000,2.661932333333333
175,375.000,-3.646123
176,376.000,2.8349464999999996
177,377.000,1.8896163333333333
178,378.000,0.36084766666666646
179,379.000,-1.2832203333333334
180,380.000,-1.81853
181,381.000,-1.3744396666666672
182,382.000,0.3820193333333333
183,383.000,1.2789000000000001
184,384.000,3.438554
185,385.000,0.6593149999999999
186,386.000,0.9299736666666664
187,387.000,2.8738876666666666
188,388.000,2.652885
189,389.000,-3.710775333333333
190,390.000,2.8008893333333336
191,391.000,4.465895333333333
192,392.000,0.7041424999999997
193,393.000,3.261901333333333
194,394.000,-1.486640666666667
195,395.000,-3.2707541666666664
196,396.000,-0.8021756666666665
197,397.000,-4.518656666666666
198,398.000,2.6450123333333333
199,399.000,6.828343666666666
200,400.000,4.731926499999999
201,401.000,0.17018166666666665
202,402.000,4.457265
203,403.000,3.834748666666666
204,404.000,-2.0539036666666663
205,405.000,-1.2353933333333333
206,406.000,-2.1888590000000003
207,407.000,-2.207009333333333
208,408.000,-0.9789470000000001
209,409.000,-3.3260736666666664
210,410.000,2.6540543333333333
211,411.000,5.131042333333333
212,412.000,-3.246708
213,413.000,4.186304
214,414.000,-6.154202000000001
215,415.000,-0.6235530000000001
216,416.000,-1.2431993333333333
217,417.000,-4.575184
218,418.000,-4.325951666666667
219,419.000,5.377775666666667
220,420.000,-3.300583666666667
221,421.000,1.8411436666666667
222,422.000,2.7616331666666674
223,423.000,-2.0219003333333334
224,424.000,0.20534066666666653
225,425.000,-0.1401676666666667
226,426.000,1.266729
227,427.000,6.7892529999999995
228,428.000,3.906936
229,429.000,-2.2379513333333336
230,430.000,2.7415663333333335
231,431.000,7.711165666666666
232,432.000,-3.2941680000000004
233,433.000,-1.9778616666666666
234,434.000,-3.045520666666667
235,435.000,-1.134651
236,436.000,4.026543666666666
237,437.000,0.5947663333333334
238,438.000,0.7806346666666667
239,439.000,2.1509476666666667
240,440.000,-0.737872
241,441.000,2.0318443333333334
242,442.000,-3.7323576666666667
243,443.000,-5.802136
244,444.000,-1.8671303333333331
245,445.000,-2.340032
246,446.000,-2.448296333333333
247,447.000,-2.019201333333333
248,448.000,-2.0114870000000002
249,449.000,6.632506333333333
250,450.000,5.011881
251,451.000,-0.6704133333333332
252,452.000,0.4406693333333334
253,453.000,-0.7422856666666666
254,454.000,0.6089593333333333
255,455.000,-1.3947073333333335
256,456.000,2.2928683333333333
257,457.000,0.250345
258,458.000,3.796083
259,459.000,1.6376473333333337
260,460.000,6.660643333333333
261,461.000,3.076596666666667
262,462.000,2.8683336666666666
263,463.000,4.55724
264,464.000,2.776692
265,465.000,-2.9300063333333335
266,466.000,-4.085867333333334
267,467.000,2.020531
268,468.000,2.0918433333333337
269,469.000,4.139854000000001
270,470.000,1.3179946666666666
271,471.000,2.886203
272,472.000,1.9793816666666668
273,473.000,-3.5297813333333337
274,474.000,2.3515776666666666
275,475.000,4.337539666666667
276,476.000,-2.449699
277,477.000,3.598160666666667
278,478.000,0.2009983333333333
279,479.000,4.426106333333333
280,480.000,-4.417584
281,481.000,-0.6793661666666666
282,482.000,0.37151433333333345
283,483.000,2.365579666666667
284,484.000,-0.13289150000000008
285,485.000,0.8503423333333334
286,486.000,0.4960383333333335
287,487.000,-3.410048666666667
288,488.000,-4.571373
289,489.000,-3.0887059999999997
290,490.000,3.764431333333333
291,491.000,-0.7277893333333333
292,492.000,-3.6185790000000004
293,493.000,1.518880333333333
294,494.000,4.723717333333334
295,495.000,7.473103333333333
296,496.000,3.0159609999999994
297,497.000,4.788016999999999
298,498.000,-2.6416633333333337
299,499.000,-5.164614333333334
300,500.000,-2.4622846666666667
301,501.000,1.2588306666666667
302,502.000,3.1317187777777775
303,503.000,-1.6992051111111113
304,504.000,2.5219686666666665
305,505.000,-6.892603
306,506.000,2.4971053333333333
307,507.000,-0.7687640000000003
308,508.000,-0.0565543333333333
309,509.000,-10.267592333333333
310,510.000,-2.8774846666666662
311,511.000,4.820376666666667
312,512.000,-0.7144499999999999
313,513.000,2.3138053333333333
314,514.000,-3.8410696666666664
315,515.000,-0.7207903333333333
316,516.000,0.2193413333333334
317,517.000,-3.3140553333333336
318,518.000,4.668992833333333
319,519.000,2.9940436666666668
320,520.000,-0.9338660000000006
321,521.000,1.4628866666666667
322,522.000,-0.048652000000000216
323,523.000,-0.20321066666666676
324,524.000,-1.865691166666667
325,525.000,1.2615096666666663
326,526.000,0.43601866666666655
327,527.000,0.21245299999999986
328,528.000,4.705437666666667
329,529.000,5.537795166666666
330,530.000,-0.28992900000000005
331,531.000,0.03130433333333323
332,532.000,5.047649666666667
333,533.000,3.191494
334,534.000,5.586589333333333
335,535.000,0.055794333333333425
336,536.000,8.13762
337,537.000,1.9786473333333332
338,538.000,2.084763833333333
339,539.000,4.584108666666667
340,540.000,-1.3580343333333333
341,541.000,3.213910666666667
