pixel_index,raman_shift_cm-1,intensity
0,201.000,-12.195698
1,202.000,3.006575
2,203.000,8.398121
3,204.000,-5.407255
4,205.000,14.138312
5,206.000,4.845988
6,207.000,5.652112
7,208.000,3.459731
8,209.000,1.410133
9,210.000,-0.880691
10,211.000,-2.464648
11,212.000,-6.238261
12,213.000,-4.619234
13,214.000,-1.718878
14,215.000,-1.975407
15,216.000,-8.374999
16,217.000,10.520425
17,218.000,-3.036181
18,219.000,14.080437
19,220.000,1.875655
20,221.000,0.034136
21,222.000,3.84405
22,223.000,-16.227373
23,224.000,8.901796
24,225.000,3.356319
25,226.000,3.461404
26,227.000,-3.219032
27,228.000,5.577044
28,229.000,-3.45682
29,230.000,-7.234507
30,231.000,-5.794536
31,232.000,-3.437349
32,233.000,1.915793
33,234.000,-2.91942
34,235.000,4.155513
35,236.000,3.31669
36,237.000,2.594238
37,238.000,-4.095669
38,239.000,-7.047276
39,240.000,-0.237033
40,241.000,9.652194
41,242.000,5.99621
42,243.000,0.692392
43,244.000,3.960098
44,245.000,-2.639182
45,246.000,-0.095698
46,247.000,1.02503
47,248.000,3.987147
48,249.000,-2.96817
49,250.000,-1.433514
50,251.000,-0.524558
51,252.000,3.628542
52,253.000,3.182195
53,254.000,-8.698801
54,255.000,5.471796
55,256.000,6.856512
56,257.000,3.672372
57,258.000,-9.010069
58,259.000,5.100268
59,260.000,5.296288
60,261.000,8.020788
61,262.000,-1.698866
62,263.000,0.77795
63,264.000,-7.29179
64,265.000,-2.21066
65,266.000,1.313322
66,267.000,-1.496894
67,268.000,3.820521
68,269.000,-9.396931
69,270.000,5.726218
70,271.000,6.779434
71,272.000,-6.153286
72,273.000,-0.507057
73,274.000,-8.807345
74,275.000,3.344773
75,276.000,2.797627
76,277.000,2.815251
77,278.000,-7.627961
78,279.000,2.617483
79,280.000,4.294774
80,281.000,1.257072
81,282.000,-1.839824
82,283.000,-9.672546
83,284.000,-0.089893
84,285.000,-3.619718
85,286.000,8.954641
86,287.000,-4.36509
87,288.000,-0.166916
88,289.000,3.84633
89,290.000,4.08916
90,291.000,-6.513377
91,292.000,-2.606106
92,293.000,-2.708994
93,294.000,13.542976
94,295.000,-7.227947
95,296.000,3.134688
96,297.000,3.875825
97,298.000,-0.86364
98,299.000,-0.99074
99,300.000,2.343955
100,301.000,-4.649173
101,302.000,4.978271
102,303.000,1.173675
103,304.000,4.520954
104,305.000,-13.940843
105,306.000,13.590097
106,307.000,-3.921253
107,308.000,4.313458
108,309.000,1.272463
109,310.000,-2.743758
110,311.000,3.087209
111,312.000,-4.546017
112,313.000,6.470732
113,314.000,4.673779
114,315.000,-5.880783
115,316.000,2.030574
116,317.000,5.500149
117,318.000,0.711421
118,319.000,-2.578827
119,320.000,-3.169295
120,321.000,15.12325
121,322.000,9.532035
122,323.000,-9.107431
123,324.000,3.626889
124,325.000,-7.972991
125,326.000,-0.24717
126,327.000,-0.034206
127,328.000,-7.247552
128,329.000,-0.477326
129,330.000,-10.173181
130,331.000,-0.834236
131,332.000,2.225796
132,333.000,8.461165
133,334.000,7.184097
134,335.000,7.607492
135,336.000,-10.395673
136,337.000,-1.628816
