pixel_index,raman_shift_cm-1,intensity
0,200.000,331.175835
1,201.000,328.842935
2,202.000,336.101759
3,203.000,340.918615
4,204.000,346.017415
5,205.000,340.665744
6,206.000,337.499169
7,207.000,336.915097
8,208.000,346.92616
9,209.000,353.053469
10,210.000,345.693651
11,211.000,337.470514
12,212.000,339.935526
13,213.000,356.101045
14,214.000,348.535223
15,215.000,337.743301
16,216.000,348.4533
17,217.000,342.796673
18,218.000,346.822039
19,219.000,348.492659
20,220.000,347.964927
21,221.000,356.39038
22,222.000,353.518084
23,223.000,351.187692
24,224.000,358.010977
25,225.000,361.362342
26,226.000,347.356323
27,227.000,356.506526
28,228.000,352.99606
29,229.000,358.676443
30,230.000,352.814885
31,231.000,361.512758
32,232.000,361.999713
33,233.000,361.240609
34,234.000,357.619881
35,235.000,362.372298
36,236.000,359.044664
37,237.000,358.30578
38,238.000,368.631339
39,239.000,361.473317
40,240.000,375.999183
41,241.000,374.126122
42,242.000,358.690086
43,243.000,373.16135
44,244.000,365.771068
45,245.000,373.433704
46,246.000,374.352347
47,247.000,363.016373
48,248.000,374.404017
49,249.000,375.128615
50,250.000,383.295364
51,251.000,371.295891
52,252.000,383.675238
53,253.000,373.51677
54,254.000,378.987687
55,255.000,376.798624
56,256.000,391.401087
57,257.000,386.986421
58,258.000,399.037188
59,259.000,389.169148
60,260.000,391.259671
61,261.000,392.107085
62,262.000,384.297799
63,263.000,388.392986
64,264.000,397.792388
65,265.000,388.188858
66,266.000,392.580276
67,267.000,392.200664
68,268.000,396.86504
69,269.000,391.903235
70,270.000,394.062674
71,271.000,397.316501
72,272.000,397.366931
73,273.000,392.446746
74,274.000,403.900282
75,275.000,391.624911
76,276.000,393.10053
77,277.000,393.504911
78,278.000,407.895546
79,279.000,400.825125
80,280.000,398.058833
81,281.000,397.966412
82,282.000,408.208029
83,283.000,400.252114
84,284.000,399.849817
85,285.000,412.068588
86,286.000,402.10794
87,287.000,408.258327
88,288.000,411.058372
89,289.000,409.334127
90,290.000,412.589989
91,291.000,421.856821
92,292.000,411.633657
93,293.000,408.091236
94,294.000,405.539875
95,295.000,416.246239
96,296.000,416.276994
97,297.000,420.897997
98,298.000,417.440114
99,299.000,418.273096
100,300.000,417.737593
101,301.000,419.868704
102,302.000,424.871612
103,303.000,422.552341
104,304.000,426.362528
105,305.000,438.093635
106,306.000,430.48907
107,307.000,419.086887
108,308.000,439.874883
109,309.000,432.492061
110,310.000,425.689428
111,311.000,437.714125
112,312.000,433.312903
113,313.000,430.45201
114,314.000,431.279834
115,315.000,430.059078
116,316.000,437.248377
117,317.000,444.313773
118,318.000,436.892983
119,319.000,442.311876
120,320.000,451.985658
121,321.000,434.390302
122,322.000,444.170256
123,323.000,441.73499
124,324.000,438.167778
125,325.000,439.319147
126,326.000,446.334647
127,327.000,449.982878
128,328.000,445.144711
129,329.000,449.616357
130,330.000,454.580241
131,331.000,452.984544
132,332.000,457.376595
133,333.000,455.893556
134,334.000,457.015036
135,335.000,466.009836
136,336.000,459.753302
137,337.000,457.756547
138,338.000,462.206041
139,339.000,453.399504
140,340.000,457.857093
141,341.000,465.612932
142,342.000,465.609819
143,343.000,472.087969
144,344.000,463.834545
145,345.000,455.972854
146,346.000,477.406623
147,347.000,473.258025
148,348.000,461.326976
149,349.000,476.914281
150,350.000,469.834899
151,351.000,459.739257
152,352.000,469.084257
153,353.000,469.537712
154,354.000,483.122182
155,355.000,469.811842
156,356.000,474.030913
157,357.000,474.881617
158,358.000,475.259111
159,359.000,473.04047
160,360.000,480.832603
161,361.000,486.973275
162,362.000,485.251879
163,363.000,476.939783
164,364.000,476.603845
165,365.000,485.215741
166,366.000,481.262776
167,367.000,482.722816
168,368.000,477.428392
169,369.000,500.213453
170,370.000,495.015357
171,371.000,484.678531
172,372.000,496.978763
173,373.000,500.593144
174,374.000,479.210812
175,375.000,491.265567
176,376.000,493.24369
177,377.000,500.47454
178,378.000,496.870894
179,379.000,497.232961
180,380.000,499.282371
181,381.000,511.770792
182,382.000,514.630145
183,383.000,499.541915
184,384.000,498.155206
185,385.000,520.890969
186,386.000,499.881348
187,387.000,503.344751
188,388.000,508.031183
189,389.000,511.738884
190,390.000,516.042512
191,391.000,513.244235
192,392.000,506.695326
193,393.000,516.00035
194,394.000,515.49517
195,395.000,526.291964
196,396.000,515.976413
197,397.000,509.081712
198,398.000,511.871741
199,399.000,527.882264
200,400.000,516.981217
201,401.000,508.637038
202,402.000,518.822637
203,403.000,523.351097
204,404.000,531.529331
205,405.000,519.356048
206,406.000,530.490633
207,407.000,532.311171
208,408.000,524.393056
209,409.000,528.515022
210,410.000,541.3096
211,411.000,542.069308
212,412.000,537.934195
213,413.000,535.848566
214,414.000,541.743731
215,415.000,535.127954
216,416.000,536.460762
217,417.000,532.929619
218,418.000,539.186777
219,419.000,539.724069
220,420.000,557.921886
221,421.000,541.188117
222,422.000,551.036317
223,423.000,552.401777
224,424.000,544.428457
225,425.000,553.633397
226,426.000,534.626965
227,427.000,549.329391
228,428.000,554.976525
229,429.000,536.520038
230,430.000,545.027621
231,431.000,559.395652
232,432.000,552.59485
233,433.000,548.626568
234,434.000,554.054173
235,435.000,554.121344
236,436.000,562.805823
237,437.000,562.265857
238,438.000,558.94571
239,439.000,557.720699
240,440.000,562.47631
241,441.000,571.838443
242,442.000,567.070739
243,443.000,569.900463
244,444.000,566.254037
245,445.000,560.499695
246,446.000,565.079127
247,447.000,574.34633
248,448.000,572.154056
249,449.000,567.208695
250,450.000,564.022611
251,451.000,575.493147
252,452.000,573.892215
253,453.000,574.927687
254,454.000,576.156755
255,455.000,580.940593
256,456.000,582.108674
257,457.000,587.220703
258,458.000,588.125521
259,459.000,591.655726
260,460.000,589.610637
261,461.000,583.869216
262,462.000,586.66877
263,463.000,591.072305
264,464.000,587.359004
265,465.000,593.632244
266,466.000,598.373231
267,467.000,587.761171
268,468.000,583.064524
269,469.000,601.968047
270,470.000,596.033072
271,471.000,601.300034
272,472.000,590.17679
273,473.000,609.69229
274,474.000,604.850871
275,475.000,600.788628
276,476.000,600.560168
277,477.000,604.483599
278,478.000,603.929064
279,479.000,604.387642
280,480.000,600.473615
281,481.000,615.900605
282,482.000,609.219916
283,483.000,611.03993
284,484.000,612.285447
285,485.000,598.715582
286,486.000,617.165769
287,487.000,613.167126
288,488.000,614.546919
289,489.000,617.842352
290,490.000,612.731207
291,491.000,624.769881
292,492.000,616.679045
293,493.000,616.578022
294,494.000,617.973672
295,495.000,625.247268
296,496.000,629.918473
297,497.000,623.023625
298,498.000,618.684077
299,499.000,635.2725
300,500.000,623.66052
301,501.000,638.374577
302,502.000,632.035502
303,503.000,629.327971
304,504.000,630.835736
305,505.000,638.606193
306,506.000,642.331363
307,507.000,636.967365
308,508.000,645.000368
309,509.000,653.00413
310,510.000,640.397035
311,511.000,635.915959
312,512.000,637.653122
