pixel_index,raman_shift_cm-1,intensity
0,-224.846,98.2
1,-221.778,98.2
2,-218.712,97.4
3,-215.647,98.0
4,-212.583,97.4
5,-209.521,98.2
6,-206.460,98.4
7,-203.399,98.8
8,-200.340,97.8
9,-197.283,96.8
10,-194.226,98.6
11,-191.171,98.0
12,-188.116,98.4
13,-185.064,98.0
14,-182.012,98.0
15,-178.961,97.2
16,-175.912,98.0
17,-172.864,97.8
18,-169.817,98.4
19,-166.771,98.2
20,-163.726,98.0
21,-160.683,98.0
22,-157.641,98.0
23,-154.600,98.2
24,-151.560,98.2
25,-148.521,97.0
26,-145.484,97.2
27,-142.447,98.4
28,-139.412,98.4
29,-136.379,99.0
30,-133.346,97.4
31,-130.314,98.4
32,-127.284,97.6
33,-124.255,98.2
34,-121.227,97.4
35,-118.200,97.6
36,-115.175,98.0
37,-112.150,97.8
38,-109.127,98.2
39,-106.105,97.6
40,-103.084,97.2
41,-100.065,98.2
42,-97.046,98.2
43,-94.029,98.0
44,-91.013,98.4
45,-87.998,97.8
46,-84.984,98.8
47,-81.972,98.2
48,-78.960,97.8
49,-75.950,97.6
50,-72.941,98.0
51,-69.933,97.2
52,-66.927,98.2
53,-63.921,98.0
54,-60.917,98.4
55,-57.914,97.8
56,-54.912,98.4
57,-51.911,97.0
58,-48.912,97.8
59,-45.913,97.8
60,-42.916,98.0
61,-39.920,99.0
62,-36.925,98.0
63,-33.931,99.2
64,-30.939,102.4
65,-27.947,106.4
66,-24.957,136.6
67,-21.968,107.8
68,-18.980,99.6
69,-15.993,98.6
70,-13.008,98.6
71,-10.023,97.4
72,-7.040,98.6
73,-4.058,98.4
74,-1.077,97.2
75,1.903,98.0
76,4.881,97.2
77,7.859,97.8
78,10.835,98.8
79,13.810,98.4
80,16.784,98.8
81,19.757,97.4
82,22.728,99.6
83,25.699,98.2
84,28.668,98.4
85,31.636,97.4
86,34.603,97.8
87,37.569,98.2
88,40.534,97.0
89,43.497,97.6
90,46.460,97.4
91,49.421,97.2
92,52.381,97.4
93,55.340,98.2
94,58.297,97.4
95,61.254,98.6
96,64.209,97.8
97,67.164,98.6
98,70.117,99.0
99,73.069,99.4
100,76.020,99.2
101,78.969,100.0
102,81.918,99.2
103,84.865,102.0
104,87.811,101.0
105,90.757,100.4
106,93.700,102.0
107,96.643,101.8
108,99.585,101.0
109,102.525,101.8
110,105.465,101.2
111,108.403,102.2
112,111.340,101.2
113,114.276,101.8
114,117.211,102.6
115,120.144,100.8
116,123.077,101.8
117,126.008,101.4
118,128.938,102.0
119,131.868,101.4
120,134.795,101.4
121,137.722,102.2
122,140.648,103.6
123,143.572,101.6
124,146.496,101.6
125,149.418,102.2
126,152.339,101.6
127,155.259,101.0
128,158.178,102.2
129,161.096,101.4
130,164.012,102.2
131,166.928,101.4
132,169.842,101.4
133,172.755,102.0
134,175.667,102.0
135,178.578,101.4
136,181.488,102.2
137,184.397,102.2
138,187.304,102.0
139,190.211,102.6
140,193.116,101.8
141,196.020,103.2
142,198.923,102.6
143,201.825,102.0
144,204.726,102.8
145,207.625,102.6
146,210.524,102.6
147,213.421,103.4
148,216.318,102.8
149,219.213,102.8
150,222.107,101.6
151,225.000,103.0
152,227.891,102.6
153,230.782,102.8
154,233.672,103.8
155,236.560,103.4
156,239.447,103.4
157,242.333,103.2
158,245.218,103.4
159,248.102,103.6
160,250.985,102.6
161,253.867,103.6
162,256.748,103.8
163,259.627,103.4
164,262.505,103.6
165,265.383,103.6
166,268.259,104.4
167,271.134,104.8
168,274.008,104.4
169,276.880,104.2
170,279.752,103.8
171,282.623,104.8
172,285.492,104.2
173,288.360,105.6
174,291.228,104.2
175,294.094,104.4
176,296.959,103.6
177,299.823,104.0
178,302.685,103.6
179,305.547,105.2
180,308.408,103.6
181,311.267,102.8
182,314.126,103.6
183,316.983,103.2
184,319.839,104.2
185,322.694,103.2
186,325.548,102.6
187,328.401,103.2
188,331.253,105.6
189,334.103,103.6
190,336.953,104.8
191,339.801,102.2
192,342.649,103.2
193,345.495,102.8
194,348.340,103.6
195,351.184,102.6
196,354.027,103.6
197,356.869,103.8
198,359.709,102.6
199,362.549,103.2
200,365.388,104.4
201,368.225,103.4
202,371.061,102.8
203,373.897,103.2
204,376.731,104.6
205,379.564,103.8
206,382.396,103.6
207,385.227,103.6
208,388.057,102.2
209,390.885,104.6
210,393.713,104.4
211,396.539,104.6
212,399.365,104.2
213,402.189,103.6
214,405.012,104.2
215,407.835,105.2
216,410.656,103.8
217,413.476,103.4
218,416.295,103.6
219,419.112,103.6
220,421.929,103.6
221,424.745,104.4
222,427.559,104.0
223,430.373,103.4
224,433.185,103.0
225,435.996,104.2
226,438.807,102.6
227,441.616,105.0
228,444.424,102.8
229,447.231,103.8
230,450.037,103.8
231,452.842,104.0
232,455.645,104.0
233,458.448,103.2
234,461.250,103.4
235,464.050,104.0
236,466.849,104.8
237,469.648,105.2
238,472.445,103.6
239,475.241,104.0
240,478.036,105.2
241,480.830,105.8
242,483.623,105.4
243,486.415,106.2
244,489.206,105.8
245,491.996,106.6
246,494.784,108.8
247,497.572,115.8
248,500.358,125.6
249,503.144,140.0
250,505.928,171.4
251,508.712,219.4
252,511.494,202.4
253,514.275,142.0
254,517.055,116.2
255,519.834,111.0
256,522.612,108.2
257,525.389,105.8
258,528.165,105.8
259,530.940,105.6
260,533.713,106.0
261,536.486,105.6
262,539.257,105.0
263,542.028,105.6
264,544.797,106.4
265,547.566,104.4
266,550.333,105.0
267,553.099,104.2
268,555.864,105.0
269,558.629,105.6
270,561.392,104.4
271,564.154,104.6
272,566.915,104.8
273,569.674,105.2
274,572.433,105.4
275,575.191,104.0
276,577.948,105.6
277,580.703,104.6
278,583.458,105.2
279,586.211,105.6
280,588.964,105.0
281,591.715,104.2
282,594.466,104.8
283,597.215,105.2
284,599.963,104.0
285,602.710,105.2
286,605.457,104.8
287,608.202,105.8
288,610.946,105.2
289,613.689,105.4
290,616.431,105.0
291,619.172,105.4
292,621.911,106.0
293,624.650,104.4
294,627.388,105.4
295,630.125,105.8
296,632.860,106.8
297,635.595,105.2
298,638.328,105.8
299,641.061,104.8
300,643.792,105.8
301,646.523,105.6
302,649.252,106.0
303,651.980,106.0
304,654.708,106.6
305,657.434,105.6
306,660.159,105.8
307,662.883,105.6
308,665.606,105.8
309,668.328,105.4
310,671.049,105.0
311,673.769,106.8
312,676.488,105.8
313,679.206,106.8
314,681.923,106.0
315,684.639,106.2
316,687.354,105.8
317,690.067,106.4
318,692.780,106.0
319,695.492,106.2
320,698.202,106.4
321,700.912,105.6
322,703.621,106.0
323,706.328,106.4
324,709.035,106.8
325,711.740,105.0
326,714.444,106.2
327,717.148,106.4
328,719.850,106.6
329,722.552,105.8
330,725.252,106.2
331,727.951,106.0
332,730.649,106.2
333,733.347,107.4
334,736.043,107.0
335,738.738,107.2
336,741.432,107.6
337,744.125,105.8
338,746.817,107.8
339,749.508,107.2
340,752.198,107.0
341,754.887,106.8
342,757.575,106.6
343,760.262,107.4
344,762.948,107.4
345,765.633,108.2
346,768.317,105.8
347,770.999,107.6
348,773.681,107.4
349,776.362,106.8
350,779.042,107.4
351,781.720,107.2
352,784.398,106.2
353,787.075,107.8
354,789.751,106.6
355,792.425,106.8
356,795.099,107.0
357,797.771,107.6
358,800.443,107.8
359,803.114,106.8
360,805.783,106.4
361,808.452,107.2
362,811.119,108.4
363,813.786,108.8
364,816.451,108.0
365,819.116,108.0
366,821.779,106.8
367,824.442,108.8
368,827.103,107.8
369,829.763,108.0
370,832.423,108.2
371,835.081,108.0
372,837.739,107.2
373,840.395,108.0
374,843.050,108.8
375,845.705,108.6
376,848.358,107.6
377,851.010,107.6
378,853.662,108.4
379,856.312,107.4
380,858.961,107.0
381,861.610,107.8
382,864.257,109.0
383,866.903,107.2
384,869.549,107.4
385,872.193,107.2
386,874.836,107.8
387,877.478,109.2
388,880.120,108.6
389,882.760,109.0
390,885.399,109.0
391,888.037,109.0
392,890.675,108.8
393,893.311,109.4
394,895.946,108.8
395,898.580,108.0
396,901.214,109.0
397,903.846,109.8
398,906.477,108.6
399,909.107,109.2
400,911.737,109.8
401,914.365,108.0
402,916.992,109.0
403,919.618,109.8
404,922.244,110.6
405,924.868,109.8
406,927.491,111.8
407,930.113,111.2
408,932.735,112.4
409,935.355,112.0
410,937.974,112.6
411,940.592,111.8
412,943.210,112.0
413,945.826,112.0
414,948.441,111.8
415,951.056,112.0
416,953.669,112.0
417,956.281,112.8
418,958.893,112.6
419,961.503,112.6
420,964.112,112.8
421,966.721,113.2
422,969.328,112.0
423,971.935,113.4
424,974.540,111.6
425,977.144,112.4
426,979.748,112.4
427,982.350,112.0
428,984.952,111.8
429,987.552,110.6
430,990.152,111.6
431,992.750,110.2
432,995.348,110.2
433,997.944,110.0
434,1000.540,110.4
435,1003.134,109.8
436,1005.728,110.0
437,1008.321,109.8
438,1010.912,109.2
439,1013.503,110.8
440,1016.092,110.2
441,1018.681,109.8
442,1021.269,109.8
443,1023.856,110.4
444,1026.441,109.4
445,1029.026,110.2
446,1031.610,109.8
447,1034.193,109.4
448,1036.775,109.8
449,1039.355,109.0
450,1041.935,109.0
451,1044.514,109.6
452,1047.092,109.0
453,1049.669,110.2
454,1052.245,109.6
455,1054.820,108.6
456,1057.394,108.8
457,1059.967,109.6
