pixel_index,raman_shift_cm-1,intensity
0,-224.846,9.7
1,-221.778,9.8
2,-218.712,9.8
3,-215.647,9.7
4,-212.583,9.8
5,-209.521,9.8
6,-206.460,9.8
7,-203.399,9.8
8,-200.340,9.9
9,-197.283,9.9
10,-194.226,9.8
11,-191.171,9.8
12,-188.116,9.7
13,-185.064,9.7
14,-182.012,9.7
15,-178.961,9.9
16,-175.912,9.8
17,-172.864,9.8
18,-169.817,9.7
19,-166.771,9.9
20,-163.726,9.7
21,-160.683,9.8
22,-157.641,9.9
23,-154.600,9.9
24,-151.560,9.8
25,-148.521,9.8
26,-145.484,9.9
27,-142.447,9.8
28,-139.412,9.7
29,-136.379,9.8
30,-133.346,9.8
31,-130.314,9.8
32,-127.284,9.6
33,-124.255,9.7
34,-121.227,9.9
35,-118.200,9.7
36,-115.175,9.6
37,-112.150,9.9
38,-109.127,9.8
39,-106.105,9.7
40,-103.084,9.7
41,-100.065,9.7
42,-97.046,9.8
43,-94.029,9.7
44,-91.013,9.8
45,-87.998,9.9
46,-84.984,9.9
47,-81.972,9.7
48,-78.960,9.8
49,-75.950,9.7
50,-72.941,9.9
51,-69.933,9.8
52,-66.927,9.7
53,-63.921,9.8
54,-60.917,9.7
55,-57.914,9.7
56,-54.912,9.7
57,-51.911,9.9
58,-48.912,9.9
59,-45.913,9.8
60,-42.916,9.6
61,-39.920,9.9
62,-36.925,9.8
63,-33.931,9.8
64,-30.939,9.7
65,-27.947,9.9
66,-24.957,10.6
67,-21.968,9.8
68,-18.980,9.9
69,-15.993,9.8
70,-13.008,9.9
71,-10.023,9.8
72,-7.040,9.7
73,-4.058,9.7
74,-1.077,9.7
75,1.903,9.7
76,4.881,9.8
77,7.859,9.8
78,10.835,10.0
79,13.810,9.8
80,16.784,10.2
81,19.757,9.8
82,22.728,9.8
83,25.699,9.9
84,28.668,9.6
85,31.636,9.8
86,34.603,9.8
87,37.569,9.9
88,40.534,9.9
89,43.497,9.8
90,46.460,9.8
91,49.421,9.8
92,52.381,9.7
93,55.340,9.7
94,58.297,9.8
95,61.254,9.9
96,64.209,9.6
97,67.164,9.9
98,70.117,9.9
99,73.069,9.9
100,76.020,9.8
101,78.969,9.9
102,81.918,9.8
103,84.865,10.1
104,87.811,9.9
105,90.757,9.9
106,93.700,9.9
107,96.643,9.9
108,99.585,9.6
109,102.525,9.7
110,105.465,9.9
111,108.403,10.0
112,111.340,9.7
113,114.276,9.7
114,117.211,9.9
115,120.144,9.7
116,123.077,9.9
117,126.008,9.9
118,128.938,9.7
119,131.868,10.0
120,134.795,10.0
121,137.722,10.0
122,140.648,9.9
123,143.572,9.6
124,146.496,10.0
125,149.418,9.9
126,152.339,10.0
127,155.259,9.8
128,158.178,9.8
129,161.096,9.9
130,164.012,9.8
131,166.928,9.9
132,169.842,9.8
133,172.755,9.9
134,175.667,9.8
135,178.578,9.8
136,181.488,9.9
137,184.397,9.9
138,187.304,10.0
139,190.211,9.7
140,193.116,10.0
141,196.020,9.9
142,198.923,9.9
143,201.825,9.9
144,204.726,9.8
145,207.625,9.9
146,210.524,9.8
147,213.421,10.1
148,216.318,9.8
149,219.213,10.0
150,222.107,9.9
151,225.000,10.1
152,227.891,9.8
