pixel_index,raman_shift_cm-1,intensity
0,200.000,272.991156
1,201.000,274.878922
2,202.000,281.981667
3,203.000,288.457872
4,204.000,271.356457
5,205.000,271.600243
6,206.000,281.001224
7,207.000,272.50089
8,208.000,271.121192
9,209.000,286.957258
10,210.000,276.513225
11,211.000,283.087647
12,212.000,282.108673
13,213.000,279.759643
14,214.000,279.349635
15,215.000,287.972235
16,216.000,287.375317
17,217.000,275.882454
18,218.000,280.503252
19,219.000,280.277564
20,220.000,283.510385
21,221.000,302.758704
22,222.000,283.162784
23,223.000,291.687921
24,224.000,281.534728
25,225.000,293.954935
26,226.000,278.418905
27,227.000,285.623472
28,228.000,286.046737
29,229.000,295.520279
30,230.000,281.324572
31,231.000,298.023009
32,232.000,296.576562
33,233.000,279.723355
34,234.000,285.014492
35,235.000,288.020165
36,236.000,289.447815
37,237.000,305.71112
38,238.000,310.191843
39,239.000,302.515794
40,240.000,315.004145
41,241.000,295.346631
42,242.000,304.408013
43,243.000,305.023276
44,244.000,305.050582
45,245.000,305.730381
46,246.000,302.940303
47,247.000,298.361692
48,248.000,306.375388
49,249.000,308.752206
50,250.000,311.923885
51,251.000,306.613556
52,252.000,310.284381
53,253.000,315.877273
54,254.000,310.006908
55,255.000,313.677475
56,256.000,308.688184
57,257.000,311.878638
58,258.000,317.722759
59,259.000,312.089397
60,260.000,317.14163
61,261.000,311.69007
62,262.000,310.854356
63,263.000,314.000491
64,264.000,316.617575
65,265.000,313.342723
66,266.000,320.077826
67,267.000,316.161367
68,268.000,324.752328
69,269.000,326.632569
70,270.000,315.517851
71,271.000,316.469511
72,272.000,322.215091
73,273.000,326.909661
74,274.000,326.373454
75,275.000,328.186614
76,276.000,325.565988
77,277.000,324.089626
78,278.000,315.453221
79,279.000,330.752806
80,280.000,341.378809
81,281.000,331.5089
82,282.000,329.522463
83,283.000,331.634658
84,284.000,330.176867
85,285.000,330.034547
86,286.000,329.947917
87,287.000,334.856352
88,288.000,332.385345
89,289.000,321.333296
90,290.000,343.223299
91,291.000,339.565645
92,292.000,327.904724
93,293.000,348.853469
94,294.000,319.710102
