pixel_index,raman_shift_cm-1,intensity
0,200.000,-8.946854239349761
1,201.000,-7.517783675831367
2,202.000,-0.8762775147726529
3,203.000,5.136149466289737
4,204.000,-12.431578505243237
5,205.000,-12.656636197046282
6,206.000,-3.7270253718830872
7,207.000,-12.701251787619356
8,208.000,-14.55736019723605
9,209.000,0.7997816511574456
10,210.000,-10.1256849856901
11,211.000,-4.03520184618435
12,212.000,-5.500615663899509
13,213.000,-8.33858216759063
14,214.000,-9.240019081207379
15,215.000,-1.1113361239070514
16,216.000,-2.204655010067711
17,217.000,-14.196398449301455
18,218.000,-10.07695614646758
19,219.000,-10.806470801685805
20,220.000,-8.079943110349461
21,221.000,10.659620236861372
22,222.000,-9.447513446033497
23,223.000,-1.4360438403271587
24,224.000,-12.105353622639484
25,225.000,-0.20370846492960482
26,226.000,-16.260741034509465
27,227.000,-9.579612994057072
28,228.000,-9.682219001629619
29,229.000,-0.7369757106765178
30,230.000,-15.463404770052819
31,231.000,0.7018911759677735
32,232.000,-1.2801115123205022
33,233.000,-18.671284470068485
34,234.000,-13.920519327885302
35,235.000,-11.457619711851635
36,236.000,-10.575140243532928
37,237.000,5.140601460007588
38,238.000,9.071372786195525
39,239.000,0.8429881269321413
40,240.000,12.77662387858112
41,241.000,-7.437980558044217
42,242.000,1.0639402223051775
43,243.000,1.1173756293015913
44,244.000,0.5804920770267472
45,245.000,0.6937439839591661
46,246.000,-2.665234227039491
47,247.000,-7.815094128737201
48,248.000,-0.37499128954527805
49,249.000,1.425893726468928
50,250.000,4.0193043595685936
51,251.000,-1.8716239456657604
52,252.000,1.2162752596504447
53,253.000,6.223919428692909
54,254.000,-0.23401098108490714
55,255.000,2.8466774920350417
56,256.000,-2.734800685977916
57,257.000,-0.13883804491604224
58,258.000,5.108491889653067
59,259.000,-1.1239564036259821
60,260.000,3.3268995580897354
61,261.000,-2.7283237381713548
62,262.000,-4.169982801208505
63,263.000,-1.6320701356620475
64,264.000,0.3745187579734761
65,265.000,-3.513096616663688
66,266.000,2.606979248184075
67,267.000,-1.9267661356195163
68,268.000,6.044653747882592
