pixel_index,raman_shift_cm-1,intensity
0,200.000,-1.6895454545454631
1,201.000,-2.8267504335664415
2,202.000,-3.3072933100233186
3,203.000,-3.362483472027982
4,204.000,-3.2236303076923196
5,205.000,-3.1220432051282136
6,206.000,-7.046513149184168
7,207.000,-7.244518545454568
8,208.000,0.5507611188811206
9,209.000,0.1685959860139885
10,210.000,0.14225828671328955
11,211.000,-7.85224455944058
12,212.000,-9.011230307692331
13,213.000,-11.385306424242454
14,214.000,-14.326134981352023
15,215.000,-7.995275755244777
16,216.000,-7.3176434592074795
17,217.000,-5.674635263403279
18,218.000,1.4067156969697008
19,219.000,8.100120897435922
20,220.000,4.072569466200478
21,221.000,-4.760311801864816
22,222.000,-9.487128498834526
23,223.000,-10.658042293706323
24,224.000,-8.44944446620049
25,225.000,-2.2791148648018695
26,226.000,-0.5156744125874133
27,227.000,-1.2924198787878813
28,228.000,-1.913463627039632
29,229.000,5.303523948717965
30,230.000,2.1405806433566483
31,231.000,1.827372228438231
32,232.000,8.781763072261096
33,233.000,9.42092028205131
34,234.000,5.050221065268078
35,235.000,3.500828484848494
36,236.000,5.4919786969697135
37,237.000,4.978567599067613
38,238.000,-6.769405356643375
39,239.000,-9.10655158741261
40,240.000,-17.29656889976695
41,241.000,-13.533866337995374
42,242.000,-9.670667848484873
43,243.000,-8.44998834731937
44,244.000,-6.177772890442909
45,245.000,0.6196373053613071
46,246.000,14.013017065268105
47,247.000,16.857704752913797
48,248.000,10.007677296037324
49,249.000,5.265151142191157
50,250.000,-0.3428671841491857
51,251.000,-6.429500596736617
52,252.000,-10.00672575990679
53,253.000,-3.7258013403263512
54,254.000,4.2882336829836945
55,255.000,14.027599111888152
56,256.000,18.04698827039632
57,257.000,11.091924268065299
58,258.000,9.951567983683011
59,259.000,8.502139270396295
60,260.000,0.9371846293706303
61,261.000,-5.282793498834516
62,262.000,-4.910177648018662
63,263.000,-3.025129575757584
64,264.000,2.572088025641033
65,265.000,6.198695773892791
66,266.000,4.244707906759918
67,267.000,4.438021153846165
68,268.000,8.069298037296061
69,269.000,4.082534503496513
70,270.000,0.6423797599067602
71,271.000,8.230132680652703
72,272.000,4.385578659673672
73,273.000,3.7282248368298454
74,274.000,5.000655594405609
75,275.000,-0.42479964801865
76,276.000,5.471014769230784
77,277.000,4.06929706060607
78,278.000,1.350619055944058
79,279.000,-3.159867706293719
80,280.000,4.195780142191152
81,281.000,3.2911848181818253
82,282.000,8.272632696969717
83,283.000,16.734552440559483
84,284.000,18.681534965035013
85,285.000,19.597142002331054
86,286.000,24.253066578088642
87,287.000,19.38280072027977
88,288.000,15.623063575757616
89,289.000,8.47315969696972
90,290.000,5.828507829836844
91,291.000,0.08387737762237657
92,292.000,7.136814235431256
93,293.000,7.171405107226127
94,294.000,1.4645113682983724
95,295.000,-0.6569318461538476
96,296.000,-3.0895886526806615
97,297.000,-5.698774006993023
98,298.000,-3.5537523263403363
99,299.000,-10.817641286713316
100,300.000,-10.340772363636392
101,301.000,-2.87696392307693
102,302.000,0.027672146853148227
103,303.000,2.6884829860139945
104,304.000,-1.7032709720279762
105,305.000,-6.9582518065268255
106,306.000,-11.438193375291407
107,307.000,-13.740899237762273
108,308.000,-15.729748410256452
109,309.000,-19.430286554778608
110,310.000,-13.02532769696973
111,311.000,-10.43391774358977
112,312.000,-9.345741372960399
113,313.000,-3.153796787878795
114,314.000,1.0275251398601437
115,315.000,4.074226794871807
116,316.000,2.1808361212121277
117,317.000,-0.762426811188814
118,318.000,0.14250189277389325
119,319.000,2.778645004662013
120,320.000,4.8892141165501295
121,321.000,4.816509552447567
122,322.000,1.7387134708624754
123,323.000,4.991848321678335
124,324.000,11.414993820512853
125,325.000,10.577438706293735
126,326.000,5.573525307692321
127,327.000,3.3939510326340416
128,328.000,7.233520717948737
129,329.000,5.818170573426588
130,330.000,5.06223374592076
131,331.000,2.854723403263411
132,332.000,-2.951414072261082
133,333.000,0.40232196969696987
134,334.000,5.5082178181818335
135,335.000,4.557111911421923
136,336.000,1.8934055641025682
137,337.000,6.1850199743589895
138,338.000,8.405475881118903
139,339.000,5.625089424242439
140,340.000,2.831217990675997
141,341.000,2.0817805734265793
142,342.000,0.1737732773892775
143,343.000,-0.13834439860139908
144,344.000,1.5675828368298421
145,345.000,0.48363171561771834
146,346.000,-5.654918372960389
147,347.000,-9.13695422610725
148,348.000,-12.633984030303065
