pixel_index,raman_shift_cm-1,intensity
0,800.000,59.325476
1,801.000,48.49024
2,802.000,39.931986
3,803.000,45.041193
4,804.000,29.851388
5,805.000,27.881765
6,806.000,25.149151
7,807.000,28.80277
8,808.000,11.736506
9,809.000,16.011875
10,810.000,8.459106
11,811.000,4.952212
12,812.000,12.953319
13,813.000,9.074755
14,814.000,7.599153
15,815.000,16.210685
16,816.000,-0.489347
17,817.000,6.262781
18,818.000,16.239655
19,819.000,13.893351
20,820.000,11.388198
21,821.000,8.565095
22,822.000,10.068641
23,823.000,9.15844
24,824.000,2.211396
25,825.000,11.755185
26,826.000,5.518419
27,827.000,-3.354538
28,828.000,7.916085
29,829.000,14.620446
30,830.000,-2.800325
31,831.000,0.636689
32,832.000,3.196882
33,833.000,2.69158
34,834.000,1.244905
35,835.000,3.170322
36,836.000,-2.566767
37,837.000,-2.430257
38,838.000,-6.011913
39,839.000,5.380711
40,840.000,-0.556789
41,841.000,4.447311
42,842.000,6.062685
43,843.000,-9.36706
44,844.000,2.610344
45,845.000,0.424342
46,846.000,-6.562198
47,847.000,-2.134554
48,848.000,9.992805
49,849.000,-2.07548
50,850.000,3.962309
51,851.000,1.215123
52,852.000,-1.93475
53,853.000,3.793222
54,854.000,10.419615
55,855.000,3.901873
56,856.000,-3.242025
57,857.000,2.107557
58,858.000,7.23041
59,859.000,2.543391
60,860.000,4.447676
61,861.000,-6.54715
62,862.000,1.446687
63,863.000,5.145729
64,864.000,-7.255033
65,865.000,6.360503
66,866.000,-14.21927
67,867.000,0.895294
68,868.000,-4.910287
69,869.000,-3.646641
70,870.000,11.755124
71,871.000,5.328514
72,872.000,9.788267
73,873.000,3.560867
74,874.000,-3.232775
75,875.000,1.720043
76,876.000,4.843722
77,877.000,-4.897072
78,878.000,1.86578
79,879.000,2.521748
80,880.000,12.314839
81,881.000,-3.266003
82,882.000,-11.98686
83,883.000,3.134985
84,884.000,-4.253764
85,885.000,12.468105
86,886.000,2.645889
87,887.000,1.848248
88,888.000,8.343714
89,889.000,7.177653
90,890.000,-0.914564
91,891.000,-1.089458
92,892.000,-1.824747
93,893.000,7.270191
94,894.000,-2.131358
95,895.000,-4.15497
96,896.000,-6.052416
97,897.000,1.788848
98,898.000,4.141136
99,899.000,1.39298
100,900.000,-0.76024
101,901.000,11.707424
102,902.000,-6.099479
103,903.000,5.690653
104,904.000,-16.0501
105,905.000,18.556424
106,906.000,2.060495
107,907.000,-5.474876
108,908.000,9.218822
109,909.000,7.455425
110,910.000,8.134978
111,911.000,-5.022809
112,912.000,6.129084
113,913.000,5.213701
114,914.000,5.33848
115,915.000,3.273789
116,916.000,-2.986706
117,917.000,12.891932
118,918.000,-3.779498
119,919.000,4.180205
120,920.000,-0.155318
121,921.000,1.338977
122,922.000,13.324202
123,923.000,-2.400653
124,924.000,8.491284
125,925.000,5.654119
126,926.000,-8.423445
127,927.000,-5.364072
128,928.000,10.956062
129,929.000,-2.761515
130,930.000,8.75898
131,931.000,2.148481
132,932.000,-3.875601
133,933.000,3.133464
134,934.000,1.041118
135,935.000,11.544897
136,936.000,5.540759
137,937.000,-5.039529
138,938.000,1.173162
139,939.000,6.640812
140,940.000,10.811397
141,941.000,4.443026
142,942.000,1.235583
143,943.000,1.237768
144,944.000,5.274201
145,945.000,-8.840023
146,946.000,4.321818
147,947.000,7.311604
148,948.000,0.125178
149,949.000,3.437938
150,950.000,6.808861
151,951.000,1.676034
152,952.000,6.475675
153,953.000,2.555746
154,954.000,16.782151
155,955.000,0.638347
156,956.000,1.821035
157,957.000,8.958366
158,958.000,8.400013
159,959.000,14.556359
160,960.000,9.694365
161,961.000,0.149612
162,962.000,14.365229
163,963.000,12.387771
164,964.000,20.565847
165,965.000,18.306709
166,966.000,1.063973
167,967.000,14.671195
168,968.000,14.92409
169,969.000,18.280576
170,970.000,13.777728
171,971.000,3.949151
172,972.000,9.021548
173,973.000,18.578688
174,974.000,5.834335
175,975.000,27.055344
176,976.000,16.281367
177,977.000,14.917067
178,978.000,23.767131
179,979.000,28.223531
180,980.000,19.686565
181,981.000,25.13528
182,982.000,29.59083
183,983.000,32.671242
184,984.000,32.339603
185,985.000,28.248956
186,986.000,47.197287
187,987.000,55.148014
188,988.000,62.605292
189,989.000,61.718205
190,990.000,79.074291
191,991.000,88.763488
192,992.000,111.73034
193,993.000,125.300135
194,994.000,165.479929
195,995.000,209.674098
196,996.000,275.757824
197,997.000,361.71249
198,998.000,498.171915
199,999.000,694.342094
200,1000.000,909.029176
201,1001.000,998.167868
202,1002.000,897.495075
203,1003.000,691.744436
204,1004.000,505.507956
205,1005.000,373.635694
206,1006.000,268.605424
207,1007.000,209.369881
208,1008.000,169.03938
209,1009.000,128.556636
210,1010.000,116.644879
211,1011.000,90.357216
212,1012.000,96.124573
213,1013.000,64.166417
214,1014.000,59.928714
215,1015.000,65.610318
216,1016.000,64.895229
217,1017.000,62.988615
218,1018.000,56.064858
219,1019.000,48.836314
220,1020.000,66.739373
221,1021.000,59.817516
222,1022.000,83.799217
223,1023.000,89.700146
224,1024.000,94.349538
225,1025.000,132.716651
226,1026.000,147.945866
227,1027.000,193.849151
228,1028.000,241.429945
229,1029.000,332.954272
230,1030.000,398.475118
231,1031.000,421.911142
232,1032.000,394.052958
233,1033.000,324.318303
234,1034.000,250.595686
235,1035.000,181.206596
236,1036.000,145.812714
237,1037.000,114.97798
238,1038.000,89.535049
239,1039.000,64.41303
240,1040.000,58.190186
241,1041.000,50.46896
242,1042.000,40.59188
243,1043.000,46.736097
244,1044.000,30.529639
245,1045.000,24.680301
246,1046.000,26.122164
247,1047.000,21.353561
248,1048.000,22.151414
249,1049.000,19.97408
250,1050.000,28.013551
251,1051.000,15.971661
252,1052.000,16.324836
253,1053.000,16.519758
254,1054.000,14.559889
255,1055.000,11.405131
256,1056.000,19.947681
257,1057.000,22.686681
258,1058.000,17.222359
259,1059.000,11.734969
260,1060.000,7.042066
261,1061.000,10.805385
262,1062.000,8.153238
263,1063.000,7.747826
264,1064.000,-7.192557
265,1065.000,10.775153
266,1066.000,-2.034404
267,1067.000,4.2862
268,1068.000,5.899518
269,1069.000,3.286912
270,1070.000,10.709122
271,1071.000,13.288428
272,1072.000,5.119011
273,1073.000,2.98878
274,1074.000,-0.974145
275,1075.000,6.625887
276,1076.000,14.453896
277,1077.000,-0.247967
278,1078.000,3.310875
279,1079.000,13.219053
280,1080.000,-5.614825
281,1081.000,16.678674
282,1082.000,-1.458674
283,1083.000,3.218999
284,1084.000,1.158251
285,1085.000,6.598821
286,1086.000,-0.229063
287,1087.000,3.071177
288,1088.000,-1.776862
289,1089.000,8.418784
290,1090.000,13.464034
291,1091.000,5.392376
292,1092.000,9.723183
293,1093.000,-0.110777
294,1094.000,8.82299
295,1095.000,12.924177
296,1096.000,-9.237929
297,1097.000,5.209497
298,1098.000,12.791806
299,1099.000,-4.061951
300,1100.000,-5.762536
301,1101.000,12.973172
302,1102.000,2.592336
303,1103.000,1.498097
304,1104.000,-3.471823
305,1105.000,2.616017
306,1106.000,5.989576
307,1107.000,8.297522
308,1108.000,7.024941
309,1109.000,-1.20952
310,1110.000,4.490399
311,1111.000,2.649733
312,1112.000,-2.818905
313,1113.000,5.58942
314,1114.000,4.349852
315,1115.000,3.908415
316,1116.000,0.817963
317,1117.000,12.904908
318,1118.000,1.756968
319,1119.000,13.216821
320,1120.000,9.602804
321,1121.000,10.443401
322,1122.000,-1.869635
323,1123.000,4.867523
324,1124.000,-1.71947
325,1125.000,5.150366
326,1126.000,1.798485
327,1127.000,-2.762504
328,1128.000,8.155215
329,1129.000,3.655674
330,1130.000,13.869497
331,1131.000,5.425361
332,1132.000,9.161007
333,1133.000,17.836411
334,1134.000,-3.905932
335,1135.000,20.102518
336,1136.000,1.094666
337,1137.000,14.756579
338,1138.000,19.095734
339,1139.000,17.962901
340,1140.000,3.481714
341,1141.000,15.57272
342,1142.000,30.511895
343,1143.000,26.816378
344,1144.000,31.105817
345,1145.000,30.061693
346,1146.000,38.467875
347,1147.000,51.134125
348,1148.000,58.86459
349,1149.000,51.930025
350,1150.000,81.417083
351,1151.000,80.537045
352,1152.000,119.780384
353,1153.000,116.013272
354,1154.000,133.716672
355,1155.000,134.568132
356,1156.000,147.431539
357,1157.000,128.794041
358,1158.000,104.918788
359,1159.000,84.599568
360,1160.000,82.282925
361,1161.000,66.049306
362,1162.000,51.731165
363,1163.000,42.207894
364,1164.000,47.918191
365,1165.000,26.877069
366,1166.000,33.365068
367,1167.000,36.871922
368,1168.000,37.771054
369,1169.000,22.865222
370,1170.000,30.361732
371,1171.000,27.18958
372,1172.000,28.309899
373,1173.000,25.394357
374,1174.000,28.311776
375,1175.000,39.708235
376,1176.000,45.478885
377,1177.000,49.395366
378,1178.000,65.984956
379,1179.000,72.185954
380,1180.000,84.05423
381,1181.000,106.107141
382,1182.000,121.276298
383,1183.000,135.97019
384,1184.000,114.233386
385,1185.000,108.431381
386,1186.000,79.953219
387,1187.000,84.630149
388,1188.000,52.468513
389,1189.000,42.652125
390,1190.000,32.421236
391,1191.000,20.717073
392,1192.000,30.12359
393,1193.000,27.88295
394,1194.000,16.267955
395,1195.000,13.100562
396,1196.000,12.607208
397,1197.000,22.962101
398,1198.000,10.050558
399,1199.000,5.774894
400,1200.000,6.339337
