pixel_index,raman_shift_cm-1,intensity
0,200.000,-6.033166
1,201.000,-1.313529
2,202.000,0.750147
3,203.000,-7.986924
4,204.000,8.433275
5,205.000,6.279832
6,206.000,-0.58103
7,207.000,-11.30239
8,208.000,-0.382621
9,209.000,-1.617424
10,210.000,2.1822
11,211.000,4.186346
12,212.000,10.107296
13,213.000,6.811362
14,214.000,3.515428
15,215.000,-1.062967
16,216.000,-11.777653
17,217.000,-8.499771500000001
18,218.000,-5.22189
19,219.000,-5.044112
20,220.000,4.13198
21,221.000,4.011759
22,222.000,1.605993
23,223.000,2.0126
24,224.000,-2.266278
25,225.000,-10.075964
26,226.000,0.302906
27,227.000,-3.970133
28,228.000,3.540581
29,229.000,-1.319345
30,230.000,9.709966
31,231.000,-0.226583
32,232.000,-3.338368
33,233.000,-4.582766
34,234.000,0.425692
35,235.000,-1.987028
36,236.000,6.575216
37,237.000,-5.032255
38,238.000,-0.799124
39,239.000,-9.14139
40,240.000,3.360162
41,241.000,-0.029397
42,242.000,-2.049258
43,243.000,-5.445998
44,244.000,-0.976508
45,245.000,-7.435045
46,246.000,-8.525699
47,247.000,-3.268248
48,248.000,2.46303
49,249.000,-0.637019
50,250.000,0.317981
51,251.000,2.78215
52,252.000,-1.362141
53,253.000,1.489247
54,254.000,3.147878
55,255.000,2.795675
56,256.000,5.40552
57,257.000,5.036997
58,258.000,1.474916
59,259.000,-10.466464
60,260.000,-9.947526
61,261.000,-8.110919
62,262.000,-2.7747925
63,263.000,2.561334
64,264.000,-3.17092
65,265.000,-7.262947
66,266.000,-0.308397
67,267.000,-6.324983
68,268.000,1.296583
69,269.000,4.851749
70,270.000,3.917942
71,271.000,4.348561
72,272.000,5.821512
73,273.000,-6.995296
74,274.000,-11.168819
75,275.000,-4.536027
76,276.000,5.147166
77,277.000,3.796745
78,278.000,-4.29369
79,279.000,8.365619
80,280.000,-6.401749
81,281.000,1.347878
82,282.000,-3.938317
83,283.000,-6.347796
84,284.000,10.239996
85,285.000,3.671198
86,286.000,0.574613
87,287.000,5.307785
88,288.000,-1.458139
89,289.000,-2.601451
90,290.000,6.671043
91,291.000,4.721043
92,292.000,6.145889
93,293.000,-3.49057
94,294.000,0.666806
95,295.000,-6.458023
96,296.000,5.843979
97,297.000,-7.572441
98,298.000,1.834737
99,299.000,2.849119
100,300.000,1.526866
101,301.000,-0.884003
102,302.000,-0.095686
103,303.000,-1.928925
104,304.000,-0.988521
105,305.000,1.760099
106,306.000,0.612815
107,307.000,1.149458
108,308.000,2.968185
109,309.000,6.391165
110,310.000,0.967305
111,311.000,-9.646262
112,312.000,-0.257652
113,313.000,8.085661
114,314.000,-4.594165
115,315.000,3.768699
116,316.000,-5.218208
117,317.000,11.105037
118,318.000,3.716976
119,319.000,2.356188
120,320.000,-2.945449
121,321.000,-7.822905
122,322.000,-1.294604
123,323.000,3.251231
124,324.000,0.955931
125,325.000,6.466164
126,326.000,5.921738
127,327.000,-1.209859
128,328.000,-3.448514
129,329.000,-1.761031
130,330.000,7.166016
131,331.000,4.6923715
132,332.000,2.218727
133,333.000,6.917998
134,334.000,1.082843
135,335.000,-5.511587
136,336.000,2.728091
137,337.000,-1.25415
138,338.000,-6.478185
139,339.000,3.417928
140,340.000,5.401674
141,341.000,-4.945729
142,342.000,-2.377863
143,343.000,0.588929
144,344.000,4.898768
145,345.000,-3.026164
146,346.000,-8.510167
147,347.000,0.469154
148,348.000,6.316935
149,349.000,0.55538
150,350.000,-0.762415
151,351.000,7.757327
152,352.000,1.053167
153,353.000,-4.19662
154,354.000,-1.064115
155,355.000,-5.16346
156,356.000,-4.850745
157,357.000,-4.321592
158,358.000,3.889286
159,359.000,0.350238
160,360.000,3.475945
161,361.000,-2.012621
162,362.000,3.377637
163,363.000,-11.343591
164,364.000,3.28588
165,365.000,-6.526024
166,366.000,-10.006491
167,367.000,-0.385059
168,368.000,-8.515509
169,369.000,3.139419
170,370.000,-7.922748
171,371.000,3.371241
172,372.000,-15.315578
173,373.000,-6.576412
174,374.000,-6.848037
175,375.000,-7.119662
176,376.000,-9.869654
177,377.000,-2.844544
178,378.000,0.505381
179,379.000,-6.096716
180,380.000,-5.530911
181,381.000,-4.820912
182,382.000,-3.0120225
183,383.000,-1.203133
184,384.000,-9.516022
185,385.000,-8.465784
186,386.000,0.75684
187,387.000,3.864702
188,388.000,1.055164
189,389.000,6.043231
190,390.000,-8.060825
191,391.000,-0.521015
192,392.000,3.79098
193,393.000,-0.142461
194,394.000,6.531925
195,395.000,-1.779312
196,396.000,9.58264
197,397.000,5.072614
198,398.000,0.562588
199,399.000,9.567655
200,400.000,3.513446
201,401.000,4.843602
202,402.000,0.548631
203,403.000,0.170121
204,404.000,-10.520023
205,405.000,-5.679225
206,406.000,-0.838427
207,407.000,-3.555542
208,408.000,6.322419
209,409.000,3.312237
210,410.000,-3.356052
211,411.000,-8.10822
212,412.000,-5.113925999999999
213,413.000,-2.119632
214,414.000,-4.538069
215,415.000,-1.2587
