pixel_index,raman_shift_cm-1,intensity
0,-224.846,99.0
1,-221.778,98.0
2,-218.712,98.0
3,-215.647,100.0
4,-212.583,98.0
5,-209.521,98.0
6,-206.460,100.0
7,-203.399,98.0
8,-200.340,97.0
9,-197.283,97.0
10,-194.226,99.0
11,-191.171,99.0
12,-188.116,98.0
13,-185.064,98.0
14,-182.012,98.0
15,-178.961,97.0
16,-175.912,98.0
17,-172.864,99.0
18,-169.817,98.0
19,-166.771,99.0
20,-163.726,99.0
21,-160.683,97.0
22,-157.641,100.0
23,-154.600,98.0
24,-151.560,97.0
25,-148.521,99.0
26,-145.484,97.0
27,-142.447,100.0
28,-139.412,97.0
29,-136.379,98.0
30,-133.346,98.0
31,-130.314,99.0
32,-127.284,97.0
33,-124.255,99.0
34,-121.227,99.0
35,-118.200,99.0
36,-115.175,99.0
37,-112.150,98.0
38,-109.127,99.0
39,-106.105,98.0
40,-103.084,99.0
41,-100.065,99.0
42,-97.046,100.0
43,-94.029,99.0
44,-91.013,99.0
45,-87.998,99.0
46,-84.984,99.0
47,-81.972,98.0
48,-78.960,99.0
49,-75.950,98.0
50,-72.941,98.0
51,-69.933,98.0
52,-66.927,98.0
53,-63.921,99.0
54,-60.917,98.0
55,-57.914,99.0
56,-54.912,98.0
57,-51.911,96.0
58,-48.912,98.0
59,-45.913,99.0
60,-42.916,98.0
61,-39.920,99.0
62,-36.925,99.0
63,-33.931,99.0
64,-30.939,100.0
65,-27.947,100.0
66,-24.957,104.0
67,-21.968,100.0
68,-18.980,99.0
69,-15.993,95.0
70,-13.008,99.0
71,-10.023,100.0
72,-7.040,99.0
73,-4.058,98.0
74,-1.077,97.0
75,1.903,98.0
76,4.881,98.0
77,7.859,99.0
78,10.835,98.0
79,13.810,99.0
80,16.784,99.0
81,19.757,99.0
82,22.728,97.0
83,25.699,98.0
84,28.668,100.0
85,31.636,97.0
86,34.603,99.0
87,37.569,99.0
88,40.534,99.0
89,43.497,97.0
90,46.460,98.0
91,49.421,98.0
92,52.381,97.0
93,55.340,99.0
94,58.297,99.0
95,61.254,98.0
96,64.209,98.0
97,67.164,100.0
98,70.117,100.0
99,73.069,100.0
100,76.020,101.0
101,78.969,100.0
102,81.918,100.0
103,84.865,100.0
104,87.811,99.0
105,90.757,100.0
106,93.700,102.0
107,96.643,100.0
108,99.585,98.0
109,102.525,98.0
110,105.465,100.0
111,108.403,101.0
112,111.340,99.0
113,114.276,101.0
114,117.211,102.0
115,120.144,99.0
116,123.077,99.0
117,126.008,100.0
118,128.938,99.0
119,131.868,99.0
120,134.795,99.0
121,137.722,100.0
122,140.648,101.0
123,143.572,100.0
124,146.496,98.0
125,149.418,102.0
126,152.339,100.0
127,155.259,101.0
128,158.178,100.0
129,161.096,99.0
130,164.012,99.0
131,166.928,100.0
132,169.842,98.0
133,172.755,100.0
134,175.667,99.0
135,178.578,98.0
136,181.488,99.0
137,184.397,100.0
138,187.304,99.0
139,190.211,98.0
140,193.116,99.0
141,196.020,100.0
142,198.923,101.0
143,201.825,99.0
144,204.726,100.0
145,207.625,102.0
146,210.524,99.0
147,213.421,100.0
148,216.318,101.0
149,219.213,99.0
150,222.107,100.0
151,225.000,100.0
152,227.891,100.0
153,230.782,101.0
154,233.672,101.0
155,236.560,100.0
156,239.447,101.0
157,242.333,100.0
158,245.218,101.0
159,248.102,100.0
160,250.985,99.0
161,253.867,100.0
162,256.748,100.0
163,259.627,100.0
164,262.505,100.0
165,265.383,100.0
166,268.259,103.0
167,271.134,102.0
168,274.008,99.0
169,276.880,102.0
170,279.752,102.0
171,282.623,101.0
172,285.492,100.0
173,288.360,100.0
174,291.228,102.0
175,294.094,100.0
176,296.959,103.0
177,299.823,99.0
178,302.685,101.0
179,305.547,100.0
180,308.408,102.0
181,311.267,100.0
182,314.126,100.0
183,316.983,102.0
184,319.839,98.0
185,322.694,103.0
186,325.548,101.0
187,328.401,100.0
188,331.253,103.0
189,334.103,100.0
190,336.953,103.0
191,339.801,102.0
192,342.649,99.0
193,345.495,99.0
194,348.340,100.0
195,351.184,100.0
196,354.027,99.0
197,356.869,100.0
198,359.709,101.0
199,362.549,100.0
200,365.388,100.0
201,368.225,100.0
202,371.061,102.0
203,373.897,101.0
204,376.731,99.0
205,379.564,99.0
206,382.396,103.0
207,385.227,101.0
208,388.057,101.0
209,390.885,102.0
210,393.713,101.0
211,396.539,101.0
212,399.365,101.0
213,402.189,99.0
214,405.012,100.0
215,407.835,100.0
216,410.656,101.0
217,413.476,102.0
218,416.295,102.0
219,419.112,101.0
220,421.929,102.0
221,424.745,100.0
222,427.559,101.0
223,430.373,100.0
224,433.185,99.0
225,435.996,101.0
226,438.807,102.0
227,441.616,100.0
228,444.424,100.0
229,447.231,100.0
230,450.037,99.0
231,452.842,99.0
232,455.645,100.0
233,458.448,101.0
234,461.250,101.0
235,464.050,100.0
236,466.849,102.0
237,469.648,101.0
238,472.445,102.0
239,475.241,102.0
240,478.036,101.0
241,480.830,100.0
242,483.623,99.0
243,486.415,101.0
244,489.206,101.0
245,491.996,101.0
246,494.784,104.0
247,497.572,107.0
248,500.358,105.0
249,503.144,110.0
250,505.928,115.0
251,508.712,123.0
252,511.494,121.0
253,514.275,108.0
254,517.055,106.0
255,519.834,101.0
256,522.612,104.0
257,525.389,102.0
258,528.165,103.0
259,530.940,100.0
260,533.713,102.0
261,536.486,103.0
262,539.257,99.0
263,542.028,99.0
264,544.797,101.0
265,547.566,102.0
266,550.333,102.0
267,553.099,103.0
268,555.864,102.0
269,558.629,102.0
270,561.392,102.0
271,564.154,101.0
272,566.915,102.0
273,569.674,104.0
274,572.433,101.0
275,575.191,102.0
276,577.948,101.0
277,580.703,99.0
278,583.458,101.0
279,586.211,99.0
280,588.964,99.0
281,591.715,102.0
282,594.466,102.0
283,597.215,103.0
284,599.963,101.0
285,602.710,102.0
286,605.457,104.0
287,608.202,101.0
288,610.946,101.0
289,613.689,102.0
290,616.431,102.0
291,619.172,100.0
292,621.911,101.0
293,624.650,100.0
294,627.388,102.0
295,630.125,100.0
296,632.860,101.0
297,635.595,102.0
298,638.328,102.0
299,641.061,102.0
300,643.792,101.0
301,646.523,102.0
302,649.252,103.0
303,651.980,102.0
304,654.708,102.0
305,657.434,102.0
306,660.159,102.0
307,662.883,102.0
308,665.606,100.0
309,668.328,102.0
310,671.049,102.0
311,673.769,103.0
312,676.488,101.0
313,679.206,102.0
314,681.923,102.0
315,684.639,101.0
316,687.354,103.0
317,690.067,103.0
318,692.780,103.0
319,695.492,103.0
320,698.202,103.0
321,700.912,100.0
322,703.621,102.0
323,706.328,103.0
324,709.035,101.0
325,711.740,102.0
326,714.444,104.0
327,717.148,103.0
328,719.850,100.0
329,722.552,103.0
330,725.252,103.0
331,727.951,101.0
332,730.649,101.0
333,733.347,103.0
334,736.043,102.0
335,738.738,102.0
336,741.432,101.0
337,744.125,102.0
338,746.817,101.0
339,749.508,101.0
340,752.198,100.0
341,754.887,102.0
342,757.575,103.0
343,760.262,104.0
344,762.948,102.0
345,765.633,103.0
346,768.317,103.0
347,770.999,103.0
348,773.681,101.0
349,776.362,103.0
350,779.042,102.0
351,781.720,102.0
352,784.398,102.0
353,787.075,101.0
354,789.751,103.0
355,792.425,102.0
356,795.099,102.0
357,797.771,102.0
358,800.443,103.0
359,803.114,102.0
360,805.783,102.0
361,808.452,101.0
362,811.119,104.0
363,813.786,102.0
364,816.451,103.0
365,819.116,103.0
366,821.779,101.0
367,824.442,102.0
368,827.103,102.0
369,829.763,103.0
370,832.423,102.0
371,835.081,102.0
372,837.739,103.0
373,840.395,103.0
374,843.050,104.0
375,845.705,102.0
376,848.358,102.0
377,851.010,103.0
378,853.662,104.0
379,856.312,103.0
380,858.961,102.0
381,861.610,103.0
382,864.257,102.0
383,866.903,103.0
384,869.549,102.0
385,872.193,104.0
386,874.836,103.0
387,877.478,102.0
388,880.120,102.0
389,882.760,104.0
390,885.399,103.0
391,888.037,103.0
392,890.675,103.0
393,893.311,102.0
394,895.946,104.0
395,898.580,101.0
396,901.214,101.0
397,903.846,102.0
398,906.477,104.0
399,909.107,103.0
400,911.737,103.0
401,914.365,104.0
402,916.992,105.0
403,919.618,102.0
404,922.244,103.0
405,924.868,105.0
406,927.491,103.0
407,930.113,106.0
408,932.735,104.0
409,935.355,104.0
410,937.974,104.0
411,940.592,104.0
412,943.210,103.0
413,945.826,104.0
414,948.441,105.0
415,951.056,104.0
416,953.669,104.0
417,956.281,104.0
418,958.893,102.0
419,961.503,103.0
420,964.112,105.0
421,966.721,103.0
422,969.328,104.0
423,971.935,105.0
424,974.540,102.0
425,977.144,106.0
426,979.748,104.0
427,982.350,103.0
428,984.952,102.0
429,987.552,103.0
430,990.152,104.0
431,992.750,105.0
432,995.348,103.0
433,997.944,102.0
434,1000.540,106.0
435,1003.134,104.0
436,1005.728,101.0
437,1008.321,103.0
438,1010.912,104.0
439,1013.503,104.0
440,1016.092,105.0
441,1018.681,103.0
442,1021.269,104.0
443,1023.856,104.0
444,1026.441,105.0
445,1029.026,105.0
446,1031.610,104.0
447,1034.193,106.0
448,1036.775,102.0
449,1039.355,103.0
450,1041.935,102.0
451,1044.514,103.0
452,1047.092,104.0
453,1049.669,105.0
454,1052.245,103.0
455,1054.820,103.0
456,1057.394,103.0
457,1059.967,103.0
458,1062.539,103.0
459,1065.110,103.0
460,1067.681,104.0
461,1070.250,102.0
462,1072.818,105.0
463,1075.385,105.0
464,1077.951,105.0
465,1080.517,102.0
466,1083.081,105.0
467,1085.644,104.0
468,1088.207,104.0
469,1090.768,104.0
470,1093.329,103.0
471,1095.888,104.0
472,1098.447,103.0
473,1101.004,103.0
474,1103.561,104.0
475,1106.116,103.0
476,1108.671,107.0
477,1111.225,104.0
478,1113.777,103.0
479,1116.329,104.0
480,1118.880,104.0
481,1121.430,103.0
482,1123.979,105.0
483,1126.527,103.0
484,1129.074,103.0
485,1131.620,105.0
486,1134.165,105.0
487,1136.709,106.0
488,1139.252,105.0
489,1141.794,103.0
490,1144.335,105.0
491,1146.875,106.0
492,1149.415,102.0
493,1151.953,106.0
494,1154.490,104.0
495,1157.027,105.0
496,1159.562,104.0
497,1162.097,104.0
498,1164.630,103.0
499,1167.163,103.0
500,1169.695,104.0
501,1172.225,105.0
502,1174.755,102.0
503,1177.284,105.0
504,1179.812,104.0
505,1182.338,104.0
506,1184.864,105.0
507,1187.389,105.0
508,1189.913,105.0
509,1192.436,104.0
510,1194.959,105.0
511,1197.480,106.0
512,1200.000,104.0
513,1202.519,107.0
514,1205.038,105.0
515,1207.555,102.0
516,1210.071,107.0
517,1212.587,107.0
518,1215.101,104.0
519,1217.615,103.0
520,1220.128,105.0
521,1222.639,105.0
522,1225.150,105.0
523,1227.660,105.0
524,1230.169,104.0
525,1232.677,105.0
526,1235.184,106.0
527,1237.690,102.0
528,1240.195,104.0
529,1242.699,106.0
530,1245.202,103.0
531,1247.704,104.0
532,1250.206,106.0
533,1252.706,106.0
534,1255.206,105.0
535,1257.704,104.0
536,1260.202,105.0
537,1262.698,103.0
538,1265.194,103.0
539,1267.689,104.0
540,1270.183,104.0
541,1272.676,105.0
542,1275.168,104.0
543,1277.659,104.0
544,1280.149,107.0
545,1282.638,105.0
546,1285.126,106.0
547,1287.613,104.0
548,1290.100,104.0
549,1292.585,103.0
