pixel_index,raman_shift_cm-1,intensity
0,-224.846,0.1243676106354686
1,-221.778,0.14648752061575226
2,-218.712,0.1544863428331806
3,-215.647,0.1517101025331427
4,-212.583,0.14150482496102768
5,-209.521,0.12721653536222446
6,-206.460,0.11902861726468504
7,-203.399,0.11301331121124682
8,-200.340,0.10116953727895965
9,-197.283,0.10997395566087624
10,-194.226,0.11062246064129105
11,-191.171,0.096568727942999
12,-188.116,0.10229057984646281
13,-185.064,0.11076744089193061
14,-182.012,0.10075993992112885
15,-178.961,0.08783405707981934
16,-175.912,0.10603118579792978
17,-172.864,0.10559871668649451
18,-169.817,0.12203279929444158
19,-166.771,0.13933118544102746
20,-163.726,0.13523617147731226
21,-160.683,0.13200561709383646
22,-157.641,0.10592706080286762
23,-154.600,0.11751847017313141
24,-151.560,0.10626203112897929
25,-148.521,0.10387152207678244
26,-145.484,0.101327525400521
27,-142.447,0.09586607810623166
28,-139.412,0.10072554362885175
29,-136.379,0.1016493779571782
30,-133.346,0.09441885987031483
31,-130.314,0.1078382513156773
32,-127.284,0.11019392322091168
33,-124.255,0.13174489370359735
34,-121.227,0.1369951647158281
35,-118.200,0.13496430157281594
36,-115.175,0.1321987823117873
37,-112.150,0.13524508456955767
38,-109.127,0.1294102335908492
39,-106.105,0.13549732467782552
40,-103.084,0.14303217754149092
41,-100.065,0.15201486179702334
42,-97.046,0.167682571816351
43,-94.029,0.15977643112613776
44,-91.013,0.16379257862410757
45,-87.998,0.1494721370603718
46,-84.984,0.13529058782492143
47,-81.972,0.11746563004004033
48,-78.960,0.10545325101647465
49,-75.950,0.1007082742616908
50,-72.941,0.0914472343324095
51,-69.933,0.09614561071289807
52,-66.927,0.1134941875035083
53,-63.921,0.09766818466288871
54,-60.917,0.08838253254396204
55,-57.914,0.08563729541432794
56,-54.912,0.07619424860015712
57,-51.911,0.07183698721541626
58,-48.912,0.07111081743570849
59,-45.913,0.08056220849311521
60,-42.916,0.09349934068439777
61,-39.920,0.10453967523094826
62,-36.925,0.16183573007208849
63,-33.931,0.19352257145541907
64,-30.939,0.23989702887897463
65,-27.947,0.23418581732607086
66,-24.957,0.20562961249057415
67,-21.968,0.18826978776598638
68,-18.980,0.1688681141537182
69,-15.993,0.14087824443936467
70,-13.008,0.10197262631824033
71,-10.023,0.06306199570907353
72,-7.040,0.07477195389782117
73,-4.058,0.0889501024868019
74,-1.077,0.09774081124280394
75,1.903,0.06666639674971876
76,4.881,0.06380954275290099
77,7.859,0.09193434399424019
78,10.835,0.10521601155079316
79,13.810,0.0998722330542705
80,16.784,0.10718033916040844
81,19.757,0.09542668270451728
82,22.728,0.08439601348879158
83,25.699,0.08587191756270873
84,28.668,0.09185328563909535
85,31.636,0.09055663993980438
86,34.603,0.09143795435361825
87,37.569,0.10118916417121454
88,40.534,0.0725307201848494
89,43.497,0.052742276944376755
90,46.460,0.06684570679537225
91,49.421,0.05432317099629899
92,52.381,0.04543366640412911
93,55.340,0.05472481411194187
94,58.297,0.08074190805311009
95,61.254,0.09031653955553699
96,64.209,0.11981768355772279
97,67.164,0.1478604623487811
98,70.117,0.15829712305680685
99,73.069,0.18371427152693434
100,76.020,0.19516229279571093
101,78.969,0.18071222832797884
102,81.918,0.1767330512138328
103,84.865,0.19078954592021607
104,87.811,0.18884044681680598
105,90.757,0.16332106511480146
106,93.700,0.14870918861675134
107,96.643,0.15024198941150776
108,99.585,0.13766056883638939
109,102.525,0.13074966824607723
110,105.465,0.1423111951688235
111,108.403,0.1511057433710359
112,111.340,0.17459044215073644
113,114.276,0.1971994369367354
114,117.211,0.19114691418746102
115,120.144,0.1654524118151521
116,123.077,0.1399006691405116
117,126.008,0.1252569318864839
118,128.938,0.10828295522531173
119,131.868,0.12171081479886095
120,134.795,0.12524378527784524
121,137.722,0.13735732328049832
122,140.648,0.14059438759538068
123,143.572,0.16375920888277315
124,146.496,0.18037525206400956
125,149.418,0.18244139550496877
126,152.339,0.16472055557017684
127,155.259,0.1627088439545363
128,158.178,0.15036615157971872
129,161.096,0.1423855647001775
130,164.012,0.11098126531408592
131,166.928,0.10110528444334907
132,169.842,0.07769801862120496
133,172.755,0.08294746006311166
134,175.667,0.09328658495949316
135,178.578,0.08514836923704913
136,181.488,0.07177114030177403
137,184.397,0.07293963173457518
138,187.304,0.07919796144068157
139,190.211,0.09432853563744041
140,193.116,0.09738289152495198
141,196.020,0.11818358485250986
142,198.923,0.12879931877580786
143,201.825,0.14377770018271596
144,204.726,0.16690113401254036
145,207.625,0.15845479107567556
146,210.524,0.1472428959647025
147,213.421,0.13981189113886888
148,216.318,0.1389258506454283
149,219.213,0.12610939629063642
150,222.107,0.12740271340100176
151,225.000,0.1455698752840835
152,227.891,0.15035197142444487
153,230.782,0.150768529681192
154,233.672,0.17184140451557345
155,236.560,0.17531052126359759
156,239.447,0.16641303889805192
157,242.333,0.15315015442596974
158,245.218,0.13552190119447155
159,248.102,0.1267666008851653
160,250.985,0.12310191820967553
161,253.867,0.09703297877583672
162,256.748,0.10762294861571559
163,259.627,0.1374147760735991
164,262.505,0.15091242263797414
165,265.383,0.1679006150291107
166,268.259,0.18270583248578964
167,271.134,0.2028928425897994
168,274.008,0.20998626264920198
169,276.880,0.19351187316812196
170,279.752,0.18751101819246296
171,282.623,0.14979577548591813
172,285.492,0.17638013624436502
173,288.360,0.180706089718359
174,291.228,0.1614643843079857
175,294.094,0.1489139947862508
176,296.959,0.1642944023950598
177,299.823,0.17080028442330003
178,302.685,0.15141101295049164
179,305.547,0.15587930549054688
180,308.408,0.13445250151083932
181,311.267,0.1253907379084595
182,314.126,0.15618894967242392
183,316.983,0.13359724175488605
184,319.839,0.15464793264551066
185,322.694,0.141657026624275
186,325.548,0.16692597300276826
