pixel_index,raman_shift_cm-1,intensity
0,-224.846,98.0
1,-221.778,98.0
2,-218.712,99.0
3,-215.647,98.0
4,-212.583,99.0
5,-209.521,99.0
6,-206.460,99.0
7,-203.399,97.0
8,-200.340,97.0
9,-197.283,97.0
10,-194.226,98.0
11,-191.171,99.0
12,-188.116,97.0
13,-185.064,96.0
14,-182.012,98.0
15,-178.961,98.0
16,-175.912,99.0
17,-172.864,99.0
18,-169.817,97.0
19,-166.771,98.0
20,-163.726,99.0
21,-160.683,99.0
22,-157.641,98.0
23,-154.600,100.0
24,-151.560,96.0
25,-148.521,98.0
26,-145.484,99.0
27,-142.447,95.0
28,-139.412,100.0
29,-136.379,99.0
30,-133.346,97.0
31,-130.314,99.0
32,-127.284,98.0
33,-124.255,97.0
34,-121.227,97.0
35,-118.200,99.0
36,-115.175,99.0
37,-112.150,97.0
38,-109.127,99.0
39,-106.105,97.0
40,-103.084,98.0
41,-100.065,98.0
42,-97.046,97.0
43,-94.029,97.0
44,-91.013,99.0
45,-87.998,99.0
46,-84.984,98.0
47,-81.972,100.0
48,-78.960,99.0
49,-75.950,98.0
50,-72.941,98.0
51,-69.933,99.0
52,-66.927,99.0
53,-63.921,99.0
54,-60.917,98.0
55,-57.914,97.0
56,-54.912,98.0
57,-51.911,97.0
58,-48.912,98.0
59,-45.913,97.0
60,-42.916,98.0
61,-39.920,98.0
62,-36.925,99.0
63,-33.931,98.0
64,-30.939,99.0
65,-27.947,97.0
66,-24.957,97.0
67,-21.968,96.0
68,-18.980,99.0
69,-15.993,98.0
70,-13.008,97.0
71,-10.023,99.0
72,-7.040,99.0
73,-4.058,97.0
74,-1.077,96.0
75,1.903,97.0
76,4.881,99.0
77,7.859,99.0
78,10.835,98.0
79,13.810,98.0
80,16.784,101.0
81,19.757,98.0
82,22.728,98.0
83,25.699,99.0
84,28.668,99.0
85,31.636,97.0
86,34.603,99.0
87,37.569,97.0
88,40.534,96.0
89,43.497,98.0
90,46.460,98.0
91,49.421,98.0
92,52.381,98.0
93,55.340,95.0
94,58.297,97.0
95,61.254,98.0
96,64.209,95.0
97,67.164,98.0
98,70.117,98.0
99,73.069,100.0
100,76.020,100.0
101,78.969,100.0
102,81.918,100.0
103,84.865,101.0
104,87.811,101.0
105,90.757,102.0
106,93.700,100.0
107,96.643,101.0
108,99.585,100.0
109,102.525,102.0
110,105.465,101.0
111,108.403,101.0
112,111.340,102.0
113,114.276,100.0
114,117.211,101.0
115,120.144,103.0
116,123.077,101.0
117,126.008,100.0
118,128.938,100.0
119,131.868,100.0
120,134.795,102.0
121,137.722,103.0
122,140.648,103.0
123,143.572,101.0
124,146.496,101.0
125,149.418,100.0
126,152.339,101.0
127,155.259,100.0
128,158.178,101.0
129,161.096,102.0
130,164.012,102.0
131,166.928,101.0
132,169.842,102.0
133,172.755,102.0
134,175.667,100.0
135,178.578,100.0
136,181.488,101.0
137,184.397,100.0
138,187.304,101.0
139,190.211,102.0
140,193.116,102.0
141,196.020,103.0
142,198.923,100.0
143,201.825,102.0
144,204.726,101.0
145,207.625,102.0
146,210.524,100.0
147,213.421,99.0
148,216.318,101.0
149,219.213,103.0
150,222.107,99.0
151,225.000,101.0
152,227.891,100.0
153,230.782,98.0
154,233.672,102.0
155,236.560,101.0
156,239.447,99.0
157,242.333,102.0
158,245.218,100.0
159,248.102,102.0
160,250.985,102.0
161,253.867,101.0
162,256.748,101.0
163,259.627,102.0
164,262.505,103.0
165,265.383,101.0
166,268.259,101.0
167,271.134,101.0
168,274.008,99.0
169,276.880,102.0
170,279.752,100.0
171,282.623,101.0
