pixel_index,raman_shift_cm-1,intensity
0,200.000,668.697242
1,201.000,680.857422
2,202.000,681.980965
3,203.000,670.673235
4,204.000,673.532583
5,205.000,665.269519
6,206.000,676.223733
7,207.000,685.613753
8,208.000,688.805383
9,209.000,684.536602
10,210.000,692.200945
11,211.000,689.008454
12,212.000,700.777231
13,213.000,691.907589
14,214.000,699.523433
15,215.000,692.762415
16,216.000,692.512316
17,217.000,697.69897
18,218.000,694.310133
19,219.000,701.06388
20,220.000,704.413943
21,221.000,704.988737
22,222.000,714.920978
23,223.000,715.5385
24,224.000,704.651789
25,225.000,709.94522
26,226.000,708.327946
27,227.000,703.501037
28,228.000,726.799482
29,229.000,708.531793
30,230.000,723.44409
31,231.000,716.573642
32,232.000,720.659265
33,233.000,726.808443
34,234.000,736.519601
35,235.000,737.910103
36,236.000,734.720069
37,237.000,733.698646
38,238.000,744.928163
39,239.000,738.443561
40,240.000,731.400077
41,241.000,737.411389
42,242.000,742.702467
43,243.000,748.955291
44,244.000,737.721335
45,245.000,724.809295
46,246.000,745.754174
47,247.000,748.002
48,248.000,751.767428
49,249.000,739.41032
50,250.000,754.596186
51,251.000,754.423335
52,252.000,749.839528
53,253.000,755.97622
54,254.000,764.196723
55,255.000,767.841443
56,256.000,769.242912
57,257.000,759.846091
58,258.000,766.768907
59,259.000,757.888367
60,260.000,778.436406
61,261.000,780.344585
62,262.000,780.842772
63,263.000,792.749615
64,264.000,779.63104
65,265.000,784.65185
66,266.000,782.088808
67,267.000,784.774795
68,268.000,788.912666
69,269.000,795.397926
70,270.000,804.428763
71,271.000,786.363662
72,272.000,799.227071
73,273.000,792.840435
74,274.000,801.501417
75,275.000,789.507472
76,276.000,793.887628
77,277.000,798.272667
78,278.000,812.758058
79,279.000,810.478246
80,280.000,812.155878
81,281.000,817.864347
82,282.000,803.33521
83,283.000,818.288817
84,284.000,822.48247
85,285.000,820.310522
86,286.000,820.620057
87,287.000,819.424637
88,288.000,822.080618
89,289.000,824.888775
90,290.000,823.883444
91,291.000,819.52073
92,292.000,833.276152
93,293.000,826.48998
94,294.000,827.331836
95,295.000,833.076343
96,296.000,828.077794
97,297.000,845.729203
98,298.000,836.467103
99,299.000,845.873375
100,300.000,850.465518
101,301.000,851.003284
102,302.000,845.004736
103,303.000,849.162123
104,304.000,864.034137
105,305.000,841.679562
106,306.000,857.189901
107,307.000,855.550852
108,308.000,869.891952
109,309.000,856.538623
110,310.000,864.526883
111,311.000,866.484489
112,312.000,871.717289
113,313.000,856.03209
114,314.000,862.433919
115,315.000,882.212374
116,316.000,876.361192
117,317.000,876.966889
118,318.000,877.985827
119,319.000,886.007599
120,320.000,886.021247
121,321.000,883.942411
122,322.000,883.618248
123,323.000,893.538135
124,324.000,881.178388
125,325.000,894.002943
126,326.000,893.33467
127,327.000,897.970872
128,328.000,901.919145
129,329.000,895.184469
130,330.000,902.542154
131,331.000,903.691192
132,332.000,902.591451
133,333.000,907.900465
134,334.000,923.201043
135,335.000,902.590429
