pixel_index,raman_shift_cm-1,intensity
0,200.000,487.155164
1,201.000,481.697591
2,202.000,483.129198
3,203.000,470.519983
4,204.000,485.334888
5,205.000,480.743144
6,206.000,489.278422
7,207.000,477.562296
8,208.000,480.179103
9,209.000,477.53086
10,210.000,477.920271
11,211.000,486.748483
12,212.000,490.336163
13,213.000,479.02112
14,214.000,499.476814
15,215.000,491.02169
16,216.000,490.020244
17,217.000,490.336323
18,218.000,499.566622
19,219.000,489.391491
20,220.000,492.596397
21,221.000,493.734402
22,222.000,500.015267
23,223.000,500.472114
24,224.000,493.882884
25,225.000,509.129194
26,226.000,506.407096
27,227.000,502.145769
28,228.000,511.088095
29,229.000,512.757369
30,230.000,509.464048
31,231.000,510.314756
32,232.000,519.179322
33,233.000,520.516066
34,234.000,515.184859
35,235.000,515.662824
36,236.000,521.733494
37,237.000,509.177051
38,238.000,520.675232
39,239.000,518.022285
40,240.000,530.127453
41,241.000,538.516678
42,242.000,528.64483
43,243.000,547.978102
44,244.000,532.082349
45,245.000,545.133054
46,246.000,530.813547
47,247.000,539.735044
48,248.000,541.798125
49,249.000,533.850513
50,250.000,549.8876
51,251.000,552.267193
52,252.000,541.193726
53,253.000,555.663801
54,254.000,552.208445
55,255.000,551.00588
56,256.000,562.371881
57,257.000,563.622442
58,258.000,568.869972
59,259.000,557.974601
60,260.000,577.024426
61,261.000,565.855245
62,262.000,586.338089
63,263.000,584.806464
64,264.000,588.887462
65,265.000,589.048149
66,266.000,601.473296
67,267.000,606.48287
68,268.000,607.669371
69,269.000,624.960745
70,270.000,615.202474
71,271.000,647.068706
72,272.000,658.175367
73,273.000,672.446757
74,274.000,695.094352
75,275.000,731.332749
76,276.000,746.466458
77,277.000,779.487913
78,278.000,809.299068
79,279.000,845.518144
80,280.000,885.199686
81,281.000,896.039757
82,282.000,907.490472
83,283.000,913.976317
84,284.000,885.489335
85,285.000,857.41967
86,286.000,831.010976
87,287.000,780.732529
88,288.000,763.549035
89,289.000,739.690991
90,290.000,717.669213
91,291.000,702.163479
92,292.000,694.149244
93,293.000,668.434839
94,294.000,662.143013
95,295.000,660.914391
96,296.000,649.048304
97,297.000,650.519536
98,298.000,640.922698
99,299.000,630.773831
100,300.000,644.818806
101,301.000,623.232093
102,302.000,618.375181
103,303.000,645.365704
104,304.000,646.096074
105,305.000,620.254357
106,306.000,622.933399
107,307.000,636.207583
108,308.000,621.730671
109,309.000,627.042305
110,310.000,630.720403
111,311.000,625.196151
112,312.000,624.238945
113,313.000,620.942664
114,314.000,628.677977
115,315.000,634.230666
116,316.000,629.424804
117,317.000,635.888786
118,318.000,643.954501
119,319.000,628.332763
120,320.000,639.653367
121,321.000,630.738199
122,322.000,637.025169
123,323.000,640.397371
124,324.000,636.097826
125,325.000,642.311282
126,326.000,637.970757
127,327.000,642.247806
128,328.000,653.511076
129,329.000,655.172193
130,330.000,647.930442
131,331.000,647.301819
132,332.000,654.478724
133,333.000,659.133132
134,334.000,649.422044
135,335.000,646.867997
136,336.000,651.826548
137,337.000,654.081079
138,338.000,665.774749
139,339.000,659.367408
140,340.000,647.73899
141,341.000,659.38654
142,342.000,665.165057
143,343.000,664.850264
144,344.000,662.993379
145,345.000,663.110251
146,346.000,654.275104
147,347.000,664.62045
148,348.000,681.692933
149,349.000,677.94242
150,350.000,665.692316
151,351.000,663.536936
152,352.000,662.295781
153,353.000,678.248212
154,354.000,677.955853
155,355.000,682.254742
156,356.000,691.479704
157,357.000,680.387202
158,358.000,679.975288
159,359.000,681.833458
160,360.000,682.758977
161,361.000,683.430044
162,362.000,685.33007
163,363.000,690.756821
164,364.000,694.96218
165,365.000,704.914124
166,366.000,682.138403
167,367.000,694.348393
168,368.000,693.476928
169,369.000,706.666109
170,370.000,698.281127
171,371.000,698.115167
172,372.000,701.019145
173,373.000,709.217529
174,374.000,714.768281
175,375.000,709.45667
176,376.000,711.909428
177,377.000,707.89901
178,378.000,716.570239
179,379.000,720.657142
180,380.000,718.94189
181,381.000,719.794555
182,382.000,716.809754
183,383.000,720.496877
184,384.000,716.605323
185,385.000,719.70874
186,386.000,715.768886
187,387.000,725.626528
188,388.000,711.164333
189,389.000,736.116549
190,390.000,730.888921
191,391.000,736.428084
192,392.000,738.516727
193,393.000,732.056829
194,394.000,750.042061
195,395.000,743.291876
196,396.000,734.695347
197,397.000,740.144737
198,398.000,735.349475
199,399.000,738.161669
200,400.000,743.829641
201,401.000,742.572537
202,402.000,745.489079
203,403.000,744.273632
204,404.000,756.60556
205,405.000,765.88177
206,406.000,751.968192
207,407.000,749.432486
208,408.000,757.328711
209,409.000,760.28696
210,410.000,761.159115
211,411.000,747.834571
212,412.000,772.281772
213,413.000,768.307206
214,414.000,765.509527
215,415.000,774.169352
216,416.000,762.42302
217,417.000,781.665953
218,418.000,774.410342
219,419.000,775.854769
220,420.000,787.522649
221,421.000,788.344513
222,422.000,793.099607
223,423.000,785.00532
224,424.000,791.201571
225,425.000,788.992417
226,426.000,791.975795
227,427.000,783.45961
228,428.000,792.222381
229,429.000,795.330739
230,430.000,793.939648
231,431.000,802.714217
232,432.000,796.89611
233,433.000,800.858599
234,434.000,785.550301
235,435.000,793.057454
236,436.000,805.24715
237,437.000,798.052864
238,438.000,802.40603
239,439.000,808.629737
240,440.000,816.449925
241,441.000,803.37715
242,442.000,810.441283
243,443.000,823.494955
244,444.000,810.091156
245,445.000,823.039449
246,446.000,819.138254
247,447.000,820.186846
248,448.000,814.75397
249,449.000,825.110338
250,450.000,827.619648
251,451.000,829.289874
252,452.000,821.809467
253,453.000,831.679172
254,454.000,832.29194
255,455.000,836.924948
256,456.000,836.806717
257,457.000,828.64884
258,458.000,832.827089
259,459.000,834.750307
260,460.000,847.565217
261,461.000,847.581322
262,462.000,838.726236
263,463.000,832.156072
264,464.000,849.341384
265,465.000,848.036805
266,466.000,857.922934
267,467.000,852.852976
268,468.000,848.521973
269,469.000,856.35845
270,470.000,858.845614
271,471.000,864.672724
272,472.000,857.541103
273,473.000,861.421306
274,474.000,869.136245
275,475.000,859.199857
276,476.000,872.156697
277,477.000,880.108948
278,478.000,862.843849
279,479.000,872.752613
280,480.000,870.504244
281,481.000,873.211533
282,482.000,885.931132
283,483.000,892.524849
284,484.000,887.274514
285,485.000,885.33191
286,486.000,886.028228
287,487.000,875.225169
288,488.000,894.881874
289,489.000,875.741628
290,490.000,890.917285
291,491.000,901.847471
292,492.000,903.532137
293,493.000,904.7042
294,494.000,894.394276
295,495.000,893.632922
296,496.000,891.884828
297,497.000,910.942586
298,498.000,910.465223
299,499.000,902.407272
300,500.000,917.68855
301,501.000,905.183403
302,502.000,902.195247
303,503.000,912.664106
304,504.000,919.763858
305,505.000,913.695427
306,506.000,923.706996
307,507.000,915.254999
308,508.000,908.602776
309,509.000,922.829785
310,510.000,923.808541
311,511.000,927.861315
312,512.000,929.249273
313,513.000,938.499387
314,514.000,928.022929
315,515.000,925.587776
316,516.000,936.106184
317,517.000,937.556367
318,518.000,943.488988
319,519.000,950.793572
320,520.000,944.064436
321,521.000,943.753884
322,522.000,944.941534
323,523.000,956.96335
324,524.000,951.209952
325,525.000,962.160539
326,526.000,945.359165
327,527.000,961.343979
328,528.000,961.631338
329,529.000,954.106035
330,530.000,960.507057
331,531.000,957.995453
332,532.000,979.039056
333,533.000,957.31242
334,534.000,972.816699
335,535.000,973.998862
336,536.000,970.21007
337,537.000,975.20805
338,538.000,980.429359
339,539.000,962.965335
340,540.000,983.821635
341,541.000,968.036854
342,542.000,979.892099
343,543.000,994.282186
344,544.000,977.710912
345,545.000,986.070589
346,546.000,994.284629
347,547.000,983.463128
348,548.000,995.703326
349,549.000,990.568641
350,550.000,995.425616
351,551.000,995.2697
352,552.000,999.780411
353,553.000,1006.322485
354,554.000,1014.473579
355,555.000,1002.985831
356,556.000,1002.712173
357,557.000,1001.256099
358,558.000,1012.864279
359,559.000,1013.885326
360,560.000,1018.042355
361,561.000,1010.132896
362,562.000,1012.521417
363,563.000,1026.227619
364,564.000,1029.087292
365,565.000,1030.739594
366,566.000,1014.688956
367,567.000,1029.240535
368,568.000,1032.00664
369,569.000,1033.538715
370,570.000,1032.145284
371,571.000,1042.236094
372,572.000,1028.140971
373,573.000,1035.989917
374,574.000,1032.898615
375,575.000,1040.25134
376,576.000,1048.69128
377,577.000,1046.413465
378,578.000,1040.92769
379,579.000,1053.357563
380,580.000,1051.189657
381,581.000,1047.818796
382,582.000,1075.116483
383,583.000,1060.799539
384,584.000,1057.279719
385,585.000,1055.209924
386,586.000,1060.438684
387,587.000,1064.373517
388,588.000,1062.457674
389,589.000,1059.650792
390,590.000,1072.858503
391,591.000,1064.775363
392,592.000,1080.125316
393,593.000,1073.257639
394,594.000,1075.123502
395,595.000,1075.371821
396,596.000,1078.321183
397,597.000,1082.439362
398,598.000,1085.758696
399,599.000,1089.770418
400,600.000,1095.406508
401,601.000,1087.476573
402,602.000,1087.331498
403,603.000,1091.751889
404,604.000,1098.351555
405,605.000,1096.217656
406,606.000,1086.017574
407,607.000,1094.466648
408,608.000,1098.292379
409,609.000,1105.180896
410,610.000,1100.390849
411,611.000,1107.9049
412,612.000,1105.079022
413,613.000,1108.840268
414,614.000,1118.340793
415,615.000,1122.484208
416,616.000,1116.560399
417,617.000,1108.666981
418,618.000,1108.958746
419,619.000,1123.926167
420,620.000,1123.620807
421,621.000,1119.209688
422,622.000,1124.522278
423,623.000,1132.953331
424,624.000,1133.954587
425,625.000,1134.485116
426,626.000,1134.393844
427,627.000,1142.476215
428,628.000,1152.109486
429,629.000,1137.543912
430,630.000,1142.17259
431,631.000,1144.193272
432,632.000,1151.076332
433,633.000,1152.966407
434,634.000,1144.083683
435,635.000,1152.83851
436,636.000,1160.094327
437,637.000,1154.702536
438,638.000,1155.948685
439,639.000,1157.734065
440,640.000,1163.606428
441,641.000,1164.373942
442,642.000,1171.251543
443,643.000,1171.591402
444,644.000,1177.467692
445,645.000,1157.453172
446,646.000,1168.976651
447,647.000,1167.807636
448,648.000,1171.701356
449,649.000,1182.20322
450,650.000,1178.126878
451,651.000,1180.466313
452,652.000,1188.204853
453,653.000,1185.476455
454,654.000,1183.733889
455,655.000,1199.766868
456,656.000,1190.47281
457,657.000,1190.462068
458,658.000,1196.174313
459,659.000,1201.774278
460,660.000,1197.687346
461,661.000,1205.937785
462,662.000,1194.762174
463,663.000,1205.687192
464,664.000,1212.059201
465,665.000,1209.970509
466,666.000,1220.776256
467,667.000,1204.939868
468,668.000,1217.894409
469,669.000,1213.179533
470,670.000,1209.11375
471,671.000,1217.6928
472,672.000,1230.22053
473,673.000,1219.331343
474,674.000,1225.332333
475,675.000,1225.548535
476,676.000,1234.693832
477,677.000,1227.828791
478,678.000,1233.514299
479,679.000,1248.471824
480,680.000,1240.747678
481,681.000,1241.0134
482,682.000,1234.67418
483,683.000,1248.316761
484,684.000,1258.57558
485,685.000,1246.67916
486,686.000,1248.960772
487,687.000,1256.889318
488,688.000,1251.282207
489,689.000,1258.946199
490,690.000,1263.013442
491,691.000,1271.010551
492,692.000,1274.069316
493,693.000,1271.714793
494,694.000,1265.303227
495,695.000,1290.703921
496,696.000,1280.864209
497,697.000,1283.986059
498,698.000,1284.189925
499,699.000,1301.508954
500,700.000,1308.572277
501,701.000,1308.873817
502,702.000,1314.871571
503,703.000,1324.730801
504,704.000,1318.377578
505,705.000,1345.170786
506,706.000,1352.675881
507,707.000,1381.818306
508,708.000,1404.596997
509,709.000,1425.424355
510,710.000,1472.931647
511,711.000,1504.126825
512,712.000,1514.97575
513,713.000,1507.022539
514,714.000,1475.335421
515,715.000,1443.549388
516,716.000,1415.127624
517,717.000,1391.028771
518,718.000,1375.524795
519,719.000,1364.758288
520,720.000,1356.763066
521,721.000,1340.843031
522,722.000,1346.371074
523,723.000,1350.944323
524,724.000,1349.111232
525,725.000,1336.580796
526,726.000,1335.824763
527,727.000,1342.147338
528,728.000,1344.410931
529,729.000,1345.006376
530,730.000,1330.317037
531,731.000,1347.289129
532,732.000,1352.175117
533,733.000,1356.522676
534,734.000,1347.30257
535,735.000,1353.176512
536,736.000,1347.577611
537,737.000,1357.97596
538,738.000,1344.67884
539,739.000,1351.971394
540,740.000,1349.953956
541,741.000,1360.084991
542,742.000,1356.977361
543,743.000,1357.284155
544,744.000,1370.930904
545,745.000,1360.154274
546,746.000,1372.142087
547,747.000,1363.754492
548,748.000,1362.928632
549,749.000,1358.182698
550,750.000,1372.861363
551,751.000,1377.718796
552,752.000,1374.64275
553,753.000,1385.325256
554,754.000,1383.517046
555,755.000,1383.467173
556,756.000,1387.467433
557,757.000,1389.991561
558,758.000,1401.821878
559,759.000,1385.287914
560,760.000,1386.256426
561,761.000,1398.072058
562,762.000,1396.057605
563,763.000,1392.091158
564,764.000,1400.824976
565,765.000,1399.202213
566,766.000,1396.283435
567,767.000,1409.3281
568,768.000,1402.402793
569,769.000,1412.251148
570,770.000,1408.365303
571,771.000,1421.683952
572,772.000,1417.332724
573,773.000,1418.810677
574,774.000,1420.05194
575,775.000,1426.371719
576,776.000,1411.504466
577,777.000,1415.225717
578,778.000,1432.296318
579,779.000,1430.7172
580,780.000,1420.444287
581,781.000,1428.811128
582,782.000,1431.29628
583,783.000,1447.184963
584,784.000,1432.570998
585,785.000,1446.991855
586,786.000,1436.479658
587,787.000,1440.783549
588,788.000,1448.323724
589,789.000,1442.4217
590,790.000,1450.665724
591,791.000,1451.995019
592,792.000,1457.751866
593,793.000,1453.24685
594,794.000,1455.140558
595,795.000,1454.335788
596,796.000,1445.760948
597,797.000,1457.634001
598,798.000,1462.178518
599,799.000,1478.839811
600,800.000,1456.788795
601,801.000,1462.908754
602,802.000,1479.803804
603,803.000,1471.259049
604,804.000,1487.707024
605,805.000,1480.259629
606,806.000,1475.94552
607,807.000,1480.585217
608,808.000,1486.007356
609,809.000,1488.311116
610,810.000,1489.859674
611,811.000,1487.838652
612,812.000,1500.327074
613,813.000,1497.635208
614,814.000,1492.182171
615,815.000,1495.693567
616,816.000,1495.023563
617,817.000,1502.786243
618,818.000,1507.887712
619,819.000,1505.690066
620,820.000,1504.637853
621,821.000,1502.292535
622,822.000,1511.18702
623,823.000,1508.854062
624,824.000,1515.585704
625,825.000,1521.909038
626,826.000,1524.998012
627,827.000,1535.916373
628,828.000,1526.91076
629,829.000,1513.079913
630,830.000,1531.011848
631,831.000,1521.092466
632,832.000,1524.636182
633,833.000,1527.510337
634,834.000,1520.551093
635,835.000,1535.387951
636,836.000,1534.561514
637,837.000,1542.423671
638,838.000,1547.423846
639,839.000,1546.426863
640,840.000,1542.580801
641,841.000,1549.219503
642,842.000,1547.574073
643,843.000,1544.394606
644,844.000,1549.048997
645,845.000,1548.508102
646,846.000,1550.505628
647,847.000,1554.869541
648,848.000,1566.471421
649,849.000,1566.7617
650,850.000,1574.405229
651,851.000,1569.786395
652,852.000,1563.948565
653,853.000,1557.932801
654,854.000,1579.844536
655,855.000,1575.904292
656,856.000,1563.427685
657,857.000,1585.468698
658,858.000,1586.343686
659,859.000,1574.241542
660,860.000,1570.892766
661,861.000,1585.250915
662,862.000,1581.788031
663,863.000,1583.848853
664,864.000,1585.685342
665,865.000,1586.44779
666,866.000,1593.475094
667,867.000,1602.62116
668,868.000,1596.039786
669,869.000,1607.65339
670,870.000,1593.373737
671,871.000,1606.936347
672,872.000,1608.123122
673,873.000,1605.239076
674,874.000,1614.455137
