pixel_index,raman_shift_cm-1,intensity
0,200.000,-6.918120542911538
1,201.000,-13.425438055704376
2,202.000,-13.04585663402679
3,203.000,-26.709380612860173
4,204.000,-12.951070294511453
5,205.000,-18.601696948663346
6,206.000,-11.127591812424328
7,207.000,-23.907183090379306
8,208.000,-22.356135954639456
9,209.000,-26.072435544892073
10,210.000,-26.753379968451554
11,211.000,-18.997824300308764
12,212.000,-16.485103583181683
13,213.000,-28.877410827565484
14,214.000,-9.501288011782549
15,215.000,-19.03829208203291
16,216.000,-21.123928952444032
17,217.000,-21.894353505121444
18,218.000,-13.752872590198706
19,219.000,-25.019138025887287
20,220.000,-22.907684598527226
21,221.000,-22.86545206263719
22,222.000,-17.68268114096429
23,223.000,-18.32625152453471
24,224.000,-26.018223872703402
25,225.000,-11.876982813205018
26,226.000,-15.706477942203037
27,227.000,-21.077531824340895
28,228.000,-13.247263992791488
29,229.000,-12.692380949307903
30,230.000,-17.10242716427325
31,231.000,-17.370780076750407
32,232.000,-9.627612094533333
33,233.000,-9.414604594196021
34,234.000,-15.871887921143866
35,235.000,-16.522340389662418
36,236.000,-11.582430282968971
37,237.000,-25.271976853261663
38,238.000,-14.909244321770302
39,239.000,-18.699985878806388
40,240.000,-7.734959683813031
41,241.000,-0.4882248654153045
42,242.000,-11.504912521470487
43,243.000,6.681169280881818
44,244.000,-10.364125494830432
45,245.000,1.534685145537992
46,246.000,-13.939069773300275
47,247.000,-6.174175196115812
48,248.000,-5.270052037212281
49,249.000,-14.378978180476679
50,250.000,0.49443752057050006
51,251.000,1.708001242725004
52,252.000,-10.533853806951356
53,253.000,2.765473608819889
54,254.000,-1.8629902425180944
55,255.000,-4.241024063405575
56,256.000,5.947146473782141
57,257.000,6.017514726685135
58,258.000,10.08248908290875
59,259.000,-1.9978010400267294
60,260.000,15.864740805263523
61,261.000,3.5059120959792835
62,262.000,22.796743339084287
63,263.000,20.07074007125709
64,264.000,22.954993858839885
65,265.000,21.916570297788894
66,266.000,33.14024001362441
67,267.000,36.94596966137988
68,268.000,36.92625892555213
69,269.000,53.00905352005179
70,270.000,42.03983518815187
71,271.000,72.69275170243861
72,272.000,82.58372886476104
73,273.000,95.6370665061803
74,274.000,117.06424048692043
75,275.000,152.07984769631764
76,276.000,165.9883980527694
77,277.000,197.78232550368637
78,278.000,226.36358402543942
79,279.000,261.3503946233121
80,280.000,299.7973023314487
81,281.000,309.4003702128048
82,282.000,319.61171335909705
83,283.000,324.855817890753
84,284.000,295.1247269568605
85,285.000,265.80858473511853
86,286.000,238.15104543178563
87,287.000,186.62138528163086
88,288.000,168.18431054788334
89,289.000,143.07031852218176
90,290.000,119.79022552452466
91,291.000,103.0238099032199
92,292.000,93.74652703483434
93,293.000,66.7667083241447
