pixel_index,raman_shift_cm-1,intensity
0,200.000,-0.030685616849392933
1,201.000,-0.009212774544270844
2,202.000,0.004648966086475027
3,203.000,0.012464734956286083
4,204.000,0.01579966197860375
5,205.000,0.016218877066869333
6,206.000,0.01518007708282128
7,207.000,0.019194585151875516
8,208.000,0.01978619943771259
9,209.000,0.02650454632897682
10,210.000,0.024825259893889833
11,211.000,0.01690400988547609
12,212.000,0.012533609747125267
13,213.000,0.006184854494788385
14,214.000,0.0018240565213713767
15,215.000,0.003941492280458534
16,216.000,-0.005955917085189015
17,217.000,-0.0010844183916973427
18,218.000,0.002422947732260999
19,219.000,0.011879181731257698
20,220.000,0.009050124822140898
21,221.000,0.0006093680989187743
22,222.000,1.0239927812595299e-05
23,223.000,-0.0048337641725023925
24,224.000,-0.0028288995542265732
25,225.000,-0.008224518733273943
26,226.000,-0.017697603498583837
27,227.000,-0.013698215223837221
28,228.000,-0.005749089750607133
29,229.000,0.004794081630824085
30,230.000,0.011694158807460515
31,231.000,0.013875042430762307
32,232.000,0.0174713035768832
33,233.000,0.022390740295194948
34,234.000,0.024475602641894623
35,235.000,0.020753912129064925
36,236.000,0.01573558937351767
37,237.000,0.01609128785457355
38,238.000,0.00700077286484524
39,239.000,0.004808905108533277
40,240.000,0.004109162132931672
41,241.000,-0.0019211402393264755
42,242.000,-0.005839657261155956
43,243.000,0.004066184795588296
44,244.000,0.005700790336912269
45,245.000,0.005716372433496039
46,246.000,0.006307005439418385
47,247.000,0.014475378363976478
48,248.000,0.00368183508315805
49,249.000,0.0047016048111439175
50,250.000,0.0036748169477402565
51,251.000,0.002047793529172566
52,252.000,-0.0047200187019320805
53,253.000,-0.0021849690572042927
54,254.000,-0.006173606110830112
55,255.000,-0.010621796812816373
56,256.000,-0.012062974911876287
57,257.000,-0.007935473837327933
58,258.000,-0.010716419753846322
59,259.000,0.00027352922432923585
60,260.000,0.0003209682823182875
61,261.000,0.002313636972374905
62,262.000,-0.0041004204260233585
63,263.000,-0.0037821818058075335
64,264.000,-0.0040218304337930055
65,265.000,-0.0019648128121519766
66,266.000,0.003710337690313186
67,267.000,0.003378295442561964
68,268.000,0.0030811830594566934
69,269.000,0.010112830497938246
70,270.000,0.007386782825669077
71,271.000,0.007347027691217344
72,272.000,0.0071180252203044405
73,273.000,0.0030248085290863133
74,274.000,0.008838837938161485
75,275.000,0.012138790061771463
76,276.000,0.0009884098331888343
77,277.000,-0.0033821541938951457
78,278.000,-0.012135265329405561
79,279.000,-0.017088943873974912
80,280.000,-0.014305078934500002
81,281.000,-0.012111389700764127
82,282.000,-0.005810651698529094
83,283.000,-0.009192106215780422
84,284.000,-0.005010123386836774
85,285.000,-0.009384883482204025
86,286.000,-0.01589509113847971
87,287.000,-0.02041313722117114
88,288.000,-0.027001293096232053
89,289.000,-0.03359679877658854
90,290.000,-0.025416996692327165
91,291.000,-0.020390263428956997
92,292.000,-0.014290902703121154
93,293.000,-0.008601699340022894
94,294.000,0.003158144764187913
95,295.000,0.013432935697324061
96,296.000,0.021695143139165058
97,297.000,0.009085686473099574
98,298.000,0.010500906354776945
99,299.000,0.00731206294164823
100,300.000,0.005317655947284108
101,301.000,-0.0007669435410561052
102,302.000,-0.003446307995744036
103,303.000,-0.005561152959425803
104,304.000,-0.0051885729503733736
105,305.000,-0.010333457213179428
106,306.000,-0.012658077992115976
107,307.000,-0.021422452002610486
108,308.000,-0.013184867649958092
109,309.000,-0.0056450975900302625
110,310.000,-0.0036414931666120926
111,311.000,0.0005171625189868297
112,312.000,0.0004649827370975532
113,313.000,-0.003186409626675554
114,314.000,-0.009419686505152439
115,315.000,-0.0194013200795982
116,316.000,-0.023243870667610446
117,317.000,-0.024651457016369702
118,318.000,-0.020329561378738432
119,319.000,-0.01334941678361682
120,320.000,-0.007647734641702725
121,321.000,0.0012142993981263687
122,322.000,-0.007609155982069142
123,323.000,-0.006614249991869566
124,324.000,-0.012785504316949834
125,325.000,-0.01641620721651732
126,326.000,-0.016550071035683168
127,327.000,-0.012292074676022544
128,328.000,-0.0099461506901574
129,329.000,-0.006085865914954098
130,330.000,-0.0006617913693861254
131,331.000,0.005847971479452927
132,332.000,-0.003227121134724622
133,333.000,-0.004159387504023787
134,334.000,-0.010899942259911153
135,335.000,-0.009910268871759205
136,336.000,-0.01131492365791875
137,337.000,-0.012501301792814595
138,338.000,-0.018050049686842196
139,339.000,-0.020977500666735472
140,340.000,-0.020130014613129892
141,341.000,-0.01593828568285844
142,342.000,-0.015972698915910088
143,343.000,-0.018626689661741875
144,344.000,-0.006828752279353742
145,345.000,0.003983485437611267
146,346.000,0.0047574772959569495
147,347.000,0.006876497069788706
148,348.000,0.009971505862096735
149,349.000,0.01727253228366357
150,350.000,0.013057510311128654
151,351.000,0.013379791135787838
152,352.000,0.007248278518136436
153,353.000,0.0013065340539029871
154,354.000,0.008237993091180906
155,355.000,0.006597013395066109
156,356.000,-0.00010229655768583594
157,357.000,0.0020926145418307413
158,358.000,0.007132664221097538
159,359.000,-0.0007793018737639406
160,360.000,-0.002108490315408611
161,361.000,-0.006452242301420035
162,362.000,-0.01208628701179069
163,363.000,-0.008688716376277642
164,364.000,-0.009877202663392365
165,365.000,-0.01164756244102304
166,366.000,-0.0023876321199550075
167,367.000,0.01194299779469683
168,368.000,0.017089887450911743
169,369.000,0.010058303671111333
170,370.000,0.013887043458247192
171,371.000,0.011947322204148306
172,372.000,0.013300156467460335
173,373.000,0.014193153580136316
174,374.000,0.010155386541274725
175,375.000,0.013283017786334995
176,376.000,0.017923893898463026
177,377.000,0.020997405142821193
178,378.000,0.013126995346332061
179,379.000,0.003515384788182178
180,380.000,-0.0042122768126539945
181,381.000,-0.008373098006747392
182,382.000,-0.008252869237340464
183,383.000,-0.009887846203395294
184,384.000,-0.0010420832583944463
185,385.000,0.0033724735948300055
186,386.000,0.0045649280818465835
187,387.000,0.0038436595379267467
188,388.000,0.011890465779717708
