pixel_index,raman_shift_cm-1,intensity
0,-224.846,9.6
1,-221.778,9.3
2,-218.712,9.3
3,-215.647,9.5
4,-212.583,9.5
5,-209.521,9.4
6,-206.460,9.5
7,-203.399,9.4
8,-200.340,9.5
9,-197.283,9.5
10,-194.226,9.4
11,-191.171,9.4
12,-188.116,9.5
13,-185.064,9.4
14,-182.012,9.4
15,-178.961,9.5
16,-175.912,9.3
17,-172.864,9.3
18,-169.817,9.3
19,-166.771,9.4
20,-163.726,9.4
21,-160.683,9.3
22,-157.641,9.4
23,-154.600,9.3
24,-151.560,9.4
25,-148.521,9.3
26,-145.484,9.3
27,-142.447,9.6
28,-139.412,9.3
29,-136.379,9.6
30,-133.346,9.5
31,-130.314,9.4
32,-127.284,9.4
33,-124.255,9.2
34,-121.227,9.3
35,-118.200,9.5
36,-115.175,9.4
37,-112.150,9.4
38,-109.127,9.4
39,-106.105,9.5
40,-103.084,9.4
41,-100.065,9.3
42,-97.046,9.5
43,-94.029,9.3
44,-91.013,9.5
45,-87.998,9.4
46,-84.984,9.5
47,-81.972,9.3
48,-78.960,9.4
49,-75.950,9.3
50,-72.941,9.4
51,-69.933,9.4
52,-66.927,9.3
53,-63.921,9.4
54,-60.917,9.3
55,-57.914,9.2
56,-54.912,9.4
57,-51.911,9.3
58,-48.912,9.6
59,-45.913,9.5
60,-42.916,9.3
61,-39.920,9.4
62,-36.925,9.3
63,-33.931,9.4
64,-30.939,9.6
65,-27.947,9.5
66,-24.957,9.5
67,-21.968,9.6
68,-18.980,9.4
69,-15.993,9.3
70,-13.008,9.4
71,-10.023,9.5
72,-7.040,9.4
73,-4.058,9.4
74,-1.077,9.4
75,1.903,9.3
76,4.881,9.2
77,7.859,9.4
78,10.835,9.4
79,13.810,9.5
80,16.784,9.6
81,19.757,9.5
82,22.728,9.4
83,25.699,9.4
84,28.668,9.3
85,31.636,9.3
86,34.603,9.4
87,37.569,9.3
88,40.534,9.4
89,43.497,9.4
90,46.460,9.3
91,49.421,9.4
92,52.381,9.3
93,55.340,9.3
94,58.297,9.4
95,61.254,9.5
96,64.209,9.3
97,67.164,9.6
98,70.117,9.4
99,73.069,9.4
100,76.020,9.4
101,78.969,9.5
102,81.918,9.4
103,84.865,9.6
104,87.811,9.4
105,90.757,9.4
106,93.700,9.5
107,96.643,9.4
108,99.585,9.4
109,102.525,9.4
110,105.465,9.4
111,108.403,9.4
112,111.340,9.5
113,114.276,9.4
114,117.211,9.5
115,120.144,9.4
116,123.077,9.6
117,126.008,9.3
118,128.938,9.5
119,131.868,9.5
120,134.795,9.6
121,137.722,9.3
122,140.648,9.6
123,143.572,9.4
124,146.496,9.5
125,149.418,9.5
126,152.339,9.6
127,155.259,9.4
128,158.178,9.7
129,161.096,9.5
130,164.012,9.3
131,166.928,9.4
132,169.842,9.3
133,172.755,9.5
134,175.667,9.5
135,178.578,9.6
136,181.488,9.5
137,184.397,9.4
138,187.304,9.4
139,190.211,9.4
140,193.116,9.4
141,196.020,9.4
142,198.923,9.4
143,201.825,9.6
144,204.726,9.5
145,207.625,9.6
146,210.524,9.4
147,213.421,9.4
148,216.318,9.5
149,219.213,9.4
150,222.107,9.4
151,225.000,9.4
152,227.891,9.4
153,230.782,9.5
154,233.672,9.4
155,236.560,9.5
156,239.447,9.3
157,242.333,9.4
158,245.218,9.6
159,248.102,9.3
160,250.985,9.4
161,253.867,9.4
