pixel_index,raman_shift_cm-1,intensity
0,200.000,1.9588829999999997
1,201.000,-3.260721
2,202.000,-0.5129474999999999
3,203.000,0.405011
4,204.000,0.07222899999999988
5,205.000,3.7008115000000004
6,206.000,2.907495
7,207.000,-3.7166580000000007
8,208.000,1.3645265
9,209.000,0.05870350000000002
10,210.000,-5.606222499999999
11,211.000,1.8658735000000002
12,212.000,3.4313275
13,213.000,1.8986435000000002
14,214.000,3.111771
15,215.000,4.6706185
16,216.000,-5.2795375
17,217.000,-3.4108625
18,218.000,2.3464515
19,219.000,1.0530545
20,220.000,4.8429125
21,221.000,4.3569105
22,222.000,-14.034333
23,223.000,-8.5206095
24,224.000,7.193225
25,225.000,5.272871500000001
26,226.000,4.066033
27,227.000,1.5773994999999998
28,228.000,1.5058855000000002
29,229.000,-5.3212265
30,230.000,2.6872325000000004
31,231.000,5.961698
32,232.000,-7.6806605
33,233.000,-4.007313
34,234.000,0.40341750000000004
35,235.000,4.3524735
36,236.000,5.99387
37,237.000,-5.53765
38,238.000,-1.823271
39,239.000,-0.649534
40,240.000,-1.7917895000000001
41,241.000,2.7683365
42,242.000,0.788154
43,243.000,-9.264431
44,244.000,0.03539449999999977
45,245.000,8.927704499999999
46,246.000,-0.3308789999999999
47,247.000,4.954908
48,248.000,-4.0597695
49,249.000,-4.344459
50,250.000,3.7944674999999997
51,251.000,0.2868115
52,252.000,-1.8431929999999999
53,253.000,-4.5580035
54,254.000,-0.11290349999999999
55,255.000,4.613693
56,256.000,2.1627544999999997
57,257.000,-3.9008145
58,258.000,-4.7824975
59,259.000,5.1204525
60,260.000,1.4499045000000002
61,261.000,-1.1457424999999999
62,262.000,2.1365535
63,263.000,1.0877124999999999
64,264.000,-7.5367445
65,265.000,-3.91208
66,266.000,5.8362765
67,267.000,-5.698487500000001
68,268.000,-0.25850700000000004
69,269.000,5.8006435000000005
70,270.000,-0.7279605
71,271.000,-2.4930000000000003
72,272.000,-3.4592704999999997
73,273.000,-1.2948934999999997
74,274.000,7.0155525
75,275.000,3.0942454999999995
76,276.000,-1.0867730000000002
77,277.000,-0.5590009999999999
78,278.000,2.0835730000000003
79,279.000,0.07399699999999987
80,280.000,-4.4031135
81,281.000,2.960065
82,282.000,0.2795635000000001
83,283.000,-4.8750230000000006
84,284.000,-1.1886279999999998
85,285.000,6.035453
86,286.000,8.7653855
