pixel_index,raman_shift_cm-1,intensity
0,-224.846,0.07453125533556614
1,-221.778,0.07579420218876849
2,-218.712,0.07542430510652408
3,-215.647,0.07387535039306356
4,-212.583,0.07160112435261762
5,-209.521,0.06905541328941699
6,-206.460,0.06745102488962307
7,-203.399,0.06601246132344532
8,-200.340,0.06414572934731368
9,-197.283,0.06559645640157882
10,-194.226,0.06526602326459154
11,-191.171,0.06982063829253088
12,-188.116,0.06868352916490977
13,-185.064,0.06840540056312298
14,-182.012,0.06689071602864337
15,-178.961,0.06564103910518469
16,-175.912,0.06272583748273702
17,-172.864,0.061428723912329695
18,-169.817,0.055364041504930364
19,-166.771,0.053062548773074536
20,-163.726,0.0515706840182032
21,-160.683,0.05196099750501527
22,-157.641,0.0509169169857453
23,-154.600,0.05348760309480854
24,-151.560,0.051934359939378505
25,-148.521,0.053550410253685815
26,-145.484,0.055167685073057526
27,-142.447,0.05780923200078921
28,-139.412,0.054445874068385296
29,-136.379,0.05327835845620782
30,-133.346,0.05102311214535367
31,-130.314,0.05020472374589798
32,-127.284,0.04861214971225792
33,-124.255,0.0493639947971302
34,-121.227,0.04661911390162849
35,-118.200,0.04681270378583012
36,-115.175,0.04699119940678054
37,-112.150,0.04641209712996765
38,-109.127,0.04416788852520175
39,-106.105,0.041001110941191174
40,-103.084,0.041086397160597365
41,-100.065,0.04082666322501251
42,-97.046,0.04124495371482908
43,-94.029,0.04443684290223208
44,-91.013,0.04192111016267974
45,-87.998,0.04217900731321822
46,-84.984,0.042801482540941994
47,-81.972,0.04111547648866339
48,-78.960,0.036262980185590495
49,-75.950,0.030059058955856657
50,-72.941,0.029367918624845054
51,-69.933,0.02942094070424529
52,-66.927,0.02904660675037238
53,-63.921,0.029003951929603793
54,-60.917,0.02645491100028495
55,-57.914,0.027834676925544866
56,-54.912,0.02512403974138161
57,-51.911,0.02274513596433797
58,-48.912,0.02516960331378492
59,-45.913,0.030466900947319357
60,-42.916,0.040171584397482744
61,-39.920,0.053508144657256514
62,-36.925,0.07569073943969967
63,-33.931,0.10209925227040621
64,-30.939,0.11469869272089332
65,-27.947,0.11820820420061608
66,-24.957,0.10693513984305356
67,-21.968,0.09241333260248562
68,-18.980,0.07314125205759588
69,-15.993,0.04882190118420103
70,-13.008,0.025279953364328436
71,-10.023,0.01198668342340595
72,-7.040,0.011021160052698698
73,-4.058,0.013968159375661695
74,-1.077,0.014310010227678877
75,1.903,0.016221339208407817
76,4.881,0.017623098510597443
77,7.859,0.019554827063979596
78,10.835,0.01622487330175409
79,13.810,0.013754917447395246
80,16.784,0.009620398656307188
81,19.757,0.005636376846846528
82,22.728,0.003733415003051463
83,25.699,0.0030039968787843683
84,28.668,0.004520661248202618
85,31.636,0.006204358921749484
86,34.603,0.006883565847719352
87,37.569,0.0055352619642879235
88,40.534,0.0024234629237855493
89,43.497,0.003174833654009653
90,46.460,0.001502706991817122
91,49.421,8.016527875349448e-05
92,52.381,0.0018937994484225199
93,55.340,0.0040890375374078095
94,58.297,0.006170873186235661
95,61.254,0.009723357824376848
96,64.209,0.011660912629846858
97,67.164,0.015597145303821114
98,70.117,0.02143305996380386
99,73.069,0.03144572679546211
100,76.020,0.03820994551016134
101,78.969,0.04207223223027394
102,81.918,0.046217182022211915
103,84.865,0.050248790051174816
104,87.811,0.048886915261083796
105,90.757,0.04731270795100578
106,93.700,0.04593868541876351
107,96.643,0.04341181563786985
108,99.585,0.040788133577324505
109,102.525,0.04283627752339878
110,105.465,0.043121073458645416
111,108.403,0.042665555049795606
112,111.340,0.04311977330851032
113,114.276,0.046414286937284006
114,117.211,0.044612379578696224
115,120.144,0.04441324255786382
116,123.077,0.043869826163785645
117,126.008,0.04265212562005663
118,128.938,0.04414273947503844
119,131.868,0.04581710156337085
120,134.795,0.04472163364666307
121,137.722,0.043380910007905046
122,140.648,0.04281796297435782
123,143.572,0.042009767746318684
124,146.496,0.03783774101864551
125,149.418,0.03728158074320812
126,152.339,0.036315178098343975
127,155.259,0.03482303311148415
128,158.178,0.037144769831975365
129,161.096,0.037274223928336604
130,164.012,0.03978202566303179
131,166.928,0.03886001599973557
132,169.842,0.03899632268171953
133,172.755,0.038788409209367214
134,175.667,0.040859851155901836
135,178.578,0.0444516297365068
136,181.488,0.04284806008673442
137,184.397,0.04108178458431445
138,187.304,0.0424033958477998
139,190.211,0.046482886623622655
140,193.116,0.04822161668421861
141,196.020,0.04697606983386676
142,198.923,0.04525431758849637
143,201.825,0.0487325196361845
144,204.726,0.04980396545849872
145,207.625,0.0461090906402141
146,210.524,0.04150900399580432
147,213.421,0.039270797689837614
148,216.318,0.03837144425175807
149,219.213,0.038546937262758596
150,222.107,0.03593616998020917
151,225.000,0.03649580912216937
152,227.891,0.03722277166273334
153,230.782,0.040806633098436976
154,233.672,0.03817214102429047
155,236.560,0.03553996913869804
156,239.447,0.037348741393934196
157,242.333,0.039407341196993344
158,245.218,0.04021422680472894
159,248.102,0.03841636052170944
160,250.985,0.04023441559230621
161,253.867,0.040289241961805757
162,256.748,0.04334947223901566
163,259.627,0.0416268890690157
164,262.505,0.04058314419639139
165,265.383,0.04137326928268373
166,268.259,0.04709935015559404
167,271.134,0.049230648428267854
168,274.008,0.05012672907054088
169,276.880,0.04826954892559308
170,279.752,0.05050679785153859
171,282.623,0.05126131942616002
172,285.492,0.05036810794668146
173,288.360,0.04916369946761471
174,291.228,0.04705407617160376
175,294.094,0.047042320389223326
176,296.959,0.04736288150197593
177,299.823,0.04474866697514716
178,302.685,0.04172424557177387
179,305.547,0.04081418597798494
180,308.408,0.04025293726637833
181,311.267,0.04025500360494374
182,314.126,0.03723978334215351
183,316.983,0.037922961641489006
184,319.839,0.0361993663601655
185,322.694,0.03627661263140305
186,325.548,0.028386426100281213
187,328.401,0.02567967094473374
188,331.253,0.022199678870829402
189,334.103,0.024827139206160625
190,336.953,0.02150021340525254
191,339.801,0.020436127896519017
192,342.649,0.021205868125915725
193,345.495,0.022637898781938854
194,348.340,0.02177863483142201
195,351.184,0.022175672318979222
196,354.027,0.018845869527446272
197,356.869,0.018372906964524354
198,359.709,0.018545720021167143
199,362.549,0.01995832218250481
200,365.388,0.019013610090747028
201,368.225,0.01940768353779144
202,371.061,0.02231207190938965
203,373.897,0.022628129820499287
204,376.731,0.02152738653244053
205,379.564,0.02452099216169724
206,382.396,0.024728251485189878
207,385.227,0.025960767143213354
208,388.057,0.02848254286826434
209,390.885,0.027079429693832202
210,393.713,0.02592604019751257
211,396.539,0.026787919774109964
212,399.365,0.027569506177423382
213,402.189,0.026175237104319588
214,405.012,0.026746723984054047
215,407.835,0.02304678900183212
216,410.656,0.024035177725283494
217,413.476,0.026131286250676795
218,416.295,0.024302470161278105
219,419.112,0.019307746361937935
220,421.929,0.017268781125894528
221,424.745,0.014208959301427813
222,427.559,0.011794822922153692
223,430.373,0.011214400637078858
224,433.185,0.01203867598777316
225,435.996,0.009928023502430739
226,438.807,0.013248171673364242
227,441.616,0.016042449872818408
228,444.424,0.016182294088015203
229,447.231,0.013816203704346646
230,450.037,0.016237377134687765
231,452.842,0.011796484941444352
232,455.645,0.012126346359486964
233,458.448,0.011847806565980541
234,461.250,0.012132393216259706
235,464.050,0.013392612771232108
236,466.849,0.01706400015180693
237,469.648,0.02146350333995838
238,472.445,0.024149049124702567
239,475.241,0.025615646088524176
240,478.036,0.023107712198358735
241,480.830,0.021459876867518327
242,483.623,0.04144621359405637
243,486.415,0.07692854596798127
244,489.206,0.12587731201802732
245,491.996,0.19545370581779686
246,494.784,0.31616707195916705
247,497.572,0.5146326464911961
248,500.358,0.7509028107571643
249,503.144,0.9284498695490317
250,505.928,1.0
251,508.712,0.9695793085950468
252,511.494,0.8481935962595971
253,514.275,0.6538448588197373
254,517.055,0.4195340099856219
255,519.834,0.19710548847569365
256,522.612,0.04426139618705925
257,525.389,0.00014081775310600492
258,528.165,0.013707825191324186
259,530.940,0.025016242215191404
260,533.713,0.02692136373203386
