pixel_index,raman_shift_cm-1,intensity
0,-224.846,97.0
1,-221.778,97.0
2,-218.712,97.0
3,-215.647,99.0
4,-212.583,95.0
5,-209.521,98.0
6,-206.460,96.0
7,-203.399,96.0
8,-200.340,97.0
9,-197.283,97.0
10,-194.226,97.0
11,-191.171,97.0
12,-188.116,97.0
13,-185.064,98.0
14,-182.012,99.0
15,-178.961,98.0
16,-175.912,95.0
17,-172.864,98.0
18,-169.817,96.0
19,-166.771,97.0
20,-163.726,96.0
21,-160.683,97.0
22,-157.641,94.0
23,-154.600,98.0
24,-151.560,96.0
25,-148.521,98.0
26,-145.484,98.0
27,-142.447,97.0
28,-139.412,96.0
29,-136.379,99.0
30,-133.346,98.0
31,-130.314,97.0
32,-127.284,96.0
33,-124.255,97.0
34,-121.227,98.0
35,-118.200,97.0
36,-115.175,97.0
37,-112.150,99.0
38,-109.127,96.0
39,-106.105,97.0
40,-103.084,97.0
41,-100.065,97.0
42,-97.046,97.0
43,-94.029,97.0
44,-91.013,99.0
45,-87.998,98.0
46,-84.984,98.0
47,-81.972,97.0
48,-78.960,96.0
49,-75.950,99.0
50,-72.941,97.0
51,-69.933,95.0
52,-66.927,95.0
53,-63.921,97.0
54,-60.917,99.0
55,-57.914,97.0
56,-54.912,96.0
57,-51.911,97.0
58,-48.912,96.0
59,-45.913,97.0
60,-42.916,97.0
61,-39.920,103.0
62,-36.925,106.0
63,-33.931,105.0
64,-30.939,108.0
65,-27.947,113.0
66,-24.957,116.0
67,-21.968,109.0
68,-18.980,99.0
69,-15.993,100.0
70,-13.008,97.0
71,-10.023,98.0
72,-7.040,96.0
73,-4.058,97.0
74,-1.077,97.0
75,1.903,98.0
76,4.881,97.0
77,7.859,98.0
78,10.835,99.0
79,13.810,97.0
80,16.784,98.0
81,19.757,96.0
82,22.728,95.0
83,25.699,97.0
84,28.668,96.0
85,31.636,97.0
86,34.603,99.0
87,37.569,97.0
88,40.534,97.0
89,43.497,97.0
90,46.460,95.0
91,49.421,97.0
92,52.381,98.0
93,55.340,99.0
94,58.297,97.0
95,61.254,98.0
96,64.209,99.0
97,67.164,100.0
98,70.117,100.0
99,73.069,102.0
100,76.020,103.0
101,78.969,104.0
102,81.918,105.0
103,84.865,106.0
104,87.811,104.0
105,90.757,104.0
106,93.700,106.0
107,96.643,105.0
108,99.585,103.0
109,102.525,105.0
110,105.465,105.0
111,108.403,104.0
112,111.340,105.0
113,114.276,107.0
114,117.211,105.0
115,120.144,105.0
116,123.077,105.0
117,126.008,107.0
118,128.938,104.0
119,131.868,106.0
120,134.795,106.0
121,137.722,107.0
122,140.648,107.0
123,143.572,104.0
124,146.496,105.0
125,149.418,106.0
126,152.339,106.0
127,155.259,104.0
128,158.178,106.0
129,161.096,107.0
130,164.012,105.0
131,166.928,105.0
132,169.842,108.0
133,172.755,107.0
134,175.667,107.0
135,178.578,104.0
136,181.488,108.0
137,184.397,109.0
138,187.304,108.0
139,190.211,107.0
140,193.116,106.0
141,196.020,109.0
142,198.923,109.0
143,201.825,110.0
144,204.726,107.0
145,207.625,109.0
146,210.524,107.0
147,213.421,110.0
148,216.318,106.0
149,219.213,106.0
150,222.107,109.0
151,225.000,108.0
152,227.891,108.0
153,230.782,107.0
154,233.672,108.0
155,236.560,109.0
156,239.447,109.0
157,242.333,107.0
158,245.218,107.0
159,248.102,110.0
160,250.985,110.0
161,253.867,109.0
162,256.748,108.0
163,259.627,109.0
164,262.505,111.0
165,265.383,108.0
