pixel_index,raman_shift_cm-1,intensity
0,-225.296,95.0
1,-222.228,95.0
2,-219.160,95.0
3,-216.094,95.0
4,-213.029,95.0
5,-209.965,93.0
6,-206.902,95.0
7,-203.840,95.0
8,-200.780,94.0
9,-197.721,94.0
10,-194.663,96.0
11,-191.606,96.0
12,-188.551,93.0
13,-185.497,94.0
14,-182.444,95.0
15,-179.392,93.0
16,-176.341,95.0
17,-173.292,95.0
18,-170.243,95.0
19,-167.196,95.0
20,-164.150,94.0
21,-161.106,93.0
22,-158.062,94.0
23,-155.020,95.0
24,-151.979,95.0
25,-148.939,96.0
26,-145.900,94.0
27,-142.862,94.0
28,-139.826,94.0
29,-136.791,96.0
30,-133.757,96.0
31,-130.724,94.0
32,-127.693,95.0
33,-124.662,94.0
34,-121.633,95.0
35,-118.605,94.0
36,-115.578,94.0
37,-112.553,96.0
38,-109.528,95.0
39,-106.505,94.0
40,-103.483,95.0
41,-100.462,94.0
42,-97.442,96.0
43,-94.424,94.0
44,-91.406,96.0
45,-88.390,94.0
46,-85.375,94.0
47,-82.361,95.0
48,-79.349,95.0
49,-76.337,95.0
50,-73.327,95.0
51,-70.318,95.0
52,-67.310,95.0
53,-64.304,95.0
54,-61.298,96.0
55,-58.294,94.0
56,-55.290,96.0
57,-52.288,95.0
58,-49.288,95.0
59,-46.288,96.0
60,-43.289,93.0
61,-40.292,93.0
62,-37.296,96.0
63,-34.301,96.0
64,-31.307,95.0
65,-28.315,95.0
66,-25.323,102.0
67,-22.333,99.0
68,-19.344,96.0
69,-16.356,96.0
70,-13.369,95.0
71,-10.384,96.0
72,-7.399,95.0
73,-4.416,94.0
74,-1.434,95.0
75,1.547,95.0
76,4.527,97.0
77,7.506,94.0
78,10.483,95.0
79,13.459,95.0
80,16.434,96.0
81,19.408,94.0
82,22.381,96.0
83,25.353,93.0
84,28.323,94.0
85,31.293,94.0
86,34.261,94.0
87,37.228,97.0
88,40.193,95.0
89,43.158,95.0
90,46.122,97.0
91,49.084,94.0
92,52.045,95.0
93,55.005,94.0
94,57.964,93.0
95,60.922,93.0
96,63.878,94.0
97,66.834,94.0
98,69.788,95.0
99,72.741,95.0
100,75.693,96.0
101,78.644,98.0
102,81.594,97.0
103,84.542,97.0
104,87.490,97.0
105,90.436,97.0
106,93.381,96.0
107,96.325,97.0
108,99.268,94.0
109,102.209,97.0
110,105.150,96.0
111,108.089,98.0
112,111.027,96.0
113,113.964,97.0
114,116.900,96.0
115,119.835,96.0
116,122.769,97.0
117,125.701,97.0
118,128.632,97.0
119,131.562,98.0
120,134.492,97.0
121,137.419,97.0
122,140.346,99.0
123,143.272,97.0
124,146.196,97.0
125,149.120,97.0
126,152.042,96.0
127,154.963,97.0
128,157.883,98.0
129,160.802,97.0
130,163.719,96.0
131,166.636,97.0
132,169.551,96.0
133,172.466,98.0
134,175.379,98.0
135,178.291,97.0
136,181.202,95.0
137,184.111,96.0
138,187.020,97.0
139,189.927,97.0
140,192.834,96.0
141,195.739,96.0
142,198.643,97.0
143,201.546,97.0
144,204.448,97.0
145,207.348,99.0
146,210.248,97.0
147,213.146,97.0
148,216.044,99.0
149,218.940,97.0
150,221.835,99.0
151,224.729,97.0
152,227.622,98.0
153,230.513,99.0
154,233.404,97.0
155,236.293,98.0
156,239.182,97.0
157,242.069,98.0
158,244.955,98.0
159,247.840,98.0
160,250.724,96.0
161,253.607,98.0
162,256.488,98.0
163,259.369,98.0
164,262.248,98.0
165,265.126,99.0
166,268.004,98.0
167,270.880,98.0
168,273.754,98.0
169,276.628,99.0
170,279.501,98.0
171,282.373,97.0
172,285.243,100.0
173,288.112,98.0
174,290.981,99.0
175,293.848,97.0
176,296.714,98.0
177,299.579,97.0
178,302.442,100.0
179,305.305,98.0
180,308.167,99.0
181,311.027,99.0
182,313.886,100.0
183,316.745,98.0
184,319.602,98.0
185,322.458,96.0
186,325.313,95.0
187,328.167,98.0
188,331.019,99.0
189,333.871,97.0
190,336.722,98.0
191,339.571,99.0
192,342.419,98.0
193,345.266,99.0
194,348.113,97.0
195,350.958,97.0
196,353.801,99.0
197,356.644,95.0
198,359.486,99.0
199,362.327,99.0
200,365.166,99.0
201,368.004,98.0
202,370.842,98.0
203,373.678,97.0
204,376.513,98.0
205,379.347,96.0
206,382.180,97.0
207,385.012,98.0
208,387.843,99.0
209,390.672,99.0
210,393.501,99.0
211,396.328,96.0
212,399.155,98.0
213,401.980,97.0
214,404.804,98.0
215,407.627,98.0
216,410.449,98.0
217,413.270,98.0
218,416.090,99.0
219,418.909,96.0
220,421.726,97.0
221,424.543,98.0
222,427.358,98.0
223,430.173,99.0
224,432.986,98.0
225,435.798,98.0
226,438.609,97.0
227,441.419,98.0
228,444.228,97.0
229,447.036,98.0
230,449.843,99.0
231,452.649,98.0
232,455.453,99.0
233,458.257,98.0
234,461.059,97.0
235,463.861,99.0
236,466.661,96.0
237,469.460,97.0
238,472.259,98.0
239,475.056,98.0
240,477.852,99.0
241,480.647,101.0
242,483.440,98.0
243,486.233,99.0
244,489.025,98.0
245,491.815,96.0
246,494.605,101.0
247,497.393,104.0
248,500.181,105.0
249,502.967,110.0
250,505.752,122.0
251,508.537,138.0
252,511.320,141.0
253,514.102,122.0
254,516.883,105.0
255,519.663,102.0
256,522.441,99.0
257,525.219,99.0
258,527.996,99.0
259,530.771,97.0
260,533.546,98.0
261,536.319,97.0
262,539.092,97.0
263,541.863,99.0
264,544.633,100.0
265,547.403,98.0
266,550.171,100.0
267,552.938,98.0
268,555.704,98.0
269,558.469,100.0
270,561.233,98.0
271,563.996,98.0
272,566.757,99.0
273,569.518,98.0
274,572.278,99.0
275,575.036,98.0
276,577.794,99.0
277,580.550,94.0
278,583.306,99.0
279,586.060,100.0
280,588.813,97.0
281,591.566,98.0
282,594.317,99.0
283,597.067,98.0
284,599.816,97.0
285,602.564,98.0
286,605.311,100.0
287,608.057,97.0
