pixel_index,raman_shift_cm-1,intensity
0,-225.296,9.5
1,-222.228,9.5
2,-219.160,9.6
3,-216.094,9.6
4,-213.029,9.4
5,-209.965,9.4
6,-206.902,9.5
7,-203.840,9.7
8,-200.780,9.6
9,-197.721,9.5
10,-194.663,9.3
11,-191.606,9.6
12,-188.551,9.3
13,-185.497,9.5
14,-182.444,9.5
15,-179.392,9.5
16,-176.341,9.6
17,-173.292,9.5
18,-170.243,9.4
19,-167.196,9.6
20,-164.150,9.4
21,-161.106,9.4
22,-158.062,9.5
23,-155.020,9.4
24,-151.979,9.5
25,-148.939,9.4
26,-145.900,9.4
27,-142.862,9.6
28,-139.826,9.3
29,-136.791,9.7
30,-133.757,9.4
31,-130.724,9.6
32,-127.693,9.5
33,-124.662,9.3
34,-121.633,9.4
35,-118.605,9.5
36,-115.578,9.5
37,-112.553,9.5
38,-109.528,9.6
39,-106.505,9.5
40,-103.483,9.3
41,-100.462,9.4
42,-97.442,9.5
43,-94.424,9.5
44,-91.406,9.5
45,-88.390,9.6
46,-85.375,9.5
47,-82.361,9.6
48,-79.349,9.4
49,-76.337,9.5
50,-73.327,9.5
51,-70.318,9.5
52,-67.310,9.5
53,-64.304,9.5
54,-61.298,9.3
55,-58.294,9.4
56,-55.290,9.4
57,-52.288,9.5
58,-49.288,9.6
59,-46.288,9.5
60,-43.289,9.6
61,-40.292,9.7
62,-37.296,9.6
63,-34.301,9.5
64,-31.307,9.8
65,-28.315,9.6
66,-25.323,9.9
67,-22.333,9.6
68,-19.344,9.5
69,-16.356,9.5
70,-13.369,9.4
71,-10.384,9.3
72,-7.399,9.4
73,-4.416,9.4
74,-1.434,9.3
75,1.547,9.3
76,4.527,9.4
77,7.506,9.4
78,10.483,9.5
79,13.459,9.5
80,16.434,9.7
81,19.408,9.5
82,22.381,9.5
83,25.353,9.5
84,28.323,9.4
85,31.293,9.5
86,34.261,9.4
87,37.228,9.5
88,40.193,9.4
89,43.158,9.4
90,46.122,9.3
91,49.084,9.4
92,52.045,9.4
93,55.005,9.4
94,57.964,9.3
95,60.922,9.4
96,63.878,9.4
97,66.834,9.5
98,69.788,9.4
99,72.741,9.5
100,75.693,9.4
101,78.644,9.6
102,81.594,9.4
103,84.542,9.6
104,87.490,9.6
105,90.436,9.5
106,93.381,9.6
107,96.325,9.6
108,99.268,9.5
109,102.209,9.5
110,105.150,9.7
111,108.089,9.7
112,111.027,9.5
113,113.964,9.4
114,116.900,9.6
115,119.835,9.6
116,122.769,9.4
117,125.701,9.6
118,128.632,9.3
119,131.562,9.4
120,134.492,9.7
121,137.419,9.8
122,140.346,9.6
123,143.272,9.6
124,146.196,9.5
125,149.120,9.5
126,152.042,9.7
127,154.963,9.7
128,157.883,9.5
129,160.802,9.7
130,163.719,9.6
131,166.636,9.5
132,169.551,9.5
133,172.466,9.6
134,175.379,9.6
135,178.291,9.6
136,181.202,9.6
137,184.111,9.7
138,187.020,9.4
139,189.927,9.5
140,192.834,9.5
141,195.739,9.5
142,198.643,9.5
143,201.546,9.6
144,204.448,9.6
145,207.348,9.6
146,210.248,9.6
147,213.146,9.6
148,216.044,9.6
149,218.940,9.4
150,221.835,9.6
151,224.729,9.5
152,227.622,9.6
153,230.513,9.7
154,233.404,9.6
155,236.293,9.6
156,239.182,9.8
157,242.069,9.6
158,244.955,9.6
159,247.840,9.6
160,250.724,9.6
161,253.607,9.5
162,256.488,9.4
163,259.369,9.5
164,262.248,9.7
165,265.126,9.6
166,268.004,9.7
167,270.880,9.7
168,273.754,9.7
169,276.628,9.7
170,279.501,9.7
171,282.373,9.5
172,285.243,9.6
173,288.112,9.6
174,290.981,9.6
175,293.848,9.7
176,296.714,9.6
177,299.579,9.7
178,302.442,9.6
179,305.305,9.5
180,308.167,9.7
181,311.027,9.7
182,313.886,9.6
183,316.745,9.8
184,319.602,9.6
185,322.458,9.6
186,325.313,9.7
187,328.167,9.8
188,331.019,9.9
189,333.871,9.8
190,336.722,9.6
191,339.571,9.6
192,342.419,9.6
193,345.266,9.7
194,348.113,9.8
195,350.958,9.5
196,353.801,9.6
197,356.644,9.6
198,359.486,9.6
199,362.327,9.7
200,365.166,9.7
201,368.004,9.7
202,370.842,9.6
203,373.678,9.7
204,376.513,9.6
205,379.347,9.6
206,382.180,9.6
207,385.012,9.8
208,387.843,9.8
209,390.672,9.9
210,393.501,9.7
211,396.328,9.7
212,399.155,9.7
213,401.980,9.7
214,404.804,9.7
215,407.627,9.6
216,410.449,9.6
217,413.270,9.5
218,416.090,9.6
219,418.909,9.5
220,421.726,9.6
221,424.543,9.6
222,427.358,9.6
223,430.173,9.5
224,432.986,9.9
225,435.798,9.7
226,438.609,9.7
227,441.419,9.7
228,444.228,9.6
229,447.036,9.7
230,449.843,9.7
231,452.649,9.7
232,455.453,9.6
233,458.257,9.5
234,461.059,9.6
235,463.861,9.6
236,466.661,9.6
237,469.460,9.7
238,472.259,9.5
239,475.056,9.6
240,477.852,9.6
241,480.647,9.8
242,483.440,9.7
243,486.233,9.8
244,489.025,9.8
