pixel_index,raman_shift_cm-1,intensity
0,-225.296,9.4
1,-222.228,9.3
2,-219.160,9.4
3,-216.094,9.6
4,-213.029,9.4
5,-209.965,9.4
6,-206.902,9.6
7,-203.840,9.5
8,-200.780,9.5
9,-197.721,9.4
10,-194.663,9.6
11,-191.606,9.5
12,-188.551,9.5
13,-185.497,9.3
14,-182.444,9.4
15,-179.392,9.4
16,-176.341,9.4
17,-173.292,9.5
18,-170.243,9.3
19,-167.196,9.3
20,-164.150,9.2
21,-161.106,9.3
22,-158.062,9.3
23,-155.020,9.5
24,-151.979,9.4
25,-148.939,9.3
26,-145.900,9.5
27,-142.862,9.5
28,-139.826,9.4
29,-136.791,9.4
30,-133.757,9.4
31,-130.724,9.4
32,-127.693,9.6
33,-124.662,9.3
34,-121.633,9.3
35,-118.605,9.5
36,-115.578,9.4
37,-112.553,9.5
38,-109.528,9.4
39,-106.505,9.3
40,-103.483,9.6
41,-100.462,9.5
42,-97.442,9.4
43,-94.424,9.3
44,-91.406,9.4
45,-88.390,9.4
46,-85.375,9.6
47,-82.361,9.4
48,-79.349,9.4
49,-76.337,9.3
50,-73.327,9.3
51,-70.318,9.2
52,-67.310,9.2
53,-64.304,9.4
54,-61.298,9.4
55,-58.294,9.4
56,-55.290,9.3
57,-52.288,9.3
58,-49.288,9.3
59,-46.288,9.3
60,-43.289,9.3
61,-40.292,9.4
62,-37.296,9.5
63,-34.301,9.5
64,-31.307,9.7
65,-28.315,9.8
66,-25.323,10.1
67,-22.333,9.6
68,-19.344,9.6
69,-16.356,9.2
70,-13.369,9.4
71,-10.384,9.4
72,-7.399,9.4
73,-4.416,9.2
74,-1.434,9.2
75,1.547,9.4
76,4.527,9.4
77,7.506,9.4
78,10.483,9.7
79,13.459,9.5
80,16.434,9.5
81,19.408,9.4
82,22.381,9.3
83,25.353,9.3
84,28.323,9.3
85,31.293,9.6
86,34.261,9.4
87,37.228,9.4
88,40.193,9.4
89,43.158,9.3
90,46.122,9.5
91,49.084,9.2
92,52.045,9.4
93,55.005,9.3
94,57.964,9.5
95,60.922,9.4
96,63.878,9.4
97,66.834,9.5
98,69.788,9.4
99,72.741,9.6
100,75.693,9.3
101,78.644,9.3
102,81.594,9.6
103,84.542,9.7
104,87.490,9.5
105,90.436,9.4
106,93.381,9.5
107,96.325,9.6
108,99.268,9.5
109,102.209,9.5
110,105.150,9.7
111,108.089,9.6
112,111.027,9.6
113,113.964,9.4
114,116.900,9.4
115,119.835,9.6
116,122.769,9.5
117,125.701,9.6
118,128.632,9.5
119,131.562,9.4
120,134.492,9.5
121,137.419,9.6
122,140.346,9.8
123,143.272,9.5
124,146.196,9.4
125,149.120,9.6
126,152.042,9.5
127,154.963,9.7
128,157.883,9.5
129,160.802,9.5
130,163.719,9.5
131,166.636,9.6
132,169.551,9.5
133,172.466,9.6
134,175.379,9.4
135,178.291,9.6
136,181.202,9.5
137,184.111,9.4
138,187.020,9.6
139,189.927,9.6
140,192.834,9.5
141,195.739,9.6
142,198.643,9.4
143,201.546,9.5
144,204.448,9.6
145,207.348,9.6
146,210.248,9.5
147,213.146,9.8
148,216.044,9.5
149,218.940,9.5
150,221.835,9.6
151,224.729,9.6
152,227.622,9.6
153,230.513,9.4
154,233.404,9.7
155,236.293,9.6
156,239.182,9.5
157,242.069,9.5
158,244.955,9.6
159,247.840,9.8
160,250.724,9.6
161,253.607,9.7
162,256.488,9.6
163,259.369,9.7
164,262.248,9.6
165,265.126,9.4
166,268.004,9.6
167,270.880,9.8
168,273.754,9.6
169,276.628,9.6
170,279.501,9.6
171,282.373,9.7
172,285.243,9.7
173,288.112,9.7
174,290.981,9.6
175,293.848,9.6
176,296.714,9.6
177,299.579,9.5
178,302.442,9.7
179,305.305,9.7
180,308.167,9.6
181,311.027,9.6
182,313.886,9.6
183,316.745,9.7
184,319.602,9.5
185,322.458,9.7
186,325.313,9.8
187,328.167,9.7
188,331.019,9.8
189,333.871,9.4
190,336.722,9.6
191,339.571,9.7
192,342.419,9.6
193,345.266,9.5
194,348.113,9.7
195,350.958,9.6
196,353.801,9.6
197,356.644,9.6
198,359.486,9.6
199,362.327,9.6
200,365.166,9.7
201,368.004,9.5
202,370.842,9.5
203,373.678,9.5
204,376.513,9.6
205,379.347,9.7
206,382.180,9.8
207,385.012,9.8
208,387.843,9.8
209,390.672,9.6
210,393.501,9.6
211,396.328,9.5
212,399.155,9.6
213,401.980,9.4
214,404.804,9.6
215,407.627,9.6
216,410.449,9.7
217,413.270,9.6
218,416.090,9.6
219,418.909,9.6
220,421.726,9.4
221,424.543,9.7
222,427.358,9.7
223,430.173,9.5
224,432.986,9.6
225,435.798,9.6
226,438.609,9.6
227,441.419,9.6
228,444.228,9.6
229,447.036,9.5
230,449.843,9.6
231,452.649,9.9
232,455.453,9.6
233,458.257,9.6
234,461.059,9.6
235,463.861,9.4
236,466.661,9.6
237,469.460,9.6
238,472.259,9.7
239,475.056,9.5
240,477.852,9.5
241,480.647,9.5
242,483.440,9.6
243,486.233,9.8
244,489.025,9.8
245,491.815,10.0
246,494.605,10.2
247,497.393,10.4
248,500.181,10.6
249,502.967,11.3
250,505.752,12.4
251,508.537,13.0
252,511.320,13.1
253,514.102,11.5
254,516.883,10.5
