pixel_index,raman_shift_cm-1,intensity
0,-225.296,0.08471135424490696
1,-222.228,0.08220762535921813
2,-219.160,0.0807282816194526
3,-216.094,0.08000285415974451
4,-213.029,0.07976087411422793
5,-209.965,0.07973187261703722
6,-206.902,0.07912306363898915
7,-203.840,0.07767330543148213
8,-200.780,0.0784232470939674
9,-197.721,0.07652281694507909
10,-194.663,0.07519920584904721
11,-191.606,0.07075890156808026
12,-188.551,0.06624255300879026
13,-185.497,0.06219114808841604
14,-182.444,0.059817225376787464
15,-179.392,0.059978893859279556
16,-176.341,0.059654191758489454
17,-173.292,0.05902967726327685
18,-170.243,0.05980289759107636
19,-167.196,0.059250357798942235
20,-164.150,0.0602261645487022
21,-161.106,0.05817871256126512
22,-158.062,0.05765963934077287
23,-155.020,0.05344578881216479
24,-151.979,0.051954216997239254
25,-148.939,0.0516552965793186
26,-145.900,0.05351906113549756
27,-142.862,0.05396392277995174
28,-139.826,0.057354976870368814
29,-136.791,0.059140617747437826
30,-133.757,0.0593208611199849
31,-130.724,0.05770918078826949
32,-127.693,0.05697314098304619
33,-124.662,0.053717695395979675
34,-121.633,0.050311941185434444
35,-118.605,0.046811856382691835
36,-115.578,0.044616520373266536
37,-112.553,0.04172995062020294
38,-109.528,0.041192794794398684
39,-106.505,0.03979654816664519
40,-103.483,0.0382127766756842
41,-100.462,0.03679592504924317
42,-97.442,0.038754528445999505
43,-94.424,0.04136509078889822
44,-91.406,0.04190411595419834
45,-88.390,0.04085662778569507
46,-85.375,0.04040518101832166
47,-82.361,0.037024149385008066
48,-79.349,0.037634250804383214
49,-76.337,0.03466190052643591
50,-73.327,0.02999118612211137
51,-70.318,0.02464810255405639
52,-67.310,0.0235387154534139
53,-64.304,0.025152050376697082
54,-61.298,0.024097062119369694
55,-58.294,0.024253835936790147
56,-55.290,0.024764293761427497
57,-52.288,0.02458381561836684
58,-49.288,0.02940194267918933
59,-46.288,0.02686961808279335
60,-43.289,0.01760244428172823
61,-40.292,0.02193349842091385
62,-37.296,0.05620386176781102
63,-34.301,0.10153551213263158
64,-31.307,0.13373398423306498
65,-28.315,0.15322833843126282
66,-25.323,0.1556097120345501
67,-22.333,0.14162672089749562
68,-19.344,0.11520430531936186
69,-16.356,0.07222083025404506
70,-13.369,0.025866504122001272
71,-10.384,0.0
72,-7.399,0.0023234726708724015
73,-4.416,0.009966903657523462
74,-1.434,0.013920334731334746
75,1.547,0.01686998232125361
76,4.527,0.01763348084178223
77,7.506,0.016900250060188103
78,10.483,0.016748968902913615
79,13.459,0.014793512831004352
80,16.434,0.013218663173319944
81,19.408,0.0101593767202536
82,22.381,0.008931941243728266
83,25.353,0.00854981473919638
84,28.323,0.009169276386893308
85,31.293,0.00922670417302481
86,34.261,0.009318637417021462
87,37.228,0.009318637417021462
88,40.193,0.009318637417021462
89,43.158,0.009318637417021462
90,46.122,0.009318637417021462
91,49.084,0.009318637417021462
92,52.045,0.009318637417021462
93,55.005,0.007992544941008307
94,57.964,0.007061825012820278
95,60.922,0.007735935239673567
96,63.878,0.012888345191839016
97,66.834,0.018494269841621853
98,69.788,0.023927784883506067
99,72.741,0.033920520560508934
100,75.693,0.046436444670064816
101,78.644,0.061476642114476385
102,81.594,0.07251704687426039
103,84.542,0.07747710656844657
104,87.490,0.07849024863743796
105,90.436,0.07858924470814423
106,93.381,0.08070281424820015
107,96.325,0.0798316475766233
108,99.268,0.07875523058442199
109,102.209,0.07933899399855761
110,105.150,0.07878482197007418
111,108.089,0.07916334118602934
112,111.027,0.07508350383831425
113,113.964,0.07055597188425561
114,116.900,0.06472266465802642
115,119.835,0.06181809426354246
116,122.769,0.06171169320713809
117,125.701,0.0632469137146909
118,128.632,0.06758032704874654
119,131.562,0.07144746231601887
120,134.492,0.06925207531387619
121,137.419,0.07274631489641195
122,140.346,0.07293887489920717
123,143.272,0.07637738616015241
124,146.196,0.07310052474998474
125,149.120,0.07420754283600631
126,152.042,0.07108021780428006
127,154.963,0.0686246119414356
128,157.883,0.0658520646744944
129,160.802,0.06578456540537936
130,163.719,0.06362799950521592
131,166.636,0.06779541608168632
132,169.551,0.07117958134051676
133,172.466,0.0754220747392658
134,175.379,0.0769413035767986
135,178.291,0.08077390910100113
136,181.202,0.07781665943152646
137,184.111,0.07310619573130392
138,187.020,0.06479576443927615
139,189.927,0.0636674959613095
140,192.834,0.0628006980245928
141,195.739,0.06286693206851744
142,198.643,0.06422063832605476
143,201.546,0.067346836290896
144,204.448,0.0717045651775038
145,207.348,0.07322722297988073
146,210.248,0.07154173650351194
147,213.146,0.07131166276669412
148,216.044,0.06761230707549674
149,218.940,0.06855825079820431
150,221.835,0.06741534310260565
151,224.729,0.06552669570849926
152,227.622,0.061549217491343865
153,230.513,0.06391461081643185
154,233.404,0.061337103269090094
155,236.293,0.05920776479227564
156,239.182,0.06067916295188209
157,242.069,0.06203912477680962
158,244.955,0.06175801703154324
159,247.840,0.0651709469345609
160,250.724,0.06735321929201737
161,253.607,0.06927486168544683
162,256.488,0.0683802604766965
163,259.369,0.06871738387598325
164,262.248,0.06536153652427941
165,265.126,0.06534535633002199
166,268.004,0.06531109948669538
167,270.880,0.06203160144959554
168,273.754,0.06405048908033033
169,276.628,0.06679749635086699
170,279.501,0.07057109977187012
171,282.373,0.07464379557600395
172,285.243,0.07476243877670062
173,288.112,0.07510557647685241
174,290.981,0.07481512548376695
175,293.848,0.07120489232338928
176,296.714,0.06845342397643056
177,299.579,0.066187645967506
178,302.442,0.06828763821803713
179,305.305,0.06785136102637666
180,308.167,0.06694943817839483
181,311.027,0.0652834117811332
182,313.886,0.06268540320412722
183,316.745,0.05732731121107409
184,319.602,0.05392865385660914
185,322.458,0.05243347750608847
186,325.313,0.05521087268140293
187,328.167,0.05388511865399615
188,331.019,0.05774600891927658
189,333.871,0.05800743057362542
190,336.722,0.053811299778176086
191,339.571,0.05472722270013683
192,342.419,0.05614762400877236
193,345.266,0.05316646135537613
194,348.113,0.052573867054220486
195,350.958,0.05090017100884676
196,353.801,0.050160033804931045
197,356.644,0.04727552317522416
198,359.486,0.04497015869889461
199,362.327,0.04141583850001562
200,365.166,0.039112231844983275
201,368.004,0.04096940005548582
202,370.842,0.03829450064151572
203,373.678,0.041477923483511515
204,376.513,0.03899138972100641
205,379.347,0.039247945426001594
206,382.180,0.04491514730346972
207,385.012,0.044707220794669336
208,387.843,0.04433235486509196
209,390.672,0.043604015624305464
210,393.501,0.04153353913919862
211,396.328,0.038419400280467135
212,399.155,0.03638818412039829
213,401.980,0.038517839184856434
214,404.804,0.03656322298048999
215,407.627,0.03776216746205507
216,410.449,0.03694747076970464
217,413.270,0.03309316032539845
218,416.090,0.03207531238003074
219,418.909,0.029323658913567155
220,421.726,0.03017330470175719
221,424.543,0.03376616468690965
222,427.358,0.037248155856948295
223,430.173,0.03789577446415577
224,432.986,0.03940255675066988
225,435.798,0.03988443726762454
226,438.609,0.035759819590013474
227,441.419,0.03325920915828801
228,444.228,0.03219607134623001
229,447.036,0.03038787357355469
230,449.843,0.02805847323238451
