pixel_index,raman_shift_cm-1,intensity
0,-226.92475931723007,658.6
1,-223.85128899216372,660.2
2,-220.77903348388185,662.8
3,-217.70799219905916,663.2
4,-214.63816454473903,657.4
5,-211.56954992832684,658.4
6,-208.50214775762055,658.8
7,-205.4359574407607,664.0
8,-202.37097838628247,658.6
9,-199.30721000305934,661.6
10,-196.24465170036373,676.2
11,-193.18330288781507,671.8
12,-190.12316297541435,658.6
13,-187.0642313735204,656.6
14,-184.00650749285634,661.6
15,-180.94999074452258,654.8
16,-177.8946805399838,658.0
17,-174.84057629106684,658.4
18,-171.787677409965,658.8
19,-168.73598330924017,660.6
20,-165.68549340181858,661.2
21,-162.63620710099724,656.4
22,-159.58812382041572,655.0
23,-156.54124297411266,662.2
24,-153.4955639764606,659.0
25,-150.45108624221368,659.2
26,-147.40780918648173,657.4
27,-144.36573222474527,655.6
28,-141.32485477283623,659.2
29,-138.28517624695294,661.2
30,-135.24669606367968,660.8
31,-132.2094136399282,659.4
32,-129.173328392981,659.6
33,-126.13843974049796,656.0
34,-123.10474710049667,656.2
35,-120.07224989133736,656.6
36,-117.04094753176193,664.6
37,-114.010839440857,665.6
38,-110.9819250380865,659.8
39,-107.95420374325703,655.2
40,-104.92767497654373,658.0
41,-101.90233815849042,658.4
42,-98.87819270997053,662.4
43,-95.85523805225428,656.0
44,-92.83347360694366,659.2
45,-89.81289879600494,659.0
46,-86.79351304177524,660.6
47,-83.7753157669212,665.2
48,-80.75830639449984,657.6
49,-77.7424843479064,660.4
50,-74.72784905088962,660.4
51,-71.71439992757766,662.2
52,-68.70213640241965,656.8
53,-65.691057900255,656.8
54,-62.68116384625707,657.4
55,-59.67245366595916,658.0
56,-56.66492678526539,654.4
57,-53.65858263040946,658.2
58,-50.65342062799804,659.4
59,-47.649440204982575,658.0
60,-44.64664078867664,660.6
61,-41.64502180674292,662.8
62,-38.64458268719321,662.6
63,-35.645322858399254,666.0
64,-32.64724174908843,704.6
65,-29.65033878833505,807.8
66,-26.65461340556471,1058.8
67,-23.66006503055863,690.2
68,-20.666693093451467,662.4
69,-17.67449702472267,663.4
70,-14.683476255205122,659.8
71,-11.69363021609601,659.0
72,-8.704958338926447,669.8
73,-5.7174600555788375,657.2
