pixel_index,raman_shift_cm-1,intensity
0,-227.07541099402548,680.2
1,-224.00086937835948,682.0
2,-220.92754621666617,685.4
3,-217.8554409116803,685.4
4,-214.7845528665095,687.2
5,-211.7148814846431,682.6
6,-208.64642616993686,682.4
7,-205.57918632661517,685.0
8,-202.51316135927758,684.0
9,-199.4483506729031,676.8
10,-196.3847536728394,694.0
11,-193.3223697648005,695.8
12,-190.26119835488217,678.4
13,-187.20123884953577,682.0
14,-184.14249065560512,685.0
15,-181.08495318027883,681.6
16,-178.02862583113583,683.6
17,-174.973508016128,683.0
18,-171.91959914354769,679.0
19,-168.86689862209053,681.4
20,-165.8154058608056,683.4
21,-162.7651202691107,678.2
22,-159.7160412567986,682.4
23,-156.66816823401135,681.2
24,-153.62150061129205,683.4
25,-150.5760377995178,685.6
26,-147.5317792099559,686.0
27,-144.48872425422724,684.8
28,-141.44687234433863,684.6
29,-138.40622289263294,689.6
30,-135.36677531184557,678.6
31,-132.32852901506322,685.2
32,-129.29148341574984,682.0
33,-126.25563792772716,683.8
34,-123.22099196517911,677.8
35,-120.187544942656,681.2
36,-117.15529627508333,686.6
37,-114.12424537774,682.6
38,-111.09439166626491,680.6
39,-108.06573455668291,682.4
40,-105.03827346534196,679.4
41,-102.01200780900199,681.4
42,-98.9869370047439,682.2
43,-95.96306047003883,683.8
44,-92.94037762270493,682.4
45,-89.9188878809268,683.0
46,-86.8985906632468,685.0
47,-83.87948538858895,687.4
48,-80.86157147619818,684.0
49,-77.84484834572058,682.6
50,-74.82931541714704,682.8
51,-71.81497211081319,680.8
52,-68.80181784744282,680.8
53,-65.7898520481045,685.2
54,-62.77907413421591,688.2
55,-59.769483527580704,685.6
56,-56.76107965033213,679.0
57,-53.753861924989415,677.6
58,-50.74782977439922,682.4
59,-47.74298262179635,681.2
60,-44.73931989076255,679.6
61,-41.73684100522001,685.0
62,-38.73554538947254,693.0
63,-35.73543246816876,708.2
64,-32.73650166631288,748.4
65,-29.738752409275584,893.8
66,-26.742184122767984,1644.4
67,-23.746796232869837,760.6
68,-20.752588166005665,693.4
69,-17.759559348966455,687.8
