pixel_index,raman_shift_cm-1,intensity
0,-227.0845872155876,65.1
1,-224.00993473358594,64.9
2,-220.93650114177493,65.1
3,-217.8642858423948,65.8
4,-214.79328823808706,64.9
5,-211.72350773185312,65.3
6,-208.65494372707388,64.9
7,-205.5875956275032,64.6
8,-202.52146283725918,64.9
9,-199.45654476084817,64.9
10,-196.39284080313206,66.5
11,-193.33035036936093,66.4
12,-190.2690728651426,64.3
13,-187.20900769647088,65.1
14,-184.1501542696974,65.0
15,-181.09251199155537,65.2
16,-178.03608026913585,64.6
17,-174.98085850991586,64.9
18,-171.9268461217345,65.2
19,-168.8740425128017,64.5
20,-165.82244709169606,64.5
21,-162.77205926737338,64.3
22,-159.72287844913652,64.6
23,-156.67490404667853,64.9
24,-153.6281354700612,64.8
25,-150.58257212969974,64.5
26,-147.53821343638447,64.6
27,-144.49505880127649,64.5
28,-141.45310763590555,64.7
29,-138.41235935215923,64.9
30,-135.37281336230234,64.7
31,-132.33446907894452,65.1
32,-129.29732591509656,64.5
33,-126.26138328410532,64.6
34,-123.22664059969497,64.9
35,-120.19309727595616,64.7
36,-117.16075272734166,65.0
37,-114.12960636866852,65.3
38,-111.09965761512026,64.7
39,-108.07090588224253,64.4
40,-105.04335058594523,64.9
41,-102.01699114249395,65.5
42,-98.99182696853585,65.2
43,-95.96785748107375,64.5
44,-92.94508209745307,65.5
45,-89.92350023541603,64.9
46,-86.9031113130388,65.9
47,-83.88391474877703,65.5
48,-80.8659099614333,64.1
49,-77.84909637018099,64.6
50,-74.83347339455777,64.1
51,-71.81904045444392,64.9
52,-68.80579697010353,65.0
53,-65.79374236215197,65.3
54,-62.78287605154939,65.1
55,-59.7731974596419,64.4
56,-56.76470600810739,64.3
57,-53.75740111900756,64.6
58,-50.75128221474238,64.3
59,-47.746348718091284,64.7
60,-44.74260005216764,64.7
61,-41.74003564046645,64.8
62,-38.73865490681451,65.3
63,-35.738457275426725,66.5
64,-32.73944217084546,72.0
65,-29.74160901798601,102.2
66,-26.744957242117156,103.9
67,-23.74948626886978,66.2
68,-20.755195524213047,65.0
69,-17.762084434491243,64.8
70,-14.770152426389107,64.9
71,-11.779398926953492,64.8
72,-8.789823363586878,65.5
73,-5.801425164051691,64.7
74,-2.8142037564508025,64.6
75,0.17184143075946873,64.3
76,3.1567109687520056,64.9
77,6.140405428357084,65.1
78,9.122925380062371,66.2
79,12.104271393973894,64.5
80,15.084444039878928,66.4
81,18.063443887189614,65.1
82,21.04127150497114,64.5
83,24.01792746193959,64.7
84,26.993412326461932,65.1
85,29.967726666551684,64.9
86,32.940871049871085,65.2
87,35.91284604373326,64.8
88,38.8836522150892,64.1
89,41.85329013055381,64.7
90,44.821760356403715,64.7
91,47.78906345852957,64.7
92,50.755200002505426,64.9
93,53.720170553543234,65.0
94,56.683975676507984,64.9
95,59.646615935915555,64.7
96,62.608091895937065,65.1
97,65.56840412039449,65.1
98,68.52755317275638,65.2
99,71.48553961614651,66.2
100,74.4423640133547,65.5
101,77.39802692680216,65.6
102,80.35252891857832,65.6
103,83.30587055042568,67.2
104,86.25805238373762,65.4
105,89.20907497955406,66.3
106,92.15893889858319,65.3
107,95.10764470118185,66.3
108,98.05519294736435,66.3
109,101.00158419679585,66.7
110,103.94681900879887,66.1
111,106.89089794235773,65.6
112,109.83382155609458,66.1
113,112.77559040832581,65.5
114,115.71620505697756,66.0
115,118.65566605966582,65.5
116,121.5939739736575,65.5
117,124.5311293558574,65.1
118,127.46713276286454,65.8
119,130.4019847508985,65.1
120,133.33568587586007,65.0
121,136.2682366933118,65.9
122,139.1996377584498,65.8
123,142.12988962616,65.3
124,145.05899285095987,65.4
125,147.98694798705444,65.4
126,150.91375558828457,65.6
127,153.83941620816364,65.3
128,156.76393039985814,65.9
129,159.6872987162136,65.4
130,162.60952170970688,65.9
131,165.53059993250048,65.6
132,168.4505339364078,65.8
133,171.36932427291256,65.4
134,174.28697149314726,65.9
135,177.2034761479105,66.3
136,180.11883878767338,65.6
137,183.0330599625644,65.9
138,185.94614022237167,65.9
139,188.85808011654498,65.4
140,191.76888019420457,65.3
