pixel_index,raman_shift_cm-1,intensity
0,200.0,1.8110901872365304
1,201.0,1.7900301050597491
2,202.0,1.7689986043872707
3,203.0,1.747994550314111
4,204.0,1.7270178084130094
5,205.0,1.7060682447340483
6,206.0,1.6851467258041097
7,207.0,1.664251118626403
8,208.0,1.6433832906800347
9,209.0,1.622543109919512
10,210.0,1.6017284447742597
11,211.0,1.5809411641481645
12,212.0,1.5601811374191072
13,213.0,1.5394462344384579
14,214.0,1.5187393255306603
15,215.0,1.4980582814926748
16,216.0,1.4774029735936054
17,217.0,1.4567742735741476
18,218.0,1.4361720536461604
19,219.0,1.4155951864921548
20,220.0,1.3950445452648736
21,221.0,1.374520003586774
22,222.0,1.3540214355495834
23,223.0,1.3335487157137962
24,224.0,1.3131007191082276
25,225.0,1.2926783212295376
26,226.0,1.2722823980417601
27,227.0,1.2519108259758127
28,228.0,1.231564481929027
29,229.0,1.2112442432647015
30,230.0,1.1909479878116116
31,231.0,1.1706775938635303
32,232.0,1.1504319401787484
33,233.0,1.1302119059796567
34,234.0,1.110015370952162
35,235.0,1.0898442152453853
36,236.0,1.0696983194709944
37,237.0,1.049576564702889
38,238.0,1.0294788324766273
39,239.0,1.0094060047890139
40,240.0,0.9893579640976071
41,241.0,0.9693335933202007
42,242.0,0.9493337758344325
43,243.0,0.9293583954773155
44,244.0,0.9094073365446178
45,245.0,0.8894794837905735
46,246.0,0.8695767224273183
47,247.0,0.8496969381244242
48,248.0,0.8298420170084313
49,249.0,0.8100098456623712
50,250.0,0.7902023111253129
51,251.0,0.7704183008918903
52,252.0,0.7506587029117711
53,253.0,0.7309214055892923
54,254.0,0.7112082977828678
55,255.0,0.6915192688046119
56,256.0,0.6718532084198117
57,257.0,0.6522100068464738
58,258.0,0.6325905547548487
59,259.0,0.6129947432669738
60,260.0,0.5934224639561378
61,261.0,0.573873608846533
62,262.0,0.5543470704126321
63,263.0,0.5348447415788229
64,264.0,0.5153645157189075
65,265.0,0.49590828665561304
66,266.0,0.4764739486601215
67,267.0,0.4570633964516233
68,268.0,0.43767652519681377
69,269.0,0.4183122305094358
70,270.0,0.3989704084498271
71,271.0,0.3796519555243876
72,272.0,0.3603557686851673
73,273.0,0.34108274532937344
74,274.0,0.32183278329889475
75,275.0,0.3026057808798086
76,276.0,0.2834006368019715
77,277.0,0.2642192502384546
78,278.0,0.24506052080516838
79,279.0,0.2259243485603193
80,280.0,0.2068106340039435
81,281.0,0.18772027807749225
82,282.0,0.16865218216328515
83,283.0,0.1496062480840905
84,284.0,0.13058437810260415
85,285.0,0.11158447492104528
86,286.0,0.09260644168062981
87,287.0,0.07365218196108714
88,288.0,0.054720599780253565
89,289.0,0.03581159959354352
90,290.0,0.016924086293478524
91,291.0,-0.0019390347907801697
92,292.0,-0.020780857893853977
93,293.0,-0.039598476814688865
94,294.0,-0.05839498491702244
95,295.0,-0.0771674751297553
96,296.0,-0.09591803994759118
97,297.0,-0.11464577143140531
98,298.0,-0.13335076120867484
99,299.0,-0.15203210047406657
100,300.0,-0.17069187998983182
101,301.0,-0.1893281900863002
102,302.0,-0.2079411206623547
103,303.0,-0.22653176118591034
104,304.0,-0.2450992006943551
105,305.0,-0.26364452779506564
106,306.0,-0.28216583066585343
107,307.0,-0.3006641970554256
108,308.0,-0.31913971428390653
109,309.0,-0.33759246924328323
110,310.0,-0.3560215483977913
111,311.0,-0.3744280377846181
112,312.0,-0.3928100230140785
113,313.0,-0.41116958927033664
114,314.0,-0.42950582131171444
115,315.0,-0.44781880347127867
116,316.0,-0.4661076196572367
117,317.0,-0.48437335335343334
118,318.0,-0.5026150876198372
119,319.0,-0.5208329050929947
120,320.0,-0.5390278879865207
121,321.0,-0.5571981180915273
122,322.0,-0.5753446767771635
123,323.0,-0.593467644991037
124,324.0,-0.6115661032597401
125,325.0,-0.6296411316892119
126,326.0,-0.6476908099653471
127,327.0,-0.665717217354377
128,328.0,-0.6837184327033938
129,329.0,-0.7016945344407617
130,330.0,-0.7196466005766666
131,331.0,-0.7375747087035336
132,332.0,-0.7554769359965192
133,333.0,-0.7733543592139966
134,334.0,-0.7912070546979422
135,335.0,-0.8090340983746174
136,336.0,-0.8268355657547559
137,337.0,-0.8446115319342482
138,338.0,-0.8623620715945819
139,339.0,-0.8800872590032114
140,340.0,-0.8977861680141714
141,341.0,-0.9154588720683918
142,342.0,-0.9331054441943607
143,343.0,-0.9507259570084017
144,344.0,-0.9683204827152991
145,345.0,-0.9858870931086585
146,346.0,-1.0034278595715094
147,347.0,-1.0209408530765955
148,348.0,-1.0384271441870467
149,349.0,-1.0558858030566824
150,350.0,-1.0733168994306226
151,351.0,-1.0907205026456026
152,352.0,-1.108095681630651
153,353.0,-1.1254425049073902
154,354.0,-1.1427620405905614
155,355.0,-1.160052356388519
156,356.0,-1.1773135196036648
157,357.0,-1.1945465971329838
158,358.0,-1.2117496554684948
159,359.0,-1.2289237606975973
160,360.0,-1.2460669785037908
161,361.0,-1.263181374166905
162,362.0,-1.2802650125637385
163,363.0,-1.2973189581684181
164,364.0,-1.314341275052989
