pixel_index,raman_shift_cm-1,intensity
0,200.0,-12.347642070278937
1,201.0,-12.058101697063798
2,202.0,-11.77140842224393
3,203.0,-11.487551278702384
4,204.0,-11.206518327047078
5,205.0,-10.92829765558114
6,206.0,-10.65287638027366
7,207.0,-10.38024464472997
8,208.0,-10.110388620162446
9,209.0,-9.843296505360883
10,210.0,-9.57895852666298
11,211.0,-9.317360937925095
12,212.0,-9.058492020492551
13,213.0,-8.802342083170252
14,214.0,-8.54889646219334
15,215.0,-8.298145521197455
16,216.0,-8.050077651189547
17,217.0,-7.804680270518297
18,218.0,-7.561941824844588
19,219.0,-7.321851787112152
20,220.0,-7.0843976575179965
21,221.0,-6.849567963483089
22,222.0,-6.6173512596227155
23,223.0,-6.387736127717197
24,224.0,-6.160712176682168
25,225.0,-5.936267042539463
26,226.0,-5.714388388387285
27,227.0,-5.495066904371022
28,228.0,-5.278290307653691
29,229.0,-5.064046342386348
30,230.0,-4.8523257796788215
31,231.0,-4.643115417570115
32,232.0,-4.436405080999037
33,233.0,-4.232182621774591
34,234.0,-4.030438918546658
35,235.0,-3.8311608767764724
36,236.0,-3.634337428707127
37,237.0,-3.439958533334199
38,238.0,-3.2480131763761193
39,239.0,-3.058489370245013
40,240.0,-2.871376154016758
41,241.0,-2.6866635934020024
42,242.0,-2.504339780716478
43,243.0,-2.324393834851371
44,244.0,-2.1468149012442694
45,245.0,-1.9715931518493264
46,246.0,-1.7987157851079658
47,247.0,-1.628174025919357
48,248.0,-1.459955125610989
49,249.0,-1.294050361909207
50,250.0,-1.1304470389097645
51,251.0,-0.9691354870481916
52,252.0,-0.810104063070689
53,253.0,-0.6533441500041874
54,254.0,-0.498843157127304
55,255.0,-0.346590519940591
56,256.0,-0.19657670013731376
57,257.0,-0.04879118557374085
58,258.0,0.09677750976016597
59,259.0,0.24013984577024416
60,260.0,0.3813062562876226
61,261.0,0.5202871490981593
62,262.0,0.6570919059719529
63,263.0,0.7917328826927772
64,264.0,0.9242184090874801
65,265.0,1.0545607890555644
66,266.0,1.182768300598596
67,267.0,1.3088531958497
68,268.0,1.4328257011029208
69,269.0,1.5546950168428921
70,270.0,1.6744713177740422
71,271.0,1.7921657528503587
72,272.0,1.9077874453044927
73,273.0,2.0213474926775064
74,274.0,2.132855966848396
75,275.0,2.242322914063223
76,276.0,2.3497573549648365
77,277.0,2.455171284622253
78,278.0,2.5585736725602004
79,279.0,2.659974462788476
80,280.0,2.7593835738315065
81,281.0,2.8568118987576483
82,282.0,2.9522683052089604
83,283.0,3.0457626354303144
84,284.0,3.137306706299121
85,285.0,3.2269083093546413
86,286.0,3.3145772108275793
87,287.0,3.400325151669456
88,288.0,3.484160847582018
89,289.0,3.566093989046969
90,290.0,3.646133241354967
91,291.0,3.7242912446356726
92,292.0,3.800574613886738
93,293.0,3.874995939003476
94,294.0,3.9475617848083076
95,295.0,4.01828469108024
96,296.0,4.087172172584289
97,297.0,4.1542347191008915
98,298.0,4.219481795455614
99,299.0,4.282923841548332
100,300.0,4.344568272382759
101,301.0,4.404426478096063
102,302.0,4.462507823988254
103,303.0,4.51882065055149
104,304.0,4.573375273499849
105,305.0,4.626179983798508
106,306.0,4.677246047693281
107,307.0,4.726581706740305
108,308.0,4.774196177835208
109,309.0,4.820098653242681
110,310.0,4.864299300626044
111,311.0,4.90680626307654
112,312.0,4.9476306591429235
113,313.0,4.986779582860898
114,314.0,5.024263103782545
115,315.0,5.06009026700584
116,316.0,5.094271093204071
117,317.0,5.126813578655316
118,318.0,5.157727695271987
119,319.0,5.187022390630155
120,320.0,5.214705587999106
121,321.0,5.240788186370736
122,322.0,5.265278060489187
123,323.0,5.288184060880155
124,324.0,5.309516013880248
125,325.0,5.329281721666824
126,326.0,5.347491962287059
127,327.0,5.364153489687681
128,328.0,5.379277033744188
129,329.0,5.392871300290736
130,330.0,5.404943971149045
131,331.0,5.415503704158297
132,332.0,5.424561133204435
133,333.0,5.43212386824959
134,334.0,5.43820049536167
135,335.0,5.442800576743771
136,336.0,5.445932650763545
137,337.0,5.447605231982763
138,338.0,5.4478268111869
139,339.0,5.446605855414326
140,340.0,5.443951807985975
141,341.0,5.439873088534604
142,342.0,5.4343780930347165
143,343.0,5.427475193831469
144,344.0,5.419172739670323
145,345.0,5.409481055726765
146,346.0,5.398406443635572
147,347.0,5.385959181520043
148,348.0,5.372146524021922
149,349.0,5.356977702330653
150,350.0,5.340460924212607
151,351.0,5.322604374041013
152,352.0,5.303417212825174
153,353.0,5.282907578239779
154,354.0,5.261082584654616
155,355.0,5.23795232316391
156,356.0,5.213524861616065
157,357.0,5.187807244642556
158,358.0,5.160809493687964
159,359.0,5.132538607039059
160,360.0,5.103004559854632
161,361.0,5.072213304194513
162,362.0,5.040174769049393
163,363.0,5.006895860370257
164,364.0,4.9723864610975
165,365.0,4.936653431190862
166,366.0,4.8997066076585725
167,367.0,4.861551804587144
168,368.0,4.822198813170331
169,369.0,4.781654401738884
170,370.0,4.7399283157902445
171,371.0,4.69702827801779
172,372.0,4.652960988339942
173,373.0,4.607737123930349
174,374.0,4.561361339246872
175,375.0,4.51384526606094
176,376.0,4.465193513487549
177,377.0,4.415416668014359
178,378.0,4.364522293530939
179,379.0,4.3125169313588
180,380.0,4.259410100280462
181,381.0,4.205209296569066
182,382.0,4.149921994017703
183,383.0,4.093556643969194
184,384.0,4.036121675344916
185,385.0,3.977623494675086
186,386.0,3.918071486127644
187,387.0,3.8574720115380643
188,388.0,3.7958344104384167
189,389.0,3.7331660000872233
190,390.0,3.6694750754986813
191,391.0,3.6047679094723577
192,392.0,3.5390547526224054
193,393.0,3.472340833407131
194,394.0,3.4046363581585553
195,395.0,3.335947511111698
196,396.0,3.266282454434389
197,397.0,3.1956493282560103
198,398.0,3.1240552506978645
199,399.0,3.0515093179019743
200,400.0,2.9780176040608524
201,401.0,2.903590161446928
202,402.0,2.8282320204419023
203,403.0,2.751952189566339
204,404.0,2.6747586555092226
205,405.0,2.596659383156961
206,406.0,2.5176613156234424
207,407.0,2.437773374279274
208,408.0,2.3570014587807435
209,409.0,2.2753544471004403
210,410.0,2.192840195555405
211,411.0,2.109466538837637
212,412.0,2.025240290042859
213,413.0,1.940169240700456
214,414.0,1.8542621608026764
215,415.0,1.7675267988340693
216,416.0,1.679969881801341
217,417.0,1.591599115262241
218,418.0,1.5024231833551909
219,419.0,1.4124487488293198
220,420.0,1.3216844530733027
221,421.0,1.2301379161446135
222,422.0,1.137816736800204
223,423.0,1.0447284925242144
224,424.0,0.950881739559037
225,425.0,0.8562830129338295
226,426.0,0.7609408264944904
227,427.0,0.6648636729325972
228,428.0,0.5680580238153254
229,429.0,0.4705323296146844
230,430.0,0.3722950197374786
231,431.0,0.27335250255372046
232,432.0,0.1737141654269294
233,433.0,0.07338737474385937
234,434.0,-0.02762052405719828
235,435.0,-0.1293002064556532
236,436.0,-0.23164536882008235
237,437.0,-0.33464672837838805
238,438.0,-0.43829702318826946
239,439.0,-0.5425880121080127
240,440.0,-0.6475114747666169
241,441.0,-0.7530592115347616
242,442.0,-0.8592230434952199
243,443.0,-0.965995812413226
244,444.0,-1.0733673807072819
245,445.0,-1.181331631419269
246,446.0,-1.2898784681853215
247,447.0,-1.3990008152064917
248,448.0,-1.5086896172188489
249,449.0,-1.6189368394641974
250,450.0,-1.7297334676611058
251,451.0,-1.8410715079745188
252,452.0,-1.9529419869868434
253,453.0,-2.065336951668442
254,454.0,-2.178247469348463
255,455.0,-2.2916636276844145
256,456.0,-2.4055785346337757
257,457.0,-2.519981318424101
258,458.0,-2.634864127523244
259,459.0,-2.750219130610475
260,460.0,-2.866034516546506
261,461.0,-2.982302494344381
262,462.0,-3.099014293139973
263,463.0,-3.216160162162055
264,464.0,-3.3337293707034945
265,465.0,-3.4517142080915164
266,466.0,-3.570103983658157
267,467.0,-3.68888902671074
268,468.0,-3.808059686502645
269,469.0,-3.9276053322037825
270,470.0,-4.047517352870813
271,471.0,-4.167783157418228
272,472.0,-4.288394174588603
273,473.0,-4.409338852922886
274,474.0,-4.530606660731323
275,475.0,-4.652187086064032
276,476.0,-4.774068636680781
277,477.0,-4.896239840022602
278,478.0,-5.018690243181808
279,479.0,-5.141408412872082
280,480.0,-5.264380935400084
281,481.0,-5.387597416634804
282,482.0,-5.511044481979084
283,483.0,-5.634710776339432
284,484.0,-5.758582964097073
285,485.0,-5.882647729078101
286,486.0,-6.006892774524204
287,487.0,-6.131303823063277
288,488.0,-6.255867616679538
289,489.0,-6.380569916684863
290,490.0,-6.505396503688431
291,491.0,-6.630333177567891
292,492.0,-6.755363757439511
293,493.0,-6.880473081628907
294,494.0,-7.00564500764159
295,495.0,-7.130864412133306
296,496.0,-7.25611319088118
297,497.0,-7.381376258752937
298,498.0,-7.50663354967908
299,499.0,-7.631869016622247
300,500.0,-7.757062631548237
301,501.0,-7.882196385396355
302,502.0,-8.007249288050005
303,503.0,-8.132202368307375
304,504.0,-8.257033673851794
305,505.0,-8.381721271222247
306,506.0,-8.50624424578406
307,507.0,-8.630577701699366
308,508.0,-8.754699761897385
309,509.0,-8.878583568045684
310,510.0,-9.002204280519706
311,511.0,-9.125535078374114
312,512.0,-9.248549159312901
313,513.0,-9.371217739660523
314,514.0,-9.493511054331009
315,515.0,-9.615397356800443
316,516.0,-9.736845919076032
317,517.0,-9.857822031667041
318,518.0,-9.978292003555808
319,519.0,-10.09821816216774
320,520.0,-10.21756385334129
321,521.0,-10.33629044130042
322,522.0,-10.454354308623067
323,523.0,-10.571714856212736
324,524.0,-10.688324503268689
325,525.0,-10.804138687256852
326,526.0,-10.919105863880105
327,527.0,-11.033175507048341
328,528.0,-11.146293108850145
329,529.0,-11.25840117952204
330,530.0,-11.3694402474202
331,531.0,-11.479346858990013
332,532.0,-11.5880545787373
333,533.0,-11.695493989198155
334,534.0,-11.801591690910556
335,535.0,-11.90627030238386
336,536.0,-12.009447460069538
337,537.0,-12.111035818332198
338,538.0,-12.210944049419822
339,539.0,-12.309076843434013
340,540.0,-12.40532990830124
341,541.0,-12.499594969742532
342,542.0,-12.591755771244607
343,543.0,-12.681692074030309
344,544.0,-12.769270657028784
345,545.0,-12.854355316846977
346,546.0,-12.936795867738368
347,547.0,-13.016437141575551
348,548.0,-13.093109987819389
349,549.0,-13.166635273490215
350,550.0,-13.236821883138163
351,551.0,-13.303463718813106
352,552.0,-13.366340700036943
353,553.0,-13.425216763771743
354,554.0,-13.479839864392062
355,555.0,-13.529936973655083
356,556.0,-13.575215080670574
357,557.0,-13.615358191872332
358,558.0,-13.650027330987598
359,559.0,-13.67885253900863
360,560.0,-13.701436874162567
361,561.0,-13.71735041188279
362,562.0,-13.7261262447781
363,563.0,-13.727255482604534
364,564.0,-13.720188252234891
365,565.0,-13.704324697630739
366,566.0,-13.679007979811104
367,567.0,-13.643524276824166
368,568.0,-13.597090783717505
369,569.0,-13.538850712508577
370,570.0,-13.467861292155675
371,571.0,-13.383087768527531
372,572.0,-13.283391404374868
373,573.0,-13.167511479300373
374,574.0,-13.034056289729335
375,575.0,-12.881484148880105
376,576.0,-12.708080386735077
377,577.0,-12.511939350010266
378,578.0,-12.290933402126768
379,579.0,-12.042683923181357
380,580.0,-11.764525309915797
381,581.0,-11.453460975688927
382,582.0,-11.106115350446458
383,583.0,-10.718671880690692
384,584.0,-10.286809029453025
385,585.0,-9.805611276262823
386,586.0,-9.269474117118108
387,587.0,-8.671985064457232
388,588.0,-8.005782647128058
389,589.0,-7.2623834103593765
390,590.0,-6.431973915731078
391,591.0,-5.503158741144944
392,592.0,-4.462644480794609
393,593.0,-3.2948647451365503
394,594.0,-1.9814971608612382
395,595.0,-0.5008783708618978
396,596.0,1.1727399657930562
397,597.0,3.070118173890421
398,598.0,5.228211562102047
399,599.0,7.691671423012934
400,600.0,10.514767033152168
401,601.0,13.76386465302204
402,602.0,17.520623527126503
403,603.0,21.886151884001578
404,604.0,26.986402936245298
405,605.0,32.97917888054556
406,606.0,40.0631818977113
407,607.0,48.48955215270047
408,608.0,58.57620979465128
409,609.0,70.72476695690924
410,610.0,85.43840375705926
411,611.0,103.33567829695252
412,612.0,125.14796466273881
413,613.0,151.67345592489352
414,614.0,183.6343291382475
415,615.0,221.3464963420189
416,616.0,264.0902825598385
417,617.0,309.16455579978333
418,618.0,351.0081590544031
419,619.0,381.5005133007519
420,620.0,392.6956755004152
421,621.0,381.1882435995422
422,622.0,350.3836265288728
423,623.0,308.2277722037685
424,624.0,262.8412665242411
425,625.0,219.78527237498315
426,626.0,181.7609276253962
427,627.0,149.487915129621
428,628.0,122.65032672656707
429,629.0,100.52599323994122
430,630.0,82.31672847827846
431,631.0,67.29116223497076
432,632.0,54.83074328829548
433,633.0,44.43229940144681
434,634.0,35.69422132256372
435,635.0,28.29859878476026
436,636.0,21.994295506154145
437,637.0,16.58261718989786
438,638.0,11.905765524205435
439,639.0,7.837795182385321
440,640.0,4.277603822866951
441,641.0,1.1435380892312423
442,642.0,-1.6307613897592432
443,643.0,-4.099559000131734
444,644.0,-6.307498142673637
445,645.0,-8.291528232902749
446,646.0,-10.082404701038143
447,647.0,-11.705868991970135
448,648.0,-13.183577565232042
449,649.0,-14.533845894969346
450,650.0,-15.77223746991055
451,651.0,-16.91203579333859
452,652.0,-17.96463238305992
453,653.0,-18.93983277137687
454,654.0,-19.846114505056363
455,655.0,-20.690835145301634
456,656.0,-21.48039826772205
457,657.0,-22.220402462304037
458,658.0,-22.915757333382174
459,659.0,-23.570778499608366
460,660.0,-24.18927659392341
461,661.0,-24.774619263527057
462,662.0,-25.32979816984914
463,663.0,-25.857471988519507
464,664.0,-26.36001440933802
465,665.0,-26.839544136247213
466,666.0,-27.29796288730074
467,667.0,-27.736978394633894
468,668.0,-28.15812540443622
469,669.0,-28.562790676919462
470,670.0,-28.95222598629016
471,671.0,-29.327566120718956
472,672.0,-29.689839882311162
473,673.0,-30.039981087078672
474,674.0,-30.378842564908354
475,675.0,-30.707199159534355
476,676.0,-31.02576072850789
477,677.0,-31.335174143167677
478,678.0,-31.6360352886108
479,679.0,-31.92888706366267
480,680.0,-32.21423238084938
481,681.0,-32.492531166364984
482,682.0,-32.76420636004511
483,683.0,-33.02965091533562
484,684.0,-33.289225799264926
485,685.0,-33.54326399241182
486,686.0,-33.792076488878735
487,687.0,-34.03594829626127
488,688.0,-34.275145435617645
489,689.0,-34.50991594144048
490,690.0,-34.74048786162783
491,691.0,-34.967075257452166
492,692.0,-35.18987720353141
493,693.0,-35.409077787801124
494,694.0,-35.624851111481604
495,695.0,-35.837357289052505
496,696.0,-36.0467494482202
497,697.0,-36.25316572988925
498,698.0,-36.45674128813357
499,699.0,-36.65759729016685
500,700.0,-36.855850916312306
501,701.0,-37.05161135997352
502,702.0,-37.24497982760607
503,703.0,-37.43605353868546
504,704.0,-37.62492172568113
505,705.0,-37.81166963402413
506,706.0,-37.99637752207897
507,707.0,-38.17911966111376
508,708.0,-38.35996833527145
509,709.0,-38.53898984153861
510,710.0,-38.716246489718685
511,711.0,-38.89179960239926
512,712.0,-39.06570351492607
513,713.0,-39.238013575370616
514,714.0,-39.40877714450218
515,715.0,-39.578044595758314
516,716.0,-39.74585931521486
517,717.0,-39.912264701556865
518,718.0,-40.077300166048616
519,719.0,-40.24100513250491
520,720.0,-40.40341403726143
521,721.0,-40.564563329144875
522,722.0,-40.72448446944347
523,723.0,-40.88320793187759
524,724.0,-41.04076420257158
525,725.0,-41.19717978002126
526,726.0,-41.352482175067905
527,727.0,-41.506696910867106
528,728.0,-41.65984552285829
529,729.0,-41.811953558737684
530,730.0,-41.9630405784265
531,731.0,-42.11312815404335
532,732.0,-42.262234869873396
533,733.0,-42.410380322339336
534,734.0,-42.55758111997295
535,735.0,-42.703854883383656
536,736.0,-42.84921724523076
537,737.0,-42.99368285019301
538,738.0,-43.13726635493947
539,739.0,-43.27998242810065
540,740.0,-43.421843750237315
541,741.0,-43.56286201381346
542,742.0,-43.70304992316386
543,743.0,-43.842418194468166
544,744.0,-43.980978555718536
545,745.0,-44.11873974669061
546,746.0,-44.25571151891626
547,747.0,-44.39190463565103
548,748.0,-44.527326871846526
549,749.0,-44.66198701412054
550,750.0,-44.79589186072798
551,751.0,-44.92905022153036
552,752.0,-45.06146891796766
553,753.0,-45.19315378302787
554,754.0,-45.32411266121727
555,755.0,-45.45435040853283
556,756.0,-45.58387389243035
557,757.0,-45.712687991796486
558,758.0,-45.840797596919
559,759.0,-45.96820860945695
560,760.0,-46.09492494241175
561,761.0,-46.22095052009735
562,762.0,-46.34628927811019
563,763.0,-46.470946163301676
564,764.0,-46.59492413374642
565,765.0,-46.71822715871372
