pixel_index,raman_shift_cm-1,intensity
0,200.0,40.20594
1,201.0,40.206617
2,202.0,40.207298
3,203.0,40.207983
4,204.0,40.208671
5,205.0,40.209364
6,206.0,40.210061
7,207.0,40.210762
8,208.0,40.211467
9,209.0,40.212176
10,210.0,40.212889
11,211.0,40.213606
12,212.0,40.214328
13,213.0,40.215053
14,214.0,40.215783
15,215.0,40.216518
16,216.0,40.217256
17,217.0,40.217999
18,218.0,40.218747
19,219.0,40.219499
20,220.0,40.220255
21,221.0,40.221017
22,222.0,40.221782
23,223.0,40.222553
24,224.0,40.223327
25,225.0,40.224107
26,226.0,40.224892
27,227.0,40.225681
28,228.0,40.226475
29,229.0,40.227274
30,230.0,40.228078
31,231.0,40.228887
32,232.0,40.229701
33,233.0,40.23052
34,234.0,40.231344
35,235.0,40.232173
36,236.0,40.233008
37,237.0,40.233848
38,238.0,40.234693
39,239.0,40.235543
40,240.0,40.236399
41,241.0,40.23726
42,242.0,40.238127
43,243.0,40.239
44,244.0,40.239878
45,245.0,40.240761
46,246.0,40.241651
47,247.0,40.242546
48,248.0,40.243447
49,249.0,40.244354
50,250.0,40.245267
51,251.0,40.246186
52,252.0,40.247111
53,253.0,40.248042
54,254.0,40.248979
55,255.0,40.249923
56,256.0,40.250873
57,257.0,40.251829
58,258.0,40.252791
59,259.0,40.253761
60,260.0,40.254736
61,261.0,40.255719
62,262.0,40.256708
63,263.0,40.257704
64,264.0,40.258706
65,265.0,40.259716
66,266.0,40.260732
67,267.0,40.261756
68,268.0,40.262787
69,269.0,40.263824
70,270.0,40.26487
71,271.0,40.265922
72,272.0,40.266982
73,273.0,40.268049
74,274.0,40.269124
75,275.0,40.270207
76,276.0,40.271297
77,277.0,40.272395
78,278.0,40.273501
79,279.0,40.274615
80,280.0,40.275738
81,281.0,40.276868
82,282.0,40.278006
83,283.0,40.279153
84,284.0,40.280308
85,285.0,40.281472
86,286.0,40.282644
87,287.0,40.283825
88,288.0,40.285015
89,289.0,40.286214
90,290.0,40.287421
91,291.0,40.288638
92,292.0,40.289864
93,293.0,40.291099
94,294.0,40.292344
95,295.0,40.293598
96,296.0,40.294862
97,297.0,40.296135
98,298.0,40.297419
99,299.0,40.298712
100,300.0,40.300015
101,301.0,40.301328
102,302.0,40.302652
103,303.0,40.303986
104,304.0,40.305331
105,305.0,40.306686
106,306.0,40.308052
107,307.0,40.309429
108,308.0,40.310817
109,309.0,40.312216
110,310.0,40.313626
111,311.0,40.315048
112,312.0,40.316481
113,313.0,40.317926
114,314.0,40.319383
115,315.0,40.320852
116,316.0,40.322333
117,317.0,40.323826
118,318.0,40.325332
119,319.0,40.32685
120,320.0,40.328381
121,321.0,40.329925
122,322.0,40.331482
123,323.0,40.333052
124,324.0,40.334635
125,325.0,40.336232
126,326.0,40.337843
127,327.0,40.339467
128,328.0,40.341106
129,329.0,40.342759
130,330.0,40.344426
131,331.0,40.346108
132,332.0,40.347805
133,333.0,40.349516
134,334.0,40.351243
135,335.0,40.352985
136,336.0,40.354743
137,337.0,40.356517
138,338.0,40.358306
139,339.0,40.360112
140,340.0,40.361934
141,341.0,40.363773
142,342.0,40.365629
143,343.0,40.367501
144,344.0,40.369391
145,345.0,40.371299
146,346.0,40.373224
147,347.0,40.375168
148,348.0,40.37713
149,349.0,40.37911
150,350.0,40.381109
151,351.0,40.383127
152,352.0,40.385165
153,353.0,40.387222
154,354.0,40.389298
155,355.0,40.391396
156,356.0,40.393513
157,357.0,40.395651
158,358.0,40.39781
159,359.0,40.399991
160,360.0,40.402193
161,361.0,40.404417
162,362.0,40.406664
163,363.0,40.408933
164,364.0,40.411225
165,365.0,40.41354
166,366.0,40.415879
167,367.0,40.418242
168,368.0,40.420629
169,369.0,40.423041
170,370.0,40.425477
171,371.0,40.42794
172,372.0,40.430428
173,373.0,40.432942
174,374.0,40.435483
175,375.0,40.438051
176,376.0,40.440647
177,377.0,40.44327
178,378.0,40.445922
179,379.0,40.448603
180,380.0,40.451312
