pixel_index,raman_shift_cm-1,intensity
0,400.0,39.499688
1,404.0,43.010852
2,408.0,42.782202
3,412.0,41.596845
4,416.0,40.430049
5,420.0,41.435286
6,424.0,41.758562
7,428.0,39.862543
8,432.0,40.48058
9,436.0,39.604667
10,440.0,42.239122
11,444.0,38.893885
12,448.0,39.227287
13,452.0,40.518308
14,456.0,42.156847
15,460.0,40.370889
16,464.0,39.912385
17,468.0,39.898495
18,472.0,38.285519
19,476.0,42.643603
20,480.0,41.060738
21,484.0,39.69883
22,488.0,39.340562
23,492.0,42.585206
24,496.0,41.107488
25,500.0,41.075692
26,504.0,41.14432
27,508.0,43.852698
28,512.0,45.348392
29,516.0,39.003118
30,520.0,41.489678
31,524.0,42.719651
32,528.0,42.137757
33,532.0,40.050401
34,536.0,43.246097
35,540.0,41.807413
36,544.0,40.767375
37,548.0,42.632944
38,552.0,43.844659
39,556.0,43.006058
40,560.0,42.840492
41,564.0,43.238915
42,568.0,46.223845
43,572.0,42.271715
44,576.0,46.764409
45,580.0,45.763933
46,584.0,49.762786
47,588.0,52.12558
48,592.0,53.328864
49,596.0,57.452595
50,600.0,63.02962
51,604.0,82.905825
52,608.0,117.796237
53,612.0,188.30286
54,616.0,321.496093
55,620.0,450.936731
56,624.0,321.146584
57,628.0,197.14188
58,632.0,138.016817
59,636.0,96.671893
60,640.0,83.252767
61,644.0,76.071445
62,648.0,66.913337
63,652.0,59.108438
64,656.0,56.738198
65,660.0,50.923126
66,664.0,50.142389
67,668.0,48.26087
68,672.0,45.594894
69,676.0,46.25447
70,680.0,46.745031
71,684.0,44.393228
72,688.0,45.813168
73,692.0,44.862389
74,696.0,43.638845
75,700.0,44.221481
76,704.0,42.47477
77,708.0,40.154933
78,712.0,44.293752
79,716.0,43.621417
80,720.0,41.276587
81,724.0,43.661118
82,728.0,42.682429
83,732.0,41.561639
84,736.0,41.710812
85,740.0,43.064717
86,744.0,43.766125
87,748.0,40.474758
88,752.0,43.474412
