pixel_index,raman_shift_cm-1,intensity
0,200.0,0.0
1,201.0,0.0
2,202.0,0.0
3,203.0,0.0
4,204.0,0.0
5,205.0,0.0
6,206.0,0.0
7,207.0,0.0
8,208.0,0.0
9,209.0,0.0
10,210.0,0.0
11,211.0,0.0
12,212.0,0.0
13,213.0,0.0
14,214.0,0.0
15,215.0,0.0
16,216.0,0.0
17,217.0,0.0
18,218.0,0.0
19,219.0,0.0
20,220.0,0.0
21,221.0,0.0
22,222.0,0.0
23,223.0,0.0
24,224.0,0.0
25,225.0,0.0
26,226.0,0.0
27,227.0,0.0
28,228.0,0.0
29,229.0,0.0
30,230.0,0.0
31,231.0,0.0
32,232.0,0.0
33,233.0,0.0
34,234.0,0.0
35,235.0,0.0
36,236.0,0.0
37,237.0,0.0
38,238.0,0.0
39,239.0,0.0
40,240.0,0.0
41,241.0,0.0
42,242.0,0.0
43,243.0,0.0
44,244.0,0.0
45,245.0,0.0
46,246.0,0.0
47,247.0,0.0
48,248.0,0.0
49,249.0,0.0
50,250.0,0.0
51,251.0,0.0
52,252.0,0.0
53,253.0,0.0
54,254.0,0.0
55,255.0,0.0
56,256.0,0.0
57,257.0,0.0
58,258.0,0.0
59,259.0,0.0
60,260.0,0.0
61,261.0,0.0
62,262.0,0.0
63,263.0,0.0
64,264.0,0.0
65,265.0,0.0
66,266.0,0.0
67,267.0,0.0
68,268.0,0.0
69,269.0,0.0
70,270.0,0.0
71,271.0,0.0
72,272.0,0.0
73,273.0,0.0
74,274.0,0.0
75,275.0,0.0
76,276.0,0.0
77,277.0,0.0
78,278.0,0.0
79,279.0,0.0
80,280.0,0.0
81,281.0,0.0
82,282.0,0.0
83,283.0,0.0
84,284.0,0.0
85,285.0,0.0
86,286.0,0.0
87,287.0,0.0
88,288.0,0.0
89,289.0,0.0
90,290.0,0.0
91,291.0,0.0
92,292.0,0.0
93,293.0,0.0
94,294.0,0.0
95,295.0,0.0
96,296.0,0.0
97,297.0,0.0
98,298.0,0.0
99,299.0,0.0
100,300.0,0.0
101,301.0,0.0
102,302.0,0.0
103,303.0,0.0
104,304.0,0.0
105,305.0,0.0
106,306.0,0.0
107,307.0,0.0
108,308.0,0.0
109,309.0,0.0
110,310.0,0.0
111,311.0,0.0
112,312.0,0.0
113,313.0,0.0
114,314.0,0.0
115,315.0,0.0
116,316.0,0.0
117,317.0,0.0
118,318.0,0.0
119,319.0,0.0
120,320.0,0.0
121,321.0,0.0
122,322.0,0.0
123,323.0,0.0
124,324.0,0.0
125,325.0,0.0
126,326.0,0.0
127,327.0,0.0
128,328.0,0.0
129,329.0,0.0
130,330.0,0.0
