pixel_index,raman_shift_cm-1,intensity
0,200.0,13.839621769893846
1,201.0,13.736473017945674
2,202.0,13.633289838547512
3,203.0,13.530071495971885
4,204.0,13.426818254491288
5,205.0,13.323530378378234
6,206.0,13.22020913190525
7,207.0,13.116852779344832
8,208.0,13.013463584969497
9,209.0,12.910041813051752
10,210.0,12.806585727864114
11,211.0,12.703097593679082
12,212.0,12.599577674769176
13,213.0,12.4960242354069
14,214.0,12.392440539864786
15,215.0,12.288824852415317
16,216.0,12.185177437331014
17,217.0,12.081499558884396
18,218.0,11.977791481347968
19,219.0,11.874052468994229
20,220.0,11.770283786095703
21,221.0,11.666485696924902
22,222.0,11.562658465754339
23,223.0,11.458802356856523
24,224.0,11.354916634503947
25,225.0,11.251002562969134
26,226.0,11.147061406524607
27,227.0,11.04309142944286
28,228.0,10.939093895996415
29,229.0,10.835070070457775
30,230.0,10.731018217099454
31,231.0,10.626940600193961
32,232.0,10.522836484013808
33,233.0,10.418707132831507
34,234.0,10.314550810919574
35,235.0,10.2103697825505
36,236.0,10.106164311996817
37,237.0,10.001933663531034
38,238.0,9.897678101425647
39,239.0,9.793398889953185
40,240.0,9.689096293386143
41,241.0,9.584769575997033
42,242.0,9.48042000205838
43,243.0,9.376047835842684
44,244.0,9.271653341622454
45,245.0,9.167235783670215
46,246.0,9.062797426258463
47,247.0,8.958336533659697
48,248.0,8.853855370146462
49,249.0,8.74935219999125
50,250.0,8.644829287466564
51,251.0,8.540285896844935
52,252.0,8.435723292398862
53,253.0,8.331139738400843
54,254.0,8.226537499123403
55,255.0,8.121916838839063
56,256.0,8.017277021820313
57,257.0,7.912618312339674
58,258.0,7.807941974669667
59,259.0,7.703248273082785
60,260.0,7.598537471851536
61,261.0,7.493809835248442
62,262.0,7.389064627546027
63,263.0,7.284304113016773
64,264.0,7.179526555933215
65,265.0,7.074734220567855
66,266.0,6.969925371193192
67,267.0,6.8651022720817565
68,268.0,6.760265187506043
69,269.0,6.655413381738562
70,270.0,6.550547119051856
71,271.0,6.445667663718389
72,272.0,6.340774280010699
73,273.0,6.235868232201298
74,274.0,6.130949784562688
75,275.0,6.026019201367376
76,276.0,5.921075746887894
77,277.0,5.816121685396723
78,278.0,5.711156281166396
79,279.0,5.6061797984694195
80,280.0,5.501192501578295
81,281.0,5.396195654765549
82,282.0,5.291188522303678
83,283.0,5.186171368465189
84,284.0,5.081146457522621
85,285.0,4.976112053748459
86,286.0,4.871068421415217
87,287.0,4.766017824795405
88,288.0,4.660959528161527
89,289.0,4.555893795786126
90,290.0,4.450819891941691
91,291.0,4.34574108090073
92,292.0,4.240654626935758
93,293.0,4.135563794319275
94,294.0,4.030465847323811
95,295.0,3.9253640502218587
96,296.0,3.820256667285946
97,297.0,3.715144962788571
98,298.0,3.6100292010022557
99,299.0,3.504910646199498
100,300.0,3.3997875626528113
101,301.0,3.2946622146347195
102,302.0,3.1895348664177163
103,303.0,3.0844047822743192
104,304.0,2.979273226477048
105,305.0,2.8741394632984054
106,306.0,2.769005757010895
107,307.0,2.6638713718870477
108,308.0,2.5587365721993507
109,309.0,2.4536016222203116
110,310.0,2.3484677862224785
111,311.0,2.2433343284783334
112,312.0,2.138203513260386
113,313.0,2.0330736048411637
114,314.0,1.9279458674931576
115,315.0,1.8228205654888896
116,316.0,1.7176989631008723
117,317.0,1.612580324601609
118,318.0,1.507465914263605
119,319.0,1.4023559963593968
120,320.0,1.2972498351614874
121,321.0,1.1921496949423585
122,322.0,1.087054839974563
123,323.0,0.9819655345305591
124,324.0,0.8768830428829091
125,325.0,0.7718066293040948
126,326.0,0.6667385580666476
127,327.0,0.5616770934430804
128,328.0,0.4566244997058675
129,329.0,0.3515810411275382
130,330.0,0.24654598198061706
131,331.0,0.14151958653759777
132,332.0,0.036504119070997376
133,333.0,-0.06850115614665242
134,334.0,-0.17349597484287216
135,335.0,-0.27847907274513517
136,336.0,-0.3834501855809478
137,337.0,-0.4884090490777737
138,338.0,-0.5933553989631264
139,339.0,-0.6982889709644766
140,340.0,-0.8032085008092977
141,341.0,-0.9081137242251245
142,342.0,-1.013004376939442
143,343.0,-1.1178801946796995
144,344.0,-1.2227409131734177
145,345.0,-1.3275842681480512
146,346.0,-1.4324119953311154
147,347.0,-1.5372218304501146
