pixel_index,raman_shift_cm-1,intensity
0,-216.44204741481678,654.0
1,-213.3740889662547,656.0
2,-210.30733744389872,652.0
3,-207.2417922618525,654.0
4,-204.1774528345818,655.0
5,-201.1143185769254,654.0
6,-198.0523889040733,647.0
7,-194.99166323157112,651.0
8,-191.9321409753527,650.0
9,-188.8738215516857,647.0
10,-185.81670437721516,666.0
11,-182.7607888689504,661.0
12,-179.7060744442477,649.0
13,-176.65256052083404,645.0
14,-173.60024651679,649.0
15,-170.54913185057123,653.0
16,-167.49921594097373,652.0
17,-164.45049820716224,647.0
18,-161.40297806866363,649.0
19,-158.3566549453603,648.0
20,-155.31152825749035,647.0
21,-152.26759742566045,647.0
22,-149.2248618708264,647.0
23,-146.18332101429968,648.0
24,-143.14297427775597,651.0
25,-140.10382108323526,643.0
26,-137.06586085311372,651.0
27,-134.02909301013605,649.0
28,-130.99351697741565,644.0
29,-127.95913217839762,648.0
30,-124.92593803690227,645.0
31,-121.89393397709895,653.0
32,-118.86311942350619,649.0
33,-115.83349380101326,647.0
34,-112.8050565348434,648.0
35,-109.77780705059932,652.0
36,-106.75174477420461,647.0
37,-103.72686913197323,660.0
38,-100.70317955055089,651.0
39,-97.6806754569454,654.0
40,-94.65935627850936,654.0
41,-91.639221442951,649.0
42,-88.62027037833849,652.0
43,-85.60250251309128,648.0
44,-82.5859172759671,650.0
45,-79.57051409609016,649.0
46,-76.55629240293374,646.0
47,-73.54325162630941,650.0
48,-70.53139119640389,652.0
49,-67.52071054373347,645.0
50,-64.51120909916575,647.0
51,-61.50288629394127,646.0
52,-58.49574155961933,653.0
53,-55.48977432812789,645.0
54,-52.484984031739636,650.0
55,-49.48137010307857,646.0
56,-46.47893197511996,645.0
57,-43.47766908116869,651.0
58,-40.47758085490259,649.0
59,-37.478666730337764,646.0
60,-34.48092614183294,647.0
61,-31.484358524100273,647.0
62,-28.48896331219671,653.0
63,-25.494739941521807,663.0
64,-22.501687847837225,699.0
65,-19.509806467227737,774.0
66,-16.519095236153245,977.0
67,-13.52955359139457,676.0
68,-10.541180970081648,655.0
69,-7.5539768096935305,651.0
70,-4.567940548062721,654.0
71,-1.5830716233534794,648.0
72,1.4006305259078022,657.0
73,4.383166460880317,651.0
74,7.364536742356795,644.0
75,10.344741930783023,647.0
76,13.323782586279531,648.0
77,16.301659268604716,649.0
78,19.278372537193896,661.0
79,22.253922951128924,651.0
80,25.228311069136048,672.0
81,28.201537449629257,639.0
