pixel_index,raman_shift_cm-1,intensity
0,200.0,-12.347642138647075
1,201.0,-12.058101011963316
2,202.0,-11.771408477503684
3,203.0,-11.487551568151162
4,204.0,-11.206518344513682
5,205.0,-10.92829689489443
6,206.0,-10.652876335262363
7,207.0,-10.38024380922289
8,208.0,-10.110388487988388
9,209.0,-9.84329657034857
10,210.0,-9.578958282641224
11,211.0,-9.317360878722695
12,212.0,-9.058492639938237
13,213.0,-8.802341875092793
14,214.0,-8.548896920421498
15,215.0,-8.298146139559975
16,216.0,-8.050077923515175
17,217.0,-7.80467969063568
18,218.0,-7.561941886582531
19,219.0,-7.3218519842994
20,220.0,-7.084397483983281
21,221.0,-6.849567913055068
22,222.0,-6.617350826130149
23,223.0,-6.3877368049887195
24,224.0,-6.160712458546499
25,225.0,-5.93626642282527
26,226.0,-5.714389360923349
27,227.0,-5.495066962985987
28,228.0,-5.278289946176216
29,229.0,-5.064047054645158
30,230.0,-4.852325059502505
31,231.0,-4.643115758787417
32,232.0,-4.436404977438542
33,233.0,-4.232183567264968
34,234.0,-4.030438406916602
35,235.0,-3.8311604018545324
36,236.0,-3.6343374843220317
37,237.0,-3.4399586133145306
38,238.0,-3.2480127745505456
39,239.0,-3.058488980442121
40,240.0,-2.871376270065184
41,241.0,-2.686663709130329
42,242.0,-2.5043393899533157
43,243.0,-2.324393431425392
44,244.0,-2.146814978983997
45,245.0,-1.9715932045833142
46,246.0,-1.7987163066648009
47,247.0,-1.6281735101277093
48,248.0,-1.4599550662994432
49,249.0,-1.2940502529062314
50,250.0,-1.1304473740439676
51,251.0,-0.9691357601482196
52,252.0,-0.8101047679649866
53,253.0,-0.6533437805213396
54,254.0,-0.4988432070958311
55,255.0,-0.3465904831890896
56,256.0,-0.19657707049429973
57,257.0,-0.04879145686768993
58,258.0,0.09677784370066433
59,259.0,0.2401402911166315
60,260.0,0.38130631921151803
61,261.0,0.5202863357709475
62,262.0,0.6570917225651556
63,263.0,0.791732835377843
64,264.0,0.9242180040360211
65,265.0,1.0545605324389555
66,266.0,1.182768698588518
67,267.0,1.3088537546174734
68,268.0,1.4328259268201862
69,269.0,1.5546944156811264
70,270.0,1.6744713959048454
71,271.0,1.7921650164451535
72,272.0,1.9077874005349145
73,273.0,2.0213476457151387
74,274.0,2.132855823864645
75,275.0,2.2423229812297336
76,276.0,2.3497581384531827
77,277.0,2.455171290603971
78,278.0,2.558573407206893
79,279.0,2.6599744322716106
80,280.0,2.75938328432278
81,281.0,2.856811856428635
82,282.0,2.9522680162311303
83,283.0,3.0457626059753693
84,284.0,3.1373064425386588
85,285.0,3.2269083174602997
86,286.0,3.314577996970854
87,287.0,3.4003252220219906
88,288.0,3.4841607083154713
89,289.0,3.5660931463328893
90,290.0,3.646133201365103
91,291.0,3.7242905135415185
92,292.0,3.800574697859986
93,293.0,3.8749953442157903
94,294.0,3.9475620174312667
95,295.0,4.0182842572854724
96,296.0,4.087172578543573
97,297.0,4.154234470985784
98,298.0,4.219482399437879
99,299.0,4.282923803799406
100,300.0,4.344569099074533
101,301.0,4.4044266754001455
102,302.0,4.462507898076353
103,303.0,4.518820107595161
104,304.0,4.573374619670858
105,305.0,4.626180725268512
106,306.0,4.677245690633981
107,307.0,4.7265817573234585
108,308.0,4.774196142232597
109,309.0,4.820099037625937
110,310.0,4.864299611166757
111,311.0,4.906807005946575
112,312.0,4.947630340514024
113,313.0,4.986779708904635
114,314.0,5.024263180670744
115,315.0,5.060090800910302
116,316.0,5.09427159029633
117,317.0,5.126813545107382
118,318.0,5.157727637255505
119,319.0,5.187021814316722
120,320.0,5.214705999560579
121,321.0,5.240788091978914
122,322.0,5.265277966315807
123,323.0,5.288183473096922
124,324.0,5.309515438659105
125,325.0,5.3292816651792805
126,326.0,5.347491930705189
127,327.0,5.364153989183023
128,328.0,5.379277570488796
129,329.0,5.392871380456199
130,330.0,5.4049431009071895
131,331.0,5.415504389680962
132,332.0,5.424560880663364
133,333.0,5.432124183816654
134,334.0,5.438200885208687
135,335.0,5.442800547042566
136,336.0,5.44593270768587
137,337.0,5.4476048817004425
138,338.0,5.447826559871828
139,339.0,5.446606209238325
140,340.0,5.443951273120888
141,341.0,5.439873171152271
142,342.0,5.434377299306959
143,343.0,5.427475029930122
144,344.0,5.41917271176726
145,345.0,5.4094806699938545
146,346.0,5.398407206244656
147,347.0,5.385959598643069
148,348.0,5.372147101830649
149,349.0,5.356977946997006
150,350.0,5.340461341908394
151,351.0,5.322604470938302
152,352.0,5.303417495095687
153,353.0,5.282907552055349
154,354.0,5.261082756187307
155,355.0,5.237952198585617
156,356.0,5.213524947098449
157,357.0,5.187808046357702
