# kind,background_subtracted
# version_label,v1_poly4
# poly_order,4
# iterations_run,18
pixel_index,raman_shift_cm-1,intensity,background_intensity
0,-225.132,460.9766258817564,228.02337411824362
1,-222.063,449.5492792738929,234.4507207261071
2,-218.996,448.14027978624017,240.8597202137598
3,-215.930,439.74958451419604,247.25041548580398
4,-212.866,429.37715060838855,253.62284939161145
5,-209.802,423.02293527467646,259.97706472532354
6,-206.740,408.6868957741488,266.3131042258512
7,-203.679,417.3689894231253,272.6310105768747
8,-200.619,411.069173593156,278.930826406844
9,-197.561,399.78740571102145,285.21259428897855
10,-194.503,403.52364325873265,291.47635674126735
11,-191.447,392.2778437735312,297.7221562264688
12,-188.392,371.049964847889,303.950035152111
13,-185.338,367.83996412950853,310.16003587049147
14,-182.285,367.64779932132274,316.35220067867726
15,-179.234,364.473428181495,322.526571818505
16,-176.184,363.31680852341924,328.68319147658076
17,-173.135,349.17789821571984,334.82210178428016
18,-170.087,336.0566551822515,340.9433448177485
19,-167.040,328.95303740209965,347.04696259790035
20,-163.995,344.86700290958004,353.13299709041996
21,-160.951,325.79850979423895,359.20149020576105
22,-157.908,318.747516200853,365.252483799147
23,-154.866,315.7139803294295,371.2860196705705
24,-151.825,309.69786043520605,377.30213956479395
25,-148.786,301.699114828651,383.300885171349
26,-145.747,295.7177018754627,389.2822981245373
27,-142.710,290.75357999657035,395.24642000342965
28,-139.674,286.80670766813364,401.19329233186636
29,-136.640,286.87704342154245,407.12295657845755
30,-133.606,264.96454584341745,413.03545415658255
31,-130.574,270.0691735756096,418.9308264243904
32,-127.543,258.1908853152004,424.8091146847996
33,-124.513,252.32963981450166,430.67036018549834
34,-121.484,243.48539588105592,436.5146041189441
35,-118.457,237.65811237763614,442.34188762236386
36,-115.430,243.8477482222455,448.1522517777545
37,-112.405,242.054262388118,453.945737611882
38,-109.381,224.27761390371796,459.72238609628204
39,-106.358,209.51776185274008,465.4822381472599
40,-103.337,203.77466537410976,471.22533462589024
41,-100.316,210.04828366198262,476.9517163380174
42,-97.297,203.338575965745,482.661424034255
43,-94.279,202.6455015900135,488.3544984099865
44,-91.262,190.96901989463527,494.03098010536473
45,-88.246,193.30909029468808,499.6909097053119
46,-85.232,198.66567226048,505.33432773952
47,-82.218,185.0387253175495,510.9612746824505
48,-79.206,171.42820904666587,516.5717909533341
49,-76.195,161.83408308382855,522.1659169161715
50,-73.185,150.25630712026737,527.7436928797326
51,-70.177,154.69484090244305,533.305159097557
52,-67.169,153.1496442320465,538.8503557679535
53,-64.163,134.62067696599922,544.3793230340008
54,-61.158,135.10789901645308,549.8921009835469
55,-58.154,132.6112703507904,555.3887296492096
56,-55.151,124.13075099162415,560.8692490083758
57,-52.150,117.66630101679755,566.3336989832025
58,-49.149,105.21788055938453,571.7821194406155
59,-46.150,102.78544980768925,577.2145501923108
60,-43.152,101.36896900524664,582.6310309947534
61,-40.155,109.96839845082184,588.0316015491782
62,-37.159,94.58369849841051,593.4163015015895
63,-34.165,85.214829557239,598.785170442761
64,-31.171,98.86175209176383,604.1382479082362
65,-28.179,77.5244266216722,609.4755733783278
66,-25.188,87.20281372188174,614.7971862781183
67,-22.198,93.89687402254037,620.1031259774596
68,-19.210,65.60656820902682,625.3934317909732
69,-16.222,44.3318570219501,630.6681429780499
70,-13.236,46.072701257149674,635.9272987428503
71,-10.251,43.82906176569554,641.1709382343045
72,-7.267,54.600899453888246,646.3991005461118
73,-4.284,36.38817528325853,651.6118247167415
74,-1.302,27.190850270568035,656.809149729432
75,1.678,20.008885487808357,661.9911145121916
76,4.658,25.842242062202104,667.1577579377979
77,7.636,7.690881176202083,672.3091188237979
78,10.613,17.554764067491533,677.4452359325085
79,13.589,7.43385202898412,682.5661479710159
80,16.563,9.328106408824283,687.6718935911757
81,19.537,0.0,692.7625113896133
82,22.509,0.0,697.8380399077234
83,25.480,0.0,702.8985176316705
84,28.451,0.0,707.9439829923883
85,31.419,0.0,712.9744743655801
86,34.387,0.0,717.9900300717189
87,37.354,0.0,722.9906883760473
88,40.319,0.0,727.976487488577
89,43.283,0.0,732.9474655640895
90,46.246,0.0,737.9036607021358
91,49.208,0.0,742.8451109470366
92,52.169,0.0,747.7718542878816
93,55.129,0.0,752.6839286585307
94,58.087,0.0,757.581371937613
95,61.045,0.0,762.4642219485269
96,64.001,0.0,767.3325164594407
97,66.956,0.0,772.1862931832922
98,69.910,50.97441022221176,777.0255897777882
99,72.862,140.14955615459417,781.8504438454058
100,75.814,224.3391070666088,786.6608929333912
101,78.764,311.54302546624,791.45697453376
102,81.714,318.7612739167023,796.2387260832977
103,84.662,366.993815036441,801.006184963559
104,87.609,408.24061149913155,805.7593885008685
105,90.554,371.5016260336803,810.4983739663197
106,93.499,393.77682142422384,815.2231785757762
107,96.443,400.06616051012907,819.9338394898709
108,99.385,374.3696061859937,824.6303938140063
109,102.326,370.6871214016455,829.3128785983545
110,105.266,385.0186691621433,833.9813308378567
111,108.205,411.36421252777586,838.6357874722241
112,111.143,378.7237146140625,843.2762853859375
113,114.080,376.0971385917535,847.9028614082465
114,117.015,410.48444768682896,852.515552313171
115,119.950,353.88560518049974,857.1143948195003
116,122.883,381.30057440920746,861.6994255907925
117,125.815,383.7293187646236,866.2706812353764
118,128.746,393.17180169365054,870.8281983063495
119,131.676,368.6279866984212,875.3720133015788
120,134.604,383.09783733629854,879.9021626637015
121,137.532,384.5813172198766,884.4186827801234
122,140.458,349.07839001697937,888.9216099830206
123,143.383,370.58901945066157,893.4109805493384
124,146.307,388.1131692992084,897.8868307007916
125,149.230,330.6508033961352,902.3491966038648
126,152.152,329.2018856301884,906.7981143698116
127,155.073,365.7663799453443,911.2336200546557
128,157.992,349.34425034081005,915.65574965919
129,160.911,358.9354608710232,920.0645391289768
130,163.828,325.53997564565157,924.4600243543484
131,166.744,363.15775882959383,928.8422411704062
132,169.659,335.78877464297875,933.2112253570212
133,172.573,335.43298736116583,937.5670126388342
134,175.486,293.09036131474477,941.9096386852552
135,178.397,341.7608608895363,946.2391391104637
136,181.308,322.444450526591,950.555549473409
137,184.217,314.14109472219013,954.8589052778099
138,187.126,318.8507580278456,959.1492419721544
139,190.033,344.57340505029936,963.4265949497006
140,192.939,329.30900045152475,967.6909995484752
141,195.843,341.0575089487244,971.9424910512756
142,198.747,310.8188953143323,976.1811046856677
143,201.650,348.59312437601227,980.4068756239877
144,204.551,325.3801610166594,984.6198389833406
145,207.451,306.1799701743985,988.8200298256015
146,210.351,306.99251684258513,993.0074831574149
147,213.249,282.81776606980554,997.1822339301945
148,216.146,325.6556829598761,1001.3443170401239
149,219.041,259.5062326718438,1005.4937673281562
150,221.936,280.3693804199862,1009.6306195800138
151,224.830,289.24509147381127,1013.7549085261887
152,227.722,296.1333311580572,1017.8666688419428
153,230.613,317.0340648526933,1021.9659351473067
154,233.504,338.94725799291837,1026.0527420070816
155,236.393,284.8728760691629,1030.1271239308371
156,239.281,318.81088462708703,1034.189115372913
157,242.167,295.7612492675812,1038.2387507324188
158,245.053,275.7239356467667,1042.2760643532333
159,247.938,288.69890947599583,1046.3010905240042
160,250.821,284.68613652185013,1050.3138634781499
161,253.704,292.68558260614304,1054.314417393857
162,256.585,290.6972136059171,1058.302786394083
163,259.465,296.72099545344645,1062.2790045465536
164,262.344,301.7568941362347,1066.2431058637653
165,265.222,261.80487569701654,1070.1951243029835
166,268.099,265.86490623375744,1074.1350937662426
167,270.974,265.93695189965274,1078.0630481003473
168,273.849,255.02097890312825,1081.9790210968717
169,276.722,228.11695350784066,1085.8830464921593
170,279.595,264.22484203267686,1089.7751579673231
171,282.466,236.3446108517544,1093.6553891482456
172,285.336,242.47622639442102,1097.523773605579
173,288.205,258.61965514525536,1101.3803448547446
174,291.073,244.77486364406604,1105.225136355934
175,293.940,243.94181848589233,1109.0581815141077
176,296.805,249.12048632100436,1112.8795136789956
177,299.670,284.3108338549023,1116.6891661450977
178,302.533,258.5128278483171,1120.487172151683
179,305.396,264.72643511720935,1124.2735648827907
180,308.257,237.95162253277113,1128.0483774672289
181,311.117,240.1883570214252,1131.8116429785748
182,313.976,224.43660556482337,1135.5633944351766
183,316.834,204.69633519984927,1139.3036648001507
184,319.691,212.96751301861627,1143.0324869813837
185,322.546,215.2501061684684,1146.7498938315316
186,325.401,208.544081851981,1150.455918148019
187,328.254,188.8494073269576,1154.1505926730424
188,331.107,235.1660499064351,1157.833950093565
189,333.958,163.493976958679,1161.506023041321
190,336.808,213.83315590718553,1165.1668440928145
191,339.657,219.1835542306817,1168.8164457693183
192,342.505,208.54513946312522,1172.4548605368748
193,345.352,213.9178791937038,1176.0821208062962
194,348.198,191.30174106683558,1179.6982589331644
195,351.042,203.69669278216998,1183.30330721783
196,353.886,181.10270209458554,1186.8972979054145
197,356.728,203.51973681419258,1190.4802631858074
198,359.570,186.94776480633118,1194.0522351936688
199,362.410,207.38675399157182,1197.6132460084282
200,365.249,202.83667234571612,1201.1633276542839
201,368.087,182.29748789979567,1204.7025121002043
202,370.924,164.76916874007247,1208.2308312599275
203,373.760,173.25168300803944,1211.7483169919606
204,376.595,201.74499890041943,1215.2550010995806
205,379.428,202.249084669166,1218.750915330834
206,382.261,207.7639086214631,1222.236091378537
207,385.092,162.28943911972556,1225.7105608802744
208,387.923,172.82564458159823,1229.1743554184018
209,390.752,192.37249347995657,1232.6275065200434
210,393.580,182.9299543429065,1236.0700456570935
211,396.408,190.4979957537846,1239.5020042462154
212,399.234,181.07658635115786,1242.9234136488421
213,402.058,148.66569482882323,1246.3343051711768
214,404.882,174.2652899358086,1249.7347100641914
215,407.705,140.8753404763729,1253.124659523627
216,410.527,175.49581531000422,1256.5041846899958
217,413.347,170.12668335142234,1259.8733166485777
218,416.167,195.76791357057664,1263.2320864294234
219,418.985,159.41947499264734,1266.5805250073527
220,421.803,182.08133669804556,1269.9186633019544
221,424.619,154.75346782241195,1273.246532177588
222,427.434,143.43583755661848,1276.5641624433815
223,430.248,147.12841514676757,1279.8715848532324
224,433.061,159.83116989419113,1283.1688301058089
225,435.873,176.544071155452,1286.455928844548
226,438.684,139.26708834234478,1289.7329116576552
227,441.493,145.00019092189314,1292.9998090781069
228,444.302,147.74334841635118,1296.2566515836488
229,447.109,149.49653040320436,1299.5034695967956
230,449.916,182.25970651516764,1302.7402934848324
231,452.721,140.03284644018686,1305.9671535598131
232,455.526,162.81591992143876,1309.1840800785612
233,458.329,136.6088967573305,1312.3911032426695
234,461.131,180.4117468014988,1315.5882531985012
235,463.932,117.22443996281163,1318.7755600371884
236,466.732,120.04694620536748,1321.9530537946325
237,469.531,125.87923554849476,1325.1207644515052
238,472.329,158.72127806675326,1328.2787219332467
239,475.126,180.57304388993225,1331.4269561100677
240,477.921,170.43450320305237,1334.5654967969476
241,480.716,137.30562624636377,1337.6943737536362
242,483.509,135.18638331534748,1340.8136166846525
243,486.302,106.07674476071588,1343.9232552392841
244,489.093,115.97668098841041,1347.0233190115896
245,491.883,124.88616245960384,1350.1138375403962
246,494.673,134.80515969069938,1353.1948403093006
247,497.461,133.73364325332977,1356.2663567466702
248,500.248,155.67158377436,1359.32841622564
249,503.034,111.61895193588407,1362.381048064116
250,505.819,152.57571847522695,1365.424281524773
251,508.603,171.54185418494353,1368.4581458150565
252,511.385,170.51732991282097,1371.482670087179
253,514.167,132.50211656187412,1374.4978834381259
254,516.948,109.49618509035099,1377.503814909649
255,519.727,150.4995065117282,1380.5004934882718
256,522.506,92.5120518947142,1383.4879481052858
257,525.283,103.53379236324645,1386.4662076367536
258,528.060,112.56469909649377,1389.4353009035062
259,530.835,110.60474332885588,1392.3952566711441
260,533.609,72.65389634996245,1395.3461036500375
261,536.382,117.71212950467316,1398.2878704953268
262,539.154,117.77941419307899,1401.220585806921
263,541.925,141.85572187050093,1404.144278129499
264,544.695,106.94102404749037,1407.0589759525096
265,547.464,116.03529228982961,1409.9647077101704
266,550.232,111.13849821853091,1412.861501781469
267,552.999,119.25061350983788,1415.7493864901621
268,555.765,72.37160989522363,1418.6283901047764
269,558.529,68.50145916139172,1421.4985408386083
270,561.293,135.64013315027705,1424.359866849723
271,564.055,87.78760375904403,1427.212396240956
272,566.817,88.94384294008887,1430.0561570599111
273,569.577,102.10882270103684,1432.8911772989632
274,572.337,124.28251510474456,1435.7174848952554
275,575.095,92.46489226929816,1438.5351077307018
276,577.852,109.65592636801603,1441.344073631984
277,580.608,78.8555896294447,1444.1444103705553
278,583.363,79.06385433736295,1446.936145662637
279,586.117,96.28069283077957,1449.7193071692204
280,588.870,102.50607750393374,1452.4939224960663
281,591.622,99.73998080629508,1455.260019193705
282,594.373,128.98237524256365,1458.0176247574364
283,597.123,102.23323337266993,1460.76676662733
284,599.872,137.49252781177483,1463.5074721882252
285,602.620,76.76023123027062,1466.2397687697294
286,605.366,91.0363163537786,1468.9636836462214
287,608.112,115.32075596315144,1471.6792440368486
288,610.856,102.61352289447268,1474.3864771055273
289,613.600,83.91459003905447,1477.0854099609455
290,616.342,60.223930343442134,1479.7760696565579
291,619.084,36.54151680940913,1482.4584831905909
292,621.824,107.86732249396073,1485.1326775060393
293,624.563,81.20132050933216,1487.7986794906678
294,627.302,99.54348402298956,1490.4565159770104
295,630.039,68.89378625762856,1493.1062137423714
296,632.775,54.252200491176154,1495.7477995088238
297,635.510,53.6187000567902,1498.3812999432098
298,638.244,74.99325834285764,1501.0067416571424
299,640.977,62.37584879299675,1503.6241512070033
300,643.709,49.76644490605668,1506.2335550939433
301,646.440,73.1650202361161,1508.834979763884
302,649.170,63.571548392485056,1511.428451607515
303,651.899,38.98600303970352,1514.0139969602965
304,654.626,54.408357897541464,1516.5916421024585
305,657.353,81.8385867410002,1519.1614132589998
306,660.079,47.27666340031192,1521.723336599688
307,662.803,67.72256176093742,1524.2774382390626
308,665.527,88.17625576357023,1526.8237442364298
309,668.250,44.637719404132895,1529.362280595867
310,670.971,104.10692673377844,1531.8930732662216
