raman_shift_cm-1,intensity
100.0,392.3177
101.8573,402.8283
103.7146,538.1055
105.5718,204.644
107.4291,28.7182
109.2864,182.9665
111.1437,239.6096
113.001,603.973
114.8583,450.7954
116.7155,349.6909
118.5728,224.198
120.4301,323.8197
122.2874,612.4982
124.1447,284.4293
126.002,363.4785
127.8592,303.2498
129.7165,492.8708
131.5738,590.8582
133.4311,996.913
135.2884,362.5185
137.1457,791.0017
139.0029,1098.181
140.8602,1114.2635
142.7175,1669.9542
144.5748,1498.9345
146.4321,2668.8053
148.2893,4492.8
150.1466,8045.8127
152.0039,11138.2116
153.8612,8419.818
155.7185,4377.0084
157.5758,2969.3907
159.433,1730.8336
161.2903,1468.5312
163.1476,1015.3443
165.0049,1117.8819
166.8622,948.4129
168.7195,940.9577
170.5767,343.4075
172.434,991.361
174.2913,680.2091
176.1486,329.3524
178.0059,674.2207
179.8631,1021.7474
181.7204,229.4982
183.5777,345.8172
185.435,808.055
187.2923,590.9926
189.1496,608.6333
191.0068,1026.1673
192.8641,534.8038
194.7214,1044.5174
196.5787,1450.8796
198.436,1769.849
200.2933,3038.8356
202.1505,5271.0322
204.0078,9521.6092
205.8651,13092.3274
207.7224,10006.8067
209.5797,5325.1823
211.437,3407.4935
213.2942,2140.6969
215.1515,1593.0473
217.0088,1003.5246
218.8661,1075.9464
220.7234,951.7484
222.5806,938.0469
224.4379,406.2054
226.2952,633.9431
228.1525,463.4752
230.0098,698.1368
231.8671,344.8552
233.7243,449.8837
235.5816,356.7816
237.4389,340.4756
239.2962,518.9247
241.1535,206.5827
243.0108,482.1459
244.868,543.6594
246.7253,424.1442
248.5826,130.2449
250.4399,546.5671
252.2972,336.6159
254.1544,404.7876
256.0117,285.6759
257.869,452.1969
259.7263,185.0585
261.5836,279.0179
263.4409,898.9639
265.2981,135.7491
267.1554,-228.047
269.0127,408.2207
270.87,290.6114
272.7273,517.3633
274.5846,130.7105
276.4418,493.8494
278.2991,337.7867
280.1564,108.2696
282.0137,138.7186
283.871,-9.7077
285.7283,318.8635
287.5855,240.3005
289.4428,705.3291
291.3001,25.9633
293.1574,404.6435
295.0147,-91.1583
296.8719,107.9506
298.7292,414.4898
300.5865,444.7722
302.4438,225.4913
304.3011,-132.9603
306.1584,42.9142
308.0156,520.6323
309.8729,-158.2523
311.7302,335.1236
313.5875,646.4104
315.4448,579.8238
317.3021,339.9328
319.1593,735.7021
321.0166,70.278
322.8739,294.4235
324.7312,248.4445
326.5885,421.4061
328.4457,334.9902
330.303,199.2475
332.1603,291.5694
334.0176,284.1922
335.8749,145.8273
337.7322,427.1378
339.5894,177.4569
341.4467,416.5934
343.304,428.2003
345.1613,466.8261
347.0186,48.6158
348.8759,141.0536
350.7331,570.7014
352.5904,343.221
354.4477,199.0755
356.305,266.0808
358.1623,239.9059
360.0196,-86.3038
361.8768,672.5594
363.7341,117.9794
365.5914,278.6484
367.4487,257.0633
369.306,683.8289
371.1632,198.6729
373.0205,512.5682
374.8778,209.0842
376.7351,549.2679
378.5924,235.4033
380.4497,238.1192
382.3069,112.3606
384.1642,587.7969
386.0215,516.5648
387.8788,344.3413
389.7361,264.2085
391.5934,260.2313
393.4506,177.7243
395.3079,616.6336
397.1652,-140.5586
399.0225,512.722
400.8798,-142.7723
402.737,96.336
404.5943,516.4926
406.4516,113.2969
408.3089,545.0772
410.1662,412.2543
412.0235,203.4317
413.8807,188.47
415.738,148.5236
417.5953,472.3308
419.4526,296.1513
421.3099,278.6722
423.1672,330.6945
425.0244,266.576
426.8817,277.8941
428.739,434.4962
430.5963,337.3444
432.4536,675.5672
434.3109,171.0276
436.1681,312.3999
438.0254,501.7233
439.8827,344.3206
441.74,629.3842
443.5973,255.814
445.4545,274.4436
447.3118,371.088
449.1691,223.0937
451.0264,511.8129
452.8837,145.6462
454.741,498.2835
456.5982,392.7063
458.4555,250.9568
460.3128,476.3915
462.1701,469.7603
464.0274,445.5671
465.8847,344.3949
467.7419,201.2577
469.5992,429.262
471.4565,460.0713
473.3138,308.4012
475.1711,250.3957
477.0283,344.453
478.8856,269.0321
480.7429,141.3181
482.6002,271.722
484.4575,-93.0098
486.3148,324.3164
488.172,-39.7094
490.0293,285.843
491.8866,41.85
493.7439,383.2647
495.6012,202.8275
497.4585,655.2181
499.3157,385.9865
501.173,311.0451
503.0303,75.2687
504.8876,222.3496
506.7449,426.3847
508.6022,285.6201
510.4594,123.1393
512.3167,628.5272
514.174,199.2811
516.0313,535.5026
517.8886,231.3055
519.7458,203.503
521.6031,338.529
523.4604,174.1044
525.3177,149.5852
527.175,384.4328
529.0323,281.8271
530.8895,740.12
532.7468,100.4182
534.6041,84.7259
536.4614,326.4434
538.3187,619.5102
540.176,500.2203
542.0332,123.7962
543.8905,-102.1338
545.7478,655.1836
547.6051,183.1448
549.4624,20.6801
551.3196,394.9986
553.1769,6.3143
555.0342,332.7034
556.8915,-37.3115
558.7488,-257.4773
560.6061,529.5154
562.4633,279.2476
564.3206,332.0957
566.1779,549.6306
568.0352,175.5299
569.8925,88.3784
571.7498,348.6625
573.607,48.4511
575.4643,241.718
577.3216,599.9955
579.1789,697.0865
581.0362,148.8949
582.8935,141.1304
584.7507,589.4135
586.608,308.0522
588.4653,513.5166
590.3226,642.2667
592.1799,163.7209
594.0371,113.6715
595.8944,343.9723
597.7517,84.5806
599.609,252.4035
601.4663,397.2715
603.3236,83.8357
605.1808,481.2918
607.0381,383.1242
608.8954,37.3119
610.7527,536.5038
612.61,313.5533
614.4673,410.8054
616.3245,288.3527
618.1818,401.3027
620.0391,90.5983
621.8964,284.7732
623.7537,449.3241
625.6109,488.384
627.4682,694.7245
629.3255,367.7165
631.1828,432.6141
633.0401,538.3452
634.8974,731.5801
636.7546,-29.2512
638.6119,-2.2085
640.4692,302.8459
642.3265,809.3078
644.1838,235.8295
646.0411,167.8326
647.8983,206.7976
649.7556,29.9567
651.6129,73.8945
653.4702,576.4571
655.3275,404.8468
657.1848,-190.018
659.042,254.0047
660.8993,151.3762
662.7566,465.2467
664.6139,665.464
666.4712,624.2357
668.3284,303.9721
670.1857,123.676
672.043,62.0778
673.9003,461.8922
675.7576,418.5524
677.6149,256.7437
679.4721,571.2511
681.3294,477.5801
683.1867,672.698
685.044,800.1087
686.9013,788.8674
688.7586,1058.6686
690.6158,1107.6632
692.4731,1626.3298
694.3304,1527.1712
696.1877,2555.978
698.045,3453.5669
699.9022,5502.9582
701.7595,9968.3953
703.6168,15271.3766
705.4741,12080.2453
707.3314,6765.5165
709.1887,3778.465
711.0459,2716.5137
712.9032,1497.017
714.7605,1413.158
716.6178,1202.4335
718.4751,780.9515
720.3324,841.7303
722.1896,760.521
724.0469,608.1089
725.9042,942.0604
727.7615,274.9265
729.6188,476.0585
731.4761,648.9237
733.3333,272.6144
735.1906,184.7919
737.0479,516.8115
738.9052,471.8497
740.7625,564.9505
742.6197,441.2457
744.477,154.2067
746.3343,243.2274
748.1916,327.0356
750.0489,438.3153
751.9062,431.2789
753.7634,113.6917
755.6207,371.3127
757.478,304.672
