raman_shift_cm-1,intensity
100.0,211.4005
101.8573,-14.947
103.7146,374.5011
105.5718,230.4467
107.4291,653.4278
109.2864,321.0612
111.1437,45.3702
113.001,578.2287
114.8583,554.7948
116.7155,372.8119
118.5728,381.4178
120.4301,557.8934
122.2874,529.2462
124.1447,332.9549
126.002,445.0847
127.8592,246.8483
129.7165,544.3133
131.5738,525.8596
133.4311,800.7785
135.2884,526.1232
137.1457,329.4168
139.0029,641.7992
140.8602,717.9987
142.7175,1026.1149
144.5748,1144.1437
146.4321,1063.7451
148.2893,1486.1822
150.1466,2664.1421
152.0039,4463.1496
153.8612,7514.8635
155.7185,7978.1578
157.5758,4571.3685
159.433,2802.5757
161.2903,2063.4959
163.1476,1247.7713
165.0049,890.7346
166.8622,1027.9443
168.7195,638.2902
170.5767,833.7632
172.434,626.9709
174.2913,456.0502
176.1486,697.5065
178.0059,355.8678
179.8631,785.2988
181.7204,608.4556
183.5777,430.4496
185.435,653.0277
187.2923,626.5371
189.1496,423.0293
191.0068,185.8291
192.8641,645.0408
194.7214,778.5873
196.5787,406.2886
198.436,542.1399
200.2933,354.7503
202.1505,575.2516
204.0078,565.3616
205.8651,502.507
207.7224,209.0776
209.5797,406.7544
211.437,486.2952
213.2942,294.2242
215.1515,116.0314
217.0088,611.8762
218.8661,511.3664
220.7234,117.4419
222.5806,186.3092
224.4379,327.2831
226.2952,-6.3616
228.1525,577.7009
230.0098,489.631
231.8671,107.4566
233.7243,-23.0362
235.5816,278.7993
237.4389,849.3014
239.2962,717.3478
241.1535,577.9263
243.0108,532.9561
244.868,360.8225
246.7253,483.248
248.5826,274.0796
250.4399,425.7512
252.2972,669.0996
254.1544,378.9607
256.0117,821.4754
257.869,766.2644
259.7263,427.6083
261.5836,706.506
263.4409,692.2327
265.2981,953.5229
267.1554,1005.73
269.0127,1448.5438
270.87,1816.6901
272.7273,2235.8433
274.5846,2995.7962
276.4418,4859.5687
278.2991,7761.1895
280.1564,12978.0707
282.0137,16511.9109
283.871,12680.7739
285.7283,7907.7466
287.5855,4880.2781
289.4428,3409.1379
291.3001,2412.9123
293.1574,1348.0732
295.0147,1307.847
296.8719,978.3879
298.7292,1038.0208
300.5865,659.8558
302.4438,675.3635
304.3011,700.1834
306.1584,812.9621
308.0156,287.3648
309.8729,856.9451
311.7302,790.7112
313.5875,683.9865
315.4448,413.1623
317.3021,337.3516
319.1593,299.5828
321.0166,348.6665
322.8739,608.1442
324.7312,381.8881
326.5885,562.3079
328.4457,440.8241
330.303,435.0894
332.1603,287.0152
334.0176,290.3557
335.8749,560.7228
337.7322,200.5253
339.5894,2.6308
341.4467,205.313
343.304,142.1166
345.1613,787.2753
347.0186,-66.4358
348.8759,405.9333
350.7331,171.609
352.5904,173.0445
354.4477,665.439
356.305,410.9907
358.1623,28.304
360.0196,597.463
361.8768,415.4584
363.7341,286.1402
365.5914,320.0169
367.4487,186.35
369.306,764.8041
371.1632,117.5821
373.0205,466.3249
374.8778,409.5568
376.7351,113.1792
378.5924,320.027
380.4497,185.6541
382.3069,361.451
384.1642,887.5845
386.0215,634.9729
387.8788,534.1934
389.7361,244.218
391.5934,351.2425
393.4506,482.9653
395.3079,228.8839
397.1652,291.8892
399.0225,29.555
400.8798,607.6533
402.737,564.7166
404.5943,319.6589
406.4516,237.5192
408.3089,277.4679
410.1662,276.7008
412.0235,245.2921
413.8807,-296.2486
415.738,500.6295
417.5953,273.5525
419.4526,329.1411
421.3099,80.6918
423.1672,573.3361
425.0244,477.5813
426.8817,280.757
428.739,356.6121
430.5963,439.9269
432.4536,772.6576
434.3109,194.5003
436.1681,353.9228
438.0254,196.224
439.8827,658.0827
441.74,90.9226
443.5973,83.66
445.4545,735.5692
447.3118,414.847
449.1691,348.9145
451.0264,576.0466
452.8837,401.2514
454.741,346.1301
456.5982,505.9391
458.4555,356.1604
460.3128,580.8101
462.1701,312.8078
464.0274,-15.0016
465.8847,548.7161
467.7419,271.6113
469.5992,416.8714
471.4565,173.4231
473.3138,96.9192
475.1711,453.8226
477.0283,101.2594
478.8856,206.724
480.7429,346.8103
482.6002,327.1737
484.4575,190.6976
486.3148,229.3231
488.172,538.2906
490.0293,-45.5166
491.8866,480.9292
493.7439,403.2469
495.6012,359.0742
497.4585,238.968
499.3157,276.9496
501.173,-19.4372
503.0303,321.4518
504.8876,62.3082
506.7449,434.0122
508.6022,-69.4873
510.4594,354.1739
512.3167,302.342
514.174,349.3334
516.0313,-109.1208
517.8886,167.1328
519.7458,66.3527
521.6031,681.8999
523.4604,502.8355
525.3177,383.941
527.175,349.3133
529.0323,336.4881
530.8895,310.6453
532.7468,303.1154
534.6041,287.9958
536.4614,550.8425
538.3187,509.4096
540.176,368.0515
542.0332,290.6886
543.8905,-269.9006
545.7478,104.759
547.6051,176.0717
549.4624,238.3005
551.3196,63.8957
553.1769,339.1969
555.0342,281.4143
556.8915,469.7689
558.7488,240.7791
560.6061,239.4285
562.4633,246.6898
564.3206,40.3539
566.1779,412.6767
568.0352,174.2675
569.8925,550.6523
571.7498,484.0099
573.607,44.4465
575.4643,504.7711
577.3216,298.6597
579.1789,537.7125
581.0362,505.045
582.8935,684.93
584.7507,561.0747
586.608,19.5663
588.4653,204.2276
590.3226,179.4636
592.1799,488.1314
594.0371,423.1655
595.8944,263.9898
597.7517,482.732
599.609,274.7256
601.4663,-39.5658
603.3236,209.6363
605.1808,392.1228
607.0381,179.3931
608.8954,173.0903
610.7527,225.0725
612.61,356.2741
614.4673,765.2652
616.3245,403.4034
618.1818,1113.0481
620.0391,490.1285
621.8964,716.0712
623.7537,78.1959
625.6109,267.9137
627.4682,81.6009
629.3255,398.0926
631.1828,256.748
633.0401,237.1152
634.8974,633.996
636.7546,187.9971
638.6119,189.7003
640.4692,298.3656
642.3265,339.2043
644.1838,644.705
646.0411,356.1366
647.8983,172.5983
649.7556,418.7916
651.6129,113.3458
653.4702,386.3131
655.3275,269.9353
657.1848,434.5611
659.042,290.1494
660.8993,627.1353
662.7566,559.4188
664.6139,535.5179
666.4712,614.7804
668.3284,664.3196
670.1857,127.521
672.043,423.16
673.9003,450.6393
675.7576,216.7787
677.6149,488.1019
679.4721,487.5432
681.3294,318.3102
683.1867,335.0695
685.044,-157.96
686.9013,585.2836
688.7586,669.7763
690.6158,578.8565
692.4731,368.9728
694.3304,578.0088
696.1877,623.202
698.045,1266.2084
699.9022,696.3872
701.7595,846.7356
703.6168,1574.8124
705.4741,2556.2263
707.3314,4041.3983
709.1887,6829.682
711.0459,11186.2479
712.9032,11415.5818
714.7605,6863.3723
716.6178,4056.6978
718.4751,2238.9281
720.3324,1621.4191
722.1896,1210.269
724.0469,1179.0246
725.9042,1227.8704
727.7615,744.3382
729.6188,710.5359
731.4761,1046.6058
733.3333,291.5698
735.1906,695.9194
737.0479,572.8731
738.9052,528.6402
740.7625,710.8058
742.6197,315.5505
744.477,542.7165
746.3343,489.1504
748.1916,302.957
750.0489,462.9587
751.9062,514.3845
753.7634,573.858
755.6207,239.646
757.478,427.9353
759.3353,237.4634
761.1926,227.0165
763.0499,384.6532
764.9071,384.4949
766.7644,641.4531
768.6217,477.7838
770.479,641.7839
772.3363,354.1799
774.1935,473.5195
776.0508,322.6998
777.9081,297.3434
779.7654,443.2953
781.6227,374.701
783.48,410.007
785.3372,60.0602
787.1945,81.5398
789.0518,427.477
790.9091,-84.4359
792.7664,515.6759
794.6237,102.8203
796.4809,96.9635
798.3382,629.1582
800.1955,536.5921
802.0528,396.9416
803.9101,476.7274
805.7674,522.6925
807.6246,400.6531
809.4819,891.8173
811.3392,50.8709
813.1965,399.8385
815.0538,389.9428
816.911,9.7058
818.7683,846.1935
820.6256,673.7419
822.4829,259.5678
824.3402,508.3628
826.1975,484.236
828.0547,339.5637
829.912,399.0314
831.7693,-149.2184
833.6266,534.3569
835.4839,237.0339
837.3412,251.0673
839.1984,-83.9618
841.0557,474.9873
842.913,352.1327
844.7703,262.9965
846.6276,434.6913
848.4848,256.8179
850.3421,89.145
852.1994,259.5746
854.0567,113.217
855.914,544.8511
857.7713,392.0756
859.6285,587.1123
861.4858,101.5001
863.3431,684.2313
865.2004,240.699
867.0577,162.3859
868.915,118.3791
870.7722,-26.1717
872.6295,428.4117
874.4868,208.1668
876.3441,422.029
878.2014,-44.6156
880.0587,129.3039
881.9159,-91.1787
883.7732,247.6647
885.6305,245.8854
887.4878,565.0778
889.3451,354.7778
891.2023,170.9066
893.0596,419.8032
894.9169,106.6649
896.7742,342.7495
898.6315,400.9764
900.4888,322.3931
902.346,255.7297
904.2033,252.2485
906.0606,460.3309
907.9179,423.7311
909.7752,245.5848
911.6325,445.9818
913.4897,168.1221
915.347,239.7935
917.2043,380.6858
919.0616,92.6381
920.9189,597.3795
922.7761,-17.0996
924.6334,73.5415
926.4907,280.1784
928.348,185.9511
930.2053,551.4865
932.0626,312.3697
933.9198,113.622
935.7771,235.9474
937.6344,396.9207
939.4917,233.9237
941.349,603.0116
943.2063,321.8845
945.0635,455.05
946.9208,202.0016
948.7781,648.6485
950.6354,365.0847
952.4927,535.3002
954.35,639.9941
956.2072,496.8427
958.0645,631.8196
959.9218,19.6395
961.7791,-127.6152
963.6364,491.9784
965.4936,809.5258
967.3509,694.9857
969.2082,393.8664
971.0655,304.8449
972.9228,306.7548
974.7801,306.472
976.6373,490.2607
978.4946,693.675
980.3519,730.2203
982.2092,214.7115
984.0665,542.1428
985.9238,599.1267
987.781,391.4295
989.6383,403.504
991.4956,391.9578
993.3529,-106.6304
995.2102,216.8635
997.0674,815.2573
998.9247,397.3555
1000.782,510.5127
1002.6393,415.8567
1004.4966,576.0703
1006.3539,483.7129
1008.2111,81.5423
1010.0684,294.8135
1011.9257,38.5481
1013.783,470.914
1015.6403,334.1444
1017.4976,799.513
1019.3548,752.6143
1021.2121,514.8482
1023.0694,337.4422
1024.9267,519.8042
1026.784,-20.8676
1028.6413,287.2975
1030.4985,382.6034
1032.3558,250.664
1034.2131,18.6187
1036.0704,649.9504
1037.9277,344.9408
1039.7849,554.1192
1041.6422,101.2311
1043.4995,306.2938
1045.3568,588.9713
1047.2141,640.6078
1049.0714,560.0076
1050.9286,62.4656
1052.7859,746.0077
1054.6432,801.9276
1056.5005,1050.4855
1058.3578,509.1798
1060.2151,548.088
1062.0723,452.2468
1063.9296,818.8774
1065.7869,934.0952
1067.6442,938.7995
1069.5015,892.2291
1071.3587,1034.7636
1073.216,1956.8434
1075.0733,2051.5678
1076.9306,3187.601
1078.7879,4601.6446
1080.6452,7196.7082
1082.5024,13848.959
1084.3597,28530.4635
1086.217,40623.9579
1088.0743,24127.6855
1089.9316,12138.1067
1091.7889,6596.0527
1093.6461,4205.5907
1095.5034,2923.5783
1097.3607,1871.4166
1099.218,1576.787
1101.0753,1251.0493
1102.9326,1089.071
1104.7898,528.6991
1106.6471,874.489
1108.5044,638.8527
1110.3617,713.2609
1112.219,790.3642
1114.0762,391.01
1115.9335,668.9131
1117.7908,554.1759
1119.6481,843.566
1121.5054,510.6853
1123.3627,435.9362
1125.2199,391.0077
1127.0772,562.5948
1128.9345,286.0683
1130.7918,132.7504
1132.6491,512.3527
1134.5064,452.5879
1136.3636,682.2248
1138.2209,99.6634
1140.0782,616.2232
1141.9355,460.1018
1143.7928,338.3026
1145.65,273.3886
1147.5073,476.6797
1149.3646,633.3291
1151.2219,502.5663
1153.0792,169.8606
1154.9365,346.6838
1156.7937,672.2407
1158.651,18.3295
1160.5083,538.3873
1162.3656,606.4457
1164.2229,242.3913
1166.0802,605.6913
1167.9374,248.8478
1169.7947,727.5948
1171.652,712.8936
1173.5093,100.8078
1175.3666,462.9739
1177.2239,463.7671
1179.0811,662.4124
1180.9384,449.9201
1182.7957,694.2047
1184.653,265.3928
1186.5103,385.9299
1188.3675,183.1849
1190.2248,612.8974
1192.0821,700.4366
1193.9394,174.891
1195.7967,-11.6721
1197.654,264.6278
1199.5112,26.3958
1201.3685,588.0533
1203.2258,-22.4713
1205.0831,263.6946
1206.9404,563.0037
1208.7977,290.5704
1210.6549,460.7818
1212.5122,438.1175
1214.3695,250.5595
1216.2268,101.6447
1218.0841,307.7371
1219.9413,330.4172
1221.7986,715.3657
1223.6559,227.1308
1225.5132,326.7665
1227.3705,455.9858
1229.2278,490.3093
1231.085,-113.8041
1232.9423,262.9379
1234.7996,426.5793
1236.6569,162.921
1238.5142,614.7611
1240.3715,218.9223
1242.2287,215.1864
1244.086,516.1581
1245.9433,378.8403
1247.8006,658.2943
1249.6579,297.1605
1251.5152,216.9949
1253.3724,-41.1057
1255.2297,88.9685
1257.087,240.4735
1258.9443,610.9434
1260.8016,502.0176
1262.6588,417.5419
1264.5161,177.5273
1266.3734,240.8731
1268.2307,428.7335
1270.088,401.2195
1271.9453,345.0452
1273.8025,-125.5624
1275.6598,256.2896
1277.5171,267.233
1279.3744,418.1216
1281.2317,439.8918
1283.089,293.169
1284.9462,207.0575
1286.8035,203.3787
1288.6608,378.443
1290.5181,157.9845
1292.3754,380.4331
1294.2326,822.1188
1296.0899,56.7256
1297.9472,315.472
1299.8045,256.4566
1301.6618,402.4984
1303.5191,286.0158
1305.3763,231.7054
1307.2336,671.9972
