code,material,peak_position_cm-1,rel_intensity
PS,polystyrene,620.9,0.3
PS,polystyrene,795.8,0.15
PS,polystyrene,1001.4,1.0
PS,polystyrene,1031.8,0.6
PS,polystyrene,1155.3,0.25
PS,polystyrene,1450.5,0.35
PS,polystyrene,1583.1,0.3
PS,polystyrene,1602.3,0.5
PET,PET,632.0,0.2
PET,PET,858.0,0.25
PET,PET,1096.0,0.4
PET,PET,1117.0,0.35
PET,PET,1288.0,0.6
PET,PET,1614.0,0.7
PET,PET,1726.0,1.0
PMMA,PMMA,601.0,0.2
PMMA,PMMA,812.0,0.6
PMMA,PMMA,970.0,0.3
PMMA,PMMA,1122.0,0.3
PMMA,PMMA,1188.0,0.5
PMMA,PMMA,1240.0,0.4
PMMA,PMMA,1450.0,0.7
PMMA,PMMA,1730.0,1.0
CAL,calcite,155.0,0.2
CAL,calcite,282.0,0.4
CAL,calcite,712.0,0.3
CAL,calcite,1086.0,1.0
CAL,calcite,1435.0,0.15
ARA,aragonite,152.0,0.25
ARA,aragonite,206.0,0.3
ARA,aragonite,704.0,0.35
ARA,aragonite,1085.0,1.0
ARA,aragonite,1462.0,0.12
SI,silicon,520.45,1.0
XA,distractorA,430.0,0.5
XA,distractorA,900.0,1.0
XA,distractorA,1350.0,0.6
XA,distractorA,1700.0,0.4
XB,distractorB,350.0,0.6
XB,distractorB,760.0,0.5
XB,distractorB,1200.0,1.0
XB,distractorB,1550.0,0.5
