raman_shift_cm-1,intensity
100.0,582.749
101.8573,190.5177
103.7146,427.4104
105.5718,327.1135
107.4291,80.5408
109.2864,281.6871
111.1437,175.74
113.001,151.7417
114.8583,598.9958
116.7155,592.9556
118.5728,334.3604
120.4301,657.8719
122.2874,80.3159
124.1447,248.3655
126.002,582.3703
127.8592,55.8006
129.7165,168.506
131.5738,229.6966
133.4311,267.3311
135.2884,184.6971
137.1457,243.67
139.0029,246.0278
140.8602,69.0024
142.7175,264.4967
144.5748,298.1771
146.4321,364.4325
148.2893,-29.1199
150.1466,258.4081
152.0039,335.4088
153.8612,544.0292
155.7185,40.0564
157.5758,42.712
159.433,432.5773
161.2903,367.9222
163.1476,280.5182
165.0049,249.306
166.8622,292.0668
168.7195,227.4776
170.5767,665.5932
172.434,65.4983
174.2913,424.5403
176.1486,329.3855
178.0059,201.9318
179.8631,16.7567
181.7204,561.7591
183.5777,708.155
185.435,-84.5642
187.2923,481.5913
189.1496,663.0693
191.0068,163.986
192.8641,76.6231
194.7214,488.7437
196.5787,226.3078
198.436,373.4998
200.2933,-269.6695
202.1505,550.9186
204.0078,251.6886
205.8651,174.8291
207.7224,168.2725
209.5797,541.2482
211.437,642.6756
213.2942,324.6262
215.1515,202.1897
217.0088,715.7334
218.8661,207.8773
220.7234,369.7269
222.5806,557.4334
224.4379,330.6796
226.2952,398.1873
228.1525,57.2419
230.0098,239.2878
231.8671,177.7682
233.7243,487.8085
235.5816,57.958
237.4389,-9.1757
239.2962,143.8627
241.1535,402.2382
243.0108,226.6163
244.868,520.1705
246.7253,619.3172
248.5826,376.7978
250.4399,-30.4399
252.2972,207.888
254.1544,426.1409
256.0117,366.2393
257.869,135.8691
259.7263,404.7579
261.5836,539.4479
263.4409,303.7754
265.2981,151.2398
267.1554,557.6481
269.0127,311.149
270.87,462.1421
272.7273,202.476
274.5846,583.4433
276.4418,115.658
278.2991,387.3473
280.1564,596.0224
282.0137,289.4128
283.871,110.1704
285.7283,655.9885
287.5855,658.4465
289.4428,410.5106
291.3001,392.3401
293.1574,102.8067
295.0147,444.5345
296.8719,-134.5003
298.7292,272.9847
300.5865,475.1696
302.4438,296.4042
304.3011,86.4203
306.1584,673.1604
308.0156,287.914
309.8729,306.9233
311.7302,308.3015
313.5875,139.0412
315.4448,195.6992
317.3021,609.0423
319.1593,148.3844
321.0166,400.0113
322.8739,369.1749
324.7312,196.6832
326.5885,273.1917
328.4457,193.5612
330.303,509.3014
332.1603,392.4
334.0176,271.4378
335.8749,303.8704
337.7322,-151.796
339.5894,510.0455
341.4467,176.3144
343.304,172.5522
345.1613,334.4937
347.0186,382.5784
348.8759,506.1615
350.7331,130.3136
352.5904,377.7655
354.4477,586.63
356.305,395.6892
358.1623,311.5314
360.0196,207.3027
361.8768,613.6314
363.7341,226.8945
365.5914,246.8734
367.4487,367.0091
369.306,51.0795
371.1632,291.546
373.0205,267.2803
374.8778,61.2575
376.7351,-187.6591
378.5924,170.3304
380.4497,71.5581
382.3069,406.9379
384.1642,255.8242
386.0215,369.695
387.8788,95.5652
389.7361,127.938
391.5934,145.2956
393.4506,129.1391
395.3079,426.0556
397.1652,689.8985
399.0225,358.9228
400.8798,183.4041
402.737,368.7495
404.5943,386.7855
406.4516,396.0596
408.3089,350.0622
410.1662,262.9945
412.0235,33.3655
413.8807,272.4648
415.738,290.7996
417.5953,507.7222
419.4526,226.2485
421.3099,50.8456
423.1672,202.4267
425.0244,377.4582
426.8817,221.3525
428.739,391.7382
430.5963,271.0977
432.4536,333.3421
434.3109,362.1635
436.1681,463.3444
438.0254,662.7726
439.8827,373.4327
441.74,387.7617
443.5973,309.3594
445.4545,-122.0268
447.3118,326.2833
449.1691,176.3637
451.0264,332.456
452.8837,313.3197
454.741,349.0557
456.5982,35.7047
458.4555,-116.4914
460.3128,415.8688
462.1701,155.625
464.0274,288.6245
465.8847,252.4362
467.7419,463.6708
469.5992,288.4293
471.4565,356.6503
473.3138,605.7769
475.1711,393.8072
477.0283,368.7217
478.8856,378.2326
480.7429,49.6748
482.6002,205.5989
484.4575,185.418
486.3148,347.5186
488.172,94.7909
490.0293,337.6613
491.8866,290.4686
493.7439,-62.0664
495.6012,331.9279
497.4585,29.5935
499.3157,456.8603
501.173,395.7063
503.0303,628.3855
504.8876,242.2775
506.7449,6.5161
508.6022,485.7111
510.4594,260.7571
512.3167,482.2774
514.174,455.3808
516.0313,-25.6935
517.8886,379.9543
519.7458,203.6409
521.6031,248.655
523.4604,407.5589
525.3177,22.6089
527.175,446.1349
529.0323,462.1937
530.8895,677.8016
532.7468,408.8428
534.6041,465.452
536.4614,279.6567
538.3187,512.5053
540.176,530.7213
542.0332,733.7238
543.8905,573.8747
545.7478,392.6186
547.6051,557.8822
549.4624,334.8495
551.3196,290.5462
553.1769,236.1857
555.0342,693.2234
556.8915,297.6375
558.7488,750.2295
560.6061,158.7697
562.4633,362.9395
564.3206,310.6094
566.1779,246.9066
568.0352,135.2465
569.8925,457.3687
571.7498,656.3248
573.607,371.0302
575.4643,368.0116
577.3216,516.4424
579.1789,436.7062
581.0362,452.7031
582.8935,390.8576
584.7507,196.7639
586.608,66.8649
588.4653,167.4446
590.3226,748.886
592.1799,671.0937
594.0371,580.9038
595.8944,463.9209
597.7517,386.3412
599.609,654.3871
601.4663,589.0269
603.3236,849.0507
605.1808,442.3682
607.0381,426.5953
608.8954,944.1177
610.7527,858.0214
612.61,827.3446
614.4673,856.6278
616.3245,782.4121
618.1818,989.8357
620.0391,1611.4594
621.8964,1786.7702
623.7537,1996.0989
625.6109,2986.3211
627.4682,4423.861
629.3255,6459.952
631.1828,8224.9138
633.0401,8027.646
634.8974,6082.2151
636.7546,4340.6195
638.6119,2902.9576
640.4692,2173.9097
642.3265,1721.1564
644.1838,1192.6664
646.0411,972.8736
647.8983,832.1396
649.7556,900.4604
651.6129,650.4907
653.4702,734.2369
655.3275,396.2703
657.1848,325.9246
659.042,455.2043
660.8993,402.7197
662.7566,421.9983
664.6139,620.6925
666.4712,37.8221
668.3284,432.2437
670.1857,353.2197
672.043,646.6005
673.9003,341.2969
675.7576,255.1054
677.6149,462.7784
679.4721,239.3902
681.3294,237.4207
683.1867,80.8087
685.044,354.0611
686.9013,-62.958
688.7586,232.0743
690.6158,417.8849
692.4731,211.1354
694.3304,529.5887
696.1877,231.7815
698.045,490.4391
