raman_shift_cm-1,intensity
100.0,398.0037
101.8573,455.0212
103.7146,-1.2041
105.5718,460.6805
107.4291,-33.9505
109.2864,406.7637
111.1437,297.8835
113.001,272.9096
114.8583,158.9016
116.7155,408.9599
118.5728,445.2452
120.4301,190.8511
122.2874,224.0853
124.1447,148.8993
126.002,322.8392
127.8592,237.6249
129.7165,257.1494
131.5738,743.5593
133.4311,100.625
135.2884,683.0512
137.1457,346.5777
139.0029,329.9416
140.8602,176.2794
142.7175,16.2579
144.5748,118.8638
146.4321,531.0129
148.2893,75.5963
150.1466,127.8268
152.0039,290.4833
153.8612,85.17
155.7185,258.2687
157.5758,221.2056
159.433,263.9527
161.2903,342.3986
163.1476,564.1002
165.0049,304.9157
166.8622,338.9392
168.7195,468.1482
170.5767,502.3503
172.434,345.5741
174.2913,291.1194
176.1486,255.8851
178.0059,342.0505
179.8631,53.9057
181.7204,-164.0103
183.5777,537.4051
185.435,366.343
187.2923,86.1875
189.1496,310.1026
191.0068,125.8939
192.8641,262.3003
194.7214,643.7145
196.5787,598.2443
198.436,561.0052
200.2933,112.515
202.1505,98.6483
204.0078,-44.9361
205.8651,-27.5501
207.7224,-7.7485
209.5797,694.7872
211.437,182.6639
213.2942,706.8873
215.1515,137.8455
217.0088,342.6886
218.8661,352.5786
220.7234,270.625
222.5806,302.5365
224.4379,130.8444
226.2952,465.8498
228.1525,84.4412
230.0098,95.1782
231.8671,568.0887
233.7243,307.0392
235.5816,152.335
237.4389,149.5545
239.2962,-19.865
241.1535,166.4874
243.0108,223.0496
244.868,396.2307
246.7253,454.4687
248.5826,392.4631
250.4399,751.6116
252.2972,420.7948
254.1544,619.0845
256.0117,265.6512
257.869,257.7618
259.7263,333.8265
261.5836,254.4926
263.4409,298.8118
265.2981,172.7139
267.1554,289.4678
269.0127,620.7039
270.87,227.195
272.7273,129.8053
274.5846,201.3312
276.4418,373.1682
278.2991,149.2459
280.1564,183.5732
282.0137,332.2797
283.871,604.5253
285.7283,294.7841
287.5855,211.8451
289.4428,514.9434
291.3001,448.3055
293.1574,228.7766
295.0147,330.4368
296.8719,774.4807
298.7292,259.5642
300.5865,377.5655
302.4438,552.3473
304.3011,478.9955
306.1584,176.449
308.0156,415.3394
309.8729,100.6221
311.7302,467.0054
313.5875,308.7638
315.4448,255.5611
317.3021,208.6688
319.1593,347.8456
321.0166,463.7375
322.8739,259.0862
324.7312,803.4546
326.5885,181.8205
328.4457,357.3814
330.303,343.797
332.1603,505.5328
334.0176,294.0526
335.8749,-50.3341
337.7322,342.6958
339.5894,408.5399
341.4467,426.5701
343.304,232.2335
345.1613,223.2507
347.0186,-74.5918
348.8759,272.4102
350.7331,249.2671
352.5904,190.3929
354.4477,-251.3268
356.305,563.7323
358.1623,-174.5239
360.0196,645.0337
361.8768,336.0015
363.7341,375.6856
365.5914,624.4177
367.4487,342.5647
369.306,427.4857
371.1632,145.4145
373.0205,330.5437
374.8778,74.2979
376.7351,315.0855
378.5924,337.7638
380.4497,44.3763
382.3069,155.1851
384.1642,328.7434
386.0215,396.8913
387.8788,354.3487
389.7361,318.7822
391.5934,107.3259
393.4506,236.3896
395.3079,498.6619
397.1652,390.1671
399.0225,-7.5147
400.8798,280.0427
402.737,-120.6353
404.5943,225.5017
406.4516,96.5291
408.3089,81.784
410.1662,552.5052
412.0235,77.4594
413.8807,274.5966
415.738,254.5442
417.5953,262.7384
419.4526,363.3185
421.3099,299.8399
423.1672,410.22
425.0244,130.3008
426.8817,421.9526
428.739,260.9953
430.5963,474.3788
432.4536,70.4142
434.3109,334.7602
436.1681,61.1163
438.0254,402.9628
439.8827,387.7736
441.74,94.0997
443.5973,67.822
445.4545,152.7228
447.3118,398.0229
449.1691,502.5725
451.0264,-182.8461
452.8837,425.4752
454.741,142.0413
456.5982,188.5761
458.4555,432.6483
460.3128,223.3612
462.1701,-20.6783
464.0274,525.6904
465.8847,78.483
467.7419,293.3735
469.5992,94.0613
471.4565,257.5915
473.3138,333.0829
475.1711,562.3859
477.0283,321.9099
478.8856,140.0278
480.7429,122.2121
482.6002,56.0698
484.4575,182.4325
486.3148,-81.9866
488.172,95.7918
490.0293,368.3774
491.8866,300.8233
493.7439,-17.4205
495.6012,369.2325
497.4585,382.7645
499.3157,123.7915
501.173,603.5107
503.0303,-113.4185
504.8876,449.1747
506.7449,571.743
508.6022,167.5043
510.4594,-75.5452
512.3167,206.8158
514.174,46.7562
516.0313,510.9643
517.8886,591.7892
519.7458,261.0478
521.6031,161.5456
523.4604,317.6516
525.3177,197.9384
527.175,502.974
529.0323,653.9694
530.8895,443.3998
532.7468,535.792
534.6041,479.1209
536.4614,434.795
538.3187,66.296
