raman_shift_cm-1,intensity
100.0,78.9573
101.8573,271.4251
103.7146,-117.0523
105.5718,21.3595
107.4291,397.9702
109.2864,260.19
111.1437,455.8585
113.001,96.136
114.8583,236.298
116.7155,7.0525
118.5728,313.4673
120.4301,379.4437
122.2874,725.7953
124.1447,375.6897
126.002,564.4902
127.8592,351.1653
129.7165,273.7602
131.5738,426.0737
133.4311,407.4749
135.2884,143.5597
137.1457,1.167
139.0029,15.3868
140.8602,141.6021
142.7175,186.3091
144.5748,155.4013
146.4321,178.1037
148.2893,387.2097
150.1466,450.9013
152.0039,-39.8205
153.8612,271.402
155.7185,-16.1136
157.5758,556.3997
159.433,406.2177
161.2903,173.5955
163.1476,151.61
165.0049,521.702
166.8622,62.3107
168.7195,494.256
170.5767,162.3141
172.434,-3.9244
174.2913,231.2955
176.1486,69.4818
178.0059,432.4796
179.8631,472.7423
181.7204,441.9693
183.5777,423.3209
185.435,302.1512
187.2923,400.7887
189.1496,331.0918
191.0068,-166.0859
192.8641,98.5778
194.7214,428.3776
196.5787,-99.1845
198.436,396.176
200.2933,-47.3298
202.1505,240.6349
204.0078,514.1952
205.8651,232.1428
207.7224,361.0565
209.5797,261.5575
211.437,610.1899
213.2942,522.3562
215.1515,700.8676
217.0088,83.2347
218.8661,373.0599
220.7234,167.2813
222.5806,368.4925
224.4379,551.4738
226.2952,448.7164
228.1525,274.1037
230.0098,241.8874
231.8671,642.7067
233.7243,596.2327
235.5816,494.0854
237.4389,269.0353
239.2962,386.6804
241.1535,386.1938
243.0108,30.931
244.868,676.9943
246.7253,377.4664
248.5826,305.4887
250.4399,203.8449
252.2972,504.3955
254.1544,586.2855
256.0117,130.5474
257.869,-238.4903
259.7263,336.6506
261.5836,327.0286
263.4409,474.6739
265.2981,388.0929
267.1554,61.9401
269.0127,-84.3024
270.87,117.4413
272.7273,-208.6107
274.5846,236.6002
276.4418,193.467
278.2991,381.9423
280.1564,375.2889
282.0137,423.6268
283.871,520.8514
285.7283,279.7587
287.5855,542.9128
289.4428,354.1934
291.3001,424.758
293.1574,581.2582
295.0147,124.5987
296.8719,136.9964
298.7292,295.5081
300.5865,482.6514
302.4438,-72.0406
304.3011,85.3913
