raman_shift_cm-1,intensity
100.0,151.7606
101.8573,257.2625
103.7146,218.5223
105.5718,871.3982
107.4291,75.4082
109.2864,406.5998
111.1437,300.4773
113.001,158.2051
114.8583,681.819
116.7155,857.6684
118.5728,392.7393
120.4301,463.7897
122.2874,624.45
124.1447,-50.8253
126.002,714.4778
127.8592,510.1145
129.7165,413.4309
131.5738,341.6402
133.4311,541.4493
135.2884,178.7251
137.1457,303.595
139.0029,603.3604
140.8602,712.6343
142.7175,482.9304
144.5748,387.5941
146.4321,362.8922
148.2893,472.3584
150.1466,320.8411
152.0039,457.8165
153.8612,298.5425
155.7185,430.8577
157.5758,815.6983
159.433,831.7512
161.2903,632.0175
163.1476,1014.3404
165.0049,550.5589
166.8622,867.5841
168.7195,864.7761
170.5767,799.6805
172.434,528.6919
174.2913,607.9055
176.1486,975.8999
178.0059,565.2981
179.8631,486.1955
181.7204,638.9239
183.5777,966.8885
185.435,770.6538
187.2923,625.9434
189.1496,639.0948
191.0068,560.8003
192.8641,979.4153
194.7214,1156.2053
196.5787,868.8316
198.436,895.8635
200.2933,774.4802
202.1505,679.6762
204.0078,689.0711
205.8651,852.2102
207.7224,550.1306
209.5797,1018.8495
211.437,666.764
213.2942,1232.113
215.1515,930.8475
217.0088,1105.1079
218.8661,705.3766
220.7234,625.0036
222.5806,870.8622
224.4379,845.9475
226.2952,788.1593
228.1525,812.3502
230.0098,863.3492
231.8671,748.0997
233.7243,998.6988
235.5816,1058.9552
237.4389,815.4047
239.2962,765.2173
241.1535,1004.2724
243.0108,790.8195
244.868,1141.5612
246.7253,1121.2416
248.5826,1052.2403
250.4399,810.0965
252.2972,1102.7416
254.1544,1154.9418
256.0117,1164.8922
257.869,1029.0154
259.7263,1134.3043
261.5836,737.3547
263.4409,1173.1957
265.2981,737.146
267.1554,1109.5954
269.0127,1049.0656
270.87,1067.9906
272.7273,1021.0006
274.5846,1050.7483
276.4418,963.3307
278.2991,1079.9957
280.1564,1003.3566
282.0137,1277.0192
283.871,958.4665
285.7283,972.8417
287.5855,1237.9076
289.4428,1014.579
291.3001,1278.6066
293.1574,1414.0848
295.0147,1252.0449
296.8719,1073.8439
298.7292,1116.2421
300.5865,1169.2198
302.4438,1331.6712
304.3011,1335.8799
306.1584,1160.1234
308.0156,1013.2779
309.8729,1127.0698
311.7302,1415.7338
313.5875,1339.1961
315.4448,1385.2447
317.3021,1791.308
319.1593,1608.4882
321.0166,1214.4776
322.8739,1337.2542
324.7312,1632.8845
326.5885,1382.7741
328.4457,1448.6812
330.303,1605.0088
332.1603,1141.3613
334.0176,1485.9398
335.8749,1486.1716
337.7322,1606.9189
339.5894,1454.7828
341.4467,1587.945
343.304,1234.7209
345.1613,1787.6363
347.0186,1285.6584
348.8759,1406.5161
350.7331,1497.4161
352.5904,1917.6376
354.4477,1593.5772
356.305,1350.8053
358.1623,1809.6948
360.0196,1713.8698
361.8768,1748.5456
363.7341,1732.5632
365.5914,1723.3919
367.4487,1562.913
369.306,1648.4074
371.1632,1749.2829
373.0205,1718.6181
374.8778,1847.6762
376.7351,1741.2544
378.5924,1452.086
380.4497,1972.804
382.3069,1901.4856
384.1642,1641.5777
386.0215,1782.952
387.8788,2047.4148
389.7361,1490.7685
391.5934,1901.796
393.4506,1822.5192
395.3079,1928.9777
397.1652,1916.214
399.0225,1802.0538
400.8798,1675.7001
402.737,1750.0277
404.5943,2094.2108
406.4516,2060.235
408.3089,1969.0717
410.1662,1706.501
412.0235,2302.4776
413.8807,2352.0951
415.738,2156.2849
417.5953,2219.1077
419.4526,1840.2227
421.3099,2261.076
423.1672,2132.5798
425.0244,2033.6055
426.8817,1808.71
428.739,2299.4221
430.5963,1994.7528
432.4536,1861.8116
434.3109,2291.9591
436.1681,2420.6533
438.0254,2242.8417
439.8827,2319.0881
441.74,1883.8504
443.5973,2304.4925
445.4545,2164.4826
447.3118,2068.6839
449.1691,2070.6183
451.0264,2453.8668
452.8837,2231.5693
454.741,2595.2208
456.5982,2046.6481
458.4555,2452.1102
460.3128,2331.1931
462.1701,2441.4853
464.0274,2401.1979
465.8847,2039.0093
467.7419,2472.3038
469.5992,2208.5641
471.4565,2597.3882
473.3138,2379.4216
475.1711,2232.4784
477.0283,2184.7753
478.8856,2424.3162
480.7429,2614.4136
482.6002,2494.5238
484.4575,2494.1865
486.3148,2019.8834
488.172,2501.2727
490.0293,2589.2212
491.8866,2299.8278
493.7439,2739.1432
495.6012,2156.5224
497.4585,2247.9907
499.3157,2638.0041
501.173,2382.6649
503.0303,2768.9152
504.8876,2453.6289
506.7449,2853.8924
508.6022,2437.8686
510.4594,2517.491
512.3167,2838.8996
514.174,2516.2676
516.0313,2756.8545
517.8886,2868.4187
519.7458,2874.1437
521.6031,2720.7948
523.4604,2906.6773
525.3177,2960.1929
527.175,2676.5514
529.0323,2992.1725
530.8895,2568.7413
532.7468,2882.2342
534.6041,3054.9016
536.4614,2975.4604
538.3187,2758.1897
540.176,3242.432
542.0332,3197.5113
543.8905,3095.85
545.7478,2510.4849
547.6051,2957.2053
549.4624,3132.9366
551.3196,3052.9364
553.1769,3090.7051
555.0342,3122.1856
556.8915,2948.2096
558.7488,3131.2301
560.6061,3150.5079
562.4633,2910.1212
564.3206,2869.9004
566.1779,2888.9143
568.0352,3318.8386
569.8925,3359.2014
571.7498,3381.1674
573.607,3446.3288
575.4643,3083.543
577.3216,3363.0587
579.1789,3009.8569
581.0362,2947.8984
582.8935,3558.0246
584.7507,3393.037
586.608,3218.7271
588.4653,3201.4794
590.3226,3440.8394
592.1799,3039.9706
594.0371,3668.2562
595.8944,3463.6747
597.7517,3422.5147
599.609,3771.9021
601.4663,3958.9882
603.3236,3736.668
605.1808,3959.9401
607.0381,4519.5096
608.8954,4618.8831
610.7527,4808.1756
612.61,6026.3599
614.4673,7309.0179
616.3245,8784.5125
618.1818,11556.3081
620.0391,15351.5175
621.8964,15141.9738
623.7537,12199.7546
625.6109,8777.9567
627.4682,7023.3556
629.3255,5837.3372
631.1828,5108.0229
633.0401,5021.8719
634.8974,4646.779
636.7546,4558.175
638.6119,4327.7856
640.4692,3943.3929
642.3265,4452.0423
644.1838,4170.516
646.0411,3792.1004
647.8983,3819.8042
649.7556,4113.4129
651.6129,3696.1654
653.4702,4044.2583
655.3275,3748.4398
657.1848,3869.0636
659.042,3745.9525
660.8993,4083.5107
662.7566,4040.787
664.6139,4431.9703
666.4712,3982.7704
668.3284,4035.0813
670.1857,4141.1209
672.043,4044.3061
673.9003,4385.6258
675.7576,3959.0106
677.6149,3713.4678
679.4721,3681.2831
681.3294,4144.7394
683.1867,4291.2017
685.044,4324.883
686.9013,4161.216
