raman_shift_cm-1,intensity
100.0,3190.7325
101.8573,-574.3832
103.7146,-771.334
105.5718,-3619.568
107.4291,4046.1098
109.2864,831.5997
111.1437,-166.2696
113.001,-362.4374
114.8583,-404.8039
116.7155,2956.4368
118.5728,1325.2778
120.4301,3027.9138
122.2874,-1635.7141
124.1447,-150.5656
126.002,-1150.4057
127.8592,4320.9749
129.7165,2644.516
131.5738,1178.4003
133.4311,-62.4888
135.2884,2060.0288
137.1457,-1068.5481
139.0029,1052.2776
140.8602,-3403.0822
142.7175,3156.6331
144.5748,1287.3558
146.4321,1968.7441
148.2893,57.6795
150.1466,-2137.0863
152.0039,-2704.5843
153.8612,578.4228
155.7185,-3807.3776
157.5758,-1776.9997
159.433,-3796.0368
161.2903,3490.7773
163.1476,390.1652
165.0049,1620.627
166.8622,228.8803
168.7195,-939.8095
170.5767,-2959.3406
172.434,231.4567
174.2913,-1194.417
176.1486,-176.7257
178.0059,-352.5723
179.8631,154.3805
181.7204,1661.3831
183.5777,2397.5805
185.435,-4498.9079
187.2923,-3366.0377
189.1496,4613.4499
191.0068,2872.4168
192.8641,1188.8412
194.7214,-1191.5808
196.5787,1991.363
198.436,1243.4511
200.2933,-700.3756
202.1505,1066.1346
204.0078,-2317.0595
205.8651,-369.8383
207.7224,-1092.4892
209.5797,1608.8482
211.437,3709.9672
213.2942,3798.8997
215.1515,173.1021
217.0088,965.1232
218.8661,2564.5098
220.7234,67.7347
222.5806,-1592.4368
224.4379,2384.971
226.2952,6205.4121
228.1525,-2126.1596
230.0098,-16.2353
231.8671,296.324
233.7243,2474.5264
235.5816,1275.7619
237.4389,673.0709
239.2962,-4811.9428
241.1535,3759.8022
243.0108,1368.9269
244.868,-924.5009
246.7253,-1571.3757
248.5826,1357.5345
250.4399,3310.16
252.2972,-3976.9537
254.1544,1329.0395
256.0117,3724.0397
257.869,1796.1446
259.7263,28.2428
261.5836,-577.491
263.4409,4137.033
265.2981,1119.5073
267.1554,-2491.4081
269.0127,38.9573
270.87,-99.4142
272.7273,2235.3268
274.5846,1496.2296
276.4418,-2228.8952
278.2991,2770.0365
280.1564,3037.5133
282.0137,3902.4089
283.871,1169.655
285.7283,-422.8796
287.5855,-797.2376
289.4428,-3750.2612
291.3001,-562.7885
293.1574,-3682.0122
295.0147,-774.6187
296.8719,-2340.078
298.7292,1912.8263
300.5865,1810.1034
302.4438,291.0874
304.3011,2482.9262
306.1584,-1140.763
308.0156,3324.4529
309.8729,893.3668
311.7302,879.6227
313.5875,-1592.7983
315.4448,-213.0568
317.3021,-569.5696
319.1593,-1182.4746
321.0166,4930.0328
322.8739,133.5199
324.7312,-100.4433
326.5885,-2015.1399
328.4457,1335.6015
330.303,-790.0809
332.1603,1310.2914
334.0176,539.2225
335.8749,3721.61
337.7322,3833.728
339.5894,3267.5839
341.4467,3884.1858
343.304,7227.7204
345.1613,-1276.2761
347.0186,-1599.6366
348.8759,-1878.306
350.7331,274.4062
352.5904,1311.4749
354.4477,-1528.9301
356.305,-913.7581
358.1623,-3818.3036
360.0196,2502.9008
361.8768,3991.1332
363.7341,-681.7762
365.5914,-2454.0402
367.4487,-6290.1243
369.306,3339.614
371.1632,2219.953
373.0205,2273.2366
374.8778,462.5342
376.7351,2159.7353
378.5924,-461.5619
380.4497,1381.0023
382.3069,-4225.8856
384.1642,1917.1201
386.0215,-1284.8218
387.8788,929.78
389.7361,2756.3281
391.5934,1903.4687
393.4506,-562.0908
395.3079,-1041.988
397.1652,778.5923
399.0225,-2976.8426
400.8798,-825.78
402.737,-147.5965
404.5943,-1701.7334
406.4516,-1994.3554
408.3089,459.2155
410.1662,3065.4466
412.0235,1124.0635
413.8807,-2397.9239
415.738,1745.2296
417.5953,-1763.9201
419.4526,1680.5984
421.3099,2650.4508
423.1672,2886.7119
425.0244,-2225.1293
426.8817,-622.2405
428.739,2009.6707
430.5963,1024.4067
432.4536,1704.9311
434.3109,-879.8912
436.1681,-39.4082
438.0254,-3660.3467
439.8827,2159.1903
441.74,-3150.2096
443.5973,568.7674
445.4545,-2802.8238
447.3118,1368.8066
449.1691,2302.9321
451.0264,229.9308
452.8837,2455.8068
454.741,1918.6315
456.5982,1735.0412
458.4555,4003.1729
460.3128,719.3206
462.1701,610.8305
464.0274,3171.6319
465.8847,-86.1484
467.7419,107.2215
469.5992,-2361.2783
471.4565,-2931.652
473.3138,557.1618
475.1711,-1703.0379
477.0283,3388.7523
478.8856,2712.638
480.7429,-751.717
482.6002,1898.568
484.4575,3969.9338
486.3148,6630.2456
488.172,-1537.6676
490.0293,5530.6009
491.8866,1122.3825
493.7439,-4460.8675
495.6012,843.2387
497.4585,-373.5243
499.3157,4121.429
501.173,1214.2279
503.0303,2734.4477
504.8876,4455.3518
506.7449,-132.0856
508.6022,718.998
510.4594,2264.4995
512.3167,1027.0283
514.174,5129.616
516.0313,4151.8966
517.8886,-775.0207
519.7458,-1263.5958
521.6031,3363.808
523.4604,1160.3642
525.3177,-1912.1557
527.175,747.8286
529.0323,79.6439
530.8895,1463.0165
532.7468,3154.913
534.6041,390.3231
536.4614,382.5256
538.3187,6095.108
540.176,1521.2534
542.0332,4306.9733
543.8905,3447.7251
545.7478,5628.9593
547.6051,540.7289
549.4624,4101.2848
551.3196,-938.1806
553.1769,-874.0407
555.0342,231.6773
556.8915,-380.3365
558.7488,3293.6231
560.6061,471.9279
562.4633,1162.37
564.3206,701.9223
566.1779,2826.382
568.0352,4170.951
569.8925,-944.1579
571.7498,-210.6635
573.607,1254.358
575.4643,-2656.8415
577.3216,1712.8881
579.1789,4507.7301
581.0362,-1301.1726
582.8935,-729.1952
584.7507,2822.4397
586.608,-5848.184
588.4653,-2912.8184
590.3226,3524.5017
592.1799,3456.2718
594.0371,402.7594
595.8944,467.0313
597.7517,267.8276
599.609,2958.9365
601.4663,771.893
603.3236,233.1782
605.1808,-1408.8995
607.0381,-1885.4292
608.8954,3935.8356
610.7527,-551.2441
612.61,3244.199
614.4673,5028.2105
616.3245,8460.8225
618.1818,8267.0257
620.0391,15529.4597
621.8964,10165.1952
623.7537,11319.5581
625.6109,8847.6375
627.4682,3104.4226
629.3255,3901.1366
631.1828,5230.4776
633.0401,1718.3822
634.8974,949.9579
636.7546,-2382.4756
638.6119,-677.6962
640.4692,-1716.1445
642.3265,1974.8009
644.1838,-1155.7385
646.0411,1816.9981
647.8983,3494.3418
649.7556,-390.339
651.6129,864.9291
653.4702,-526.0512
655.3275,1587.4834
657.1848,-190.9005
659.042,-1440.0697
660.8993,-1155.2611
662.7566,-558.6854
