raman_shift_cm-1,intensity
100.0,725.5131
101.8573,-58.2102
103.7146,383.8105
105.5718,312.6185
107.4291,307.8777
109.2864,405.9713
111.1437,646.8457
113.001,336.8285
114.8583,591.0227
116.7155,322.4766
118.5728,256.4527
120.4301,114.8166
122.2874,900.828
124.1447,137.2345
126.002,504.8049
127.8592,-65.2086
129.7165,-30.5589
131.5738,-52.7745
133.4311,336.9841
135.2884,401.0337
137.1457,1186.2412
139.0029,-238.8233
140.8602,553.2456
142.7175,689.219
144.5748,-354.5478
146.4321,-147.1007
148.2893,267.9379
150.1466,200.1139
152.0039,297.557
153.8612,981.3837
155.7185,62.353
157.5758,-0.6277
159.433,497.4976
161.2903,-160.9052
163.1476,630.8223
165.0049,-208.8839
166.8622,601.8896
168.7195,208.9591
170.5767,198.6564
172.434,-146.7007
174.2913,417.928
176.1486,746.0641
178.0059,1114.2811
179.8631,37.9096
181.7204,419.7996
183.5777,472.8361
185.435,383.5304
187.2923,366.8369
189.1496,666.0775
191.0068,820.551
192.8641,160.612
194.7214,694.421
196.5787,-60.0268
198.436,233.454
200.2933,-179.0011
202.1505,517.0905
204.0078,1017.5595
205.8651,883.0531
207.7224,445.9285
209.5797,-51.8344
211.437,775.266
213.2942,168.7792
215.1515,1117.4788
217.0088,247.7307
218.8661,120.0994
220.7234,33.069
222.5806,354.4343
224.4379,551.1119
226.2952,318.4483
228.1525,720.8821
230.0098,497.1396
231.8671,439.9987
233.7243,79.7767
235.5816,27.5125
237.4389,-373.5802
239.2962,259.4762
241.1535,-634.6334
243.0108,270.4811
244.868,958.9041
246.7253,-152.1875
248.5826,520.2902
250.4399,246.0042
252.2972,-117.8997
254.1544,-305.5514
256.0117,-231.8639
257.869,1556.2487
259.7263,350.921
261.5836,-178.8183
263.4409,307.3665
265.2981,603.5952
267.1554,373.6637
269.0127,743.9074
270.87,168.0546
272.7273,278.401
274.5846,621.7328
276.4418,-487.652
278.2991,652.4772
280.1564,245.4099
282.0137,132.0247
283.871,127.0871
285.7283,609.0044
287.5855,592.3885
289.4428,842.143
291.3001,420.5292
293.1574,887.281
295.0147,597.3251
296.8719,256.5791
298.7292,-49.0334
300.5865,891.3498
302.4438,1021.1805
304.3011,396.4118
306.1584,37.652
308.0156,60.5637
309.8729,-305.0598
311.7302,526.6887
313.5875,300.3673
315.4448,-355.2616
317.3021,516.6731
319.1593,100.8813
321.0166,232.1519
322.8739,224.3672
324.7312,-44.6019
326.5885,866.1808
328.4457,131.4724
330.303,71.7325
332.1603,-216.1809
334.0176,308.5434
335.8749,204.5677
337.7322,826.7376
339.5894,886.6889
341.4467,433.4981
343.304,662.9718
345.1613,634.6725
347.0186,562.6051
348.8759,21.5359
350.7331,790.5534
352.5904,-137.4151
354.4477,57.4063
356.305,-322.1461
358.1623,469.7791
360.0196,562.9169
361.8768,549.455
363.7341,763.6354
365.5914,845.8286
367.4487,10.8421
369.306,-35.9
371.1632,101.7235
373.0205,252.9811
374.8778,-107.2335
376.7351,-170.1561
378.5924,55.0414
380.4497,784.3761
382.3069,597.4147
384.1642,33.8052
386.0215,466.2767
387.8788,491.4328
389.7361,883.419
391.5934,465.9546
393.4506,416.2608
395.3079,192.465
397.1652,125.2521
399.0225,1166.3854
400.8798,135.3982
402.737,-207.1223
404.5943,-371.4933
406.4516,-110.4966
408.3089,314.5909
410.1662,896.7637
412.0235,100.1348
413.8807,508.2491
415.738,-426.1537
417.5953,729.0054
419.4526,138.4216
421.3099,855.7761
423.1672,180.8393
425.0244,-291.477
426.8817,691.1445
428.739,866.2698
430.5963,-138.77
432.4536,354.3851
434.3109,506.8033
436.1681,883.0873
438.0254,191.1929
439.8827,38.0392
441.74,518.4116
443.5973,152.0333
445.4545,-109.8072
447.3118,-96.6324
449.1691,-86.2997
451.0264,-340.7183
452.8837,577.5018
454.741,-422.9639
456.5982,580.493
458.4555,-566.1544
460.3128,373.3983
462.1701,87.7594
464.0274,1172.1096
465.8847,-87.3789
467.7419,167.6871
469.5992,1087.4984
471.4565,1027.2508
473.3138,435.6732
475.1711,247.4635
477.0283,125.7794
478.8856,388.1155
480.7429,302.4156
482.6002,386.2011
484.4575,-85.4316
486.3148,870.5958
488.172,493.5362
490.0293,747.2219
491.8866,84.9828
493.7439,183.4692
495.6012,981.0799
497.4585,995.1191
499.3157,-128.8211
501.173,286.3024
503.0303,-256.3604
504.8876,1011.7287
506.7449,425.5891
508.6022,46.5082
510.4594,419.4895
512.3167,750.5012
514.174,414.2265
516.0313,-279.6888
517.8886,-15.9487
519.7458,614.4317
521.6031,247.7441
523.4604,383.6572
525.3177,1019.5595
527.175,925.0224
529.0323,-172.9707
530.8895,-737.5411
532.7468,127.908
534.6041,355.0105
536.4614,766.4575
538.3187,750.2731
540.176,924.7392
542.0332,320.8536
543.8905,722.0626
545.7478,647.3399
547.6051,684.3936
549.4624,160.2406
551.3196,1052.6834
553.1769,861.3553
555.0342,493.612
556.8915,-528.8153
558.7488,647.0449
560.6061,476.7109
562.4633,914.9457
564.3206,837.3584
566.1779,438.9212
568.0352,504.2514
569.8925,573.1922
571.7498,615.8661
573.607,585.7766
575.4643,452.4746
577.3216,1242.5072
579.1789,465.7272
581.0362,1251.4621
582.8935,446.01
584.7507,402.5317
586.608,236.4019
588.4653,1205.0753
590.3226,617.1976
592.1799,717.2506
594.0371,1366.3432
595.8944,1180.4227
597.7517,1216.6852
599.609,1302.3134
601.4663,1905.4194
603.3236,2074.2774
605.1808,1114.3739
607.0381,2933.3646
608.8954,3211.6948
610.7527,3587.0903
612.61,5632.9219
614.4673,8291.6486
616.3245,12875.3482
618.1818,19813.0644
