raman_shift_cm-1,intensity
105.0,248.1149
106.8573,464.0578
108.7146,668.3797
110.5718,439.8748
112.4291,566.48
114.2864,291.8601
116.1437,800.1238
118.001,282.4325
119.8583,236.2249
121.7155,274.6375
123.5728,-97.3683
125.4301,336.3766
127.2874,134.3438
129.1447,225.5169
131.002,344.3111
132.8592,295.2345
134.7165,822.0728
136.5738,190.4892
138.4311,39.3599
140.2884,812.8943
142.1457,314.7267
144.0029,-0.7034
145.8602,495.6028
147.7175,513.0735
149.5748,457.7587
151.4321,484.6973
153.2893,442.9346
155.1466,693.3799
157.0039,18.9855
158.8612,41.9753
160.7185,437.7914
162.5758,478.3271
164.433,-118.9956
166.2903,188.3549
168.1476,-82.6595
170.0049,335.3827
171.8622,164.0809
173.7195,161.7139
175.5767,208.1264
177.434,251.5168
179.2913,684.9795
181.1486,499.0289
183.0059,197.9005
184.8631,419.1453
186.7204,290.0043
188.5777,263.9523
190.435,218.1664
192.2923,108.0774
194.1496,-310.2348
196.0068,294.3454
197.8641,31.6782
199.7214,278.3689
201.5787,146.8434
203.436,208.0556
205.2933,340.731
207.1505,295.7529
209.0078,311.5146
210.8651,432.98
212.7224,249.8969
214.5797,552.3589
216.437,172.102
218.2942,169.321
220.1515,-8.4768
222.0088,144.2904
223.8661,248.4158
225.7234,412.051
227.5806,615.9808
229.4379,291.7848
231.2952,734.3533
233.1525,94.843
235.0098,571.2373
236.8671,573.0669
238.7243,46.4937
240.5816,630.8921
242.4389,179.4781
244.2962,374.9986
246.1535,22.6682
248.0108,215.6465
249.868,288.9926
251.7253,465.7404
253.5826,291.6467
255.4399,128.403
257.2972,636.0347
259.1544,230.3376
261.0117,244.2623
262.869,54.6323
264.7263,352.8107
266.5836,511.6404
268.4409,436.402
270.2981,244.2836
272.1554,532.0867
274.0127,392.5224
275.87,477.2074
277.7273,134.8297
279.5846,481.1009
281.4418,153.0434
283.2991,229.5262
285.1564,224.8388
287.0137,364.7723
288.871,334.6053
290.7283,338.0055
292.5855,1.3877
294.4428,431.569
296.3001,341.3997
298.1574,386.1303
300.0147,162.2056
301.8719,415.3635
303.7292,371.2442
305.5865,139.537
307.4438,263.792
309.3011,536.2504
311.1584,601.0349
313.0156,564.0891
314.8729,329.0791
316.7302,294.9907
318.5875,433.2127
320.4448,356.9131
322.3021,315.7402
324.1593,490.665
326.0166,667.776
327.8739,443.4009
329.7312,388.3741
331.5885,292.8404
333.4457,597.7213
335.303,219.9702
337.1603,452.5485
339.0176,1.8435
340.8749,164.6602
342.7322,330.0335
344.5894,229.7382
346.4467,113.1131
348.304,388.5216
350.1613,84.9117
352.0186,256.7734
353.8759,46.4884
355.7331,454.2002
357.5904,511.5983
359.4477,405.5734
361.305,677.5136
363.1623,68.2249
365.0196,476.0461
366.8768,605.1709
368.7341,552.3807
370.5914,537.241
372.4487,130.0446
374.306,-239.8471
376.1632,352.4627
378.0205,26.8347
379.8778,424.314
381.7351,49.9329
383.5924,373.0293
385.4497,92.0721
387.3069,35.6139
389.1642,465.3812
391.0215,-12.8287
392.8788,507.7418
394.7361,41.2293
396.5934,-158.8977
398.4506,541.2758
400.3079,375.0473
402.1652,96.6595
404.0225,209.0069
405.8798,943.8925
407.737,411.1428
409.5943,438.774
411.4516,128.7319
413.3089,470.3238
415.1662,464.389
417.0235,532.2623
418.8807,466.7874
420.738,476.5237
422.5953,302.5808
424.4526,181.4937
426.3099,187.228
428.1672,348.629
430.0244,534.2666
431.8817,101.8148
433.739,375.7998
435.5963,216.8184
437.4536,664.1543
439.3109,327.5149
441.1681,694.0234
443.0254,86.1377
444.8827,213.5398
446.74,448.9353
448.5973,251.5068
450.4545,118.8758
452.3118,509.4988
454.1691,346.5654
456.0264,196.6001
457.8837,237.6517
459.741,1.7122
461.5982,310.2616
463.4555,346.1213
465.3128,459.805
467.1701,204.1853
469.0274,287.7237
470.8847,432.1332
472.7419,414.8363
474.5992,393.002
476.4565,381.2406
478.3138,125.4246
480.1711,242.1201
482.0283,199.3158
483.8856,150.9682
485.7429,23.4456
487.6002,361.5164
489.4575,321.3716
491.3148,369.0329
493.172,730.699
495.0293,550.2332
496.8866,210.4602
498.7439,228.075
500.6012,391.9015
502.4585,571.2855
504.3157,83.5507
506.173,338.5866
508.0303,155.6991
509.8876,103.4961
511.7449,242.4174
513.6022,324.2646
515.4594,157.0499
517.3167,303.3364
519.174,204.0402
521.0313,234.3994
522.8886,423.9403
524.7458,278.5638
526.6031,211.2321
528.4604,494.7718
530.3177,737.8154
532.175,486.1143
534.0323,411.122
535.8895,350.7206
537.7468,447.4981
539.6041,431.8032
541.4614,486.3553
543.3187,323.3777
545.176,669.8804
547.0332,540.1867
548.8905,103.3358
550.7478,411.5994
552.6051,261.4261
554.4624,534.5504
556.3196,401.6132
558.1769,539.0036
560.0342,500.0147
561.8915,261.1987
563.7488,542.5587
565.6061,564.0957
567.4633,680.5205
569.3206,569.0989
571.1779,739.0804
573.0352,533.5955
574.8925,639.2687
576.7498,422.5897
578.607,502.8733
580.4643,466.2609
582.3216,491.9514
584.1789,451.9627
586.0362,519.3078
587.8935,126.579
589.7507,377.0956
591.608,713.2673
593.4653,503.4885
595.3226,429.2807
597.1799,746.3764
599.0371,468.4602
600.8944,842.9923
602.7517,1011.543
604.609,1122.7022
606.4663,771.134
608.3236,690.4659
610.1808,794.2502
612.0381,1315.4024
613.8954,1452.7122
615.7527,1859.6885
617.61,2683.126
619.4673,3855.8983
621.3245,5413.3263
623.1818,8426.087
625.0391,12191.657
626.8964,11960.9306
628.7537,8796.4033
630.6109,5359.8193
632.4682,3741.9674
634.3255,2484.4035
636.1828,2056.9579
638.0401,1579.0078
639.8974,1501.517
641.7546,947.6248
643.6119,1054.8048
645.4692,866.6103
647.3265,879.5276
649.1838,524.1655
651.0411,640.4138
652.8983,773.3491
654.7556,764.0804
656.6129,452.9092
658.4702,469.9084
660.3275,259.2939
662.1848,381.6913
664.042,544.032
665.8993,635.1243
667.7566,274.6576
669.6139,428.3354
671.4712,796.8712
673.3284,539.4179
675.1857,348.7931
677.043,287.1327
678.9003,168.7325
680.7576,371.9389
682.6149,122.7816
684.4721,850.3587
686.3294,342.517
688.1867,328.4305
690.044,253.5171
691.9013,-235.2981
693.7586,356.2906
695.6158,406.0433
697.4731,245.289
699.3304,-30.6135
701.1877,587.8213
703.045,548.1879
704.9022,443.5308
706.7595,423.3909
708.6168,546.4462
710.4741,295.7411
712.3314,389.8008
714.1887,131.8439
716.0459,402.2346
717.9032,398.0823
719.7605,502.755
721.6178,514.0528
723.4751,613.294
725.3324,256.9535
727.1896,539.3723
729.0469,715.3341
730.9042,408.4893
732.7615,312.8213
734.6188,240.3535
736.4761,131.1562
738.3333,510.0943
740.1906,-52.4096
742.0479,284.6375
743.9052,366.7551
745.7625,276.3289
747.6197,448.9831
749.477,519.2277
751.3343,298.0059
753.1916,168.1255
755.0489,79.3574
756.9062,-65.1575
758.7634,410.3132
760.6207,400.4418
762.478,317.3122
764.3353,497.2302
766.1926,426.6632
768.0499,729.1871
769.9071,165.847
771.7644,553.1209
773.6217,398.7353
775.479,290.7344
777.3363,762.1512
779.1935,749.8232
781.0508,764.0282
782.9081,926.4961
784.7654,1165.7473
786.6227,914.9598
788.48,940.7739
790.3372,1726.192
792.1945,2015.214
794.0518,2288.1848
795.9091,3482.8986
797.7664,4960.7213
799.6237,6297.3905
801.4809,6254.8252
803.3382,5672.4452
805.1955,3751.0983
807.0528,2378.6425
808.9101,2277.9092
810.7674,1626.6341
812.6246,1136.4788
814.4819,1134.8597
816.3392,955.6998
818.1965,638.9782
820.0538,708.7797
821.911,553.8288
823.7683,697.7781
825.6256,1103.9522
827.4829,362.5737
829.3402,285.0417
831.1975,426.4437
833.0547,656.7965
834.912,370.0296
836.7693,675.4959
838.6266,519.6161
840.4839,327.3696
842.3412,823.3673
844.1984,490.4615
846.0557,236.9826
847.913,638.3603
849.7703,588.5777
851.6276,691.4604
853.4848,645.1281
855.3421,460.776
857.1994,344.6159
859.0567,961.9065
860.914,570.8386
862.7713,276.2929
864.6285,-43.7215
866.4858,558.5465
868.3431,477.7934
870.2004,396.9433
872.0577,639.0336
873.915,172.5668
875.7722,329.2189
877.6295,654.3088
879.4868,597.0018
881.3441,498.26
883.2014,469.1199
885.0587,391.7637
886.9159,368.1932
888.7732,290.6381
890.6305,245.3046
892.4878,805.5412
894.3451,402.6622
896.2023,452.0365
898.0596,398.7384
899.9169,132.7138
901.7742,150.9979
903.6315,461.4824
905.4888,753.3618
907.346,580.9622
909.2033,198.3492
911.0606,583.2892
912.9179,356.2368
914.7752,217.3454
916.6325,551.1212
918.4897,375.858
920.347,249.304
922.2043,313.7305
924.0616,583.6884
925.9189,480.5062
927.7761,292.3013
929.6334,400.6298
931.4907,610.9396
933.348,393.338
935.2053,397.6373
937.0626,321.7567
938.9198,665.5766
940.7771,269.2221
942.6344,607.7287
944.4917,240.5298
946.349,461.1194
948.2063,438.8317
950.0635,737.3528
951.9208,384.9396
953.7781,764.916
955.6354,724.0937
957.4927,455.0679
959.35,350.2384
961.2072,462.6182
963.0645,868.7662
964.9218,532.889
966.7791,477.3104
968.6364,807.5356
970.4936,1049.3108
972.3509,719.6005
974.2082,592.4614
976.0655,759.393
977.9228,811.4455
979.7801,1217.0157
981.6373,881.4838
983.4946,1110.6501
985.3519,1039.0836
987.2092,1503.9755
989.0665,1557.4612
990.9238,1850.3653
992.781,1886.4344
994.6383,2937.8739
996.4956,3964.6423
998.3529,5463.9526
1000.2102,8309.1135
1002.0674,14156.3129
1003.9247,25355.6885
1005.782,40490.7027
1007.6393,36064.8641
1009.4966,20675.7443
1011.3539,11806.9917
1013.2111,7278.4552
1015.0684,5036.9866
1016.9257,4236.9299
1018.783,3779.9802
1020.6403,3276.067
1022.4976,2916.62
1024.3548,3768.1945
1026.2121,3781.8742
1028.0694,4463.5694
1029.9267,5472.8288
1031.784,9237.4277
1033.6413,14518.1678
1035.4985,22839.6997
1037.3558,25029.2077
1039.2131,17515.9312
1041.0704,10259.2764
1042.9277,6685.2956
1044.7849,4649.0809
1046.6422,3691.3403
1048.4995,2389.9291
1050.3568,1893.1623
1052.2141,1977.348
1054.0714,1562.3162
1055.9286,1081.5945
1057.7859,1223.8136
1059.6432,1096.5674
1061.5005,875.8116
1063.3578,1071.138
1065.2151,670.1949
1067.0723,983.0505
1068.9296,434.0595
1070.7869,651.5708
1072.6442,751.3494
1074.5015,713.8789
1076.3587,715.5885
1078.216,740.6857
1080.0733,734.7982
1081.9306,597.2666
1083.7879,880.4043
1085.6452,375.1731
1087.5024,428.7566
1089.3597,580.4103
1091.217,481.217
1093.0743,22.9111
1094.9316,402.281
1096.7889,381.4757
1098.6461,200.8369
1100.5034,245.5556
1102.3607,563.2665
1104.218,878.3017
1106.0753,729.5099
1107.9326,709.2371
1109.7898,623.1303
1111.6471,351.8332
1113.5044,484.3513
1115.3617,733.9403
1117.219,477.3437
1119.0762,913.6144
1120.9335,256.6371
1122.7908,185.973
1124.6481,676.061
1126.5054,628.6144
1128.3627,379.0224
1130.2199,607.8248
1132.0772,921.711
1133.9345,666.5602
1135.7918,982.1743
1137.6491,622.2386
1139.5064,441.1619
1141.3636,725.3607
1143.2209,1032.3616
1145.0782,1328.3465
1146.9355,1782.37
1148.7928,1764.9548
1150.65,2057.1285
1152.5073,2863.2234
1154.3646,3786.4969
1156.2219,5944.0899
1158.0792,8818.2765
1159.9365,10784.894
1161.7937,9303.7814
1163.651,7019.7134
1165.5083,4529.5544
1167.3656,3609.3546
1169.2229,2455.7038
1171.0802,1711.0261
1172.9374,1740.9574
1174.7947,1181.5338
1176.652,1110.9502
1178.5093,654.1283
1180.3666,882.468
1182.2239,608.7981
1184.0811,479.8803
1185.9384,950.8261
1187.7957,534.0594
1189.653,711.1794
1191.5103,770.5672
1193.3675,774.5445
1195.2248,514.9618
1197.0821,502.0514
1198.9394,691.7618
1200.7967,383.7731
1202.654,629.0781
1204.5112,250.5385
1206.3685,407.1131
1208.2258,905.1619
1210.0831,267.8218
