raman_shift_cm-1,intensity
100.0,212.6426
101.8573,740.5672
103.7146,274.2298
105.5718,935.0728
107.4291,800.5458
109.2864,209.8584
111.1437,687.6716
113.001,359.4814
114.8583,5.1676
116.7155,149.8436
118.5728,360.1269
120.4301,493.6178
122.2874,598.6875
124.1447,650.2764
126.002,891.5609
127.8592,399.4754
129.7165,584.3117
131.5738,584.7827
133.4311,814.2247
135.2884,759.9626
137.1457,754.1486
139.0029,957.4587
140.8602,797.0429
142.7175,550.2494
144.5748,524.4731
146.4321,710.3013
148.2893,755.3359
150.1466,709.4475
152.0039,741.4959
153.8612,342.4872
155.7185,1022.2704
157.5758,457.2355
159.433,1022.1863
161.2903,942.3645
163.1476,943.3771
165.0049,1116.4961
166.8622,885.284
168.7195,1195.671
170.5767,839.501
172.434,1307.6566
174.2913,1042.3049
176.1486,1180.7432
178.0059,918.1285
179.8631,1337.0208
181.7204,979.8526
183.5777,1073.6415
185.435,1205.0215
187.2923,1096.3358
189.1496,1472.4717
191.0068,1002.2529
192.8641,1238.8064
194.7214,1066.2241
196.5787,1636.9139
198.436,1108.464
200.2933,1249.7417
202.1505,1437.5022
204.0078,1193.0505
205.8651,1294.7672
207.7224,1686.9819
209.5797,1106.4017
211.437,1254.0693
213.2942,1147.1808
215.1515,1845.8377
217.0088,1268.4106
218.8661,1803.1195
220.7234,1771.5765
222.5806,1509.6752
224.4379,1375.9319
226.2952,1635.1521
228.1525,1601.5919
230.0098,1403.3672
231.8671,1974.0889
233.7243,1744.7169
235.5816,1801.3864
237.4389,1662.6966
239.2962,1689.235
241.1535,1850.5221
243.0108,1884.7549
244.868,2018.7556
246.7253,1892.1313
248.5826,1679.3523
250.4399,1892.6138
252.2972,2088.7944
254.1544,2165.7494
256.0117,2122.6352
257.869,1909.8606
259.7263,2318.752
261.5836,2141.5558
263.4409,2097.9956
265.2981,1725.7227
267.1554,1824.0846
269.0127,1991.0222
270.87,2358.4094
272.7273,2238.2017
274.5846,2243.7985
276.4418,2140.3965
278.2991,2086.7454
280.1564,2251.7547
282.0137,1952.8127
283.871,2501.8995
285.7283,2149.7374
287.5855,2523.0085
289.4428,2642.643
291.3001,2491.827
293.1574,2575.3382
295.0147,2259.1637
296.8719,2443.3669
298.7292,2226.1824
300.5865,2379.6742
302.4438,2820.6374
304.3011,2318.2001
306.1584,2680.4505
308.0156,2909.2523
309.8729,2545.1803
311.7302,2667.726
313.5875,2551.9088
315.4448,2830.5043
317.3021,2843.7406
319.1593,2490.0717
321.0166,2715.8634
322.8739,2741.887
324.7312,2900.5843
326.5885,2680.1101
328.4457,3171.5447
330.303,2723.8149
332.1603,2575.3431
334.0176,3107.7832
335.8749,2956.431
337.7322,2959.902
339.5894,3127.3794
341.4467,3045.3718
343.304,3186.71
345.1613,3182.52
347.0186,3212.6019
348.8759,2777.9504
350.7331,3479.6503
352.5904,3103.6708
354.4477,3144.9782
356.305,3151.2898
358.1623,3344.1369
360.0196,3367.6049
361.8768,3497.4953
363.7341,3228.398
365.5914,3254.9259
367.4487,3399.0841
369.306,3219.1497
371.1632,3622.8136
373.0205,3632.7311
374.8778,3776.9246
376.7351,3833.839
378.5924,3330.213
380.4497,3572.6883
382.3069,3335.5524
384.1642,3637.6051
386.0215,3729.4815
387.8788,4004.5554
389.7361,3792.4332
391.5934,3748.579
393.4506,3515.1935
395.3079,3567.0828
397.1652,3816.7132
399.0225,4283.8585
400.8798,4316.3511
402.737,4328.433
404.5943,4122.9669
406.4516,4101.9039
408.3089,4324.2285
410.1662,4321.1304
412.0235,3973.2991
413.8807,4059.1197
415.738,4346.4116
417.5953,4286.4014
419.4526,4449.113
421.3099,4019.1431
423.1672,4165.2733
425.0244,4436.3256
426.8817,4111.8473
428.739,4491.2656
430.5963,4391.9902
432.4536,4056.0299
434.3109,4649.6927
436.1681,4507.3597
438.0254,4410.2417
439.8827,4840.2654
441.74,4501.9526
443.5973,4620.6969
445.4545,4732.6415
447.3118,4814.7117
449.1691,5014.8402
451.0264,4490.0399
452.8837,4997.0607
454.741,4857.0532
456.5982,4866.9428
458.4555,4459.0111
460.3128,4696.5721
462.1701,4908.5155
464.0274,4832.3192
465.8847,4975.19
467.7419,5096.364
469.5992,5062.3568
471.4565,4604.391
473.3138,5008.6391
475.1711,5271.259
477.0283,5665.7977
478.8856,4889.5695
480.7429,5087.3091
482.6002,5367.7862
484.4575,5178.2784
486.3148,5487.0238
488.172,5528.4833
490.0293,5747.826
491.8866,5150.9269
493.7439,5547.3277
495.6012,5494.9389
497.4585,5405.2543
499.3157,5589.9492
501.173,5682.1295
503.0303,5823.6575
504.8876,5682.4327
506.7449,5438.4809
508.6022,5650.6607
510.4594,5780.7728
512.3167,5895.8392
514.174,5990.6387
516.0313,5615.0256
517.8886,5840.8946
519.7458,5771.7083
521.6031,6095.5734
523.4604,5868.2166
525.3177,5708.6285
527.175,6136.9314
529.0323,5758.6104
530.8895,6239.2158
532.7468,6159.8966
534.6041,6504.3542
536.4614,6262.1062
538.3187,6552.7317
540.176,5900.0192
542.0332,6157.4337
543.8905,6068.1369
545.7478,6231.468
547.6051,6307.4568
549.4624,6524.7643
551.3196,6641.3036
553.1769,6391.2827
555.0342,6362.5699
556.8915,6238.148
558.7488,6314.8502
560.6061,6744.3494
562.4633,6457.3875
564.3206,6665.4345
566.1779,6882.1767
568.0352,7333.8042
569.8925,7300.5148
571.7498,6992.9743
573.607,6779.8405
575.4643,7159.6794
577.3216,6985.5404
579.1789,7249.0523
581.0362,7177.6039
582.8935,7424.996
584.7507,7051.961
586.608,7108.2146
588.4653,7184.9211
590.3226,7863.0242
592.1799,7640.8018
594.0371,7275.0362
595.8944,7662.8166
597.7517,7928.3742
599.609,8159.6444
601.4663,8109.2092
603.3236,7953.2089
605.1808,8171.4067
607.0381,8716.1865
608.8954,8971.0387
610.7527,9309.3288
612.61,10001.3897
614.4673,11007.9173
616.3245,13374.9701
618.1818,16240.8717
620.0391,19772.2448
621.8964,19681.3594
623.7537,16105.2489
625.6109,13281.1053
627.4682,11284.8099
629.3255,10411.7562
631.1828,9719.0072
633.0401,9162.7753
634.8974,9380.2812
636.7546,8931.0525
638.6119,8630.6511
640.4692,9142.3968
642.3265,8942.579
644.1838,8786.1969
646.0411,8700.5168
647.8983,8932.5894
649.7556,8412.3292
651.6129,8186.3522
653.4702,8626.6679
655.3275,8937.1383
657.1848,8372.4242
659.042,9159.2746
660.8993,8669.9679
662.7566,8986.1408
664.6139,8663.7626
666.4712,8846.59
668.3284,8925.3499
670.1857,9254.1132
672.043,9130.0966
673.9003,9040.9317
675.7576,9000.2667
677.6149,8846.7122
679.4721,9074.5261
681.3294,8851.822
683.1867,9229.0092
685.044,9222.7745
686.9013,9339.4868
688.7586,9405.7262
690.6158,9735.7431
692.4731,9893.511
694.3304,9501.9547
696.1877,9707.4631
698.045,9349.702
699.9022,9589.4435
701.7595,9901.8196
703.6168,9676.2084
705.4741,9799.8456
707.3314,9284.9323
709.1887,9910.2771
711.0459,9846.9239
712.9032,9901.8026
714.7605,9765.6496
716.6178,10193.2596
718.4751,10253.4698
720.3324,9915.1307
722.1896,10194.0839
724.0469,10078.9367
725.9042,10054.02
727.7615,10419.2088
729.6188,10348.1324
731.4761,10578.263
733.3333,10240.2553
735.1906,10547.3934
737.0479,10112.2109
738.9052,10871.0376
740.7625,10570.0269
742.6197,10709.0261
744.477,10608.7099
746.3343,10480.1229
748.1916,10995.3882
750.0489,10734.3037
751.9062,10824.9971
753.7634,10727.7158
755.6207,10833.0565
757.478,10919.0746
759.3353,10880.11
761.1926,11016.8091
763.0499,11291.242
764.9071,11178.503
766.7644,11097.0779
768.6217,11316.3745
770.479,11101.2748
772.3363,11704.8873
774.1935,11772.563
776.0508,11591.1243
777.9081,11538.2937
779.7654,11883.1247
781.6227,12020.9342
783.48,12427.8594
785.3372,12557.9512
787.1945,13122.6069
789.0518,13627.0089
790.9091,14680.2275
792.7664,16242.5623
794.6237,17480.5593
796.4809,18282.2031
798.3382,16901.647
800.1955,15279.7899
802.0528,14491.4294
803.9101,14082.3787
805.7674,13191.0359
807.6246,13339.3687
809.4819,12769.1383
811.3392,12412.3333
813.1965,12962.6102
815.0538,12493.9731
816.911,12402.4173
818.7683,12309.2536
820.6256,12617.0675
822.4829,12506.3248
824.3402,12525.626
826.1975,12773.1549
828.0547,12402.9404
829.912,12544.3355
831.7693,12841.2588
833.6266,12695.2665
