raman_shift_cm-1,intensity
100.0,443.0162
101.8573,376.3163
103.7146,-239.7046
105.5718,556.7997
107.4291,-134.0884
109.2864,186.7908
111.1437,426.6914
113.001,111.5686
114.8583,198.3156
116.7155,435.0661
118.5728,478.329
120.4301,225.357
122.2874,211.4014
124.1447,377.034
126.002,627.5499
127.8592,336.6468
129.7165,361.7148
131.5738,213.9332
133.4311,602.6344
135.2884,290.3558
137.1457,436.8375
139.0029,303.9416
140.8602,-130.5119
142.7175,225.634
144.5748,219.2488
146.4321,88.3096
148.2893,467.4634
150.1466,500.0301
152.0039,384.2816
153.8612,701.741
155.7185,263.9815
157.5758,188.0317
159.433,412.1744
161.2903,134.2267
163.1476,609.2726
165.0049,525.5043
166.8622,159.6729
168.7195,333.5936
170.5767,231.2472
172.434,214.6429
174.2913,172.4354
176.1486,241.8334
178.0059,-177.532
179.8631,483.6438
181.7204,300.6234
183.5777,337.6802
185.435,284.1621
187.2923,160.9615
189.1496,434.4593
191.0068,285.1363
192.8641,635.7618
194.7214,-190.4231
196.5787,370.85
198.436,481.2795
200.2933,261.2271
202.1505,645.2082
204.0078,328.9143
205.8651,348.8536
207.7224,515.4467
209.5797,687.9931
211.437,182.7418
213.2942,568.3213
215.1515,318.4449
217.0088,441.7794
218.8661,358.3509
220.7234,18.7259
222.5806,892.5666
224.4379,325.6067
226.2952,573.5262
228.1525,306.5444
230.0098,395.819
231.8671,546.1956
233.7243,60.5579
235.5816,469.1653
237.4389,424.3015
239.2962,453.8071
241.1535,433.0671
243.0108,150.0854
244.868,67.3506
246.7253,206.5927
248.5826,380.3635
250.4399,285.2237
252.2972,412.9997
254.1544,364.9714
256.0117,-31.9102
257.869,196.3735
259.7263,310.5957
261.5836,198.89
263.4409,311.1335
265.2981,35.1561
267.1554,656.9155
269.0127,202.4894
270.87,486.8157
272.7273,652.7095
274.5846,195.9934
276.4418,316.2963
278.2991,57.2106
280.1564,178.8199
282.0137,85.7336
283.871,300.0878
285.7283,300.3994
287.5855,480.4018
289.4428,240.339
291.3001,228.1303
293.1574,603.3619
295.0147,762.6491
296.8719,469.2817
298.7292,842.3762
300.5865,403.251
302.4438,400.5608
304.3011,273.7825
306.1584,175.0658
308.0156,192.0767
309.8729,647.5383
311.7302,596.4962
313.5875,231.1844
315.4448,-108.5431
317.3021,497.0898
319.1593,217.9927
321.0166,647.2403
322.8739,627.0337
324.7312,273.6336
326.5885,439.0093
328.4457,143.5458
330.303,536.5154
332.1603,627.8317
334.0176,404.9365
335.8749,701.1651
337.7322,456.0558
339.5894,188.7483
341.4467,179.5872
343.304,115.9659
345.1613,326.0572
347.0186,367.15
348.8759,248.8863
350.7331,150.5003
352.5904,635.7441
354.4477,235.7989
356.305,477.561
358.1623,116.793
360.0196,324.7864
361.8768,371.0712
363.7341,449.0922
365.5914,182.1529
367.4487,513.9207
369.306,498.1309
371.1632,263.7463
373.0205,875.092
374.8778,418.8067
376.7351,350.2101
378.5924,537.6831
380.4497,337.7917
382.3069,381.436
384.1642,499.6147
386.0215,471.3664
387.8788,595.0788
389.7361,236.6378
391.5934,354.5034
393.4506,504.1464
395.3079,413.4365
397.1652,503.7681
399.0225,699.8634
400.8798,199.0316
402.737,171.1538
404.5943,443.7731
406.4516,569.2039
408.3089,307.8019
