raman_shift_cm-1,intensity
100.0,259.4481
101.8573,231.5989
103.7146,653.7851
105.5718,-316.3789
107.4291,331.1163
109.2864,-160.5996
111.1437,695.674
113.001,-106.2373
114.8583,402.7003
116.7155,313.5353
118.5728,482.0488
120.4301,297.1599
122.2874,287.6403
124.1447,-4.3486
126.002,-163.3
127.8592,422.4687
129.7165,167.9311
131.5738,364.8204
133.4311,128.3114
135.2884,196.8396
137.1457,697.7999
139.0029,38.8913
140.8602,597.1838
142.7175,435.7765
144.5748,58.9491
146.4321,383.7862
148.2893,256.1651
150.1466,225.4815
152.0039,601.6736
153.8612,-98.0265
155.7185,371.6177
157.5758,606.0969
159.433,451.1102
161.2903,539.3208
163.1476,406.9203
165.0049,199.8123
166.8622,141.3007
168.7195,294.0156
170.5767,-94.4153
172.434,322.8329
174.2913,218.6413
176.1486,181.3019
178.0059,298.7342
179.8631,28.2818
181.7204,455.2601
183.5777,96.2907
185.435,220.2148
187.2923,253.3083
189.1496,314.9192
191.0068,260.9533
192.8641,425.6495
194.7214,321.5889
196.5787,516.5285
198.436,370.2075
200.2933,324.8385
202.1505,268.4356
204.0078,378.9221
205.8651,239.8871
207.7224,424.0968
209.5797,85.0857
211.437,220.0583
213.2942,392.1762
215.1515,108.6212
217.0088,572.1286
218.8661,249.543
220.7234,517.6423
222.5806,492.1125
224.4379,511.5793
226.2952,346.3844
228.1525,668.433
230.0098,305.7695
231.8671,404.1748
233.7243,371.7438
235.5816,514.1299
237.4389,210.4746
239.2962,75.4759
241.1535,284.6753
243.0108,98.9952
244.868,428.8241
246.7253,-59.0392
248.5826,553.3087
250.4399,143.471
252.2972,22.4289
254.1544,245.8487
256.0117,332.0564
257.869,228.7084
259.7263,72.9554
261.5836,94.6997
263.4409,553.015
265.2981,355.6213
267.1554,391.6789
269.0127,47.0831
270.87,373.5397
272.7273,358.07
274.5846,283.678
276.4418,241.3636
278.2991,223.7688
280.1564,517.4754
282.0137,233.3794
283.871,255.6618
285.7283,571.9548
287.5855,548.4
289.4428,149.9483
291.3001,280.4294
293.1574,298.4861
295.0147,-2.5588
296.8719,547.1849
298.7292,183.0447
300.5865,104.8206
302.4438,306.2732
304.3011,502.1177
306.1584,81.1549
308.0156,372.6978
309.8729,592.0545
311.7302,406.1437
313.5875,419.0588
315.4448,450.2698
317.3021,300.2188
319.1593,295.6306
321.0166,245.7899
322.8739,488.327
324.7312,329.7869
326.5885,493.2335
328.4457,311.6351
330.303,296.8344
332.1603,427.1815
334.0176,528.746
335.8749,379.6728
337.7322,508.0993
339.5894,373.114
341.4467,742.7135
343.304,93.0001
345.1613,-153.3857
347.0186,306.0496
348.8759,-64.7124
350.7331,320.1765
352.5904,576.2055
354.4477,180.3665
356.305,178.2515
358.1623,243.0613
360.0196,394.3325
361.8768,76.0521
363.7341,559.3474
365.5914,223.6905
367.4487,-47.3366
369.306,456.084
371.1632,327.6746
373.0205,239.8183
374.8778,465.4229
376.7351,786.7217
378.5924,51.2229
380.4497,242.9083
382.3069,157.4159
384.1642,-0.0464
386.0215,248.7278
387.8788,327.2337
389.7361,205.2471
391.5934,517.1478
393.4506,312.9328
395.3079,462.3992
397.1652,341.6776
399.0225,291.4243
400.8798,158.0582
402.737,-115.1469
404.5943,68.54
406.4516,331.9897
408.3089,223.7433
410.1662,498.6006
412.0235,336.4376
413.8807,275.4399
415.738,641.175
417.5953,196.8604
419.4526,347.5163
421.3099,-91.4411
423.1672,219.5823
425.0244,218.7298
426.8817,246.9571
428.739,302.1686
430.5963,330.1128
432.4536,276.7025
434.3109,206.8175
436.1681,385.1459
438.0254,264.3651
439.8827,357.0374
441.74,378.3063
443.5973,150.8901
445.4545,203.7482
447.3118,121.4737
449.1691,437.8153
451.0264,390.9886
452.8837,612.5919
454.741,117.2501
456.5982,154.4354
458.4555,159.316
460.3128,36.4052
462.1701,-60.452
464.0274,34.8645
465.8847,131.8271
467.7419,110.1641
469.5992,737.8679
471.4565,355.9171
473.3138,254.4644
475.1711,527.972
477.0283,571.1904
478.8856,295.6206
480.7429,238.6693
482.6002,440.261
484.4575,457.3208
486.3148,268.9459
488.172,313.0562
490.0293,442.2084
491.8866,82.8852
493.7439,361.8383
495.6012,375.1671
497.4585,411.2046
499.3157,115.7291
501.173,157.5752
503.0303,280.3424
504.8876,557.9025
506.7449,213.6368
508.6022,646.8793
510.4594,436.5169
512.3167,138.1049
514.174,423.411
516.0313,449.7715
517.8886,347.1504
519.7458,408.2686
521.6031,336.7085
523.4604,549.1082
525.3177,361.3164
527.175,315.5441
529.0323,337.2151
530.8895,451.9315
532.7468,588.5012
534.6041,279.9115
536.4614,168.2935
538.3187,132.4906
540.176,650.7541
542.0332,494.6758
543.8905,474.0931
545.7478,316.322
547.6051,424.779
549.4624,592.3608
551.3196,151.665
553.1769,316.3969
555.0342,605.9713
556.8915,574.018
558.7488,181.7867
560.6061,339.1905
562.4633,216.5553
564.3206,340.7031
566.1779,405.0495
568.0352,385.7786
569.8925,341.3841
571.7498,319.991
573.607,649.5245
575.4643,546.1263
577.3216,281.6098
579.1789,302.2646
581.0362,333.5337
582.8935,297.5683
584.7507,684.3539
586.608,438.6142
588.4653,455.6415
590.3226,762.7985
592.1799,945.7075
594.0371,610.5954
595.8944,951.3285
597.7517,1224.5478
599.609,546.2563
601.4663,881.1179
603.3236,1132.8004
605.1808,1077.0282
607.0381,1030.2887
608.8954,1462.6077
610.7527,2163.4549
612.61,2695.1826
614.4673,3969.9003
616.3245,5576.5441
618.1818,8787.8436
620.0391,12056.4008
621.8964,12282.6906
623.7537,8314.4868
625.6109,5598.7891
627.4682,3680.7799
629.3255,2259.2183
631.1828,1944.0427
633.0401,1524.6952
634.8974,1572.3758
636.7546,1023.6522
638.6119,1140.5796
640.4692,829.3976
642.3265,676.3627
644.1838,1064.3414
646.0411,419.1321
647.8983,730.6159
649.7556,1129.6728
651.6129,257.7153
653.4702,454.8
655.3275,206.0213
657.1848,722.0511
659.042,457.4612
660.8993,221.8944
662.7566,334.5266
664.6139,548.0384
666.4712,595.6656
668.3284,348.6254
670.1857,829.9752
672.043,116.2246
673.9003,447.2479
675.7576,311.0937
677.6149,836.5305
679.4721,216.5905
681.3294,341.8611
683.1867,222.0314
685.044,248.9862
686.9013,264.9037
688.7586,569.3145
690.6158,704.5344
692.4731,455.639
694.3304,379.6761
696.1877,126.3947
698.045,476.0502
699.9022,36.7122
701.7595,380.4674
703.6168,567.4711
705.4741,564.4401
707.3314,489.616
709.1887,139.5574
711.0459,422.1908
712.9032,290.7107
714.7605,426.6584
716.6178,488.3932
718.4751,227.587
720.3324,338.0492
722.1896,490.8917
724.0469,79.2118
725.9042,240.7292
727.7615,411.2555
729.6188,537.9463
731.4761,468.7137
733.3333,519.0334
735.1906,366.7552
737.0479,503.2169
738.9052,537.8058
740.7625,527.8338
742.6197,539.23
744.477,132.4019
746.3343,473.9375
748.1916,358.7298
750.0489,521.5896
751.9062,500.0985
753.7634,138.9326
755.6207,229.8499
757.478,757.4083
759.3353,134.9129
761.1926,587.1294
763.0499,458.9687
764.9071,247.5017
766.7644,372.2254
768.6217,336.0392
770.479,663.2061
772.3363,810.5157
774.1935,456.9593
776.0508,683.6766
777.9081,675.042
779.7654,811.1057
781.6227,994.4948
783.48,1255.9266
785.3372,1485.8944
787.1945,1822.361
789.0518,2269.963
790.9091,3760.0665
792.7664,4752.9326
794.6237,5862.2986
796.4809,6377.0072
798.3382,5243.6442
800.1955,3858.2145
802.0528,2598.1397
803.9101,1789.7961
805.7674,1846.4014
807.6246,1222.5972
809.4819,1094.7488
811.3392,1007.8582
813.1965,445.0971
815.0538,611.1314
816.911,919.0812
818.7683,494.5201
820.6256,741.1861
822.4829,270.309
824.3402,613.7705
826.1975,571.2198
828.0547,78.3616
829.912,550.198
831.7693,692.1283
833.6266,298.3892
835.4839,576.1175
837.3412,505.6538
839.1984,444.2672
841.0557,611.7499
842.913,366.2028
844.7703,211.3926
846.6276,333.3231
848.4848,498.9406
850.3421,143.2941
852.1994,370.5864
854.0567,65.2709
855.914,298.0734
857.7713,313.711
859.6285,442.684
861.4858,264.9213
863.3431,378.1722
865.2004,618.4528
867.0577,205.6344
868.915,103.8012
870.7722,457.9264
872.6295,409.0719
874.4868,433.1204
876.3441,233.9661
878.2014,473.8584
880.0587,661.6621
881.9159,372.2393
883.7732,247.2721
885.6305,72.4124
887.4878,394.2443
889.3451,486.4191
891.2023,368.2646
893.0596,552.4092
894.9169,626.569
896.7742,15.1412
898.6315,178.684
900.4888,394.6286
902.346,567.4325
904.2033,397.3161
906.0606,249.7193
907.9179,276.5043
909.7752,245.604
911.6325,514.9259
913.4897,226.485
915.347,-116.1715
917.2043,602.79
919.0616,391.7483
920.9189,411.0697
922.7761,106.1465
924.6334,578.5194
926.4907,520.3232
928.348,335.8858
930.2053,436.7283
932.0626,356.7023
933.9198,735.2809
935.7771,673.4552
937.6344,770.5331
939.4917,305.694
941.349,501.1296
943.2063,497.3157
945.0635,390.3762
946.9208,414.2351
948.7781,228.233
950.6354,586.9328
952.4927,810.9507
954.35,443.6326
956.2072,491.9623
958.0645,526.1881
959.9218,664.6877
961.7791,819.1493
963.6364,714.8309
965.4936,984.2861
967.3509,583.1889
969.2082,674.9796
971.0655,898.6431
972.9228,840.8247
974.7801,875.8694
976.6373,908.6986
978.4946,1006.8008
980.3519,1335.6274
982.2092,1528.1046
984.0665,1785.7017
985.9238,1866.7205
987.781,2588.6658
989.6383,3475.8704
991.4956,3707.8229
993.3529,5138.6432
995.2102,8469.7668
997.0674,13821.2578
998.9247,25182.714
1000.782,40194.5573
1002.6393,36266.2655
1004.4966,20906.5803
1006.3539,11694.6239
1008.2111,7432.1367
1010.0684,5892.9268
1011.9257,4137.6821
1013.783,3425.9521
1015.6403,3686.0418
1017.4976,2948.2991
1019.3548,3445.0611
1021.2121,3836.0121
1023.0694,4393.1691
1024.9267,6052.1773
1026.784,8829.5378
1028.6413,14100.3306
1030.4985,22553.7243
1032.3558,25019.9603
1034.2131,17091.2527
1036.0704,10518.3058
1037.9277,6888.2575
1039.7849,4759.9502
1041.6422,3318.6942
1043.4995,2566.3825
1045.3568,2260.9013
1047.2141,1984.0524
1049.0714,1297.0421
1050.9286,1392.5122
1052.7859,1058.9275
1054.6432,733.2025
1056.5005,1067.1622
1058.3578,901.9414
1060.2151,660.4202
1062.0723,482.2601
1063.9296,1138.4066
1065.7869,975.6284
1067.6442,796.9489
1069.5015,428.4822
1071.3587,706.8619
1073.216,637.4613
1075.0733,745.7365
1076.9306,601.1682
1078.7879,435.6069
1080.6452,393.2408
1082.5024,612.2088
1084.3597,517.0664
1086.217,738.4893
1088.0743,-23.5984
1089.9316,766.5851
1091.7889,621.7233
1093.6461,342.2301
1095.5034,610.3024
1097.3607,415.2521
1099.218,657.9298
1101.0753,384.5637
1102.9326,210.8155
1104.7898,546.2505
1106.6471,538.0828
1108.5044,398.4766
1110.3617,754.5287
1112.219,672.3934
1114.0762,524.8557
1115.9335,445.5944
1117.7908,398.7976
1119.6481,647.1134
1121.5054,608.5986
1123.3627,358.2253
1125.2199,358.6455
1127.0772,506.0931
1128.9345,463.6681
1130.7918,490.9917
1132.6491,788.0624
1134.5064,978.1848
1136.3636,705.857
1138.2209,1201.1434
1140.0782,1239.5423
1141.9355,1515.6099
1143.7928,1769.2952
1145.65,2299.9077
1147.5073,3018.4611
1149.3646,4062.3492
1151.2219,5715.8816
1153.0792,8588.177
1154.9365,10506.9207
1156.7937,9795.0693
1158.651,6762.4695
1160.5083,4289.3844
1162.3656,3606.7438
1164.2229,2152.1487
1166.0802,1782.6428
1167.9374,1306.9122
1169.7947,1138.5799
1171.652,946.3144
1173.5093,1167.9257
1175.3666,668.2068
1177.2239,1017.441
1179.0811,803.6646
1180.9384,511.8889
1182.7957,556.6614
1184.653,822.2818
1186.5103,600.0794
1188.3675,808.0694
1190.2248,468.1005
1192.0821,619.7481
1193.9394,453.3169
1195.7967,779.8169
1197.654,390.93
1199.5112,461.1772
1201.3685,107.4448
1203.2258,284.4219
1205.0831,534.3105
1206.9404,574.1948
1208.7977,389.962
1210.6549,594.8453
1212.5122,255.2499
1214.3695,108.9574
1216.2268,305.1734
1218.0841,543.5314
1219.9413,489.9189
1221.7986,341.8601
1223.6559,40.4177
1225.5132,203.49
1227.3705,550.6871
1229.2278,262.8897
1231.085,292.4034
1232.9423,752.0007
1234.7996,191.8488
1236.6569,142.6897
1238.5142,258.7585
1240.3715,293.1436
1242.2287,144.497
1244.086,420.903
1245.9433,146.61
1247.8006,647.9541
1249.6579,365.2226
1251.5152,783.5139
1253.3724,717.807
1255.2297,454.3065
1257.087,150.6165
1258.9443,-18.5616
1260.8016,360.8392
1262.6588,-39.8422
1264.5161,-31.9122
1266.3734,-18.5201
1268.2307,287.5223
1270.088,464.1449
1271.9453,308.0783
1273.8025,286.5021
1275.6598,131.328
1277.5171,522.8711
1279.3744,327.316
1281.2317,77.6372
1283.089,403.451
1284.9462,546.0402
1286.8035,323.2708
1288.6608,455.7128
1290.5181,472.9237
1292.3754,228.9921
1294.2326,326.3776
1296.0899,245.3729
1297.9472,-31.4967
1299.8045,276.911
1301.6618,287.8069
1303.5191,622.4284
1305.3763,666.3251
1307.2336,76.6739
1309.0909,65.7279
1310.9482,150.4026
1312.8055,11.6246
1314.6628,68.6542
1316.52,70.6868
1318.3773,409.694
1320.2346,697.0529
1322.0919,-4.3734
1323.9492,438.6286
1325.8065,294.9232
1327.6637,367.5181
1329.521,658.7225
1331.3783,442.6155
1333.2356,178.5007
1335.0929,430.7974
1336.9501,345.8538
1338.8074,77.6428
1340.6647,479.3534
1342.522,571.2679
1344.3793,301.8476
1346.2366,401.3867
1348.0938,162.2845
1349.9511,411.0539
1351.8084,163.3762
1353.6657,231.2462
1355.523,644.844
1357.3803,68.8091
1359.2375,12.1895
1361.0948,615.431
1362.9521,518.5921
1364.8094,379.6316
1366.6667,456.1007
1368.5239,358.2972
1370.3812,464.4643
1372.2385,229.0327
1374.0958,730.0671
1375.9531,625.345
1377.8104,80.327
1379.6676,869.7333
1381.5249,350.4017
1383.3822,232.5163
1385.2395,557.3875
1387.0968,651.5811
1388.9541,434.2829
1390.8113,596.2665
1392.6686,464.7638
1394.5259,465.2424
1396.3832,716.1261
1398.2405,797.3102
1400.0978,390.4066
1401.955,359.9695
1403.8123,260.0264
1405.6696,531.6953
1407.5269,558.0411
1409.3842,773.1906
1411.2414,639.742
1413.0987,837.7185
1414.956,616.6302
1416.8133,631.2913
1418.6706,843.2865
1420.5279,1247.9206
1422.3851,948.7836
1424.2424,1037.1694
1426.0997,859.6113
1427.957,1201.2605
1429.8143,1413.8929
1431.6716,1833.4848
1433.5288,2064.3464
1435.3861,2134.1849
1437.2434,3137.6838
1439.1007,3292.5177
1440.958,4414.0272
1442.8152,5875.6141
1444.6725,7584.1611
1446.5298,10317.4301
1448.3871,13170.2478
1450.2444,15029.6032
1452.1017,13653.8896
1453.9589,11019.09
1455.8162,8789.7351
1457.6735,6559.8914
1459.5308,4825.023
1461.3881,3684.311
1463.2454,3033.6199
1465.1026,2452.1287
1466.9599,1843.0167
1468.8172,1331.2326
1470.6745,1434.0797
1472.5318,1383.4683
1474.3891,1061.7148
1476.2463,1112.8679
1478.1036,750.2566
1479.9609,710.7894
1481.8182,1020.1882
1483.6755,925.1972
1485.5327,279.7176
1487.39,551.1058
1489.2473,584.0638
1491.1046,1013.016
1492.9619,565.9969
1494.8192,445.7966
1496.6764,367.2852
1498.5337,469.0421
1500.391,489.9445
1502.2483,843.0253
1504.1056,714.0387
1505.9629,704.274
1507.8201,364.9717
1509.6774,739.3146
1511.5347,323.1374
1513.392,241.8319
1515.2493,495.0495
1517.1065,555.9354
1518.9638,668.8051
