x,y,raman_shift_cm-1,intensity
0.0,0.0,100.0,139.7023
0.0,0.0,101.8573,17.5542
0.0,0.0,103.7146,331.0377
0.0,0.0,105.5718,564.9995
0.0,0.0,107.4291,1129.6803
0.0,0.0,109.2864,283.9426
0.0,0.0,111.1437,308.0821
0.0,0.0,113.001,-124.9968
0.0,0.0,114.8583,368.2163
0.0,0.0,116.7155,887.9002
0.0,0.0,118.5728,510.6376
0.0,0.0,120.4301,492.0469
0.0,0.0,122.2874,364.7849
0.0,0.0,124.1447,251.2065
0.0,0.0,126.002,89.3022
0.0,0.0,127.8592,-9.2681
0.0,0.0,129.7165,803.2846
0.0,0.0,131.5738,-429.9259
0.0,0.0,133.4311,-38.1897
0.0,0.0,135.2884,-220.4243
0.0,0.0,137.1457,-277.5108
0.0,0.0,139.0029,495.6891
0.0,0.0,140.8602,519.1056
0.0,0.0,142.7175,-98.9264
0.0,0.0,144.5748,-577.1397
0.0,0.0,146.4321,-100.9036
0.0,0.0,148.2893,355.5721
0.0,0.0,150.1466,239.1725
0.0,0.0,152.0039,-22.2498
0.0,0.0,153.8612,548.9023
0.0,0.0,155.7185,603.8459
0.0,0.0,157.5758,711.9039
0.0,0.0,159.433,268.7131
0.0,0.0,161.2903,47.5338
0.0,0.0,163.1476,292.5356
0.0,0.0,165.0049,527.5387
0.0,0.0,166.8622,600.6877
0.0,0.0,168.7195,-172.8903
0.0,0.0,170.5767,300.0304
0.0,0.0,172.434,239.0682
0.0,0.0,174.2913,765.5202
0.0,0.0,176.1486,532.6818
0.0,0.0,178.0059,611.7662
0.0,0.0,179.8631,152.0449
0.0,0.0,181.7204,-246.376
0.0,0.0,183.5777,-444.6599
0.0,0.0,185.435,-18.7613
0.0,0.0,187.2923,932.6592
0.0,0.0,189.1496,-52.5332
0.0,0.0,191.0068,347.8661
0.0,0.0,192.8641,347.2764
0.0,0.0,194.7214,-101.4197
0.0,0.0,196.5787,652.0417
0.0,0.0,198.436,508.7837
0.0,0.0,200.2933,917.4299
0.0,0.0,202.1505,458.7806
0.0,0.0,204.0078,440.7173
0.0,0.0,205.8651,430.6889
0.0,0.0,207.7224,276.02
0.0,0.0,209.5797,389.6055
0.0,0.0,211.437,-472.9112
0.0,0.0,213.2942,897.4682
0.0,0.0,215.1515,1116.0828
0.0,0.0,217.0088,231.3282
0.0,0.0,218.8661,508.1089
0.0,0.0,220.7234,440.3949
0.0,0.0,222.5806,131.7159
0.0,0.0,224.4379,338.9887
0.0,0.0,226.2952,150.9888
0.0,0.0,228.1525,-53.3983
0.0,0.0,230.0098,96.45
0.0,0.0,231.8671,634.1905
0.0,0.0,233.7243,296.8676
0.0,0.0,235.5816,465.695
0.0,0.0,237.4389,189.9648
0.0,0.0,239.2962,1092.9459
0.0,0.0,241.1535,24.3841
0.0,0.0,243.0108,166.122
0.0,0.0,244.868,1260.4476
0.0,0.0,246.7253,-99.311
0.0,0.0,248.5826,795.8104
0.0,0.0,250.4399,330.7065
0.0,0.0,252.2972,37.5196
0.0,0.0,254.1544,416.0596
0.0,0.0,256.0117,75.531
0.0,0.0,257.869,536.2981
0.0,0.0,259.7263,258.8094
0.0,0.0,261.5836,867.1124
0.0,0.0,263.4409,240.2974
0.0,0.0,265.2981,876.1789
0.0,0.0,267.1554,677.5246
0.0,0.0,269.0127,488.1943
0.0,0.0,270.87,196.5998
0.0,0.0,272.7273,-296.4373
0.0,0.0,274.5846,302.7664
0.0,0.0,276.4418,485.1397
0.0,0.0,278.2991,275.0625
0.0,0.0,280.1564,387.8555
0.0,0.0,282.0137,328.8385
0.0,0.0,283.871,672.5575
0.0,0.0,285.7283,327.5537
0.0,0.0,287.5855,736.5362
0.0,0.0,289.4428,218.2905
0.0,0.0,291.3001,869.863
0.0,0.0,293.1574,121.556
0.0,0.0,295.0147,555.2408
0.0,0.0,296.8719,507.1499
0.0,0.0,298.7292,421.5874
0.0,0.0,300.5865,-868.8139
0.0,0.0,302.4438,574.0458
0.0,0.0,304.3011,159.5716
0.0,0.0,306.1584,179.8066
0.0,0.0,308.0156,603.6314
0.0,0.0,309.8729,885.0017
0.0,0.0,311.7302,-143.8196
0.0,0.0,313.5875,-581.6192
0.0,0.0,315.4448,863.477
0.0,0.0,317.3021,89.6133
0.0,0.0,319.1593,-88.6158
0.0,0.0,321.0166,1.313
