raman_shift_cm-1,PS_01,PS_02,PS_03,PET_01,PET_02,PMMA_01,PMMA_02,CAL_01,CAL_02,ARA_01,ARA_02,SI_01,XA_01,XB_01
100.0,-102.2094,753.23,370.1688,361.8907,-30.7411,985.1333,1125.2377,614.4721,469.6322,476.6207,-30.1661,701.42,102.5445,49.7191
101.8573,428.2466,532.486,545.3672,118.5744,595.5314,60.8389,164.1745,468.8867,-194.5528,672.3304,-439.4813,955.1947,-358.7278,122.5875
103.7146,484.4721,152.7374,475.9609,602.0398,-212.4894,365.649,407.3724,1118.3976,771.436,628.0093,175.1041,55.0531,505.8608,688.8312
105.5718,-141.9498,-214.0701,247.2172,-529.9135,44.1352,539.6037,175.7753,75.1494,810.2462,164.7557,515.951,134.0498,-166.7941,179.4815
107.4291,376.3528,193.5206,158.2091,833.818,559.4339,705.7166,555.9433,154.2789,1073.7367,627.4644,145.6573,510.9126,123.9375,227.9643
109.2864,-110.4832,431.1715,-102.5184,104.6278,364.4776,763.7553,451.1913,621.3087,1082.5746,757.3878,737.2672,640.7277,891.5032,376.2563
111.1437,131.0263,-177.4311,679.0681,317.1596,107.0665,457.64,1058.2082,719.6504,378.1768,613.9796,489.5007,242.7658,249.8001,380.5383
113.001,46.3369,152.406,-382.9664,369.6342,507.6741,-78.2306,28.3083,598.488,1073.9204,593.4572,320.6183,776.8954,559.0391,263.1247
114.8583,270.7056,-328.6496,-251.6619,416.989,-472.8496,737.9461,299.8983,819.7828,245.466,282.6205,773.0687,596.9513,146.9732,-37.6152
116.7155,131.6996,-9.6811,-444.4565,452.7228,645.5804,-15.1691,822.3756,180.8016,493.8869,742.0324,-346.6886,-113.6645,534.2714,92.7616
118.5728,753.4796,-123.7788,1363.2494,570.6475,-164.2734,396.4533,615.5367,-621.9722,-44.3377,295.5533,-976.8274,508.6465,953.0588,-311.7219
120.4301,196.2103,593.7688,473.255,201.6175,27.7499,77.0061,97.5494,518.0712,-282.3759,349.25,-714.0988,839.0576,-540.1147,32.4458
122.2874,807.5888,-41.0875,585.9522,391.1151,812.6529,91.0072,-25.9485,112.2003,649.2283,-127.2075,-117.7452,366.9493,69.3374,381.4469
124.1447,-110.1476,666.0421,-106.6827,218.3365,451.0361,285.8855,-157.5288,610.3817,619.8055,57.7925,380.9975,633.0052,-429.0227,225.9591
126.002,399.7946,101.0219,645.9065,660.6676,214.1073,-341.8221,860.3444,374.0744,380.7019,458.8547,485.8542,-235.1506,532.049,295.0026
127.8592,-143.9813,234.6102,715.207,-311.2626,-77.2961,201.1802,439.4008,192.4766,716.1335,492.2023,-194.7409,280.0365,763.7049,471.608
129.7165,742.623,511.3072,566.3618,587.5786,319.3164,-184.7601,-547.3487,654.6426,842.3664,401.5693,1215.2878,137.5293,633.9844,249.9791
131.5738,-294.0368,410.016,699.752,888.6604,619.8303,246.2457,767.2081,1197.2007,450.4694,496.4617,960.5977,298.5899,-285.1893,-376.9033
133.4311,-170.1269,460.5138,628.9947,-221.8095,142.9804,185.1158,518.4018,288.3098,669.0094,678.7633,552.7945,309.2051,1046.7624,339.8065
135.2884,533.0418,332.7799,414.0439,459.2301,322.1237,-89.7056,-4.6014,200.428,-273.8148,1007.5185,1017.8215,847.9911,-183.7879,-15.8945
