raman_shift_cm-1,PS_01,PET_01,PMMA_01,CAL_01,ARA_01,SI_01,XA_01,XB_01
100.0,-102.2094,361.8907,985.1333,614.4721,476.6207,701.42,102.5445,49.7191
101.8573,428.2466,118.5744,60.8389,468.8867,672.3304,955.1947,-358.7278,122.5875
103.7146,484.4721,602.0398,365.649,1118.3976,628.0093,55.0531,505.8608,688.8312
105.5718,-141.9498,-529.9135,539.6037,75.1494,164.7557,134.0498,-166.7941,179.4815
107.4291,376.3528,833.818,705.7166,154.2789,627.4644,510.9126,123.9375,227.9643
109.2864,-110.4832,104.6278,763.7553,621.3087,757.3878,640.7277,891.5032,376.2563
111.1437,131.0263,317.1596,457.64,719.6504,613.9796,242.7658,249.8001,380.5383
113.001,46.3369,369.6342,-78.2306,598.488,593.4572,776.8954,559.0391,263.1247
114.8583,270.7056,416.989,737.9461,819.7828,282.6205,596.9513,146.9732,-37.6152
116.7155,131.6996,452.7228,-15.1691,180.8016,742.0324,-113.6645,534.2714,92.7616
118.5728,753.4796,570.6475,396.4533,-621.9722,295.5533,508.6465,953.0588,-311.7219
120.4301,196.2103,201.6175,77.0061,518.0712,349.25,839.0576,-540.1147,32.4458
122.2874,807.5888,391.1151,91.0072,112.2003,-127.2075,366.9493,69.3374,381.4469
124.1447,-110.1476,218.3365,285.8855,610.3817,57.7925,633.0052,-429.0227,225.9591
126.002,399.7946,660.6676,-341.8221,374.0744,458.8547,-235.1506,532.049,295.0026
127.8592,-143.9813,-311.2626,201.1802,192.4766,492.2023,280.0365,763.7049,471.608
129.7165,742.623,587.5786,-184.7601,654.6426,401.5693,137.5293,633.9844,249.9791
131.5738,-294.0368,888.6604,246.2457,1197.2007,496.4617,298.5899,-285.1893,-376.9033
133.4311,-170.1269,-221.8095,185.1158,288.3098,678.7633,309.2051,1046.7624,339.8065
135.2884,533.0418,459.2301,-89.7056,200.428,1007.5185,847.9911,-183.7879,-15.8945
137.1457,715.6449,655.2541,370.1323,264.0426,900.6448,472.8186,-163.6959,149.4255
139.0029,648.085,545.2681,279.1731,693.3234,520.8161,79.3163,-559.9277,1155.2529
140.8602,-424.6162,178.8959,724.6577,900.1007,563.4988,-346.5493,-8.3224,172.0092
142.7175,686.1351,-45.0139,-15.6622,491.8094,886.425,63.2182,723.1588,256.1681
144.5748,-83.5769,-54.6114,-37.8779,766.1566,1758.3022,-458.4736,670.8766,751.6932
146.4321,502.5951,-215.6811,856.7049,1107.6826,2802.0503,191.1522,-119.721,787.8327
148.2893,313.9613,149.3307,621.1854,1578.3283,4266.3686,477.2983,496.0329,515.7842
150.1466,200.6161,905.2526,-96.9742,2831.4498,8506.5386,223.5166,330.8254,-279.0729
152.0039,171.085,-334.4491,455.1674,4900.7565,11224.1738,1445.6422,286.6802,98.2155
153.8612,694.1994,669.9346,691.6334,6300.237,7745.7416,452.814,-273.1448,812.3326
155.7185,-678.1486,303.8893,-663.594,8069.8601,4296.8007,817.6339,481.5667,-43.3957
157.5758,553.605,-39.9752,699.1649,4936.0,2689.0406,673.3753,850.2154,843.5696
159.433,105.2533,45.8165,204.7571,2787.2761,2293.8178,-213.0434,128.6038,835.5404
161.2903,53.092,827.6168,-298.9771,2343.68,1165.7545,-207.5881,-623.5641,-382.7362
163.1476,298.8242,315.6263,456.4017,840.9923,1497.2567,125.5783,760.4133,219.0332
165.0049,52.378,-226.017,240.3613,1417.0979,1217.8252,333.7497,399.8186,86.9857
166.8622,442.2203,950.1335,-212.3358,1226.8396,980.6756,415.334,153.8513,-10.2041
168.7195,-49.617,-252.8319,36.8123,-190.9734,719.3609,292.2809,-21.5429,462.8633
170.5767,609.3137,877.0326,1007.9208,673.8862,119.2563,-299.9097,590.7132,681.0919
