raman_shift_cm-1,intensity
100.0,66.0361
101.8573,182.0654
103.7146,173.3216
105.5718,396.02
107.4291,210.8606
109.2864,217.3207
111.1437,331.1257
113.001,155.6345
114.8583,451.7425
116.7155,224.4674
118.5728,219.5109
120.4301,-89.4915
122.2874,128.1788
124.1447,350.2359
126.002,126.6503
127.8592,432.4354
129.7165,437.9171
131.5738,180.8009
133.4311,313.3045
135.2884,150.6155
137.1457,360.3391
139.0029,379.7069
140.8602,-52.0997
142.7175,449.429
144.5748,439.6087
146.4321,216.1342
148.2893,457.7981
150.1466,244.2203
152.0039,250.3953
153.8612,-64.0625
155.7185,179.7705
157.5758,97.9425
159.433,386.1186
161.2903,406.1082
163.1476,-114.727
165.0049,302.6419
166.8622,296.2116
168.7195,475.1609
170.5767,144.6479
172.434,168.2128
174.2913,458.8333
176.1486,544.5579
178.0059,175.4871
179.8631,429.7116
181.7204,230.6863
183.5777,74.1748
185.435,146.9705
187.2923,390.1498
189.1496,383.3515
191.0068,385.6498
192.8641,213.9973
194.7214,186.95
196.5787,577.7174
198.436,430.9449
200.2933,287.3246
202.1505,350.2318
204.0078,670.8092
205.8651,359.1791
207.7224,184.3565
209.5797,320.232
211.437,215.4618
213.2942,-89.3318
215.1515,252.8358
217.0088,459.4616
218.8661,284.9946
220.7234,26.0982
222.5806,269.9449
224.4379,133.1567
226.2952,263.835
228.1525,72.6012
230.0098,224.406
231.8671,-80.834
233.7243,485.6079
235.5816,350.9843
237.4389,312.5986
239.2962,73.9116
241.1535,102.9665
243.0108,257.1693
244.868,258.0048
246.7253,519.1823
248.5826,414.9962
250.4399,535.3026
252.2972,505.6881
254.1544,688.6845
256.0117,581.3637
257.869,143.3911
259.7263,691.006
261.5836,577.1011
263.4409,251.6878
265.2981,178.5752
267.1554,288.3065
269.0127,518.7683
270.87,721.1326
272.7273,287.9538
274.5846,40.1371
276.4418,245.0752
278.2991,291.716
280.1564,270.6112
282.0137,485.9484
283.871,648.9315
285.7283,361.1986
287.5855,595.2622
289.4428,308.5157
291.3001,512.29
293.1574,635.0597
295.0147,458.0082
296.8719,100.8256
298.7292,393.9585
300.5865,354.42
302.4438,366.6483
304.3011,262.111
306.1584,403.931
308.0156,215.0634
309.8729,676.971
311.7302,466.4396
313.5875,365.3639
315.4448,408.9355
317.3021,370.3673
319.1593,315.9203
321.0166,192.7857
322.8739,133.6696
324.7312,175.8
326.5885,166.9524
328.4457,309.9334
330.303,160.5595
332.1603,82.7991
334.0176,238.7914
335.8749,255.8162
337.7322,473.5548
339.5894,573.799
341.4467,894.6546
343.304,474.8569
345.1613,225.4113
347.0186,33.0168
348.8759,364.1708
350.7331,340.6156
352.5904,488.7466
354.4477,266.7481
356.305,310.5935
358.1623,230.4874
360.0196,-66.2165
361.8768,507.4568
363.7341,863.8667
365.5914,357.606
367.4487,331.508
369.306,316.6339
371.1632,326.2848
373.0205,732.1046
374.8778,462.4139
376.7351,524.2296
378.5924,436.8974
380.4497,714.0735
382.3069,-151.7038
384.1642,448.7971
386.0215,409.0451
387.8788,298.2203
389.7361,289.2912
391.5934,428.2009
393.4506,129.6285
395.3079,373.3228
397.1652,436.4845
399.0225,382.3904
400.8798,331.5182
402.737,13.4768
404.5943,426.7006
406.4516,277.8133
408.3089,529.9889
410.1662,341.6875
412.0235,114.6421
413.8807,319.3428
415.738,321.5054
417.5953,67.9454
419.4526,202.2363
421.3099,-200.6231
423.1672,499.1414
425.0244,-166.9386
426.8817,49.0389
428.739,401.2518
430.5963,52.0737
432.4536,336.0292
434.3109,627.4076
436.1681,537.8662
438.0254,604.943
439.8827,444.0791
441.74,557.6708
443.5973,187.1481
445.4545,487.1216
447.3118,273.0501
449.1691,135.9813
451.0264,605.6528
452.8837,148.1593
454.741,416.127
456.5982,178.4639
458.4555,301.7219
460.3128,342.158
462.1701,128.0764
464.0274,503.2474
465.8847,294.9548
467.7419,195.5598
469.5992,434.298
471.4565,334.0593
473.3138,462.8778
475.1711,319.5508
477.0283,347.0585
478.8856,311.3947
480.7429,534.0888
482.6002,537.978
484.4575,833.3143
486.3148,444.177
488.172,921.754
490.0293,524.3497
491.8866,742.8033
493.7439,818.8393
495.6012,445.0059
497.4585,422.2064
499.3157,571.5948
501.173,880.6155
503.0303,953.5066
504.8876,1031.085
506.7449,1108.4491
508.6022,1650.1692
510.4594,2145.1806
512.3167,2995.4337
514.174,4044.4077
516.0313,7654.7349
517.8886,17204.3734
519.7458,40145.2641
521.6031,33732.9007
523.4604,14272.7259
525.3177,6993.489
527.175,3609.3066
529.0323,2660.4565
530.8895,2058.3019
532.7468,1548.6897
534.6041,1120.6664
536.4614,919.8024
538.3187,886.502
540.176,618.3675
542.0332,840.8456
543.8905,836.4329
545.7478,461.7652
547.6051,730.5566
549.4624,211.4395
551.3196,299.69
553.1769,596.3981
555.0342,294.0397
556.8915,469.4582
558.7488,145.5739
560.6061,528.327
562.4633,498.0803
564.3206,548.8147
566.1779,610.2305
568.0352,267.5529
569.8925,288.3719
571.7498,22.8485
573.607,602.9213
575.4643,218.6046
577.3216,210.5191
579.1789,240.9506
581.0362,423.4173
582.8935,56.6066
584.7507,303.819
586.608,293.4847
588.4653,309.1766
590.3226,232.9593
592.1799,261.5695
594.0371,217.3652
595.8944,208.8415
597.7517,360.6664
599.609,578.6999
601.4663,260.2154
603.3236,115.4286
605.1808,53.6308
607.0381,739.0415
608.8954,167.3678
610.7527,-154.3919
612.61,76.7131
614.4673,347.8421
616.3245,47.6249
618.1818,131.9053
620.0391,408.9924
621.8964,652.6618
623.7537,139.5043
625.6109,-1.3561
627.4682,546.6086
629.3255,560.548
631.1828,279.9063
633.0401,321.3231
634.8974,482.1089
636.7546,393.5338
638.6119,274.0664
640.4692,460.3444
642.3265,149.8387
644.1838,308.8134
646.0411,183.0733
647.8983,710.5293
649.7556,456.059
651.6129,228.335
653.4702,461.833
655.3275,329.4457
657.1848,225.2883
659.042,386.177
660.8993,154.9478
662.7566,504.7489
664.6139,371.9026
666.4712,91.6458
668.3284,306.679
670.1857,680.3617
672.043,155.776
673.9003,168.9119
675.7576,424.3352
677.6149,525.5484
679.4721,469.9438
681.3294,450.799
683.1867,649.8978
685.044,126.203
686.9013,409.1126
688.7586,385.3475
690.6158,200.2903
692.4731,447.8492
694.3304,-156.9937
696.1877,591.2798
698.045,235.9493
699.9022,356.0665
701.7595,163.2623
703.6168,545.7652
705.4741,516.8214
707.3314,345.8582
709.1887,642.2378
711.0459,293.9995
712.9032,453.7505
714.7605,7.0771
716.6178,296.2207
718.4751,122.9959
720.3324,64.4574
722.1896,337.0978
724.0469,-264.9276
725.9042,512.6494
727.7615,98.7483
729.6188,561.9912
731.4761,270.5812
733.3333,435.8639
735.1906,358.7485
737.0479,216.8487
738.9052,-23.8947
740.7625,464.8308
742.6197,105.2581
744.477,12.9265
746.3343,274.9835
748.1916,448.8385
750.0489,224.9233
751.9062,446.6971
753.7634,207.4538
755.6207,481.5933
757.478,312.3722
759.3353,291.8536
761.1926,323.1508
763.0499,506.4358
764.9071,453.055
766.7644,355.5737
768.6217,624.1604
770.479,162.5643
772.3363,487.9284
774.1935,464.0427
