raman_shift_cm-1,intensity
400.0,177.5684
401.3685,95.1782
402.737,412.3156
404.1056,516.7124
405.4741,105.6519
406.8426,465.609
408.2111,155.0394
409.5797,157.0451
410.9482,119.2813
412.3167,462.866
413.6852,520.2499
415.0538,349.9903
416.4223,328.0371
417.7908,369.0089
419.1593,489.4991
420.5279,102.2683
421.8964,267.0285
423.2649,343.4947
424.6334,308.9562
426.002,253.8661
427.3705,-73.1504
428.739,641.3321
430.1075,571.2718
431.4761,198.0819
432.8446,347.4477
434.2131,63.4848
435.5816,96.8283
436.9501,101.9237
438.3187,261.3998
439.6872,509.958
441.0557,343.4206
442.4242,167.1888
443.7928,213.0171
445.1613,105.6871
446.5298,394.7929
447.8983,315.9533
449.2669,277.8836
450.6354,372.6505
452.0039,183.9611
453.3724,142.9747
454.741,-4.499
456.1095,306.4882
457.478,295.9765
458.8465,-9.0969
460.2151,196.8032
461.5836,518.1214
462.9521,492.2597
464.3206,196.3433
465.6891,-12.0535
467.0577,729.1725
468.4262,-111.1644
469.7947,290.4551
471.1632,46.513
472.5318,-0.3719
473.9003,212.8179
475.2688,721.3324
476.6373,398.3168
478.0059,122.7236
479.3744,263.5541
480.7429,295.8031
482.1114,311.1623
483.48,499.8192
484.8485,294.1895
486.217,331.3643
487.5855,567.6252
488.9541,-16.6759
490.3226,259.203
491.6911,318.835
493.0596,230.1144
494.4282,242.788
495.7967,80.2398
497.1652,162.0754
498.5337,302.0332
499.9022,321.3135
501.2708,312.8958
502.6393,390.3339
504.0078,548.4156
505.3763,494.2347
506.7449,30.8639
508.1134,370.9681
509.4819,373.6963
510.8504,461.7197
512.219,602.1085
513.5875,202.6258
514.956,355.8718
516.3245,158.8428
517.6931,-27.3331
519.0616,110.1998
520.4301,228.891
521.7986,-23.2849
523.1672,411.6964
524.5357,259.399
525.9042,142.4944
527.2727,288.7505
528.6413,181.7293
530.0098,414.1599
531.3783,770.2209
532.7468,169.6059
534.1153,521.0259
535.4839,490.5402
536.8524,510.5993
538.2209,176.7719
539.5894,419.8058
540.958,349.8431
542.3265,444.8759
543.695,347.1175
545.0635,775.0727
546.4321,157.4404
547.8006,18.6549
549.1691,524.1028
550.5376,372.012
551.9062,559.6743
553.2747,464.3891
554.6432,71.3364
556.0117,172.697
557.3803,569.3054
558.7488,-96.9997
560.1173,493.6505
561.4858,305.2641
562.8543,266.5602
564.2229,298.3039
565.5914,405.3652
566.9599,475.9786
568.3284,375.5062
569.697,829.0507
571.0655,264.1201
572.434,188.598
573.8025,497.2766
575.1711,351.5701
576.5396,500.4701
577.9081,433.7083
579.2766,304.6387
580.6452,277.6535
582.0137,357.7827
583.3822,523.6193
584.7507,556.5989
586.1193,248.5234
587.4878,589.2008
588.8563,422.9586
590.2248,347.7721
591.5934,670.5582
592.9619,239.6191
594.3304,489.1148
595.6989,562.8022
597.0674,702.4332
598.436,676.0079
599.8045,513.1285
601.173,516.5962
602.5415,786.7499
603.9101,930.0526
605.2786,1157.1557
606.6471,1121.4634
608.0156,1104.615
609.3842,1401.2117
610.7527,2020.9243
612.1212,2563.0109
613.4897,2982.4853
614.8583,4205.7175
616.2268,5418.792
617.5953,7432.9516
618.9638,10274.0505
620.3324,12386.1026
621.7009,12398.4824
623.0694,10121.7922
624.4379,7491.5357
625.8065,5283.022
627.175,3649.5401
628.5435,2997.2148
629.912,2131.6855
631.2805,1734.8307
632.6491,2233.3437
634.0176,1579.846
635.3861,1305.2455
636.7546,930.6469
638.1232,757.866
639.4917,1009.8387
640.8602,645.505
642.2287,771.0264
643.5973,633.915
644.9658,568.6786
646.3343,669.3579
647.7028,585.6678
649.0714,673.8102
650.4399,1002.886
651.8084,738.7358
653.1769,-62.5048
654.5455,610.9383
655.914,419.5771
657.2825,251.8349
658.651,526.1412
660.0196,415.3395
661.3881,140.9939
662.7566,233.1245
664.1251,293.1465
665.4936,589.3207
666.8622,317.6094
668.2307,592.2923
669.5992,92.1144
